證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,1.55,111,26.43,1.1,2023Q2
1102,亞泥,5.75,111,11.94,0.88,2023Q2
1103,嘉泥,2.81,111,36.33,0.51,2023Q2
1104,環泥,7.1,111,8.86,0.76,2023Q2
1108,幸福,5.97,111,7.88,1.13,2023Q2
1109,信大,4.57,111,8.79,0.77,2023Q2
1110,東泥,0.55,111,37.04,1.17,2023Q2
1201,味全,1.3,111,43.02,1.3,2023Q2
1203,味王,2.56,111,16.69,1.87,2023Q2
1210,大成,2.95,111,14.51,2.0,2023Q2
1215,卜蜂,3.87,111,15.13,3.15,2023Q2
1216,統一,4.64,111,20.03,3.27,2023Q2
1217,愛之味,3.43,111,17.39,0.84,2023Q2
1218,泰山,2.84,111,1.88,0.82,2023Q2
1219,福壽,4.27,111,49.34,1.38,2023Q2
1220,台榮,1.48,111,103.85,1.08,2023Q2
1225,福懋油,3.75,111,95.18,3.59,2023Q2
1227,佳格,3.42,111,29.26,2.05,2023Q2
1229,聯華,3.23,111,25.58,2.32,2023Q2
1231,聯華食,2.98,111,23.66,3.83,2023Q2
1232,大統益,4.26,111,20.09,4.45,2023Q3
1233,天仁,2.45,111,34.07,2.19,2023Q2
1234,黑松,4.71,111,15.74,0.85,2023Q2
1235,興泰,2.77,111,19.44,1.68,2023Q2
1236,宏亞,4.02,111,108.04,1.06,2023Q2
1256,鮮活果汁-KY,2.91,111,13.95,2.11,2023Q2
1301,台塑,5.45,111,256.67,1.43,2023Q2
1303,南亞,4.85,111,108.6,1.4,2023Q2
1304,台聚,3.64,111,34.38,0.88,2023Q2
1307,三芳,3.43,111,16.92,1.08,2023Q2
1308,亞聚,5.1,111,16.35,1.03,2023Q2
1315,達新,8.45,111,8.66,0.62,2023Q2
1316,上曜,5.39,111,170.0,0.86,2023Q2
1319,東陽,3.41,111,18.94,1.83,2023Q2
1323,永裕,3.51,111,17.99,1.2,2023Q2
1324,地球,1.08,111,57.97,1.47,2023Q2
1325,恆大,2.25,111,65.29,0.69,2023Q2
1339,昭輝,5.08,111,12.9,1.2,2023Q2
1341,富林-KY,9.71,111,11.98,2.61,2023Q2
1342,八貫,4.86,111,15.18,4.02,2023Q2
1402,遠東新,4.58,111,26.11,0.74,2023Q2
1409,新纖,6.64,111,17.71,0.69,2023Q2
1410,南染,2.13,111,51.37,2.21,2023Q2
1414,東和,1.84,111,87.0,1.24,2023Q2
1416,廣豐,4.78,111,30.74,0.53,2023Q2
1417,嘉裕,3.12,111,19.43,0.85,2023Q2
1419,新紡,3.4,111,21.2,1.11,2023Q2
1423,利華,0.68,111,67.27,1.34,2023Q2
1434,福懋,5.95,111,31.11,0.76,2023Q2
1436,華友聯,7.61,111,12.41,2.4,2023Q2
1437,勤益控,2.73,111,12.31,0.81,2023Q2
1439,雋揚,1.32,111,14.43,0.87,2023Q2
1442,名軒,4.56,111,16.93,2.26,2023Q2
1445,大宇,0.53,111,37.4,1.42,2023Q2
1449,佳和,2.11,111,55.0,0.68,2023Q2
1452,宏益,4.91,111,77.62,0.82,2023Q2
1453,大將,2.13,111,117.5,1.05,2023Q2
1454,台富,1.67,111,68.18,1.15,2023Q2
1457,宜進,5.75,111,133.85,0.8,2023Q2
1463,強盛,2.38,111,21.0,1.26,2023Q2
