證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,1.51,111,28.14,1.09,2023Q3
1102,亞泥,5.55,111,14.44,0.87,2023Q3
1103,嘉泥,2.63,111,73.08,0.59,2023Q3
1104,環泥,6.44,111,8.34,0.86,2023Q3
1108,幸福,5.41,111,8.04,1.2,2023Q3
1109,信大,4.47,111,10.53,0.77,2023Q3
1110,東泥,0.54,111,39.57,1.19,2023Q3
1201,味全,1.25,111,68.57,1.31,2023Q3
1203,味王,2.32,111,27.62,2.01,2023Q3
1210,大成,2.78,111,12.25,1.99,2023Q3
1215,卜蜂,3.79,111,13.38,2.95,2023Q3
1216,統一,4.44,111,20.88,3.18,2023Q3
1217,愛之味,3.38,111,35.91,0.86,2023Q3
1218,泰山,2.66,111,2.0,0.87,2023Q3
1219,福壽,4.13,111,25.8,1.44,2023Q3
1220,台榮,1.42,111,31.93,1.1,2023Q3
1225,福懋油,3.64,111,48.16,3.73,2023Q3
1227,佳格,3.37,111,29.46,2.0,2023Q3
1229,聯華,3.11,111,25.45,2.37,2023Q3
1231,聯華食,2.95,111,28.64,4.11,2023Q3
1232,大統益,4.18,111,20.44,4.53,2023Q3
1233,天仁,2.45,111,30.22,2.16,2023Q3
1234,黑松,4.6,111,16.31,0.86,2023Q3
1235,興泰,2.65,111,51.55,1.76,2023Q3
1236,宏亞,4.06,111,57.33,0.89,2023Q3
1256,鮮活果汁-KY,2.83,111,15.6,2.01,2023Q3
1301,台塑,5.2,111,179.56,1.47,2023Q3
1303,南亞,4.4,111,98.84,1.48,2023Q3
1304,台聚,3.52,111,32.62,0.89,2023Q3
1305,華夏,1.28,111,41.79,1.41,2023Q3
1307,三芳,2.97,111,15.76,1.17,2023Q3
1308,亞聚,5.08,111,24.58,1.03,2023Q3
1315,達新,8.42,111,16.66,0.65,2023Q3
1319,東陽,3.23,111,17.86,1.84,2023Q3
1323,永裕,3.51,111,22.68,1.15,2023Q3
1324,地球,1.08,111,32.37,1.42,2023Q3
1325,恆大,2.22,111,57.82,0.69,2023Q3
1326,台化,1.48,111,401.25,1.12,2023Q3
1339,昭輝,4.44,111,15.58,1.31,2023Q3
1341,富林-KY,9.71,111,13.07,2.5,2023Q3
1342,八貫,4.75,111,14.93,3.81,2023Q3
1402,遠東新,4.39,111,28.74,0.76,2023Q3
1409,新纖,6.51,111,35.7,0.69,2023Q3
1410,南染,2.15,111,62.08,2.18,2023Q3
1414,東和,1.83,111,249.29,1.24,2023Q3
1416,廣豐,4.61,111,18.39,0.56,2023Q3
1417,嘉裕,3.05,111,37.97,0.87,2023Q3
1419,新紡,3.34,111,20.79,1.08,2023Q3
1423,利華,0.66,111,32.11,1.1,2023Q3
1434,福懋,5.93,111,51.63,0.78,2023Q3
1436,華友聯,6.64,111,113.82,2.72,2023Q3
1437,勤益控,2.67,111,10.66,0.81,2023Q3
1439,雋揚,1.32,111,18.54,0.87,2023Q3
