資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比,財報年/季
1140627,1240,茂生農經,13.38,3.4,5.57,1.72,114Q1
1140627,1259,安心,42.44,1.2,2.16,0.76,114Q1
1140627,1264,德麥,15.49,14.5,4.53,3.79,114Q1
1140627,1268,漢來美食,15.64,7.5,4.93,2.63,114Q1
1140627,1294,漢田生技,12.98,4.23,5.92,2.38,114Q1
1140627,1295,生合,26.0,3.5,2.45,4.4,114Q1
1140627,1336,台翰,9.17,0.945,4.91,0.78,114Q1
1140627,1565,精華,10.8,9.5,6.07,1.26,114Q1
1140627,1570,力肯,9.58,1.3,5.36,1.21,114Q1
1140627,1580,新麥,10.36,9.16252783,6.52,2.43,114Q1
1140627,1584,精剛,18.37,0.7,2.82,1.15,114Q1
1140627,1593,祺驊,13.37,1.6,5.64,0.87,114Q1
1140627,1599,宏佳騰,17.85,0.5,1.65,1.13,114Q1
1140627,1777,生泰,10.18,5.3,6.08,1.62,114Q1
1140627,1781,合世,44.85,0.0,0.0,1.76,114Q1
1140627,1784,訊聯,49.03,1.40949789,2.0,2.84,114Q1
1140627,1785,光洋科,17.62,2.0,3.7,2.2,114Q1
1140627,1788,杏昌,17.84,7.0,5.02,2.01,114Q1
1140627,1815,富喬,61.93,0.0,0.0,2.3,114Q1
1140627,2063,世鎧,18.58,2.0,6.64,1.47,114Q1
1140627,2065,世豐,13.74,3.03200675,7.74,1.29,114Q1
1140627,2066,世德,14.99,3.0,3.83,1.59,114Q1
1140627,2070,精湛,15.09,1.5,3.64,1.61,114Q1
1140627,2073,雄順,63.64,0.7,2.5,1.73,114Q1
1140627,2221,大甲,10.95,1.3,4.53,1.15,114Q1
1140627,2230,泰茂,30.29,3.0,2.35,5.32,114Q1
1140627,2235,謚源,19.44,3.0,6.62,1.23,114Q1
1140627,2596,綠意,28.87,1.0,2.79,1.73,114Q1
1140627,2640,大車隊,14.44,7.0,5.3,4.38,114Q1
1140627,2641,正德,11.74,0.49064449,2.55,0.8,114Q1
1140627,2643,捷迅,10.75,4.5,6.4,1.3,114Q1
1140627,2718,全心投控,1.43,3.0,6.04,0.87,114Q1
1140627,2719,燦星旅,42.33,0.0,0.0,4.08,114Q1
1140627,2724,藝舍-KY,6.42,0.0,0.0,3.16,114Q1
1140627,2729,瓦城,22.69,9.0,4.32,3.06,114Q1
1140627,2732,六角,21.87,4.9997807,6.1,2.01,114Q1
1140627,2734,易飛網,64.43,0.0,0.0,1.82,114Q1
1140627,2743,山富,18.62,5.0,4.03,3.67,114Q1
1140627,2745,五福,13.17,6.5,4.81,4.58,114Q1
1140627,2751,王座,14.44,4.5,7.32,3.12,114Q1
1140627,2752,豆府,13.53,14.0,6.67,5.15,114Q1
