證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,2.89,112,31.22,1.12,2024Q1
1102,亞泥,5.07,112,13.2,0.86,2024Q1
1103,嘉泥,2.78,112,600.0,0.57,2024Q1
1104,環泥,6.0,112,10.79,0.99,2024Q1
1108,幸福,6.12,112,12.67,1.38,2024Q1
1109,信大,6.63,112,9.33,0.74,2024Q1
1110,東泥,0.85,112,94.0,1.48,2024Q1
1201,味全,1.48,112,33.7,1.24,2024Q1
1203,味王,2.06,112,25.26,2.14,2024Q1
1210,大成,3.86,112,11.69,2.11,2024Q1
1215,卜蜂,5.42,112,13.5,3.01,2024Q1
1216,統一,3.58,112,25.27,3.56,2024Q1
1217,愛之味,1.83,112,29.19,0.88,2024Q1
1219,福壽,4.43,112,20.06,1.3,2024Q1
1220,台榮,2.61,112,14.08,1.14,2024Q1
1225,福懋油,0.98,112,88.04,9.18,2024Q1
1227,佳格,3.15,112,25.13,1.99,2024Q1
1229,聯華,3.35,112,23.71,2.05,2024Q1
1231,聯華食,2.17,112,28.85,4.89,2024Q1
1232,大統益,4.63,112,17.44,4.51,2024Q2
1233,天仁,2.69,112,30.93,2.2,2024Q1
1234,黑松,4.45,112,18.38,0.95,2024Q1
1235,興泰,0.92,112,41.44,1.73,2024Q1
1236,宏亞,2.62,112,103.54,0.94,2024Q1
1256,鮮活果汁-KY,3.71,112,14.34,1.54,2024Q1
1301,台塑,1.73,112,70.61,1.09,2024Q1
1303,南亞,1.4,112,59.52,1.09,2024Q1
1305,華夏,1.97,112,136.54,1.08,2024Q1
1307,三芳,4.75,112,12.39,1.39,2024Q1
1315,達新,6.95,112,19.22,0.67,2024Q1
1319,東陽,4.31,112,14.82,2.05,2024Q1
1321,大洋,1.07,112,45.99,1.33,2024Q1
1323,永裕,3.35,112,33.17,1.12,2024Q1
1324,地球,1.47,112,31.02,1.07,2024Q1
1325,恆大,2.08,112,75.92,0.88,2024Q1
1326,台化,2.51,112,26.95,0.89,2024Q1
1339,昭輝,4.85,112,9.07,1.18,2024Q1
1341,富林-KY,6.58,112,14.74,2.96,2024Q1
1342,八貫,6.13,112,12.7,3.46,2024Q1
1402,遠東新,3.97,112,21.79,0.79,2024Q1
1409,新纖,3.21,112,25.22,0.78,2024Q1
1410,南染,0.8,112,103.61,2.2,2024Q1
1414,東和,1.09,112,85.19,1.61,2024Q1
1416,廣豐,4.07,112,18.36,0.61,2024Q1
1419,新紡,2.5,112,22.12,1.04,2024Q1
1423,利華,1.35,112,103.02,1.49,2024Q1
1434,福懋,2.25,112,69.53,0.75,2024Q1
1436,華友聯,3.87,112,18.19,5.31,2024Q1
1437,勤益控,3.14,112,11.96,0.95,2024Q1
1439,雋揚,1.0,112,14.9,1.04,2024Q1
1440,南紡,1.98,112,11.85,1.01,2024Q1
1442,名軒,5.2,112,11.77,3.19,2024Q1
1445,大宇,14.97,112,2.2,0.82,2024Q1
1446,宏和,1.31,112,17.75,4.07,2024Q1
1449,佳和,0.2,112,21.85,1.05,2024Q1
1452,宏益,1.8,112,36.2,0.81,2024Q1
1453,大將,1.11,112,37.64,1.99,2024Q1
1454,台富,1.33,112,55.44,1.45,2024Q1
1456,怡華,0.8,112,112.95,1.58,2024Q1
1457,宜進,7.09,112,8.56,0.9,2024Q1
1463,強盛,1.96,112,47.31,1.82,2024Q1
1464,得力,1.89,112,88.0,1.03,2024Q1
1465,偉全,3.32,112,16.72,0.95,2024Q1
1470,大統新創,2.78,112,39.34,1.85,2024Q1
1472,三洋實業,3.06,112,15.35,1.89,2024Q1
1473,台南,3.18,112,12.36,1.37,2024Q1
1475,業旺,2.76,112,14.62,3.48,2024Q1
1476,儒鴻,2.56,112,25.08,6.14,2024Q1
1477,聚陽,3.67,112,25.97,8.21,2024Q1
1503,士電,1.25,112,45.81,3.16,2024Q1
1504,東元,4.53,112,19.13,1.38,2024Q1
1513,中興電,1.9,112,52.07,5.04,2024Q1
1514,亞力,1.3,112,41.32,6.44,2024Q1
1515,力山,2.83,112,12.25,2.0,2024Q1
1516,川飛,1.36,112,43.11,1.89,2024Q1
1519,華城,1.01,112,61.04,35.7,2024Q1
1521,大億,1.81,112,53.75,1.63,2024Q1
1522,堤維西,3.05,112,14.77,2.27,2024Q1
1524,耿鼎,4.21,112,10.69,1.91,2024Q1
1525,江申,4.68,112,19.92,1.05,2024Q1
1527,鑽全,4.8,112,13.24,1.18,2024Q1
1529,樂事綠能,1.88,112,65.0,2.75,2024Q1
1530,亞崴,4.69,112,14.52,0.93,2024Q1
1531,高林股,1.39,112,49.66,0.72,2024Q1
1532,勤美,3.47,112,11.01,1.23,2024Q1
1535,中宇,5.31,112,13.71,2.04,2024Q1
1536,和大,1.49,112,56.39,2.12,2024Q1
1537,廣隆,4.81,112,17.16,2.67,2024Q1
1539,巨庭,2.56,112,14.1,0.94,2024Q1
1540,喬福,3.57,112,17.04,1.77,2024Q1
1541,錩泰,1.62,112,16.83,1.24,2024Q1
1558,伸興,3.74,112,20.14,1.23,2024Q1
1560,中砂,1.29,112,46.91,7.07,2024Q2
1563,巧新,2.67,112,23.77,1.88,2024Q1
1568,倉佑,4.58,112,9.29,1.69,2024Q1
1582,信錦,4.06,112,16.72,1.93,2024Q1
1583,程泰,5.88,112,12.19,1.34,2024Q1
1587,吉茂,1.95,112,90.0,2.55,2024Q1
1590,亞德客-KY,2.11,112,23.34,4.02,2024Q1
1597,直得,0.85,112,84.59,3.52,2024Q1
1603,華電,3.16,112,12.69,0.97,2024Q1
1604,聲寶,5.3,112,13.41,1.29,2024Q1
1605,華新,3.19,112,35.57,0.98,2024Q1
1608,華榮,2.84,112,16.95,1.88,2024Q1
1609,大亞,3.14,112,32.65,2.69,2024Q1
1611,中電,2.62,112,36.73,1.4,2024Q1
1612,宏泰,5.66,112,17.08,1.42,2024Q1
1614,三洋電,2.56,112,37.37,2.04,2024Q1
1615,大山,4.26,112,18.83,3.48,2024Q1
1616,億泰,1.63,112,18.2,2.25,2024Q1
1617,榮星,1.24,112,376.67,1.74,2024Q1
1618,合機,2.12,112,20.09,1.68,2024Q1
1701,中化,2.29,112,19.82,0.87,2024Q1
1702,南僑,4.2,112,11.62,1.52,2024Q1
1707,葡萄王,4.84,112,14.75,2.06,2024Q1
1708,東鹼,4.22,112,28.44,1.39,2024Q1
1709,和益,2.48,112,22.57,1.41,2024Q1
1711,永光,0.69,112,156.07,1.43,2024Q1
1712,興農,6.11,112,17.96,2.5,2024Q1
1713,國化,2.41,112,27.23,3.01,2024Q1
1714,和桐,2.93,112,13.85,0.81,2024Q1
1717,長興,2.61,112,19.94,1.42,2024Q1
1720,生達,3.63,112,15.15,2.51,2024Q1
1722,台肥,4.03,112,16.93,1.14,2024Q1
1723,中碳,3.98,112,18.65,3.0,2024Q2
1725,元禎,2.03,112,33.52,1.63,2024Q1
1726,永記,4.4,112,14.99,1.26,2024Q1
1727,中華化,0.91,112,288.18,1.91,2024Q1
1730,花仙子,4.94,112,17.13,1.89,2024Q1
1731,美吾華,4.76,112,18.44,1.52,2024Q1
1733,五鼎,3.48,112,29.04,1.84,2024Q1
1734,杏輝,4.71,112,15.81,1.99,2024Q1
1735,日勝化,2.75,112,21.41,1.17,2024Q1
1736,喬山,0.88,112,28.36,3.67,2024Q1
1737,臺鹽,3.52,112,23.04,1.03,2024Q1
1752,南光,4.3,112,29.43,2.11,2024Q1
1760,寶齡富錦,1.58,112,82.35,4.43,2024Q1
1762,中化生,1.55,112,31.6,1.18,2024Q1
1773,勝一,2.09,112,23.01,4.34,2024Q2
1776,展宇,2.8,112,30.78,1.18,2024Q1
1783,和康生,2.32,112,26.12,2.88,2024Q2
1786,科妍,2.23,112,37.11,4.76,2024Q1
1789,神隆,1.16,112,52.86,1.95,2024Q1
1795,美時,1.75,112,17.75,4.09,2024Q1
1808,潤隆,12.2,112,7.72,4.44,2024Q1
1809,中釉,0.84,112,265.56,1.36,2024Q1
1810,和成,1.12,112,358.0,0.8,2024Q1
1817,凱撒衛,4.41,112,10.91,1.4,2024Q1
1904,正隆,1.9,112,34.16,1.01,2024Q1
1906,寶隆,0.96,112,20.06,0.54,2024Q1
1907,永豐餘,3.02,112,23.5,0.81,2024Q1
2002,中鋼,1.51,112,116.0,1.13,2024Q1
2006,東和鋼鐵,5.7,112,11.3,1.78,2024Q2
2008,高興昌,3.66,112,14.03,1.54,2024Q1
2010,春源,5.39,112,13.84,1.05,2024Q1
2012,春雨,3.65,112,27.07,1.69,2024Q1
2013,中鋼構,3.49,112,19.57,2.0,2024Q1
2015,豐興,4.41,112,19.37,2.26,2024Q1
2020,美亞,13.79,112,5.03,1.58,2024Q1
2022,聚亨,1.93,112,60.88,0.97,2024Q1
2027,大成鋼,3.06,112,18.94,1.26,2024Q1
2028,威致,3.16,112,21.26,1.82,2024Q1
2029,盛餘,4.89,112,13.17,0.84,2024Q1
2031,新光鋼,5.02,112,9.84,1.62,2024Q1
2049,上銀,1.25,112,35.74,2.05,2024Q1
2059,川湖,1.28,112,28.98,5.9,2024Q1
2062,橋椿,2.45,112,13.04,0.87,2024Q1
2103,台橡,2.46,112,27.41,0.95,2024Q1
2105,正新,4.15,112,20.02,1.9,2024Q1
2106,建大,3.13,112,17.95,1.53,2024Q1
2107,厚生,4.75,112,14.39,0.64,2024Q1
2108,南帝,2.5,112,30.77,1.4,2024Q1
2109,華豐,6.35,112,10.8,1.57,2024Q1
2114,鑫永銓,5.02,112,16.44,2.44,2024Q1
2115,六暉-KY,3.26,112,32.32,0.97,2024Q1
2201,裕隆,2.3,112,14.88,1.05,2024Q1
2204,中華,6.14,112,9.97,1.59,2024Q1
2206,三陽工業,3.92,112,9.57,2.52,2024Q1
2207,和泰車,3.09,112,15.22,5.48,2024Q1
2211,長榮鋼,5.33,112,13.88,2.01,2024Q1
