日期,證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
20260813,1603,華電,30.15,6.63,114,10.81,0.6,2026Q2
20260813,1604,聲寶,23.15,6.48,114,13.23,0.94,2026Q2
20260813,1605,華新,39.3,1.27,114,12.02,0.86,2026Q2
20260813,1608,華榮,36.8,5.43,114,3.19,1.38,2026Q2
20260813,1609,大亞,37.75,1.85,114,15.79,1.69,2026Q1
20260813,1611,中電,12.05,6.64,114,26.78,0.96,2026Q2
20260813,1612,宏泰,34.3,7.29,114,8.79,1.16,2026Q2
20260813,1614,三洋電,30.8,3.15,114,24.44,1.41,2026Q2
20260813,1615,大山,44.15,5.89,114,8.54,1.85,2026Q2
20260813,1616,億泰,19.7,6.9,114,44.77,1.81,2026Q2
20260813,1617,榮星,18.6,3.23,114,13.68,1.36,2026Q2
20260813,1618,合機,40.95,4.15,114,9.0,1.23,2026Q1
20260813,1623,大東電,214.0,3.74,114,17.23,3.44,2026Q2
20260813,1702,南僑,32.85,4.87,114,45.63,0.69,2026Q1
20260813,1707,葡萄王,88.7,6.76,114,11.09,1.32,2026Q1
20260813,1708,東鹼,49.3,3.25,114,11.94,1.61,2026Q2
20260813,1709,和益,30.65,3.26,114,22.05,1.67,2026Q1
20260813,1712,興農,39.15,6.39,114,14.77,2.0,2026Q2
20260813,1713,國化,46.0,6.74,114,9.7,1.89,2026Q2
20260813,1714,和桐,16.7,1.08,114,14.15,1.24,2026Q2
20260813,1717,長興,78.2,1.28,114,41.16,2.95,2026Q2
20260813,1720,生達,56.4,5.32,114,9.81,1.63,2026Q2
20260813,1722,台肥,45.65,4.38,114,54.35,0.84,2026Q2
20260813,1723,中碳,83.6,2.21,114,26.88,2.42,2026Q2
20260813,1725,元禎,31.1,3.44,114,19.2,0.84,2026Q1
20260813,1726,永記,78.0,4.74,114,12.17,1.19,2026Q2
20260813,1727,中華化,76.4,0.2,114,110.72,4.53,2026Q2
20260813,1730,花仙子,51.5,5.83,114,10.77,1.61,2026Q2
20260813,1731,美吾華,21.0,5.81,114,13.91,1.27,2026Q2
