日期,證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
20260826,1102,亞泥,35.2,6.53,114,9.72,0.68,2026Q2
20260826,1103,嘉泥,13.3,3.91,114,9.93,0.5,2026Q2
20260826,1104,環泥,26.8,6.9,114,9.93,0.75,2026Q2
20260826,1108,幸福,11.8,8.47,114,17.35,0.87,2026Q2
20260826,1109,信大,13.75,6.55,114,19.93,0.57,2026Q2
20260826,1110,東泥,16.0,1.88,114,25.81,0.96,2026Q2
20260826,1201,味全,12.25,1.71,114,20.08,0.78,2026Q2
20260826,1203,味王,46.9,2.13,114,22.33,1.72,2026Q2
20260826,1210,大成,52.7,5.69,114,12.95,1.73,2026Q2
20260826,1215,卜蜂,109.0,6.42,114,12.56,2.94,2026Q2
20260826,1216,統一,77.7,3.86,114,18.77,3.24,2026Q2
20260826,1217,愛之味,9.99,2.5,114,15.14,0.64,2026Q2
20260826,1220,台榮,10.9,1.83,114,155.71,0.84,2026Q2
20260826,1225,福懋油,26.0,3.85,114,123.81,1.68,2026Q2
20260826,1227,佳格,28.95,4.63,114,17.98,1.44,2026Q2
20260826,1229,聯華,41.95,4.77,114,16.85,1.19,2026Q2
20260826,1231,聯華食,81.2,3.08,114,16.44,3.23,2026Q2
20260826,1232,大統益,157.5,4.57,114,17.44,4.57,2026Q2
20260826,1233,天仁,28.5,0.7,114,30.98,1.84,2026Q2
20260826,1234,黑松,33.35,4.95,114,20.34,0.73,2026Q2
20260826,1256,鮮活果汁-KY,186.0,3.55,114,14.05,1.59,2026Q1
20260826,1301,台塑,60.1,0.83,114,36.65,0.67,2026Q2
20260826,1303,南亞,207.0,0.39,114,33.39,3.44,2026Q2
20260826,1307,三芳,30.85,7.13,114,9.21,1.23,2026Q2
20260826,1315,達新,66.3,6.79,114,27.17,0.47,2026Q2
20260826,1319,東陽,82.3,6.08,114,13.36,1.8,2026Q2
20260826,1323,永裕,21.55,4.18,114,16.97,0.74,2026Q2
20260826,1326,台化,60.3,1.0,114,25.55,0.68,2026Q2
20260826,1339,昭輝,46.3,5.4,114,7.97,0.83,2026Q2
20260826,1341,富林-KY,59.9,6.68,114,12.17,2.56,2026Q2
20260826,1342,八貫,103.5,5.8,114,14.64,3.59,2026Q2
20260826,1402,遠東新,28.55,4.38,114,14.79,0.66,2026Q2
20260826,1409,新纖,24.85,3.62,114,11.3,0.83,2026Q2
20260826,1410,南染,24.75,0.81,114,33.9,1.46,2026Q2
20260826,1414,東和,19.0,1.05,114,33.93,1.26,2026Q2
20260826,1416,廣豐,11.9,4.79,114,10.08,0.49,2026Q2
20260826,1417,嘉裕,8.28,3.02,114,16.24,0.67,2026Q2
20260826,1419,新紡,66.7,2.7,114,4.8,0.88,2026Q2
20260826,1423,利華,35.5,10.14,114,10.41,1.04,2026Q2
20260826,1432,大魯閣,15.05,13.29,114,2.95,1.22,2026Q2
20260826,1434,福懋,17.9,2.79,114,19.46,0.62,2026Q2
20260826,1436,華友聯,38.8,13.02,114,13.76,1.36,2026Q2
20260826,1437,勤益控,32.15,2.99,114,7.42,0.76,2026Q2
20260826,1438,三地開發,22.4,0.89,114,8.65,0.79,2026Q2
20260826,1439,雋揚,29.55,1.69,114,9.63,0.9,2026Q2
20260826,1440,南紡,13.75,2.18,114,458.33,0.8,2026Q2
20260826,1442,名軒,30.25,7.93,114,17.69,1.5,2026Q2
20260826,1446,宏和,13.55,11.07,114,14.41,0.7,2026Q2
20260826,1451,年興,17.35,5.76,114,11.49,0.46,2026Q2
20260826,1453,大將,11.45,2.62,114,16.36,0.86,2026Q2
20260826,1455,集盛,9.99,1.6,114,18.85,0.86,2026Q2
20260826,1457,宜進,14.5,6.9,114,10.74,0.64,2026Q2
20260826,1459,聯發,15.6,1.28,114,6.05,1.19,2026Q2
20260826,1464,得力,10.3,2.43,114,12.41,0.81,2026Q2
20260826,1465,偉全,12.1,2.48,114,20.86,0.8,2026Q2
20260826,1470,大統新創,24.5,2.65,114,18.85,2.08,2026Q2
20260826,1472,三洋實業,88.2,6.8,114,13.78,2.13,2026Q2
20260826,1473,台南,20.05,2.49,114,57.29,0.76,2026Q2
20260826,1474,弘裕,10.05,2.49,114,37.22,0.6,2026Q2
20260826,1475,業旺,26.6,5.64,114,6.84,1.15,2026Q2
20260826,1476,儒鴻,316.0,4.75,114,13.09,2.99,2026Q2
20260826,1477,聚陽,197.0,7.61,114,13.45,3.52,2026Q2
20260826,1503,士電,202.0,2.48,114,27.82,2.72,2026Q2
20260826,1504,東元,71.4,2.8,114,25.87,1.74,2026Q2
20260826,1513,中興電,166.0,3.61,114,18.67,3.94,2026Q2
20260826,1514,亞力,102.0,2.16,114,27.95,4.39,2026Q2
20260826,1515,力山,36.3,1.65,114,24.36,1.69,2026Q2
20260826,1519,華城,717.0,1.67,114,46.92,24.61,2026Q2
20260826,1521,大億,25.8,2.91,114,16.23,1.05,2026Q2
20260826,1522,堤維西,28.35,4.23,114,29.53,1.01,2026Q2
20260826,1524,耿鼎,27.5,5.09,114,13.48,1.53,2026Q2
20260826,1525,江申,66.9,4.19,114,45.51,0.98,2026Q2
20260826,1527,鑽全,32.8,4.57,114,15.55,0.94,2026Q2
20260826,1529,樂事綠能,16.9,5.92,114,26.0,1.44,2026Q2
20260826,1530,亞崴,29.35,3.41,114,15.61,0.86,2026Q2
20260826,1531,高林股,13.15,7.6,114,48.7,0.69,2026Q2
20260826,1532,勤美,23.0,3.48,114,18.7,0.63,2026Q2
