證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,2.89,112,31.17,1.12,2024Q1
1102,亞泥,5.13,112,13.04,0.85,2024Q1
1103,嘉泥,2.79,112,598.33,0.57,2024Q1
1104,環泥,6.13,112,10.57,0.97,2024Q1
1108,幸福,6.1,112,12.71,1.39,2024Q1
1109,信大,6.56,112,9.43,0.75,2024Q1
1110,東泥,0.89,112,90.0,1.42,2024Q1
1201,味全,1.46,112,34.26,1.27,2024Q1
1203,味王,2.14,112,24.41,2.07,2024Q1
1210,大成,3.82,112,11.71,2.12,2024Q1
1215,卜蜂,5.31,112,13.76,3.06,2024Q1
1216,統一,3.45,112,26.17,3.68,2024Q1
1217,愛之味,1.85,112,28.95,0.87,2024Q1
1219,福壽,4.4,112,20.22,1.32,2024Q1
1220,台榮,2.61,112,14.04,1.14,2024Q1
1225,福懋油,1.13,112,75.77,7.9,2024Q1
1227,佳格,3.19,112,24.81,1.97,2024Q1
1229,聯華,2.98,112,26.7,2.31,2024Q1
1231,聯華食,2.32,112,26.92,4.56,2024Q1
1232,大統益,4.65,112,19.92,4.0,2024Q1
1233,天仁,2.7,112,30.83,2.19,2024Q1
1234,黑松,4.45,112,18.38,0.95,2024Q1
1235,興泰,0.99,112,38.59,1.61,2024Q1
1236,宏亞,2.61,112,103.75,0.94,2024Q1
1256,鮮活果汁-KY,3.48,112,15.27,1.64,2024Q1
1301,台塑,1.66,112,73.29,1.13,2024Q1
1303,南亞,1.39,112,60.0,1.1,2024Q1
1305,華夏,1.89,112,142.31,1.13,2024Q1
1307,三芳,4.87,112,12.08,1.35,2024Q1
1315,達新,6.98,112,19.14,0.67,2024Q1
1319,東陽,4.09,112,15.61,2.16,2024Q1
1321,大洋,1.08,112,45.62,1.32,2024Q1
1323,永裕,3.34,112,33.28,1.12,2024Q1
1324,地球,1.47,112,30.91,1.06,2024Q1
1325,恆大,2.04,112,77.37,0.9,2024Q1
1326,台化,2.48,112,27.3,0.91,2024Q1
1339,昭輝,4.74,112,9.3,1.21,2024Q1
1341,富林-KY,6.69,112,14.49,2.91,2024Q1
1342,八貫,6.08,112,12.8,3.49,2024Q1
1402,遠東新,4.08,112,21.19,0.77,2024Q1
1409,新纖,3.13,112,25.88,0.8,2024Q1
1410,南染,0.81,112,103.33,2.2,2024Q1
1414,東和,1.08,112,85.74,1.62,2024Q1
1416,廣豐,3.98,112,18.73,0.62,2024Q1
1419,新紡,2.52,112,21.98,1.04,2024Q1
1423,利華,1.38,112,101.28,1.47,2024Q1
1434,福懋,2.22,112,70.47,0.76,2024Q1
1436,華友聯,3.64,112,19.31,5.63,2024Q1
1437,勤益控,3.11,112,12.06,0.96,2024Q1
1439,雋揚,1.05,112,14.18,0.99,2024Q1
1440,南紡,1.97,112,11.95,1.02,2024Q1
1442,名軒,5.31,112,11.52,3.13,2024Q1
1445,大宇,14.04,112,2.34,0.87,2024Q1
1446,宏和,1.36,112,16.99,3.9,2024Q1
1449,佳和,0.22,112,19.78,0.95,2024Q1
1452,宏益,1.8,112,36.3,0.81,2024Q1
1453,大將,1.21,112,34.51,1.83,2024Q1
1454,台富,1.39,112,53.09,1.39,2024Q1
1456,怡華,0.84,112,108.86,1.53,2024Q1
1457,宜進,7.23,112,8.4,0.89,2024Q1
1463,強盛,2.16,112,42.87,1.65,2024Q1
1464,得力,1.85,112,90.0,1.06,2024Q1
1465,偉全,3.32,112,16.72,0.95,2024Q1
1470,大統新創,2.94,112,37.26,1.75,2024Q1
1472,三洋實業,3.13,112,15.0,1.85,2024Q1
1473,台南,3.07,112,12.84,1.43,2024Q1
1475,業旺,3.12,112,12.92,3.07,2024Q1
1476,儒鴻,2.46,112,26.03,6.37,2024Q1
1477,聚陽,3.52,112,27.08,8.56,2024Q1
1503,士電,1.02,112,55.81,3.85,2024Q1
1504,東元,4.46,112,19.43,1.4,2024Q1
1513,中興電,1.63,112,60.74,5.88,2024Q1
1514,亞力,1.15,112,46.71,7.28,2024Q1
1515,力山,2.72,112,12.73,2.08,2024Q1
1516,川飛,1.34,112,43.58,1.92,2024Q1
1519,華城,0.73,112,84.17,49.23,2024Q1
1521,大億,1.82,112,53.47,1.63,2024Q1
1522,堤維西,2.95,112,15.29,2.35,2024Q1
1524,耿鼎,4.14,112,10.87,1.94,2024Q1
1525,江申,4.65,112,20.03,1.06,2024Q1
1527,鑽全,4.54,112,14.0,1.25,2024Q1
1529,樂事綠能,1.52,112,80.51,3.4,2024Q1
1530,亞崴,4.71,112,14.48,0.92,2024Q1
1531,高林股,1.31,112,52.76,0.76,2024Q1
1532,勤美,3.33,112,11.47,1.28,2024Q1
