資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比,財報年/季
1140429,1240,茂生農經,13.16,3.4,5.95,1.63,113Q4
1140429,1259,安心,29.27,1.2,2.0,0.78,113Q4
1140429,1264,德麥,14.65,14.5,4.82,3.23,113Q4
1140429,1268,漢來美食,14.36,7.5,5.19,2.69,113Q4
1140429,1294,漢田生技,14.15,4.23,4.96,2.88,113Q4
1140429,1336,台翰,10.02,0.945,4.49,0.85,113Q4
1140429,1565,精華,11.64,9.5,5.51,1.33,113Q4
1140429,1570,力肯,10.56,1.3,5.47,1.19,113Q4
1140429,1580,新麥,10.85,9.0,6.1,2.34,113Q4
1140429,1584,精剛,22.0,0.7,2.36,1.37,114Q1
1140429,1586,和勤,64.19,0.3,1.09,1.47,113Q4
1140429,1593,祺驊,18.03,1.6,5.22,0.92,113Q4
1140429,1599,宏佳騰,23.39,0.5,1.77,1.03,113Q4
1140429,1742,台蠟,18.6,0.0,0.0,1.1,113Q4
1140429,1777,生泰,10.29,5.3,5.84,1.58,113Q4
1140429,1781,合世,25.39,0.0,0.0,1.56,113Q4
1140429,1784,訊聯,44.97,1.40949789,1.9,2.83,113Q4
1140429,1785,光洋科,16.6,1.20013385,2.25,2.23,113Q4
1140429,1788,杏昌,17.88,7.0,4.84,2.14,113Q4
1140429,1815,富喬,216.15,0.0,0.0,1.88,113Q4
1140429,2063,世鎧,16.48,2.0,6.29,1.4,113Q4
1140429,2065,世豐,11.47,3.03200675,7.42,1.28,113Q4
1140429,2066,世德,13.34,3.0,3.65,1.64,113Q4
1140429,2070,精湛,17.51,1.5,2.88,2.01,113Q4
1140429,2073,雄順,46.03,0.7,2.41,1.8,113Q4
1140429,2221,大甲,12.87,1.3,5.0,1.07,113Q4
1140429,2230,泰茂,17.87,3.0,2.75,4.63,113Q4
1140429,2235,謚源,17.47,3.0,6.43,1.28,113Q4
1140429,2596,綠意,47.76,1.0,3.13,1.58,113Q4
1140429,2640,大車隊,14.84,7.0,5.28,3.79,113Q4
1140429,2641,正德,10.65,0.5,2.44,0.85,113Q4
1140429,2643,捷迅,12.18,4.5,6.05,1.32,113Q4
1140429,2718,全心投控,1.37,3.0,6.22,0.81,113Q4
1140429,2719,燦星旅,26.07,0.0,0.0,3.18,113Q4
1140429,2724,藝舍-KY,8.11,0.0,0.0,3.12,113Q4
1140429,2726,雅茗-KY,4.96,0.0,0.0,1.37,113Q4
1140429,2729,瓦城,21.59,9.0,4.63,2.97,113Q4
1140429,2732,六角,19.31,4.9997807,5.41,2.15,113Q4
1140429,2734,易飛網,19.0,0.0,0.0,1.5,113Q4
1140429,2743,山富,12.33,5.0,5.6,3.09,113Q4
1140429,2745,五福,10.54,6.5,6.8,3.8,113Q4
1140429,2751,王座,14.73,4.5,6.72,2.88,113Q4
1140429,2752,豆府,13.98,14.0,6.39,4.3,113Q4
1140429,2754,亞洲藏壽司,32.29,1.5,2.01,2.08,113Q4
1140429,2755,揚秦,20.8,5.0,4.12,4.45,113Q4
1140429,2756,聯發國際,40.91,2.5,2.54,4.51,113Q4
1140429,2916,滿心,11.86,3.6,7.24,2.0,113Q4
