證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,1.47,111,28.86,1.12,2023Q3
1102,亞泥,5.44,111,14.72,0.89,2023Q3
1103,嘉泥,2.64,111,72.88,0.59,2023Q3
1104,環泥,6.05,111,8.88,0.91,2023Q3
1108,幸福,5.1,111,8.53,1.27,2023Q3
1109,信大,4.44,111,10.59,0.77,2023Q3
1110,東泥,0.53,111,39.79,1.2,2023Q3
1201,味全,1.26,111,68.04,1.3,2023Q3
1203,味王,2.14,111,29.94,2.18,2023Q3
1210,大成,2.66,111,12.8,2.08,2023Q3
1215,卜蜂,3.72,111,13.62,3.0,2023Q3
1216,統一,4.3,111,21.53,3.28,2023Q3
1217,愛之味,3.43,111,35.3,0.85,2023Q3
1218,泰山,2.64,111,2.02,0.88,2023Q3
1219,福壽,4.16,111,25.67,1.43,2023Q3
1220,台榮,1.37,111,33.07,1.14,2023Q3
1225,福懋油,3.66,111,47.98,3.71,2023Q3
1227,佳格,3.34,111,29.69,2.02,2023Q3
1229,聯華,2.99,111,26.48,2.46,2023Q3
1231,聯華食,2.93,111,28.77,4.13,2023Q3
1232,大統益,4.2,111,20.37,4.52,2023Q3
1233,天仁,2.44,111,30.35,2.17,2023Q3
1234,黑松,4.58,111,16.38,0.86,2023Q3
1235,興泰,2.58,111,52.98,1.81,2023Q3
1236,宏亞,4.18,111,55.58,0.86,2023Q3
1256,鮮活果汁-KY,2.66,111,16.55,2.13,2023Q3
1301,台塑,5.32,111,175.33,1.44,2023Q3
1303,南亞,4.5,111,96.67,1.45,2023Q3
1304,台聚,3.65,111,31.48,0.86,2023Q3
1305,華夏,1.33,111,40.18,1.35,2023Q3
1307,三芳,3.04,111,15.38,1.14,2023Q3
1308,亞聚,5.01,111,24.95,1.04,2023Q3
1315,達新,8.39,111,16.71,0.65,2023Q3
1319,東陽,2.94,111,19.59,2.02,2023Q3
1323,永裕,3.53,111,22.57,1.15,2023Q3
1324,地球,1.08,111,32.54,1.43,2023Q3
1325,恆大,1.44,111,89.1,1.06,2023Q3
1326,台化,1.52,111,391.25,1.09,2023Q3
1339,昭輝,4.22,111,16.38,1.38,2023Q3
1341,富林-KY,9.76,111,13.01,2.49,2023Q3
1342,八貫,4.61,111,15.39,3.93,2023Q3
1402,遠東新,4.4,111,28.69,0.76,2023Q3
1409,新纖,6.54,111,35.58,0.69,2023Q3
1410,南染,2.14,111,62.17,2.19,2023Q3
1414,東和,1.84,111,248.57,1.24,2023Q3
1416,廣豐,4.17,111,20.34,0.62,2023Q3
1417,嘉裕,3.08,111,37.5,0.86,2023Q3
1419,新紡,3.23,111,21.53,1.12,2023Q3
1423,利華,0.64,111,32.74,1.13,2023Q3
1434,福懋,5.93,111,51.63,0.78,2023Q3
1436,華友聯,6.62,111,114.12,2.73,2023Q3
1437,勤益控,2.68,111,10.64,0.81,2023Q3
1439,雋揚,1.29,111,18.9,0.89,2023Q3
1442,名軒,4.19,111,18.82,2.45,2023Q3
1445,大宇,0.48,111,48.49,1.56,2023Q3
1449,佳和,1.32,111,41.42,1.1,2023Q3
1452,宏益,4.69,111,121.79,0.85,2023Q3
1453,大將,1.98,111,505.0,1.17,2023Q3
1454,台富,1.47,111,213.13,1.3,2023Q3
1457,宜進,5.35,111,85.0,0.84,2023Q3
1463,強盛,2.29,111,22.09,1.27,2023Q3
1464,得力,7.58,111,220.0,1.03,2023Q3
1465,偉全,6.01,111,21.44,0.87,2023Q3
1470,大統新創,2.39,111,33.07,1.64,2023Q3
1473,台南,3.41,111,14.22,1.14,2023Q3
1475,業旺,1.15,111,10.64,2.35,2023Q3
1476,儒鴻,2.98,111,34.23,6.37,2023Q3
1477,聚陽,4.15,111,21.91,5.57,2023Q3
1503,士電,1.61,111,27.8,2.03,2023Q3
1504,東元,3.33,111,16.56,1.2,2023Q3
1513,中興電,2.66,111,39.78,4.17,2023Q3
1514,亞力,1.48,111,37.77,5.19,2023Q3
1516,川飛,6.67,111,24.55,1.61,2023Q3
1519,華城,0.7,111,47.85,18.81,2023Q3
1521,大億,1.42,111,43.5,2.04,2023Q3
1522,堤維西,4.11,111,15.31,1.66,2023Q3
1524,耿鼎,2.64,111,20.29,2.36,2023Q3
1525,江申,2.61,111,15.51,1.23,2023Q3
1526,日馳,10.23,111,13.91,1.36,2023Q3
1527,鑽全,5.83,111,14.21,1.22,2023Q3
1528,恩德,0.86,111,35.15,0.91,2023Q3
1529,樂事綠能,1.6,111,53.57,2.97,2023Q3
1530,亞崴,4.87,111,14.1,0.96,2023Q3
1531,高林股,5.82,111,114.58,0.68,2023Q3
1532,勤美,3.05,111,17.39,1.13,2023Q3
1535,中宇,5.4,111,14.99,1.95,2023Q3
1536,和大,2.61,111,34.58,1.94,2023Q3
1537,廣隆,7.66,111,18.56,2.59,2023Q3
1539,巨庭,10.29,111,37.38,1.01,2023Q3
1540,喬福,3.39,111,17.02,1.07,2023Q3
1558,伸興,5.16,111,31.89,1.31,2023Q3
1560,中砂,2.24,111,29.07,4.36,2023Q3
1568,倉佑,3.11,111,10.71,1.99,2023Q3
1582,信錦,3.46,111,22.01,1.86,2023Q3
1583,程泰,4.48,111,11.69,1.38,2023Q3
1587,吉茂,4.34,111,27.12,1.13,2023Q3
1590,亞德客-KY,1.31,111,30.27,4.81,2023Q3
1597,直得,3.18,111,27.47,2.32,2023Q3
1603,華電,1.28,111,15.29,1.0,2023Q3
1604,聲寶,5.24,111,15.24,1.28,2023Q3
1605,華新,4.85,111,27.89,1.04,2023Q3
1608,華榮,1.79,111,11.44,1.28,2023Q3
1609,大亞,1.66,111,8.89,1.82,2023Q3
1611,中電,1.74,111,40.95,1.3,2023Q3
1612,宏泰,5.09,111,15.92,1.28,2023Q3
1614,三洋電,2.61,111,30.89,1.79,2023Q3
1615,大山,5.6,111,13.91,2.62,2023Q3
1617,榮星,1.76,111,51.52,1.26,2023Q3
1618,合機,1.69,111,21.98,1.44,2023Q3
1701,中化,3.26,111,22.94,0.99,2023Q3
1702,南僑,4.01,111,16.15,1.28,2023Q3
1707,葡萄王,4.51,111,15.56,2.38,2023Q3
1709,和益,8.61,111,19.17,1.24,2023Q3
1710,東聯,1.0,111,18.27,1.42,2023Q3
1711,永光,1.78,111,72.96,1.29,2023Q3
1712,興農,7.32,111,14.88,1.94,2023Q3
1713,國化,2.38,111,16.96,2.28,2023Q3
1714,和桐,1.1,111,17.86,0.73,2023Q3
1717,長興,4.16,111,23.46,1.36,2023Q3
1720,生達,3.77,111,13.98,2.36,2023Q3
1722,台肥,3.87,111,15.06,1.16,2023Q3
1723,中碳,4.35,111,17.83,3.39,2023Q3
1725,元禎,4.62,111,20.05,0.91,2023Q3
1726,永記,4.67,111,14.49,1.25,2023Q3
1727,中華化,2.47,111,32.47,1.89,2023Q3
1730,花仙子,5.22,111,16.34,2.03,2023Q3
1731,美吾華,4.92,111,18.32,1.48,2023Q3
1733,五鼎,4.34,111,22.4,1.81,2023Q3
1734,杏輝,3.0,111,20.21,1.85,2023Q3
1735,日勝化,2.92,111,22.8,1.14,2023Q3
1736,喬山,0.88,111,34.92,2.18,2023Q3
1737,臺鹽,4.41,111,17.53,1.04,2023Q3
1752,南光,4.12,111,14.27,2.34,2023Q3
1762,中化生,2.32,111,14.97,1.31,2023Q3
1773,勝一,2.65,111,21.94,4.09,2023Q3
1776,展宇,3.53,111,113.33,1.16,2023Q3
1783,和康生,2.11,111,22.09,3.08,2023Q3
