證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,2.93,112,30.77,1.11,2024Q1
1102,亞泥,4.74,112,14.11,0.92,2024Q1
1103,嘉泥,2.72,112,611.67,0.58,2024Q1
1104,環泥,5.84,112,11.08,1.01,2024Q1
1108,幸福,5.95,112,13.02,1.42,2024Q1
1109,信大,6.17,112,10.03,0.8,2024Q1
1110,東泥,0.94,112,85.4,1.35,2024Q1
1201,味全,1.43,112,34.91,1.29,2024Q1
1203,味王,2.12,112,24.64,2.09,2024Q1
1210,大成,3.86,112,11.59,2.1,2024Q1
1215,卜蜂,4.82,112,15.16,3.38,2024Q1
1216,統一,3.7,112,24.4,3.43,2024Q1
1217,愛之味,1.88,112,28.49,0.86,2024Q1
1219,福壽,4.22,112,21.06,1.37,2024Q1
1220,台榮,1.29,111,14.22,1.15,2024Q1
1225,福懋油,1.45,112,59.2,6.17,2024Q1
1227,佳格,2.93,112,26.96,2.14,2024Q1
1229,聯華,3.11,112,25.57,2.22,2024Q1
1231,聯華食,2.41,112,25.96,4.4,2024Q1
1232,大統益,4.52,112,20.48,4.11,2024Q1
1233,天仁,2.64,112,31.57,2.24,2024Q1
1234,黑松,4.2,112,19.48,1.01,2024Q1
1235,興泰,1.08,112,35.17,1.47,2024Q1
1236,宏亞,2.65,112,102.29,0.93,2024Q1
1256,鮮活果汁-KY,3.29,112,16.16,1.74,2024Q1
1301,台塑,1.65,112,73.78,1.14,2024Q1
1303,南亞,1.38,112,60.48,1.11,2024Q1
1305,華夏,2.08,112,129.62,1.02,2024Q1
1307,三芳,4.79,112,12.27,1.38,2024Q1
1315,達新,6.92,112,19.33,0.68,2024Q1
1319,東陽,3.4,112,18.77,2.6,2024Q1
1321,大洋,1.05,112,47.22,1.37,2024Q1
1323,永裕,3.28,112,33.89,1.14,2024Q1
1324,地球,1.45,112,31.36,1.08,2024Q1
1325,恆大,1.7,112,92.63,1.08,2024Q1
1326,台化,2.39,112,28.32,0.94,2024Q1
1339,昭輝,4.52,112,9.75,1.27,2024Q1
1341,富林-KY,6.19,112,15.66,3.14,2024Q1
1342,八貫,5.26,112,14.79,4.03,2024Q1
1402,遠東新,3.73,112,23.21,0.84,2024Q1
1409,新纖,3.31,112,24.41,0.75,2024Q1
1410,南染,0.79,112,105.28,2.24,2024Q1
1414,東和,1.13,112,81.85,1.55,2024Q1
1416,廣豐,4.07,112,18.36,0.61,2024Q1
1419,新紡,2.46,112,22.49,1.06,2024Q1
1423,利華,1.49,112,93.6,1.35,2024Q1
1434,福懋,2.19,112,71.41,0.77,2024Q1
1436,華友聯,4.66,112,16.15,4.71,2024Q1
1437,勤益控,2.92,112,12.87,1.02,2024Q1
1439,雋揚,1.01,112,14.8,1.04,2024Q1
1440,南紡,1.99,112,11.81,1.01,2024Q1
1442,名軒,5.67,112,10.79,2.93,2024Q1
1444,力麗,4.14,111,120.88,0.88,2024Q1
1445,大宇,12.5,112,2.63,0.98,2024Q1
1446,宏和,1.35,112,17.12,3.93,2024Q1
1449,佳和,0.22,112,19.35,0.93,2024Q1
1452,宏益,1.75,112,37.17,0.83,2024Q1
1453,大將,1.12,112,37.08,1.96,2024Q1
1454,台富,1.48,112,49.71,1.3,2024Q1
1456,怡華,0.98,112,92.95,1.3,2024Q1
1457,宜進,6.71,112,9.05,0.96,2024Q1
1463,強盛,2.45,112,37.78,1.46,2024Q1
1464,得力,1.74,112,95.67,1.12,2024Q1
1465,偉全,3.3,112,16.83,0.96,2024Q1
1470,大統新創,2.77,112,39.53,1.86,2024Q1
1472,三洋實業,2.73,112,17.21,2.12,2024Q1
1473,台南,2.46,112,16.0,1.78,2024Q1
1474,弘裕,2.84,111,32.05,0.87,2024Q1
1475,業旺,3.36,112,12.0,2.85,2024Q1
1476,儒鴻,2.53,112,25.37,6.2,2024Q1
