證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,1.45,111,29.15,1.13,2023Q3
1102,亞泥,5.44,111,14.74,0.89,2023Q3
1103,嘉泥,2.62,111,73.46,0.59,2023Q3
1104,環泥,6.03,111,8.91,0.91,2023Q3
1108,幸福,5.03,111,8.64,1.29,2023Q3
1109,信大,4.42,111,10.65,0.78,2023Q3
1110,東泥,0.53,111,40.32,1.21,2023Q3
1201,味全,1.25,111,68.57,1.31,2023Q3
1203,味王,2.07,111,30.87,2.25,2023Q3
1210,大成,2.64,111,12.93,2.1,2023Q3
1215,卜蜂,3.69,111,13.74,3.03,2023Q3
1216,統一,4.27,111,21.71,3.31,2023Q3
1217,愛之味,3.42,111,35.45,0.85,2023Q3
1218,泰山,2.63,111,2.03,0.88,2023Q3
1219,福壽,4.13,111,25.8,1.44,2023Q3
1220,台榮,1.37,111,33.07,1.14,2023Q3
1225,福懋油,3.66,111,47.89,3.71,2023Q3
1227,佳格,3.31,111,30.0,2.04,2023Q3
1229,聯華,2.97,111,26.6,2.47,2023Q3
1231,聯華食,2.92,111,28.86,4.14,2023Q3
1232,大統益,4.18,111,20.44,4.53,2023Q3
1233,天仁,2.43,111,30.39,2.17,2023Q3
1234,黑松,4.55,111,16.5,0.87,2023Q3
1235,興泰,2.46,111,55.47,1.9,2023Q3
1236,宏亞,4.19,111,55.47,0.86,2023Q3
1256,鮮活果汁-KY,2.65,111,16.62,2.14,2023Q3
1301,台塑,5.26,111,177.33,1.45,2023Q3
1303,南亞,4.42,111,98.41,1.47,2023Q3
1304,台聚,3.6,111,31.89,0.87,2023Q3
1305,華夏,1.32,111,40.54,1.37,2023Q3
1307,三芳,3.0,111,15.61,1.16,2023Q3
1308,亞聚,5.03,111,24.84,1.04,2023Q3
1315,達新,8.37,111,16.75,0.65,2023Q3
1319,東陽,2.93,111,19.68,2.03,2023Q3
1323,永裕,3.53,111,22.57,1.15,2023Q3
1324,地球,1.1,111,32.02,1.41,2023Q3
1325,恆大,1.42,111,90.51,1.08,2023Q3
1326,台化,1.5,111,396.88,1.11,2023Q3
1339,昭輝,4.23,111,16.34,1.37,2023Q3
1341,富林-KY,9.73,111,13.05,2.49,2023Q3
1342,八貫,4.48,111,15.85,4.05,2023Q3
1402,遠東新,4.36,111,28.93,0.76,2023Q3
1409,新纖,6.45,111,36.05,0.7,2023Q3
1410,南染,2.12,111,62.92,2.21,2023Q3
1414,東和,1.82,111,250.71,1.25,2023Q3
1416,廣豐,4.24,111,20.0,0.61,2023Q3
1417,嘉裕,3.12,111,37.03,0.85,2023Q3
1419,新紡,3.19,111,21.74,1.13,2023Q3
1423,利華,0.64,111,32.84,1.13,2023Q3
1434,福懋,5.93,111,51.63,0.78,2023Q3
1436,華友聯,6.61,111,114.41,2.73,2023Q3
1437,勤益控,2.66,111,10.71,0.82,2023Q3
1439,雋揚,1.28,111,19.02,0.89,2023Q3
1442,名軒,4.17,111,18.92,2.46,2023Q3
1445,大宇,0.48,111,48.49,1.56,2023Q3
1449,佳和,1.34,111,40.94,1.09,2023Q3
1452,宏益,4.68,111,122.14,0.86,2023Q3
1453,大將,2.03,111,493.33,1.15,2023Q3
1454,台富,1.47,111,211.88,1.29,2023Q3
1457,宜進,5.31,111,85.68,0.85,2023Q3
1463,強盛,2.25,111,22.47,1.29,2023Q3
1464,得力,7.58,111,220.0,1.03,2023Q3
1465,偉全,6.05,111,21.29,0.87,2023Q3
1470,大統新創,2.37,111,33.33,1.65,2023Q3
1473,台南,3.41,111,14.22,1.14,2023Q3
1475,業旺,1.17,111,10.47,2.31,2023Q3
1476,儒鴻,2.98,111,34.23,6.37,2023Q3
1477,聚陽,4.11,111,22.16,5.64,2023Q3
1503,士電,1.57,111,28.59,2.08,2023Q3
1504,東元,3.29,111,16.78,1.22,2023Q3
1513,中興電,2.65,111,39.94,4.18,2023Q3
1514,亞力,1.46,111,38.2,5.24,2023Q3
1516,川飛,6.67,111,24.55,1.61,2023Q3
1519,華城,0.7,111,47.78,18.78,2023Q3
1521,大億,1.48,111,41.99,1.97,2023Q3
1522,堤維西,4.11,111,15.31,1.66,2023Q3
1524,耿鼎,2.74,111,19.49,2.27,2023Q3
1525,江申,2.62,111,15.45,1.22,2023Q3
1526,日馳,10.18,111,13.97,1.37,2023Q3
1527,鑽全,5.78,111,14.31,1.23,2023Q3
1528,恩德,0.87,111,35.0,0.91,2023Q3
1529,樂事綠能,1.63,111,52.46,2.91,2023Q3
1530,亞崴,4.85,111,14.16,0.97,2023Q3
1531,高林股,5.78,111,115.42,0.69,2023Q3
1532,勤美,3.08,111,17.21,1.12,2023Q3
1535,中宇,5.34,111,15.15,1.97,2023Q3
1536,和大,2.64,111,34.18,1.92,2023Q3
1537,廣隆,7.63,111,18.63,2.6,2023Q3
1539,巨庭,10.25,111,37.54,1.01,2023Q3
1540,喬福,3.38,111,17.07,1.07,2023Q3
1558,伸興,5.05,111,32.63,1.34,2023Q3
1560,中砂,2.22,111,29.32,4.4,2023Q3
1568,倉佑,3.14,111,10.61,1.97,2023Q3
1582,信錦,3.44,111,22.13,1.87,2023Q3
1583,程泰,4.49,111,11.66,1.38,2023Q3
1587,吉茂,4.33,111,27.18,1.13,2023Q3
1590,亞德客-KY,1.31,111,30.27,4.81,2023Q3
1597,直得,3.14,111,27.82,2.35,2023Q3
1603,華電,1.29,111,15.16,0.99,2023Q3
1604,聲寶,5.21,111,15.32,1.29,2023Q3
1605,華新,4.85,111,27.89,1.04,2023Q3
1608,華榮,1.8,111,11.38,1.27,2023Q3
1609,大亞,1.68,111,8.81,1.81,2023Q3
1611,中電,1.76,111,40.6,1.28,2023Q3
1612,宏泰,5.16,111,15.7,1.27,2023Q3
1614,三洋電,2.58,111,31.14,1.81,2023Q3
1615,大山,5.65,111,13.79,2.6,2023Q3
1617,榮星,1.76,111,51.67,1.26,2023Q3
1618,合機,1.7,111,21.79,1.43,2023Q3
1701,中化,3.24,111,23.08,1.0,2023Q3
1702,南僑,4.0,111,16.18,1.29,2023Q3
1707,葡萄王,4.5,111,15.62,2.39,2023Q3
1709,和益,8.57,111,19.27,1.25,2023Q3
1710,東聯,1.0,111,18.27,1.42,2023Q3
1711,永光,1.76,111,73.52,1.3,2023Q3
1712,興農,7.24,111,15.04,1.96,2023Q3
1713,國化,2.41,111,16.75,2.26,2023Q3
1714,和桐,1.09,111,18.0,0.74,2023Q3
1717,長興,4.11,111,23.74,1.37,2023Q3
1720,生達,3.76,111,14.0,2.36,2023Q3
1722,台肥,3.7,111,15.73,1.21,2023Q3
1723,中碳,4.31,111,17.98,3.42,2023Q3
1725,元禎,4.6,111,20.14,0.91,2023Q3
1726,永記,4.64,111,14.58,1.26,2023Q3
1727,中華化,2.48,111,32.31,1.88,2023Q3
1730,花仙子,5.24,111,16.28,2.02,2023Q3
1731,美吾華,4.9,111,18.4,1.48,2023Q3
1733,五鼎,4.31,111,22.57,1.82,2023Q3
1734,杏輝,2.97,111,20.42,1.87,2023Q3
1735,日勝化,2.92,111,22.87,1.14,2023Q3
1736,喬山,0.87,111,35.38,2.21,2023Q3
1737,臺鹽,4.39,111,17.6,1.05,2023Q3
1752,南光,4.13,111,14.25,2.33,2023Q3
1762,中化生,2.31,111,15.03,1.32,2023Q3
1773,勝一,2.68,111,21.69,4.05,2023Q3
1776,展宇,3.56,111,112.33,1.15,2023Q3
1783,和康生,2.09,111,22.26,3.11,2023Q3
1786,科妍,2.59,111,30.6,3.25,2023Q3
1789,神隆,1.37,111,90.52,2.03,2023Q3
1795,美時,1.29,111,18.33,4.23,2023Q3
1808,潤隆,0.63,111,6.54,3.54,2023Q3
1817,凱撒衛,6.2,111,12.28,1.36,2023Q3
1904,正隆,3.69,111,42.57,1.17,2023Q3
1906,寶隆,3.22,111,81.84,0.54,2023Q3
1907,永豐餘,2.63,111,44.42,1.01,2023Q3
2006,東和鋼鐵,4.93,111,12.31,1.74,2023Q3
2008,高興昌,2.53,111,8.69,1.24,2023Q3
2009,第一銅,1.27,111,287.27,1.93,2023Q3
2010,春源,3.47,111,15.31,0.98,2023Q3
2012,春雨,6.33,111,28.55,1.56,2023Q3
2013,中鋼構,3.21,111,22.46,2.05,2023Q3
2015,豐興,6.04,111,15.8,1.82,2023Q3
