資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
1121017,1240,茂生農經,73.63,1.2,2.63,1.42
1121017,1259,安心,13.23,2.6,3.49,1.0
1121017,1264,德麥,16.76,12.0,4.07,3.89
1121017,1268,漢來美食,17.16,3.0,1.9,3.33
1121017,1336,台翰,12.91,0.41,1.95,0.94
1121017,1565,精華,12.1,13.5,7.2,1.61
1121017,1570,力肯,14.6,1.0,5.0,1.15
1121017,1580,新麥,16.08,6.0,4.4,2.73
1121017,1584,精剛,25.84,0.7,2.07,2.44
1121017,1591,駿吉-KY,66.19,0.5,1.2,3.23
1121017,1593,祺驊,11.84,3.17998106,5.26,1.74
1121017,1595,川寶,14.02,2.0260002,5.14,0.71
1121017,1599,宏佳騰,28.57,1.5,4.17,1.41
1121017,1777,生泰,13.92,3.0,3.56,1.71
1121017,1784,訊聯,35.89,0.69649506,1.19,2.49
1121017,1785,光洋科,18.12,1.50061598,3.89,1.85
1121017,1788,杏昌,18.08,7.0,5.22,2.12
1121017,1796,金穎生技,26.52,1.5,1.95,3.77
1121017,2063,世鎧,10.72,3.0,5.89,2.47
1121017,2065,世豐,8.96,5.49786626,9.54,1.89
1121017,2066,世德,10.11,4.41897002,5.54,1.85
1121017,2070,精湛,17.93,1.5,5.01,1.28
1121017,2073,雄順,34.71,1.81803636,6.09,1.87
1121017,2221,大甲,8.41,4.0,11.71,1.56
1121017,2230,泰茂,147.26,1.41711497,1.32,6.44
1121017,2235,謚源,14.37,4.0,9.28,1.23
1121017,2640,大車隊,16.46,5.0,4.76,3.67
1121017,2641,正德,4.24,1.49661129,9.18,0.75
1121017,2643,捷迅,5.65,7.0,10.64,1.39
1121017,2718,晶悅,7.63,0.0,0.0,1.78
1121017,2729,瓦城,17.7,5.0,2.13,3.1
1121017,2732,六角,13.71,6.281411,6.07,2.52
1121017,2736,富野,22.74,0.2,0.85,0.97
1121017,2743,山富,25.06,0.0,0.0,5.19
1121017,2745,五福,24.45,0.0,0.0,4.19
1121017,2752,豆府,17.46,10.0,3.88,6.81
1121017,2754,亞洲藏壽司,18.4,1.49993578,1.27,3.53
1121017,2755,揚秦,21.52,5.3,4.63,3.68
1121017,2756,聯發國際,13.77,4.5,4.95,3.46
1121017,2916,滿心,9.45,3.0,6.71,2.4
1121017,2937,集雅社,10.05,1.28142996,4.28,1.36
1121017,2947,振宇五金,39.82,2.2,2.55,2.31
1121017,3066,李洲,17.43,0.0,0.0,1.35
1121017,3067,全域,103.89,0.0,0.0,2.97
1121017,3071,協禧,20.0,1.664,4.62,2.79
1121017,3073,天方能源,65.91,0.0,0.0,2.13
1121017,3078,僑威,17.24,2.35,2.8,3.28
1121017,3081,聯亞,69.44,3.50022859,3.11,2.6
1121017,3086,華義,61.43,1.2,1.86,4.66
1121017,3088,艾訊,9.96,3.47651446,4.37,1.97
1121017,3093,港建*,11.99,3.0,9.3,4.59
1121017,3114,好德,12.64,1.7,6.46,1.07
1121017,3118,進階,15.76,1.7,5.65,1.88
1121017,3128,昇銳,20.66,1.2,4.24,1.94
1121017,3131,弘塑,20.88,18.0,3.9,4.01
1121017,3141,晶宏,59.4,2.66762779,2.99,2.85
1121017,3147,大綜,12.0,4.5,6.52,2.44
1121017,3152,璟德,68.01,3.59,1.7,4.28
1121017,3163,波若威,15.8,4.2,4.31,3.51
1121017,3169,亞信,26.21,5.5,4.42,4.82
1121017,3171,新洲,9.15,1.0,5.67,1.2
1121017,3178,公準,16.96,2.5,3.06,3.12
1121017,3188,鑫龍騰,27.03,0.3,1.88,1.29
1121017,3206,志豐,9.18,2.2,5.07,1.96
1121017,3207,耀勝,15.32,1.32721833,2.08,2.86
1121017,3211,順達,16.44,6.04184,7.64,1.5
1121017,3213,茂訊,12.98,3.6,4.62,2.08
1121017,3217,優群,20.2,5.35,4.39,2.7
1121017,3218,大學光,26.37,6.6,2.05,9.53
1121017,3219,倚強科,40.77,1.02985361,2.16,2.71
1121017,3221,台嘉碩,60.0,2.5010144,9.26,1.34
1121017,3226,至寶電,20.37,2.5,4.55,2.55
1121017,3227,原相,21.49,6.00147444,4.62,2.08
1121017,3232,昱捷,766.67,0.5,2.17,1.53
1121017,3236,千如,12.81,1.54,6.26,1.54
1121017,3260,威剛,43.67,2.0,2.0,2.29
1121017,3264,欣銓,9.27,3.5,5.61,1.83
1121017,3265,台星科,14.72,5.0,5.67,2.13
1121017,3268,海德威,70.94,0.7,3.08,1.53
1121017,3272,東碩,14.94,2.9,7.92,1.18
1121017,3276,宇環,70.27,0.5,1.92,2.41
1121017,3284,太普高,21.33,0.2,1.25,1.39
1121017,3285,微端,142.67,0.0,0.0,1.56
1121017,3287,廣寰科,39.33,0.0,0.0,1.71
1121017,3288,點晶,175.0,0.0,0.0,3.09
1121017,3289,宜特,13.34,1.99036064,2.32,1.88
1121017,3290,東浦,15.21,0.56880536,2.27,1.64
1121017,3293,鈊象,14.82,35.0,5.61,9.9
1121017,3303,岱稜,15.61,2.0,7.45,1.39
1121017,3306,鼎天,63.03,0.5,1.04,1.12
1121017,3310,佳穎,36.25,3.02220624,3.36,3.59
1121017,3317,尼克森,16.4,2.0,3.41,1.31
1121017,3322,建舜電,25.0,0.6,2.47,1.98
1121017,3324,雙鴻,24.33,6.5,2.09,4.91
1121017,3332,幸康,9.29,2.5,5.86,1.27
1121017,3357,臺慶科,15.87,6.0,5.31,1.82
1121017,3362,先進光,65.4,1.0,0.72,6.51
1121017,3363,上詮,104.29,0.5,0.68,4.02
1121017,3374,精材,21.57,3.0,2.54,4.57
1121017,3388,崇越電,19.58,4.409919,6.35,1.21
1121017,3390,旭軟,23.49,0.68,3.97,1.06
1121017,3402,漢科,8.95,4.2,8.62,2.18
1121017,3426,台興,16.12,2.3,5.92,1.6
1121017,3430,奇鈦科,9.64,3.0,6.68,1.57
1121017,3434,哲固,24.12,1.6,5.82,2.22
1121017,3441,聯一光,25.41,1.5,4.04,2.02
1121017,3444,利機,29.51,3.8,4.17,3.84
1121017,3455,由田,8.2,8.5,12.13,1.77
1121017,3466,德晉,36.85,0.0,0.0,1.42
1121017,3479,安勤,10.87,4.94017842,5.21,2.41
1121017,3483,力致,23.06,3.98321975,2.68,3.4
1121017,3484,崧騰,21.21,2.5,5.61,1.3
1121017,3489,森寶,23.64,0.3,2.31,0.84
1121017,3490,單井,17.12,1.3,5.54,1.05
1121017,3491,昇達科,43.06,3.95714906,2.32,5.57
1121017,3492,長盛,18.4,1.0,5.6,1.14
1121017,3498,陽程,26.55,2.0,6.33,0.81
1121017,3511,矽瑪,21.09,2.5,8.59,1.52
1121017,3512,皇龍,44.54,2.99989275,8.86,1.81
1121017,3516,亞帝歐,20.67,0.6,3.26,0.7
1121017,3520,華盈,34.44,0.3,1.94,1.36
1121017,3526,凡甲,20.71,9.4,4.78,5.31
1121017,3529,力旺,115.93,20.49944,0.9,77.38
1121017,3531,先益,15.95,2.0,6.24,1.1
1121017,3537,堡達,11.54,2.5,6.53,1.89
1121017,3540,曜越,22.32,0.29811999,0.75,1.56
1121017,3541,西柏,30.0,5.0,12.63,2.15
1121017,3546,宇峻,12.09,6.00000012,7.99,2.6
1121017,3548,兆利,26.25,2.99992845,1.97,2.06
1121017,3551,世禾,12.09,3.2,4.35,1.23
1121017,3552,同致,26.74,3.5,2.46,3.03
1121017,3556,禾瑞亞,17.49,4.7,7.65,3.4
1121017,3558,神準,10.72,5.0,2.01,2.78
1121017,3564,其陽,22.07,0.8,1.93,1.96
1121017,3567,逸昌,19.4,2.1,5.44,2.31
1121017,3570,大塚,11.51,7.5,5.75,2.75
1121017,3577,泓格,26.34,2.5,3.18,3.75
1121017,3580,友威科,9.53,4.5,8.91,2.38
1121017,3581,博磊,20.2,0.8,3.19,1.55
1121017,3587,閎康,20.58,8.07542383,3.23,4.51
1121017,3594,磐儀,24.43,0.8,1.69,2.12
1121017,3597,映興,13.08,1.69983878,7.69,1.55
1121017,3611,鼎翰,9.54,13.97043082,5.97,1.95
1121017,3615,安可,36.67,0.0,0.0,0.66
1121017,3624,光頡,14.55,2.6,5.3,1.81
1121017,3628,盈正,13.31,2.0,4.9,1.1
1121017,3632,研勤,170.63,0.0,0.0,3.76
1121017,3646,艾恩特,16.71,2.0696283,7.42,2.17
1121017,3663,鑫科,62.64,0.99995597,3.01,2.07
1121017,3675,德微,31.02,6.7,2.42,8.68
1121017,3680,家登,34.88,7.94370483,2.07,5.51
1121017,3684,榮昌,11.64,4.5,10.17,1.82
1121017,3687,歐買尬,53.95,1.5,1.83,1.72
1121017,3689,湧德,12.54,2.27043539,4.47,1.25
1121017,3693,營邦,28.12,6.0,1.2,8.57
1121017,3707,漢磊,50.57,0.99996315,1.4,4.29
1121017,3709,鑫聯大投控,20.71,1.0,3.63,1.35
1121017,3713,新晶投控,107.08,0.0,0.0,3.07
1121017,4102,永日,26.81,0.8,2.16,2.52
1121017,4105,東洋,17.51,3.4,4.28,3.67
1121017,4107,邦特,16.46,4.5,4.23,2.52
1121017,4111,濟生,10.1,1.2,4.81,1.19
1121017,4114,健喬,23.63,1.48640937,4.11,1.97
1121017,4116,明基醫,25.41,2.1,3.76,2.18
1121017,4121,優盛,24.41,1.2,5.29,1.33
1121017,4126,太醫,13.57,4.2,5.1,2.27
1121017,4127,天良,16.88,0.0,0.0,1.27
1121017,4129,聯合,17.42,2.27529346,3.59,1.87
1121017,4130,健亞,136.32,0.175,0.68,1.91
1121017,4138,曜亞,16.93,4.15,4.18,1.96
1121017,4153,鈺緯,25.84,1.0,3.1,1.91
1121017,4160,訊聯基因,30.23,0.95509397,2.47,2.32
1121017,4161,聿新科,23.95,0.5,1.68,1.95
1121017,4162,智擎,44.26,2.0,2.21,3.47
1121017,4163,鐿鈦,12.21,4.0,3.43,2.41
1121017,4167,松瑞藥,60.0,0.1032,0.57,1.72
1121017,4173,久裕,24.24,0.65,2.91,0.88
1121017,4175,杏一,41.83,3.70839494,4.26,2.38
1121017,4183,福永生技,19.37,0.98,4.91,1.63
1121017,4205,中華食,24.85,3.0,3.0,4.97
1121017,4207,環泰,16.21,1.0,6.23,1.23
1121017,4303,信立,36.83,0.0,0.0,1.46
