證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,3.0,112,32.33,1.11,2023Q4
1102,亞泥,4.57,112,14.98,0.96,2023Q4
1103,嘉泥,2.73,112,610.0,0.58,2024Q1
1104,環泥,5.72,112,11.31,1.03,2024Q1
1108,幸福,5.81,112,13.23,1.37,2023Q4
1109,信大,5.93,112,10.44,0.83,2024Q1
1110,東泥,1.01,112,76.54,1.27,2023Q4
1201,味全,1.43,112,35.0,1.29,2024Q1
1203,味王,2.17,112,28.17,2.09,2023Q4
1210,大成,3.82,112,11.98,2.06,2023Q4
1215,卜蜂,5.21,112,14.03,3.12,2024Q1
1216,統一,3.89,112,23.25,3.27,2024Q1
1217,愛之味,1.91,112,29.39,0.88,2023Q4
1219,福壽,4.18,112,21.28,1.38,2024Q1
1220,台榮,1.24,111,21.18,1.23,2023Q4
1225,福懋油,2.09,112,41.94,4.39,2023Q4
1227,佳格,3.18,112,29.15,2.06,2023Q4
1229,聯華,3.12,112,25.53,2.33,2023Q4
1231,聯華食,2.65,112,24.94,4.2,2023Q4
1232,大統益,4.57,112,20.27,4.07,2024Q1
1233,天仁,2.66,112,31.93,2.06,2023Q4
1234,黑松,4.42,112,18.53,0.96,2024Q1
1235,興泰,1.2,112,31.99,1.77,2023Q4
1236,宏亞,2.7,112,100.21,0.91,2024Q1
1256,鮮活果汁-KY,3.11,112,17.12,1.9,2023Q4
1301,台塑,1.46,112,83.66,1.29,2024Q1
1303,南亞,1.23,112,67.86,1.24,2024Q1
1305,華夏,1.96,112,137.69,1.09,2024Q1
1307,三芳,4.5,112,13.06,1.46,2024Q1
1315,達新,7.02,112,19.45,0.64,2023Q4
1319,東陽,3.51,112,22.35,2.65,2023Q4
1321,大洋,1.02,112,48.46,1.4,2024Q1
1323,永裕,3.2,112,34.72,1.17,2024Q1
1324,地球,1.36,112,27.74,1.14,2023Q4
1325,恆大,2.18,112,131.19,0.85,2023Q4
1326,台化,2.21,112,30.59,1.02,2024Q1
1339,昭輝,3.93,112,12.98,1.43,2023Q4
1341,富林-KY,6.61,112,15.0,3.01,2024Q1
1342,八貫,5.22,112,14.92,4.07,2024Q1
1402,遠東新,3.92,112,22.37,0.82,2023Q4
1409,新纖,3.22,112,36.38,0.76,2023Q4
1410,南染,0.78,112,159.38,2.25,2023Q4
1414,東和,1.28,112,72.41,1.37,2024Q1
1416,廣豐,3.75,112,19.93,0.66,2024Q1
1419,新紡,2.49,112,22.19,1.1,2023Q4
1423,利華,1.83,112,76.05,1.1,2024Q1
1434,福懋,2.14,112,73.13,0.78,2024Q1
1436,華友聯,4.79,112,15.72,4.59,2024Q1
1437,勤益控,3.23,112,12.41,0.93,2023Q4
1439,雋揚,1.04,112,14.45,1.04,2023Q4
1440,南紡,1.99,112,11.78,1.0,2024Q1
1442,名軒,6.41,112,11.59,2.78,2023Q4
1445,大宇,11.01,112,2.94,1.1,2023Q4
1446,宏和,1.35,112,64.75,4.69,2023Q4
1449,佳和,0.22,112,29.83,0.92,2023Q4
1452,宏益,1.73,112,37.72,0.84,2024Q1
1453,大將,1.2,112,43.77,1.86,2023Q4
1454,台富,1.6,112,45.88,1.2,2024Q1
1456,怡華,0.99,112,92.27,1.29,2024Q1
1457,宜進,6.65,112,8.84,0.91,2023Q4
1463,強盛,2.45,112,37.78,1.46,2024Q1
1464,得力,1.82,112,91.33,1.07,2024Q1
1465,偉全,3.21,112,27.86,0.98,2023Q4
1470,大統新創,3.01,112,33.28,1.68,2023Q4
1472,三洋實業,2.51,112,18.73,2.31,2024Q1
1473,台南,2.79,112,20.16,1.7,2023Q4
1475,業旺,3.4,112,13.97,3.08,2023Q4
1476,儒鴻,2.77,112,23.18,5.67,2024Q1
1477,聚陽,4.32,112,22.08,6.98,2024Q1
1503,士電,1.06,112,62.86,4.55,2023Q4
1504,東元,3.99,112,19.96,1.45,2023Q4
1513,中興電,2.02,112,49.04,4.75,2024Q1
1514,亞力,1.4,112,41.72,6.77,2023Q4
1515,力山,2.6,112,13.32,2.18,2024Q1
1516,川飛,1.63,112,35.94,1.58,2024Q1
1519,華城,0.88,112,80.85,34.58,2023Q4
1521,大億,1.77,112,54.93,1.67,2024Q1
1522,堤維西,3.43,112,13.13,2.02,2024Q1
1524,耿鼎,3.49,112,17.46,2.28,2023Q4
1525,江申,4.73,112,19.72,1.04,2024Q1
1527,鑽全,4.66,112,13.63,1.22,2024Q1
1529,樂事綠能,1.76,112,37.07,2.91,2023Q4
1530,亞崴,4.63,112,14.86,0.95,2023Q4
1531,高林股,1.47,112,46.9,0.68,2024Q1
1532,勤美,3.1,112,19.08,1.39,2023Q4
1535,中宇,4.54,112,16.05,2.39,2024Q1
1536,和大,1.91,112,44.79,1.68,2023Q4
1537,廣隆,4.98,112,18.94,2.78,2023Q4
