資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
1150824,1240,茂生農經,10.61,0.5,0.88,1.68
1150824,1259,安心,17.99,1.2,1.88,0.74
1150824,1264,德麥,11.93,15.0,5.93,2.64
1150824,1268,漢來美食,13.69,8.0,4.43,3.17
1150824,1294,漢田生技,11.31,5.0,9.06,2.04
1150824,1295,生合,11.0,3.0,6.62,1.19
1150824,1336,台翰,22.33,0.26,1.55,0.68
1150824,1565,精華,11.76,5.8,6.14,0.74
1150824,1570,力肯,48.48,1.0,2.99,1.66
1150824,1580,新麥,9.33,8.5,7.94,1.69
1150824,1584,精剛,30.69,0.258355,1.45,0.86
1150824,1586,和勤,49.32,0.0,0.0,0.92
1150824,1593,祺驊,8.1,2.0,6.28,0.93
1150824,1777,生泰,10.0,4.0,5.38,1.29
1150824,1780,立弘,15.12,1.25,4.98,1.81
1150824,1784,訊聯,56.57,0.87236746,1.43,2.48
1150824,1785,光洋科,15.17,2.000099,1.97,3.73
1150824,1788,杏昌,14.83,7.0,5.36,1.97
1150824,1796,金穎生技,71.95,0.7,2.37,1.56
1150824,1813,寶利徠,50.0,0.0,0.0,0.77
1150824,1815,富喬,31.16,1.0,0.93,4.59
1150824,2061,風青,45.13,0.0,0.0,4.31
1150824,2063,世鎧,13.17,1.49999994,6.22,1.21
1150824,2064,晉椿,632.5,0.0,0.0,0.94
1150824,2065,世豐,9.5,1.5,4.14,1.27
1150824,2066,世德,14.88,2.15,3.96,1.11
1150824,2070,精湛,23.67,1.5,2.3,2.3
1150824,2221,大甲,20.89,1.5,2.37,2.47
1150824,2235,謚源,19.78,1.5,5.58,0.81
1150824,2596,綠意,12.53,1.5,4.39,1.59
1150824,2640,大車隊,16.49,8.0,5.1,4.65
1150824,2641,正德,8.16,0.5,2.65,0.74
1150824,2643,捷迅,8.75,4.5,7.17,1.12
1150824,2718,全心投控,4.79,5.57001412,11.16,0.7
1150824,2719,燦星旅,30.0,0.0,0.0,1.92
1150824,2729,瓦城,26.68,6.93003843,4.26,3.05
1150824,2732,六角,18.69,3.5,5.44,1.61
1150824,2743,山富,16.2,3.2,5.37,2.46
1150824,2745,五福,9.01,7.5,8.46,3.27
1150824,2751,王座,10.79,3.99134413,7.32,2.49
1150824,2752,豆府,11.04,13.5,7.5,3.88
1150824,2754,亞洲藏壽司,15.74,1.0,1.45,1.77
1150824,2755,揚秦,14.26,5.91501916,5.83,3.45
1150824,2756,聯發國際,14.82,3.3,5.29,2.75
1150824,2916,滿心,10.35,3.6,8.97,1.69
1150824,2926,誠品生活,47.78,0.46,1.53,2.32
1150824,2937,集雅社,11.83,3.1,6.42,1.91
1150824,2941,米斯特,12.68,2.28,7.65,1.33
1150824,2947,振宇五金,18.66,1.0,1.63,1.61
1150824,2948,寶陞,17.59,2.25123097,5.92,1.16
1150824,2949,欣新網,17.4,2.03099616,3.3,1.73
1150824,3066,李洲,3.91,0.0,0.0,1.17
1150824,3067,全域,580.0,0.0,0.0,1.4
1150824,3071,協禧,42.24,0.8,3.27,1.75
1150824,3078,僑威,14.89,4.0,7.46,1.78
1150824,3081,聯亞,237.95,4.0,0.14,54.21
1150824,3083,網龍,31.92,0.33,1.42,1.56
1150824,3088,艾訊,15.66,2.93044459,2.34,2.5
1150824,3093,港建*,46.12,1.15,2.54,4.17
1150824,3095,及成,15.04,0.0,0.0,2.94
1150824,3105,穩懋,41.72,2.0,0.56,3.44
1150824,3114,好德,10.6,1.4,4.09,1.34
1150824,3118,進階,13.46,2.2,6.98,1.89
1150824,3128,昇銳,19.61,1.0,4.43,1.37
1150824,3131,弘塑,41.34,46.08446132,1.97,21.24
1150824,3141,晶宏,23.7,0.35759067,0.49,1.95
1150824,3147,大綜,13.46,6.5,3.0,4.89
1150824,3152,璟德,27.91,7.11102372,2.82,2.7
1150824,3158,嘉實,11.72,6.5,7.71,2.71
1150824,3162,精確,96.51,0.86510256,1.42,2.28
1150824,3163,波若威,74.18,3.5,0.48,17.82
1150824,3169,亞信,26.06,3.2,3.22,3.55
1150824,3171,炎洲流通,10.46,4.64034443,7.34,3.38
1150824,3178,公準,185.94,0.0,0.0,2.22
1150824,3188,鑫龍騰,3.41,3.19551547,13.26,1.35
1150824,3191,雲嘉南,22.91,0.0,0.0,3.23
1150824,3206,志豐,19.88,1.5,4.36,1.3
1150824,3211,順達,43.94,11.46554,3.52,5.62
1150824,3213,茂訊,13.3,7.0,5.49,1.92
1150824,3217,優群,10.86,10.0,7.3,2.55
1150824,3218,大學光,10.03,7.75,5.72,2.96
1150824,3219,倚強科,23.13,1.359535,1.77,3.63
1150824,3221,台嘉碩,47.13,0.27699409,0.58,2.32
1150824,3226,龍鋒,292.78,0.0,0.0,1.83
1150824,3227,原相,16.29,10.00700533,5.18,1.94
1150824,3232,昱捷,27.89,0.5,2.53,1.33
1150824,3236,千如,60.21,0.5,1.15,2.54
1150824,3260,威剛,5.67,17.0,3.88,3.61
1150824,3264,欣銓,26.83,4.2,2.04,4.96
1150824,3265,台星科,23.28,4.1,2.47,3.58
1150824,3276,宇環,64.77,0.06,0.42,1.14
1150824,3284,太普高,8.53,0.5,2.42,1.44
1150824,3285,微端,20.16,0.5,1.35,2.53
1150824,3287,廣寰科,4.82,1.5,3.9,2.09
1150824,3289,宜特,29.28,4.45846576,3.34,2.44
1150824,3290,東浦,8.38,1.5,3.02,1.79
1150824,3293,鈊象,16.66,36.0,4.99,13.44
1150824,3297,杭特,30.44,0.0,0.0,1.63
1150824,3303,岱稜,10.48,3.0,5.71,2.07
1150824,3306,鼎天,101.25,1.7,3.82,0.56
1150824,3310,佳穎,26.12,3.5,5.15,2.82
1150824,3317,尼克森,32.34,0.5,0.77,1.78
1150824,3324,雙鴻,23.41,11.90330569,1.17,7.12
1150824,3332,幸康,15.7,2.0,3.23,1.58
1150824,3357,臺慶科,19.7,5.08481026,2.42,2.13
1150824,3360,尚立,1535.0,0.0,0.0,1.42
1150824,3374,精材,47.49,2.5,0.83,8.33
1150824,3379,彬台,28.63,1.2,4.11,1.83
1150824,3388,崇越電,16.67,3.33740548,3.69,1.42
1150824,3402,漢科,16.71,6.0,5.0,4.15
1150824,3430,奇鈦科,24.62,1.6,1.4,3.24
1150824,3434,哲固,80.27,1.2,4.04,2.28
1150824,3438,類比科,38.11,1.5,2.66,0.96
1150824,3441,聯一光,46.3,0.85,0.76,5.43
1150824,3444,利機,44.07,1.8,2.05,3.76
1150824,3455,由田,65.13,3.5,1.51,5.8
1150824,3467,台灣精材,40.13,0.5,1.08,2.38
1150824,3479,安勤,17.56,4.6230529,3.61,2.79
1150824,3483,力致,24.43,3.0,4.22,1.43
1150824,3484,崧騰,14.42,2.5,5.01,1.21
1150824,3485,敘豐,38.79,4.5,1.96,3.68
1150824,3490,單井,7.86,0.5,1.01,1.73
1150824,3491,昇達科,102.54,6.8,0.53,19.55
1150824,3492,長盛,15.62,1.1,5.46,1.11
1150824,3498,陽程,42.14,0.0,0.0,4.48
1150824,3512,皇龍,10.34,1.8,9.21,0.88
1150824,3516,亞帝歐,36.96,0.2,0.78,0.97
1150824,3521,台鋼建設,7.08,0.0,0.0,1.0
1150824,3526,凡甲,15.71,16.84112667,6.04,4.51
1150824,3529,力旺,73.8,20.5,0.93,47.11
1150824,3531,先益,16.59,0.5,2.28,0.72
1150824,3537,堡達,12.03,2.0,3.62,2.41
1150824,3540,曜越,28.35,0.25737554,1.03,1.01
1150824,3541,西柏,68.28,0.0,0.0,1.68
1150824,3546,宇峻,14.3,2.50000015,3.48,2.66
1150824,3548,兆利,204.86,1.0,1.32,0.83
1150824,3551,世禾,18.42,4.8,2.77,2.13
1150824,3555,博士旺,18.74,0.0,0.0,7.78
1150824,3556,禾瑞亞,17.15,1.95,3.09,3.33
1150824,3558,神準,59.35,3.0,2.36,1.25
1150824,3564,其陽,125.56,0.27,0.6,1.93
1150824,3567,逸昌,22.57,1.0,3.99,1.53
1150824,3570,大塚,11.36,9.7,5.97,2.6
1150824,3577,泓格,26.21,2.0,1.75,4.95
1150824,3580,友威科,47.35,1.2,1.56,2.92
1150824,3581,博磊,42.95,0.6,0.6,5.66
