資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
1130816,1240,茂生農經,11.32,2.7,5.0,1.33
1130816,1259,安心,15.7,1.8,2.54,0.92
1130816,1264,德麥,16.5,14.0,4.41,3.87
1130816,1268,漢來美食,17.57,7.0,4.39,3.12
1130816,1336,台翰,12.56,0.41,1.81,0.94
1130816,1565,精華,15.85,7.0,3.91,1.48
1130816,1570,力肯,31.89,1.0,2.96,1.83
1130816,1580,新麥,11.63,9.0,5.83,2.78
1130816,1584,精剛,11.27,1.5,4.08,1.94
1130816,1586,和勤,62.35,0.13,0.41,1.7
1130816,1593,祺驊,45.89,1.6,3.87,1.28
1130816,1595,川寶,154.17,0.9981357,2.7,0.68
1130816,1599,宏佳騰,420.63,0.0,0.0,1.29
1130816,1742,台蠟,11.68,0.0,0.0,1.09
1130816,1777,生泰,13.37,3.5,3.84,1.73
1130816,1784,訊聯,89.68,1.41847555,1.26,4.51
1130816,1785,光洋科,29.67,1.20013385,1.91,2.86
1130816,1788,杏昌,16.47,7.0,5.04,2.15
1130816,1796,金穎生技,63.88,2.0,3.91,2.66
1130816,1813,寶利徠,217.22,0.5,2.56,1.2
1130816,2061,風青,67.78,0.0,0.0,2.23
1130816,2063,世鎧,12.46,4.5,9.66,2.13
1130816,2065,世豐,13.31,4.34545793,7.35,1.82
1130816,2066,世德,13.49,4.0,3.56,2.33
1130816,2070,精湛,19.83,1.5,2.09,2.82
1130816,2073,雄順,46.41,0.6,2.02,1.86
1130816,2221,大甲,15.85,1.3,4.48,1.28
1130816,2230,泰茂,28.9,1.0,0.61,7.82
1130816,2235,謚源,17.5,2.5,5.18,1.37
1130816,2596,綠意,63.42,1.0,2.0,2.6
1130816,2640,大車隊,15.69,6.0,5.08,3.94
1130816,2641,正德,9.92,0.48155935,2.55,0.84
1130816,2643,捷迅,11.18,5.0,6.46,1.47
1130816,2718,晶悅,48.03,3.0,2.24,5.12
1130816,2719,燦星旅,15.51,0.0,0.0,4.91
1130816,2726,雅茗-KY,133.04,0.0,0.0,2.43
1130816,2729,瓦城,20.94,11.0,5.43,3.02
1130816,2732,六角,18.17,6.49655101,6.31,2.48
1130816,2734,易飛網,18.11,0.0,0.0,3.1
1130816,2743,山富,10.69,3.0,2.56,4.24
1130816,2745,五福,8.79,3.5,3.78,4.22
1130816,2752,豆府,17.19,13.3,5.19,6.49
1130816,2754,亞洲藏壽司,30.81,1.5,1.52,2.79
1130816,2755,揚秦,18.85,3.6,3.87,3.87
1130816,2756,聯發國際,20.39,4.5,5.72,3.44
1130816,2916,滿心,10.53,4.0,8.7,2.33
1130816,2937,集雅社,12.02,2.0,5.9,1.46
1130816,2941,米斯特,23.82,3.18161143,3.93,3.56
