資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
1131018,1240,茂生農經,10.96,2.7,5.16,1.28
1131018,1259,安心,15.06,1.8,2.65,0.88
1131018,1264,德麥,16.32,14.0,4.46,3.83
1131018,1268,漢來美食,17.02,7.0,4.53,3.02
1131018,1294,漢田生技,13.65,4.0,4.13,5.3
1131018,1336,台翰,13.67,0.41,1.67,1.02
1131018,1565,精華,18.78,7.0,3.3,1.75
1131018,1570,力肯,26.79,1.0,3.52,1.54
1131018,1580,新麥,10.88,9.0,6.23,2.6
1131018,1584,精剛,10.46,1.5,4.4,1.8
1131018,1586,和勤,63.04,0.13,0.4,1.72
1131018,1593,祺驊,43.39,1.6,4.1,1.21
1131018,1595,川寶,309.17,0.9981357,1.35,1.36
1131018,1599,宏佳騰,400.0,0.0,0.0,1.23
1131018,1742,台蠟,12.67,0.0,0.0,1.18
1131018,1777,生泰,13.99,3.5,3.67,1.81
1131018,1784,訊聯,73.89,1.41847555,1.52,3.72
1131018,1785,光洋科,30.28,1.20013385,1.87,2.91
1131018,1788,杏昌,16.41,7.0,5.05,2.14
1131018,1796,金穎生技,64.38,2.0,3.88,2.68
1131018,1813,寶利徠,215.56,0.5,2.58,1.19
1131018,2061,風青,62.78,0.0,0.0,2.06
1131018,2063,世鎧,10.44,4.5,11.52,1.78
1131018,2065,世豐,13.15,4.34545793,7.44,1.8
1131018,2066,世德,12.53,3.77751226,3.61,2.16
1131018,2070,精湛,27.01,1.5,1.54,3.84
1131018,2073,雄順,45.63,0.6,2.05,1.82
1131018,2221,大甲,15.6,1.3,4.55,1.26
1131018,2230,泰茂,29.08,0.93861079,0.57,7.87
1131018,2235,謚源,17.72,2.5,5.11,1.39
1131018,2596,綠意,45.95,1.0,2.75,1.88
1131018,2640,大車隊,15.09,6.0,5.29,3.79
1131018,2641,正德,9.87,0.48155935,2.57,0.83
1131018,2643,捷迅,10.64,5.0,6.79,1.4
1131018,2718,晶悅,32.72,3.0,3.29,3.49
1131018,2719,燦星旅,13.77,0.0,0.0,4.36
1131018,2726,雅茗-KY,15.21,0.0,0.0,2.21
1131018,2729,瓦城,21.04,11.0,5.41,3.03
1131018,2732,六角,18.25,6.49655101,6.28,2.49
1131018,2734,易飛網,17.11,0.0,0.0,2.93
1131018,2743,山富,9.69,3.0,2.83,3.84
1131018,2745,五福,8.98,3.5,3.7,4.31
1131018,2751,王座,13.39,5.0,7.41,5.17
1131018,2752,豆府,16.89,13.3,5.28,6.37
1131018,2754,亞洲藏壽司,29.28,1.5,1.6,2.65
1131018,2755,揚秦,19.82,3.6,3.68,4.07
1131018,2756,聯發國際,21.45,4.5,5.43,3.62
1131018,2916,滿心,11.29,4.0,8.11,2.5
1131018,2937,集雅社,12.93,2.0,5.49,1.57
1131018,2941,米斯特,22.79,3.18161143,4.11,3.41
1131018,2947,振宇五金,27.94,1.3,1.55,2.15
1131018,2948,寶陞,21.65,3.31428571,5.87,1.54
1131018,2949,欣新網,17.3,2.5,2.93,2.04
1131018,3064,泰偉,202.25,0.0,0.0,10.01
1131018,3066,李洲,36.28,0.0,0.0,2.2
1131018,3067,全域,69.57,0.0,0.0,2.44
1131018,3071,協禧,44.52,1.03,3.17,2.44
1131018,3078,僑威,9.74,4.8,7.61,2.26
1131018,3083,網龍,57.7,0.0,0.0,2.7
1131018,3086,華義,100.5,1.50000004,0.74,13.85
1131018,3088,艾訊,14.23,4.29279723,4.42,2.39
1131018,3093,港建*,26.62,1.8,5.93,4.69
1131018,3095,及成,14.8,0.0,0.0,6.0
1131018,3105,穩懋,41.91,0.0,0.0,1.5
1131018,3114,好德,15.15,1.2,4.66,1.07
1131018,3118,進階,16.86,1.7,5.28,1.99
1131018,3128,昇銳,29.64,0.8,2.81,1.91
1131018,3131,弘塑,66.16,16.0,0.98,11.48
1131018,3141,晶宏,77.23,0.50685875,0.59,2.63
1131018,3147,大綜,17.29,5.0,3.48,4.54
1131018,3152,璟德,29.84,3.68,2.15,3.32
1131018,3163,波若威,24.42,3.6,2.28,4.79
1131018,3169,亞信,28.32,3.5,3.29,4.03
1131018,3171,炎洲流通,11.11,2.0,4.88,2.13
1131018,3178,公準,27.53,2.25,2.85,2.93
1131018,3188,鑫龍騰,9.35,1.6,5.3,2.16
1131018,3206,志豐,10.12,2.5,5.26,1.86
1131018,3207,耀勝,255.66,0.89865405,0.66,5.83
1131018,3211,順達,7.99,5.52904,5.29,1.67
1131018,3213,茂訊,9.11,5.4,5.67,2.19
1131018,3217,優群,14.84,6.4,4.32,3.2
1131018,3218,大學光,17.23,7.0,3.13,6.04
1131018,3219,倚強科,64.43,0.36466706,0.72,2.76
1131018,3221,台嘉碩,48.45,0.7002741,2.63,1.3
1131018,3226,至寶電,7.97,0.5,0.97,1.87
1131018,3227,原相,27.2,4.51535132,1.83,3.53
1131018,3230,錦明,15.41,0.0,0.0,4.32
1131018,3232,昱捷,88.13,0.5,1.77,1.88
1131018,3260,威剛,8.93,3.0,3.39,1.67
1131018,3264,欣銓,10.98,3.3,5.78,1.57
1131018,3265,台星科,18.33,4.8,4.14,2.66
1131018,3268,海德威,89.03,0.0,0.0,1.79
1131018,3276,宇環,46.18,0.2,1.27,1.39
1131018,3284,太普高,21.83,0.6,1.6,2.91
1131018,3285,微端,30.0,1.0,3.51,2.06
1131018,3287,廣寰科,15.28,0.843929,2.19,2.82
1131018,3289,宜特,31.32,3.72716138,1.99,4.0
1131018,3290,東浦,23.42,0.99525139,2.69,2.15
1131018,3293,鈊象,19.94,45.0,4.17,13.31
1131018,3294,英濟,70.45,0.0,0.0,1.81
1131018,3297,杭特,365.71,0.0,0.0,1.62
1131018,3303,岱稜,18.34,1.75,3.05,2.75
1131018,3306,鼎天,21.89,1.3,2.25,0.82
1131018,3310,佳穎,24.31,4.29970743,5.16,3.1
1131018,3313,斐成,11.47,0.0,0.0,1.62
1131018,3317,尼克森,15.38,1.80013374,3.83,1.14
1131018,3322,建舜電,85.91,0.22554785,1.19,1.47
1131018,3324,雙鴻,38.6,6.34797488,0.86,8.65
1131018,3332,幸康,17.67,1.6,3.84,1.18
1131018,3339,泰谷,116.35,0.0,0.0,3.1
1131018,3357,臺慶科,22.15,4.5,3.52,1.91
1131018,3362,先進光,64.05,1.0,0.43,9.64
1131018,3374,精材,38.46,2.0,0.88,7.62
1131018,3379,彬台,79.69,0.2,0.52,2.46
1131018,3388,崇越電,18.39,3.1,4.3,1.21
1131018,3390,旭軟,16.99,0.7,2.38,1.62
1131018,3402,漢科,16.27,4.5,4.39,4.18
1131018,3426,台興,19.03,2.0,3.8,2.02
1131018,3430,奇鈦科,18.23,2.0,2.49,2.57
1131018,3434,哲固,21.71,0.5,1.79,2.3
1131018,3438,類比科,65.49,0.5,0.68,2.02
1131018,3441,聯一光,42.91,0.5,1.28,2.02
1131018,3444,利機,37.22,2.5,2.83,3.76
1131018,3455,由田,22.14,5.0,3.75,3.28
1131018,3479,安勤,15.28,5.98868238,5.73,2.47
1131018,3483,力致,20.72,5.04975935,2.98,3.2
1131018,3484,崧騰,15.66,1.1998946,2.2,1.42
1131018,3490,單井,11.55,1.2,3.7,1.34
1131018,3491,昇達科,56.97,3.35101141,1.09,8.86
1131018,3492,長盛,20.88,0.33,1.21,1.63
1131018,3512,皇龍,6.76,3.20569069,9.66,1.53
1131018,3516,亞帝歐,112.71,0.2,0.74,1.05
1131018,3520,華盈,62.88,0.1,0.48,1.76
1131018,3526,凡甲,19.41,11.39277243,4.11,6.08
1131018,3527,聚積,102.6,2.0,2.53,1.44
1131018,3529,力旺,132.51,17.49899,0.57,86.53
1131018,3531,先益,9.79,1.7,5.7,0.97
1131018,3537,堡達,16.65,2.5,4.06,2.78
1131018,3540,曜越,83.78,0.896266,2.38,1.45
1131018,3546,宇峻,17.33,4.50000014,5.73,2.68
1131018,3548,兆利,14.41,4.5,2.8,1.93
1131018,3551,世禾,21.74,2.8,2.27,1.94
1131018,3552,同致,18.76,3.0,3.68,1.6
1131018,3556,禾瑞亞,109.2,0.9,1.87,2.73
1131018,3558,神準,18.27,4.0,2.67,1.6
1131018,3564,其陽,268.29,0.35,0.37,4.42
1131018,3567,逸昌,11.77,2.7,8.28,1.93
1131018,3570,大塚,11.98,8.0,5.56,2.78
1131018,3577,泓格,52.82,1.0,1.53,3.35
1131018,3580,友威科,29.18,2.02,2.19,4.04
1131018,3581,博磊,147.67,0.5,0.79,3.89
1131018,3587,閎康,27.02,8.92658585,3.22,4.13
1131018,3594,磐儀,41.93,0.6,1.49,1.76
1131018,3597,映興,129.17,0.3,0.97,2.15
1131018,3611,鼎翰,13.15,12.99793213,5.95,2.0
1131018,3615,安可,69.9,0.7,1.93,1.11
1131018,3624,光頡,24.63,1.2,2.4,1.78
1131018,3628,盈正,32.92,2.0,4.67,1.18
1131018,3646,艾恩特,18.55,1.5,4.99,2.2
1131018,3663,鑫科,185.11,0.58697327,0.7,5.09
1131018,3675,德微,43.77,5.0,1.62,6.46
1131018,3680,家登,58.13,7.50736239,1.33,6.23
1131018,3684,榮昌,28.53,0.8,1.8,2.14
1131018,3687,歐買尬,43.09,1.57424091,1.59,2.06
1131018,3689,湧德,19.8,2.4458291,2.73,2.01
1131018,3693,營邦,11.68,10.0,3.12,4.18
1131018,3709,鑫聯大投控,25.08,0.8,2.59,1.45
1131018,4102,永日,17.17,0.8,2.15,2.34
1131018,4105,東洋,16.31,3.5,4.75,3.16
1131018,4107,邦特,17.33,4.5,3.59,2.76
1131018,4109,加捷生醫,6.22,0.5,1.95,1.87
1131018,4111,濟生,20.31,1.0,3.85,1.23
1131018,4113,聯上,12.44,0.0,0.0,1.79
1131018,4114,健喬,21.12,1.6,4.35,2.03
1131018,4116,明基醫,18.23,2.0,3.88,2.16
1131018,4120,友華,29.07,1.0,2.06,0.8
1131018,4126,太醫,15.98,4.8,5.39,2.4
1131018,4127,天良,156.82,0.5,1.45,3.33
1131018,4129,聯合,21.42,4.00266145,4.2,2.57
1131018,4130,健亞,89.0,0.45,2.02,1.62
1131018,4138,曜亞,14.94,7.75,8.69,2.09
1131018,4153,鈺緯,27.41,1.25,2.85,2.52
1131018,4157,太景*-KY,43.03,0.0,0.0,8.71
