日期,證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
20250311,1101,台泥,34.8,2.87,112,29.24,1.09,2024Q3
20250311,1102,亞泥,44.15,4.76,112,15.02,0.88,2024Q3
20250311,1103,嘉泥,16.35,3.06,112,34.06,0.52,2024Q4
20250311,1104,環泥,30.2,6.62,112,13.25,0.89,2024Q3
20250311,1108,幸福,15.15,6.6,112,14.57,1.22,2024Q3
20250311,1109,信大,17.85,6.72,112,10.26,0.74,2024Q3
20250311,1110,東泥,20.5,0.98,112,41.84,1.25,2024Q3
20250311,1201,味全,18.0,1.5,112,20.45,1.18,2024Q4
20250311,1203,味王,37.25,2.95,112,18.44,1.48,2024Q3
20250311,1210,大成,56.1,3.96,112,13.85,1.92,2024Q3
20250311,1215,卜蜂,104.0,5.29,112,15.88,2.87,2024Q4
20250311,1216,統一,82.6,3.63,112,22.69,3.47,2024Q4
20250311,1217,愛之味,12.2,1.89,112,18.21,0.8,2024Q3
20250311,1219,福壽,15.0,5.33,112,28.3,1.12,2024Q4
20250311,1220,台榮,17.25,2.32,112,12.06,1.25,2024Q3
20250311,1225,福懋油,45.4,3.08,112,25.51,3.0,2024Q3
20250311,1227,佳格,36.65,3.41,112,21.56,1.87,2024Q3
20250311,1229,聯華,51.0,4.12,112,20.73,1.66,2024Q4
20250311,1231,聯華食,139.0,1.87,112,31.17,6.17,2024Q3
20250311,1232,大統益,153.5,4.56,113,18.63,4.32,2024Q4
20250311,1233,天仁,30.6,2.94,112,34.38,1.96,2024Q3
20250311,1234,黑松,40.75,4.66,112,16.98,0.88,2024Q3
20250311,1235,興泰,91.3,1.1,112,19.68,1.17,2024Q3
20250311,1256,鮮活果汁-KY,140.5,4.7,112,17.9,1.38,2024Q3
20250311,1303,南亞,33.7,2.08,112,80.24,0.77,2024Q4
20250311,1307,三芳,49.95,3.0,112,16.59,2.05,2024Q3
20250311,1315,達新,69.5,7.19,112,69.5,0.67,2024Q3
20250311,1319,東陽,121.0,3.31,112,18.39,2.73,2024Q3
