證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1713,國化,2.59,112,14.32,2.57,2024Q2
1714,和桐,3.34,112,16.31,0.72,2024Q2
1717,長興,2.29,112,21.74,1.56,2024Q2
1720,生達,4.19,112,13.49,1.98,2024Q2
1722,台肥,4.44,112,36.11,1.07,2024Q2
1723,中碳,3.92,112,18.92,3.05,2024Q2
1725,元禎,2.01,112,30.8,1.48,2024Q2
1726,永記,4.39,112,14.98,1.31,2024Q2
1727,中華化,0.71,112,203.0,2.52,2024Q2
1730,花仙子,5.26,112,15.24,1.88,2024Q2
1731,美吾華,4.8,112,18.42,1.58,2024Q2
1733,五鼎,3.69,112,27.34,1.71,2024Q2
1734,杏輝,5.48,112,15.28,1.77,2024Q2
1735,日勝化,2.01,112,23.49,1.63,2024Q2
1736,喬山,0.67,112,38.43,4.67,2024Q2
1737,臺鹽,3.43,112,19.55,1.08,2024Q2
1752,南光,4.48,112,40.55,1.98,2024Q2
1760,寶齡富錦,1.66,112,76.69,4.19,2024Q2
1762,中化生,1.87,112,28.09,0.99,2024Q2
1773,勝一,1.78,112,27.07,5.1,2024Q2
1776,展宇,2.12,112,29.14,1.59,2024Q2
1783,和康生,2.36,112,25.67,2.83,2024Q2
1786,科妍,1.88,112,41.05,5.17,2024Q2
1789,神隆,1.18,112,49.9,1.94,2024Q2
1795,美時,1.72,112,17.83,3.87,2024Q2
1808,潤隆,27.99,112,3.2,1.68,2024Q2
1809,中釉,0.88,112,207.73,1.31,2024Q2
1810,和成,1.05,112,173.64,0.85,2024Q2
1817,凱撒衛,4.23,112,10.08,1.5,2024Q2
1904,正隆,2.01,112,26.72,0.95,2024Q2
1906,寶隆,0.94,112,113.57,0.59,2024Q2
1907,永豐餘,2.73,112,28.45,0.82,2024Q2
2002,中鋼,1.52,112,105.0,1.14,2024Q2
2006,東和鋼鐵,5.35,112,12.04,1.89,2024Q2
2008,高興昌,2.98,112,83.88,1.87,2024Q2
2010,春源,5.41,112,13.03,1.03,2024Q2
2012,春雨,3.43,112,19.67,1.73,2024Q2
2013,中鋼構,3.45,112,19.16,2.12,2024Q2
2015,豐興,4.14,112,19.32,2.31,2024Q2
2020,美亞,13.29,112,5.09,1.53,2024Q2
2022,聚亨,1.85,112,83.08,1.05,2024Q2
2027,大成鋼,3.38,112,20.52,1.17,2024Q2
2028,威致,3.0,112,25.92,1.86,2024Q2
2029,盛餘,4.81,112,11.71,0.85,2024Q2
2030,彰源,2.65,112,60.81,1.07,2024Q2
2031,新光鋼,4.95,112,6.55,1.47,2024Q2
2049,上銀,1.13,112,40.16,2.21,2024Q2
2059,川湖,1.18,112,26.25,6.39,2024Q2
2062,橋椿,1.96,112,13.32,1.05,2024Q2
2069,運錩,2.46,112,127.19,0.89,2024Q2
2103,台橡,2.39,112,20.04,0.95,2024Q2
2105,正新,4.05,112,19.74,1.88,2024Q2
2106,建大,3.27,112,16.79,1.42,2024Q2
2107,厚生,5.04,112,14.02,0.58,2024Q2
2108,南帝,2.64,112,33.2,1.3,2024Q2
2109,華豐,6.3,112,10.7,1.54,2024Q2
2114,鑫永銓,5.19,112,16.97,2.6,2024Q2
2115,六暉-KY,3.21,112,19.87,0.99,2024Q2
2201,裕隆,2.33,112,14.28,1.04,2024Q2
2204,中華,8.22,112,7.95,1.14,2024Q2
2206,三陽工業,4.03,112,11.04,2.56,2024Q2
2207,和泰車,2.81,112,17.65,5.71,2024Q2
2211,長榮鋼,5.39,112,19.34,1.99,2024Q2
2227,裕日車,2.81,112,22.84,2.01,2024Q2
2228,劍麟,4.22,112,13.14,2.01,2024Q2
2231,為升,3.04,112,51.35,3.49,2024Q2
2233,宇隆,3.12,112,16.21,2.76,2024Q2
2236,百達-KY,0.64,112,57.03,3.43,2024Q2
2239,英利-KY,1.51,112,19.82,0.43,2024Q2
2247,汎德永業,6.17,112,13.01,1.91,2024Q2
2250,IKKA-KY,3.11,112,15.84,1.79,2024Q2
2301,光寶科,4.51,112,17.01,2.63,2024Q2
2302,麗正,1.72,112,35.39,1.68,2024Q2
2303,聯電,5.45,112,12.91,1.94,2024Q2
2308,台達電,1.61,112,30.51,5.03,2024Q2
2312,金寶,1.38,112,25.59,1.46,2024Q2
2313,華通,2.14,112,15.61,2.05,2024Q2
2316,楠梓電,1.05,112,7.03,0.92,2024Q2
2317,鴻海,2.83,112,17.27,1.73,2024Q2
2323,中環,5.42,112,16.73,0.72,2024Q2
2324,仁寶,3.58,112,16.26,1.15,2024Q2
2327,國巨,3.45,112,13.53,1.85,2024Q2
2328,廣宇,3.67,112,16.94,1.36,2024Q2
2329,華泰,2.91,112,14.87,2.72,2024Q2
2330,台積電,1.3,112,28.09,6.84,2024Q2
2331,精英,3.96,112,21.96,1.12,2024Q2
2332,友訊,2.8,112,965.0,1.28,2024Q2
2338,光罩,2.53,112,26.01,2.44,2024Q2
2340,台亞,1.33,112,538.57,2.06,2024Q2
2345,智邦,1.85,112,31.98,11.27,2024Q2
2347,聯強,4.11,112,15.43,1.66,2024Q2
2348,海悅,5.56,112,9.65,3.32,2024Q2
2351,順德,1.77,112,38.18,3.97,2024Q2
2352,佳世達,3.16,112,29.19,2.0,2024Q2
2353,宏碁,3.84,112,22.27,1.67,2024Q2
2354,鴻準,2.25,112,24.49,0.87,2024Q2
2355,敬鵬,2.99,112,13.6,1.01,2024Q2
2356,英業達,3.38,112,23.59,2.59,2024Q2
2357,華碩,2.99,112,13.07,1.6,2024Q2
2359,所羅門,1.12,112,120.63,4.88,2024Q2
2360,致茂,1.77,112,36.09,7.28,2024Q2
2362,藍天,2.56,112,21.74,0.83,2024Q2
2364,倫飛,3.02,112,25.63,5.79,2024Q2
2365,昆盈,0.56,112,119.56,3.89,2024Q2
2368,金像電,1.72,112,19.79,5.44,2024Q2
2373,震旦行,5.92,112,15.13,2.2,2024Q2
2374,佳能,1.89,112,23.63,2.01,2024Q2
2375,凱美,1.19,112,21.09,0.79,2024Q2
2376,技嘉,2.39,112,21.64,4.37,2024Q2
2377,微星,3.11,112,19.07,2.9,2024Q2
2379,瑞昱,3.14,112,20.65,5.65,2024Q2
2382,廣達,3.25,112,21.24,5.74,2024Q2
2383,台光電,2.13,112,19.15,5.63,2024Q2
2385,群光,4.68,112,14.39,2.97,2024Q2
2387,精元,5.31,112,8.37,1.13,2024Q2
2388,威盛,0.08,112,121.96,4.65,2024Q2
2392,正崴,3.04,112,15.41,1.24,2024Q2
2393,億光,4.13,112,16.29,1.82,2024Q2
2395,研華,2.8,112,32.5,6.36,2024Q2
2397,友通,3.81,112,34.26,3.04,2024Q2
2402,毅嘉,2.83,112,22.02,1.95,2024Q2
2404,漢唐,6.49,112,12.76,5.73,2024Q2
2405,輔信,0.85,112,222.78,1.86,2024Q2
2412,中華電,3.76,112,26.86,2.69,2024Q2
2413,環科,0.95,112,130.94,1.34,2024Q2
2414,精技,6.15,112,15.34,2.01,2024Q2
2420,新巨,4.08,112,18.19,3.12,2024Q2
2421,建準,3.65,112,19.75,3.7,2024Q2
2423,固緯,5.62,112,14.03,2.19,2024Q2
2425,承啟,1.02,112,39.03,1.8,2024Q2
2426,鼎元,0.85,112,94.2,1.81,2024Q2
2427,三商電,3.42,112,17.68,1.7,2024Q2
2428,興勤,2.91,112,15.59,2.33,2024Q2
2430,燦坤,6.48,112,18.55,0.9,2024Q2
2432,倚天酷碁-創,4.75,112,16.79,1.79,2024Q2
2433,互盛電,5.91,112,15.26,2.04,2024Q2
2436,偉詮電,1.87,112,41.01,3.29,2024Q2
2439,美律,3.14,112,17.74,2.13,2024Q2
2441,超豐,4.21,112,14.74,1.54,2024Q2
2442,新美齊,1.19,112,13.24,1.55,2024Q2
2449,京元電子,2.72,112,22.51,3.65,2024Q2
2450,神腦,5.54,112,16.41,1.51,2024Q2
2451,創見,4.84,112,15.4,2.34,2024Q2
2453,凌群,4.4,112,18.26,2.7,2024Q2
2454,聯發科,4.37,112,19.78,5.21,2024Q2
2455,全新,1.32,112,42.37,10.07,2024Q2
2458,義隆,3.52,112,15.03,4.29,2024Q2
2459,敦吉,5.6,112,11.8,1.4,2024Q2
2461,光群雷,2.9,112,13.86,1.2,2024Q2
2462,良得電,3.61,112,14.16,1.54,2024Q2
2464,盟立,0.6,112,91.89,3.85,2024Q2
2467,志聖,1.41,112,50.0,7.34,2024Q2
2468,華經,3.4,112,23.55,1.36,2024Q2
2471,資通,6.63,112,17.48,2.9,2024Q2
2472,立隆電,3.69,112,11.57,1.71,2024Q2
2474,可成,4.26,112,13.55,0.96,2024Q2
2476,鉅祥,2.67,112,21.26,2.6,2024Q2
2477,美隆電,1.65,112,27.1,1.15,2024Q2
2478,大毅,2.85,112,18.36,1.15,2024Q2
2480,敦陽科,5.33,112,16.8,4.37,2024Q2
2481,強茂,2.04,112,26.49,1.65,2024Q2
2482,連宇,3.22,112,40.92,1.85,2024Q2
2483,百容,1.26,112,68.0,1.02,2024Q2
2484,希華,5.04,112,25.65,1.29,2024Q2
2486,一詮,0.65,112,196.08,4.57,2024Q2
2488,漢平,5.79,112,9.84,1.57,2024Q2
2492,華新科,1.96,112,21.39,1.09,2024Q2
2493,揚博,5.62,112,14.6,3.65,2024Q2
2495,普安,2.01,112,22.09,2.22,2024Q2
2496,卓越,6.17,112,11.9,1.76,2024Q2
2497,怡利電,1.17,112,35.54,4.71,2024Q2
2501,國建,3.91,112,11.88,1.1,2024Q2
2504,國產,4.01,112,13.1,2.46,2024Q2
2505,國揚,1.71,112,33.03,0.87,2024Q2
2511,太子,3.33,112,51.43,0.7,2024Q2
2515,中工,4.19,112,31.0,0.85,2024Q2
2520,冠德,3.72,112,5.4,1.19,2024Q2
2527,宏璟,4.34,112,13.52,0.72,2024Q2
2530,華建,1.35,112,26.78,3.18,2024Q2
2534,宏盛,3.91,112,55.54,0.85,2024Q2
2535,達欣工,5.96,112,10.66,1.42,2024Q2
2536,宏普,1.61,112,23.04,0.89,2024Q2
2539,櫻花建,3.97,112,22.3,3.62,2024Q2
2540,愛山林,5.02,112,20.58,3.97,2024Q2
2542,興富發,3.29,112,38.97,1.77,2024Q2
2543,皇昌,2.23,112,18.96,4.45,2024Q2
2545,皇翔,3.97,112,8.02,1.56,2024Q2
2546,根基,5.65,112,12.57,1.89,2024Q2
2548,華固,6.34,112,17.7,2.15,2024Q2
2597,潤弘,6.44,112,11.58,3.95,2024Q2
2603,長榮,4.7,112,6.29,0.93,2024Q2
2605,新興,2.49,112,13.89,1.0,2024Q2
2606,裕民,4.32,112,12.22,1.21,2024Q2
2607,榮運,3.53,112,14.03,0.99,2024Q2
2608,嘉里大榮,6.49,112,16.69,1.59,2024Q2
2609,陽明,2.74,112,10.28,0.85,2024Q2
2610,華航,3.17,112,15.0,1.72,2024Q2
2611,志信,9.2,112,6.96,1.58,2024Q2
2612,中航,2.16,112,21.99,0.7,2024Q2
2613,中櫃,1.56,112,33.73,1.65,2024Q2
2615,萬海,1.4,112,20.32,1.32,2024Q2
2616,山隆,2.07,112,260.0,0.59,2024Q2
2617,台航,4.87,112,7.1,0.79,2024Q2
2618,長榮航,4.8,112,8.56,1.89,2024Q2
2630,亞航,1.53,112,44.42,2.13,2024Q2
2633,台灣高鐵,3.43,112,21.52,2.41,2024Q2
2634,漢翔,2.92,112,19.86,2.66,2024Q2
2636,台驊控股,7.15,112,9.2,1.29,2024Q2
2637,慧洋-KY,3.6,112,11.24,1.15,2024Q2
2642,宅配通,2.32,112,42.59,1.52,2024Q2
2645,長榮航太,4.57,112,19.31,2.99,2024Q2
2701,萬企,2.2,112,21.61,0.67,2024Q2
