資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
1130613,1240,茂生農經,11.29,2.7,5.05,1.5
1130613,1259,安心,13.97,1.8,2.51,0.92
1130613,1264,德麥,16.65,14.0,4.46,4.09
1130613,1268,漢來美食,18.11,7.0,4.14,3.02
1130613,1336,台翰,12.78,0.41,2.0,0.87
1130613,1565,精華,16.51,7.0,3.73,1.58
1130613,1569,濱川,132.5,1.0,4.19,0.89
1130613,1570,力肯,152.5,1.0,2.73,2.02
1130613,1580,新麥,12.83,9.0,5.64,3.11
1130613,1584,精剛,12.85,1.5,4.37,1.76
1130613,1586,和勤,91.47,0.13,0.42,1.69
1130613,1593,祺驊,42.21,1.6,3.64,1.39
1130613,1595,川寶,33.93,1.0,2.63,0.69
1130613,1599,宏佳騰,264.58,0.0,0.0,1.25
1130613,1742,台蠟,13.47,0.0,0.0,1.16
1130613,1777,生泰,14.67,3.5,3.9,1.78
1130613,1784,訊聯,54.68,1.41847555,1.66,3.46
1130613,1785,光洋科,23.52,1.2,2.25,2.37
1130613,1788,杏昌,18.18,7.0,4.78,2.12
1130613,1796,金穎生技,29.13,2.0,3.32,3.12
1130613,1813,寶利徠,36.79,0.5,2.43,1.21
1130613,2063,世鎧,10.73,4.5,8.56,2.49
1130613,2065,世豐,14.19,4.34545793,6.79,2.04
1130613,2066,世德,16.13,4.0,2.84,3.16
1130613,2070,精湛,13.89,1.5,3.82,1.62
1130613,2073,雄順,79.62,0.6,1.93,1.89
1130613,2221,大甲,19.97,1.3,4.17,1.33
1130613,2230,泰茂,44.25,1.0,0.55,9.17
1130613,2235,謚源,16.35,2.5,4.98,1.35
1130613,2596,綠意,47.17,1.0,2.55,1.92
1130613,2640,大車隊,16.9,6.0,4.98,4.31
1130613,2641,正德,13.04,0.48155935,2.2,0.99
1130613,2643,捷迅,13.65,5.0,5.81,1.55
1130613,2718,晶悅,16.05,3.0,3.11,3.4
1130613,2719,燦星旅,31.66,0.0,0.0,6.48
1130613,2726,雅茗-KY,134.57,0.0,0.0,2.46
1130613,2729,瓦城,21.93,11.0,4.74,3.11
1130613,2732,六角,18.33,6.49655101,5.91,2.77
1130613,2734,易飛網,69.45,0.0,0.0,4.95
1130613,2743,山富,11.69,3.0,1.97,5.07
1130613,2745,五福,12.43,3.5,2.8,5.5
1130613,2752,豆府,18.41,13.3,4.92,7.56
1130613,2754,亞洲藏壽司,21.49,1.5,1.49,2.72
1130613,2755,揚秦,21.13,3.6,3.71,3.71
1130613,2756,聯發國際,19.51,4.5,5.16,4.12
1130613,2916,滿心,12.15,4.0,6.88,3.18
1130613,2937,集雅社,13.28,2.0,5.81,1.53
1130613,2941,米斯特,25.16,3.5,3.94,4.07
1130613,2947,振宇五金,32.74,1.3,1.49,2.27
1130613,2948,寶陞,18.21,3.31428571,5.1,1.7
1130613,2949,欣新網,18.13,2.5,2.6,2.24
1130613,3064,泰偉,120.14,0.0,0.0,9.5
1130613,3067,全域,34.51,0.0,0.0,2.63
1130613,3071,協禧,35.59,1.03,2.61,2.84
1130613,3078,僑威,10.49,4.8,6.44,2.83
1130613,3083,網龍,87.76,0.0,0.0,3.24
1130613,3086,華義,68.2,1.50000004,0.96,10.78
1130613,3088,艾訊,13.77,4.3,4.24,2.61
1130613,3093,港建*,17.15,1.8,5.93,4.74
1130613,3095,及成,37.8,0.0,0.0,7.38
1130613,3105,穩懋,88.95,0.0,0.0,1.84
1130613,3114,好德,14.62,1.2,4.21,1.15
1130613,3118,進階,17.67,1.7,4.76,2.04
1130613,3128,昇銳,38.77,0.8,2.68,1.94
1130613,3131,弘塑,55.7,16.0,1.25,9.78
1130613,3141,晶宏,71.79,0.50705826,0.5,3.13
1130613,3147,大綜,14.54,5.0,3.98,4.22
1130613,3152,璟德,39.75,3.68,1.77,3.86
1130613,3162,精確,79.07,0.0,0.0,1.69
1130613,3163,波若威,17.43,3.6,3.26,3.57
1130613,3169,亞信,37.06,3.5,2.55,4.75
1130613,3171,新洲,16.63,2.0,6.64,2.07
1130613,3178,公準,28.35,2.25,2.08,3.77
1130613,3188,鑫龍騰,11.59,1.6,4.93,2.39
1130613,3206,志豐,9.86,2.5,5.0,1.91
1130613,3207,耀勝,162.5,0.9,0.6,6.35
1130613,3211,順達,15.97,5.52904,5.96,1.75
1130613,3213,茂訊,11.31,5.4,4.91,2.3
1130613,3217,優群,17.64,6.4,3.93,3.3
