資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比,財報年/季
1140630,1240,茂生農經,13.53,3.4,5.51,1.74,114Q1
1140630,1259,安心,42.44,1.2,2.16,0.76,114Q1
1140630,1264,德麥,15.51,14.5,4.52,3.79,114Q1
1140630,1268,漢來美食,15.64,7.5,4.93,2.63,114Q1
1140630,1294,漢田生技,12.74,4.23,6.03,2.33,114Q1
1140630,1295,生合,25.55,3.5,2.49,4.32,114Q1
1140630,1336,台翰,9.14,0.945,4.92,0.77,114Q1
1140630,1565,精華,10.7,9.5,6.13,1.25,114Q1
1140630,1570,力肯,9.55,1.3,5.38,1.21,114Q1
1140630,1580,新麥,10.4,9.16252783,6.5,2.44,114Q1
1140630,1584,精剛,18.48,0.7,2.81,1.15,114Q1
1140630,1593,祺驊,13.28,1.6,5.68,0.87,114Q1
1140630,1599,宏佳騰,17.56,0.5,1.68,1.11,114Q1
1140630,1777,生泰,10.15,5.3,6.1,1.61,114Q1
1140630,1781,合世,44.55,0.0,0.0,1.75,114Q1
1140630,1784,訊聯,48.68,1.40949789,2.01,2.82,114Q1
1140630,1785,光洋科,17.69,2.0,3.68,2.2,114Q1
1140630,1788,杏昌,17.77,7.0,5.04,2.0,114Q1
1140630,1815,富喬,63.51,0.0,0.0,2.36,114Q1
1140630,2063,世鎧,18.52,2.0,6.67,1.46,114Q1
1140630,2065,世豐,13.75,3.03200675,7.73,1.29,114Q1
1140630,2066,世德,14.65,3.0,3.92,1.55,114Q1
1140630,2070,精湛,14.67,1.5,3.75,1.56,114Q1
1140630,2073,雄順,63.64,0.7,2.5,1.73,114Q1
1140630,2221,大甲,10.9,1.3,4.55,1.14,114Q1
1140630,2230,泰茂,29.45,3.0,2.42,5.17,114Q1
1140630,2235,謚源,19.68,3.0,6.54,1.24,114Q1
1140630,2596,綠意,28.35,1.0,2.84,1.7,114Q1
1140630,2640,大車隊,14.61,7.0,5.24,4.43,114Q1
1140630,2641,正德,11.4,0.49064449,2.62,0.78,114Q1
1140630,2643,捷迅,10.83,4.5,6.36,1.31,114Q1
1140630,2718,全心投控,1.42,3.0,6.05,0.87,114Q1
1140630,2719,燦星旅,42.33,0.0,0.0,4.08,114Q1
1140630,2724,藝舍-KY,6.47,0.0,0.0,3.19,114Q1
1140630,2729,瓦城,22.63,9.0,4.33,3.05,114Q1
1140630,2732,六角,21.49,4.9997807,6.2,1.97,114Q1
1140630,2734,易飛網,62.86,0.0,0.0,1.78,114Q1
1140630,2743,山富,18.24,5.0,4.12,3.6,114Q1
1140630,2745,五福,13.32,6.5,4.76,4.63,114Q1
1140630,2751,王座,14.37,4.5,7.35,3.1,114Q1
1140630,2752,豆府,13.37,14.0,6.75,5.09,114Q1
1140630,2755,揚秦,23.31,5.0,3.38,5.03,114Q1
1140630,2756,聯發國際,52.07,2.5,2.21,5.36,114Q1
1140630,2916,滿心,11.92,3.6,7.78,2.05,114Q1
1140630,2926,誠品生活,74.19,0.2,0.43,3.55,114Q1
1140630,2937,集雅社,9.88,3.0,7.01,1.72,114Q1
1140630,2941,米斯特,18.02,3.2,6.06,2.45,114Q1
1140630,2947,振宇五金,24.87,1.0,1.05,2.37,114Q1
1140630,2948,寶陞,20.51,2.15333333,5.38,1.1,114Q1
1140630,2949,欣新網,23.66,3.1,3.78,2.03,114Q1
1140630,3066,李洲,26.32,0.0,0.0,1.13,114Q1
1140630,3071,協禧,23.38,0.81,4.5,1.26,114Q1
1140630,3073,天方能源,32.52,0.65,1.23,2.71,114Q1
1140630,3078,僑威,13.55,4.0,4.94,2.8,114Q1
1140630,3081,聯亞,1091.67,0.50002215,0.15,8.02,114Q1
1140630,3083,網龍,86.28,0.0,0.0,2.51,114Q1
1140630,3086,華義,1086.67,0.65000021,0.4,12.42,114Q1
1140630,3088,艾訊,12.66,4.5,5.06,2.0,114Q1
1140630,3093,港建*,21.13,1.08,3.84,4.16,114Q1
1140630,3105,穩懋,97.42,1.0,1.15,1.01,114Q1
1140630,3114,好德,15.37,1.2,5.27,0.92,114Q1
1140630,3118,進階,16.06,1.8,5.55,1.82,114Q1
1140630,3128,昇銳,21.58,1.2,2.66,2.67,114Q1
1140630,3131,弘塑,51.43,22.0,1.35,11.54,114Q1
1140630,3141,晶宏,53.56,0.50624798,0.94,1.62,114Q1
1140630,3147,大綜,15.43,6.2,2.99,5.4,114Q1
1140630,3152,璟德,20.78,5.59,4.54,2.2,114Q1
1140630,3162,精確,27.2,0.5,1.09,2.06,114Q1
1140630,3163,波若威,39.1,3.0,1.64,5.56,114Q1
1140630,3169,亞信,21.88,3.0,3.64,2.78,114Q1
1140630,3171,炎洲流通,12.84,3.0,7.3,2.09,114Q1
1140630,3178,公準,41.52,0.5,1.08,1.68,114Q1
1140630,3188,鑫龍騰,17.77,1.8,6.37,2.11,114Q1
1140630,3206,志豐,10.66,2.5,6.68,1.34,114Q1
1140630,3211,順達,13.12,12.49778,5.53,3.8,114Q1
1140630,3213,茂訊,11.07,6.0,6.3,1.31,114Q1
1140630,3217,優群,13.3,8.81300861,5.53,2.94,114Q1
1140630,3218,大學光,15.23,7.5,3.71,5.1,114Q1
1140630,3219,倚強科,58.64,0.2660765,0.59,2.43,114Q1
1140630,3221,台嘉碩,26.74,0.90038463,4.88,0.89,114Q1
1140630,3226,龍鋒,9.11,0.5,1.11,1.5,114Q1
