資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
1121122,1240,茂生農經,16.75,1.2,2.56,1.45
1121122,1259,安心,13.69,2.6,3.47,1.0
1121122,1264,德麥,16.3,12.0,4.07,3.62
1121122,1268,漢來美食,16.55,3.0,2.04,3.0
1121122,1336,台翰,17.4,0.41,1.95,0.91
1121122,1565,精華,15.71,13.5,7.01,1.61
1121122,1570,力肯,27.09,1.0,4.99,1.16
1121122,1580,新麥,14.29,6.0,3.92,2.77
1121122,1584,精剛,26.69,0.7,2.02,1.97
1121122,1593,祺驊,29.58,3.17998106,5.6,1.71
1121122,1595,川寶,27.92,2.0260002,5.3,0.68
1121122,1599,宏佳騰,28.37,1.5,4.3,1.29
1121122,1777,生泰,15.41,3.0,3.49,1.67
1121122,1784,訊聯,34.44,0.69649506,1.2,2.43
1121122,1785,光洋科,21.32,1.50061598,3.65,1.9
1121122,1788,杏昌,17.17,7.0,5.17,2.08
1121122,1796,金穎生技,25.39,1.5,1.91,3.71
1121122,2063,世鎧,11.19,3.0,5.41,2.48
1121122,2065,世豐,10.54,5.49786626,9.13,1.88
1121122,2066,世德,11.19,4.41897002,5.04,2.01
1121122,2070,精湛,18.17,1.5,5.03,1.24
1121122,2073,雄順,76.18,1.81803636,6.28,1.83
1121122,2221,大甲,13.28,4.0,10.99,1.59
1121122,2230,泰茂,121.37,1.41711497,0.94,9.2
1121122,2235,謚源,27.01,4.0,9.31,1.19
1121122,2596,綠意,103.41,1.0,4.4,1.14
1121122,2640,大車隊,17.25,5.0,4.42,3.75
1121122,2641,正德,6.3,1.49661129,8.58,0.78
1121122,2643,捷迅,9.0,7.0,10.46,1.31
1121122,2718,晶悅,7.05,0.0,0.0,1.9
1121122,2729,瓦城,20.01,5.0,2.17,3.26
1121122,2732,六角,15.85,6.281411,5.42,2.88
1121122,2734,易飛網,352.5,0.0,0.0,6.26
1121122,2736,富野,322.0,0.2,0.62,1.37
1121122,2743,山富,19.84,0.0,0.0,6.31
1121122,2745,五福,16.27,0.0,0.0,5.21
1121122,2752,豆府,17.75,10.0,3.58,6.64
1121122,2754,亞洲藏壽司,22.29,1.49993578,1.21,3.53
