日期,證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
20260608,1102,亞泥,33.75,6.81,114,11.33,0.68,2026Q1
20260608,1103,嘉泥,13.2,4.17,114,16.5,0.48,2026Q1
20260608,1104,環泥,28.9,6.4,114,11.29,0.79,2026Q1
20260608,1108,幸福,13.6,7.35,114,6.73,1.01,2026Q1
20260608,1109,信大,14.6,6.16,114,18.48,0.59,2026Q1
20260608,1110,東泥,15.4,1.95,114,48.13,0.93,2026Q1
20260608,1201,味全,12.3,1.71,114,32.37,0.8,2026Q1
20260608,1203,味王,42.35,2.36,114,24.62,1.55,2026Q1
20260608,1210,大成,54.0,5.56,114,12.8,1.8,2026Q1
20260608,1215,卜蜂,115.0,6.09,114,12.39,3.2,2026Q1
20260608,1216,統一,72.9,4.12,114,19.7,2.86,2026Q1
20260608,1217,愛之味,9.86,2.54,114,20.54,0.66,2026Q1
20260608,1218,泰山,19.4,6.8,114,12.6,0.76,2026Q1
20260608,1219,福壽,12.45,4.02,114,26.49,0.92,2026Q1
20260608,1220,台榮,11.75,1.7,114,587.5,0.9,2026Q1
20260608,1225,福懋油,30.35,3.29,114,17.75,1.83,2026Q1
20260608,1227,佳格,28.3,4.73,114,19.38,1.35,2026Q1
20260608,1229,聯華,40.95,4.88,114,15.75,1.32,2026Q1
20260608,1231,聯華食,86.7,2.88,114,19.7,3.43,2026Q1
20260608,1232,大統益,148.0,4.86,114,17.11,3.77,2026Q1
20260608,1233,天仁,27.4,0.73,114,33.41,1.78,2026Q1
20260608,1234,黑松,34.5,4.78,114,20.66,0.76,2026Q1
20260608,1256,鮮活果汁-KY,176.5,3.74,114,13.33,1.51,2026Q1
20260608,1303,南亞,97.5,0.82,114,42.21,2.01,2026Q1
20260608,1307,三芳,34.55,6.37,114,12.61,1.41,2026Q1
20260608,1315,達新,61.2,7.35,114,39.74,0.57,2026Q1
20260608,1319,東陽,97.8,5.11,114,17.56,1.98,2026Q1
20260608,1323,永裕,19.85,4.53,114,35.45,0.7,2026Q1
20260608,1326,台化,48.75,1.23,114,325.0,0.76,2026Q1
20260608,1339,昭輝,42.7,5.85,114,10.09,0.78,2026Q1
20260608,1341,富林-KY,62.7,6.38,114,15.37,2.79,2026Q1
20260608,1342,八貫,112.0,5.36,114,18.82,4.18,2026Q1
20260608,1402,遠東新,26.75,4.67,114,16.61,0.61,2026Q1
20260608,1409,新纖,24.8,3.63,114,18.37,0.95,2026Q1
20260608,1410,南染,25.75,0.78,114,47.69,1.53,2026Q1
20260608,1414,東和,17.35,1.15,114,59.83,1.2,2026Q1
20260608,1416,廣豐,11.65,4.89,114,13.55,0.48,2026Q1
20260608,1417,嘉裕,8.45,2.96,114,18.78,0.69,2026Q1
20260608,1419,新紡,65.1,2.76,114,4.95,0.95,2026Q1
