資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
1131126,1240,茂生農經,11.69,2.7,5.19,1.16
1131126,1259,安心,23.06,1.8,2.78,0.86
1131126,1264,德麥,15.16,14.0,4.6,3.45
1131126,1268,漢來美食,17.6,7.0,4.65,2.88
1131126,1294,漢田生技,14.77,4.0,4.22,3.32
1131126,1336,台翰,14.76,0.41,1.49,1.12
1131126,1565,精華,18.66,7.0,3.01,1.86
1131126,1570,力肯,15.93,1.0,3.55,1.47
1131126,1580,新麥,11.8,9.0,6.06,2.47
1131126,1584,精剛,9.85,1.5,4.67,1.65
1131126,1586,和勤,47.5,0.1303314,0.43,1.6
1131126,1593,祺驊,29.53,1.6,4.27,1.15
1131126,1599,宏佳騰,152.86,0.0,0.0,1.19
1131126,1742,台蠟,55.97,0.0,0.0,1.13
1131126,1777,生泰,13.58,3.5,3.51,1.8
1131126,1784,訊聯,90.67,1.41847555,1.49,3.86
1131126,1785,光洋科,27.74,1.20013385,1.96,2.68
1131126,1788,杏昌,16.77,7.0,5.02,2.1
1131126,2063,世鎧,16.33,4.5,12.82,1.58
1131126,2065,世豐,13.46,4.34545793,8.73,1.54
1131126,2066,世德,14.52,3.77751226,3.45,2.2
1131126,2070,精湛,23.75,1.5,1.77,3.34
1131126,2073,雄順,41.3,0.6,2.11,1.79
1131126,2221,大甲,17.21,1.3,4.44,1.25
1131126,2230,泰茂,25.87,0.93861079,0.6,7.04
1131126,2235,謚源,21.83,2.5,5.23,1.34
1131126,2596,綠意,159.04,1.0,2.42,2.15
1131126,2640,大車隊,14.06,6.0,5.13,3.6
1131126,2641,正德,10.05,0.48155935,2.44,0.87
1131126,2643,捷迅,10.82,5.0,6.76,1.38
1131126,2718,晶悅,2.66,3.0,3.22,1.58
1131126,2719,燦星旅,12.73,0.0,0.0,3.81
1131126,2724,藝舍-KY,14.29,0.0,0.0,5.03
1131126,2726,雅茗-KY,12.41,0.0,0.0,2.04
1131126,2729,瓦城,23.44,11.0,5.42,3.17
1131126,2732,六角,20.39,6.49655101,6.25,2.45
1131126,2734,易飛網,20.52,0.0,0.0,3.38
1131126,2743,山富,10.57,3.0,3.17,3.35
1131126,2745,五福,9.07,3.5,3.56,4.0
1131126,2751,王座,17.54,5.0,7.16,3.16
1131126,2752,豆府,16.83,13.3,5.61,5.09
1131126,2754,亞洲藏壽司,40.0,1.5,1.74,2.41
1131126,2755,揚秦,18.41,3.6,3.61,3.88
1131126,2756,聯發國際,34.68,4.5,5.62,3.67
1131126,2916,滿心,12.82,4.0,8.21,2.1
1131126,2926,誠品生活,120.0,0.0,0.0,4.2
1131126,2937,集雅社,11.41,2.0,5.56,1.51
1131126,2941,米斯特,21.86,3.18161143,4.68,2.89
1131126,2947,振宇五金,25.61,1.3,1.55,2.15
1131126,2948,寶陞,24.29,3.31428571,6.5,1.51
1131126,2949,欣新網,26.15,2.5,2.5,2.5
1131126,3064,泰偉,255.0,0.0,0.0,9.25
1131126,3066,李洲,23.28,0.0,0.0,1.9
1131126,3071,協禧,46.72,1.03,3.44,2.2
1131126,3073,天方能源,110.71,0.0,0.0,4.42
1131126,3078,僑威,12.81,4.8,7.48,2.22
1131126,3083,網龍,55.18,0.0,0.0,2.93
1131126,3086,華義,142.2,1.50000004,0.97,11.9
1131126,3088,艾訊,15.98,4.29279723,3.96,2.53
1131126,3093,港建*,28.04,1.8,6.62,4.02
1131126,3095,及成,25.3,0.0,0.0,4.44
1131126,3105,穩懋,33.24,0.0,0.0,1.35
1131126,3114,好德,33.04,1.2,4.32,1.18
1131126,3118,進階,15.94,1.7,5.28,1.94
1131126,3128,昇銳,29.27,0.8,2.85,1.84
