資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比,財報年/季
1140306,1240,茂生農經,11.93,2.7,5.08,1.19,113Q3
1140306,1259,安心,31.12,1.2,1.88,0.83,113Q4
1140306,1264,德麥,16.55,14.0,4.21,3.76,113Q3
1140306,1268,漢來美食,15.31,7.0,4.55,2.87,113Q4
1140306,1294,漢田生技,14.37,4.0,4.34,3.23,113Q3
1140306,1336,台翰,13.49,0.41,1.63,1.03,113Q3
1140306,1565,精華,15.25,7.0,3.68,1.52,113Q3
1140306,1570,力肯,16.84,1.0,3.36,1.56,113Q3
1140306,1580,新麥,12.23,9.0,5.84,2.57,113Q3
1140306,1584,精剛,17.48,0.7,2.55,1.28,113Q4
1140306,1586,和勤,48.83,0.1303314,0.42,1.65,113Q3
1140306,1593,祺驊,29.25,1.6,4.31,1.14,113Q3
1140306,1599,宏佳騰,143.81,0.0,0.0,1.12,113Q3
1140306,1742,台蠟,57.42,0.0,0.0,1.16,113Q3
1140306,1777,生泰,11.9,5.3,5.05,1.83,113Q4
1140306,1784,訊聯,76.57,1.41847555,1.76,3.26,113Q3
1140306,1785,光洋科,28.51,1.20013385,1.9,2.75,113Q3
1140306,1788,杏昌,17.88,7.0,4.84,2.14,113Q4
1140306,2063,世鎧,17.63,2.0,5.28,1.71,113Q3
1140306,2065,世豐,14.63,3.19619673,6.13,1.63,113Q4
1140306,2066,世德,14.92,3.77751226,3.36,2.26,113Q3
1140306,2070,精湛,18.38,1.5,2.29,2.58,113Q3
1140306,2073,雄順,40.51,0.6,2.15,1.75,113Q3
1140306,2221,大甲,17.12,1.3,4.47,1.24,113Q3
1140306,2230,泰茂,20.17,0.93861079,0.77,5.49,113Q3
1140306,2235,謚源,21.67,2.5,5.27,1.33,113Q3
1140306,2596,綠意,166.35,1.0,2.31,2.25,113Q3
1140306,2640,大車隊,16.71,6.0,4.32,4.28,113Q3
1140306,2641,正德,11.94,0.48155935,2.06,1.03,113Q3
1140306,2643,捷迅,11.32,5.0,6.46,1.44,113Q3
1140306,2718,全心投控,2.21,3.0,3.84,1.32,113Q4
1140306,2719,燦星旅,36.94,0.0,0.0,4.51,113Q4
1140306,2724,藝舍-KY,12.99,0.0,0.0,4.57,113Q3
1140306,2726,雅茗-KY,11.18,0.0,0.0,1.84,113Q3
1140306,2729,瓦城,23.96,11.0,5.3,3.24,113Q3
1140306,2732,六角,19.9,4.9997807,4.93,2.39,113Q3
1140306,2734,易飛網,16.84,0.0,0.0,2.77,113Q3
1140306,2743,山富,11.74,3.0,2.86,3.72,113Q3
1140306,2745,五福,10.74,3.5,3.0,4.73,113Q3
1140306,2751,王座,18.07,4.5,6.26,3.25,113Q3
1140306,2752,豆府,17.19,13.3,5.5,5.2,113Q3
1140306,2754,亞洲藏壽司,40.93,1.5,1.7,2.47,113Q3
1140306,2755,揚秦,23.03,5.0,3.72,4.92,113Q4
1140306,2756,聯發國際,33.16,4.5,5.87,3.51,113Q3
1140306,2916,滿心,14.61,4.0,7.21,2.39,113Q3
1140306,2926,誠品生活,195.19,0.2,0.38,4.1,113Q4
1140306,2937,集雅社,13.57,2.0,4.68,1.8,113Q3
1140306,2941,米斯特,23.25,3.18161143,4.4,3.08,113Q3
1140306,2947,振宇五金,25.69,3.1,3.49,2.23,113Q4
1140306,2948,寶陞,22.98,3.31428571,6.87,1.43,113Q3
1140306,2949,欣新網,20.24,2.5,3.23,1.93,113Q3
1140306,3064,泰偉,212.0,0.0,0.0,7.69,113Q3
1140306,3066,李洲,19.5,0.0,0.0,1.59,113Q3
1140306,3071,協禧,39.53,1.03,4.07,1.86,113Q3
1140306,3073,天方能源,88.57,0.0,0.0,3.53,113Q3
1140306,3078,僑威,17.17,4.8,5.58,2.98,113Q3
1140306,3083,網龍,51.85,0.0,0.0,2.73,113Q4
1140306,3086,華義,156.88,1.50000004,0.88,13.12,113Q3
1140306,3088,艾訊,18.13,4.5,3.3,3.01,113Q4
1140306,3093,港建*,26.75,1.8,1.73,3.83,113Q3
1140306,3095,及成,29.15,0.0,0.0,5.11,113Q3
1140306,3105,穩懋,30.56,0.0,0.0,1.24,113Q3
1140306,3114,好德,30.06,1.2,4.75,1.07,113Q3
1140306,3118,進階,16.78,1.8,5.37,1.94,113Q4
1140306,3128,昇銳,30.89,0.8,2.7,1.94,113Q3
1140306,3131,弘塑,45.18,22.0,1.82,8.1,113Q3
1140306,3141,晶宏,67.5,0.50624798,0.65,2.37,113Q4
1140306,3147,大綜,29.42,6.2,3.03,6.18,113Q3
1140306,3152,璟德,26.09,5.59,3.45,2.97,113Q4
1140306,3163,波若威,30.0,3.0,1.74,4.9,113Q4
1140306,3169,亞信,33.04,3.0,2.65,4.01,113Q4
1140306,3171,炎洲流通,12.18,2.0,5.26,1.82,113Q3
1140306,3178,公準,52.13,2.25,3.4,2.47,113Q3
1140306,3188,鑫龍騰,8.08,1.6,5.1,2.13,113Q3
1140306,3206,志豐,11.36,2.5,5.66,1.68,113Q3
1140306,3207,耀勝,941.67,0.89865405,0.8,4.85,113Q3
1140306,3211,順達,10.69,12.5,6.65,2.67,113Q4
1140306,3213,茂訊,13.67,5.4,4.12,2.74,113Q3
1140306,3217,優群,15.52,8.8,5.52,3.19,113Q3
