資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比,財報年/季
1140512,1240,茂生農經,13.41,3.4,5.84,1.66,113Q4
1140512,1259,安心,45.73,1.2,2.0,0.82,114Q1
1140512,1264,德麥,15.23,14.5,4.63,3.36,113Q4
1140512,1268,漢來美食,15.43,7.5,5.0,2.6,114Q1
1140512,1294,漢田生技,13.9,4.23,5.05,2.82,113Q4
1140512,1336,台翰,10.19,0.945,4.42,0.86,113Q4
1140512,1565,精華,11.87,9.5,5.52,1.39,114Q1
1140512,1570,力肯,10.09,1.3,5.73,1.14,113Q4
1140512,1580,新麥,10.78,9.0,6.14,2.32,113Q4
1140512,1584,精剛,21.37,0.7,2.43,1.33,114Q1
1140512,1586,和勤,66.16,0.3,1.05,1.51,113Q4
1140512,1593,祺驊,14.74,1.6,5.12,0.96,114Q1
1140512,1599,宏佳騰,17.06,0.5,1.72,1.08,114Q1
1140512,1742,台蠟,18.26,0.0,0.0,1.08,113Q4
1140512,1777,生泰,10.54,5.3,5.88,1.68,114Q1
1140512,1781,合世,42.42,0.0,0.0,1.67,114Q1
1140512,1784,訊聯,44.85,1.40949789,1.9,2.82,113Q4
1140512,1785,光洋科,17.62,2.0,3.7,2.2,114Q1
1140512,1788,杏昌,17.82,7.0,4.86,2.14,113Q4
1140512,1815,富喬,229.62,0.0,0.0,2.0,113Q4
1140512,2063,世鎧,16.42,2.0,6.31,1.4,113Q4
1140512,2065,世豐,11.47,3.03200675,7.42,1.28,113Q4
1140512,2066,世德,13.47,3.0,3.61,1.65,113Q4
1140512,2070,精湛,18.06,1.5,3.04,1.92,114Q1
1140512,2073,雄順,65.45,0.7,2.43,1.78,114Q1
1140512,2221,大甲,13.32,1.3,4.83,1.1,113Q4
1140512,2230,泰茂,17.13,3.0,2.87,4.44,113Q4
1140512,2235,謚源,17.57,3.0,6.4,1.29,113Q4
1140512,2596,綠意,49.85,1.0,2.99,1.65,113Q4
1140512,2640,大車隊,15.29,7.0,5.13,3.9,113Q4
1140512,2641,正德,10.76,0.5,2.42,0.86,113Q4
1140512,2643,捷迅,11.51,4.5,5.98,1.39,114Q1
1140512,2718,全心投控,1.49,3.0,5.68,0.89,113Q4
1140512,2719,燦星旅,43.56,0.0,0.0,4.19,114Q1
1140512,2724,藝舍-KY,8.82,0.0,0.0,3.39,113Q4
1140512,2726,雅茗-KY,6.13,0.0,0.0,1.69,113Q4
1140512,2729,瓦城,22.86,9.0,4.37,3.14,113Q4
1140512,2732,六角,18.91,4.9997807,5.52,2.11,113Q4
1140512,2734,易飛網,25.65,0.0,0.0,2.02,113Q4
1140512,2743,山富,14.5,5.0,4.76,3.63,113Q4
1140512,2745,五福,12.78,6.5,4.96,4.44,114Q1
1140512,2751,王座,14.77,4.5,6.7,2.89,113Q4
1140512,2752,豆府,13.86,14.0,6.45,4.26,113Q4
1140512,2754,亞洲藏壽司,34.42,0.8,1.01,2.21,113Q4
1140512,2755,揚秦,21.92,5.0,3.91,4.69,113Q4
1140512,2756,聯發國際,40.54,2.5,2.56,4.47,113Q4
1140512,2916,滿心,11.96,3.6,7.19,2.01,113Q4
1140512,2926,誠品生活,184.81,0.2,0.4,3.88,113Q4
1140512,2937,集雅社,10.62,3.0,6.52,1.85,114Q1
1140512,2941,米斯特,19.56,3.2,5.58,2.66,114Q1
1140512,2947,振宇五金,23.17,3.1,3.5,2.21,114Q1
1140512,2948,寶陞,17.81,2.15333333,5.52,1.1,113Q4
1140512,2949,欣新網,26.53,3.1,3.5,2.19,113Q4
1140512,3064,泰偉,1290.0,0.0,0.0,8.03,113Q4
1140512,3066,李洲,30.96,0.0,0.0,1.33,114Q1
1140512,3071,協禧,26.56,0.81,3.96,1.43,114Q1
1140512,3073,天方能源,33.01,0.65,1.21,2.75,114Q1
1140512,3078,僑威,14.06,4.0,5.06,2.57,113Q4
1140512,3081,聯亞,975.0,0.5,0.17,7.17,114Q1
1140512,3083,網龍,89.77,0.0,0.0,2.61,114Q1
1140512,3086,華義,1070.0,0.65000021,0.4,12.23,114Q1
1140512,3088,艾訊,14.46,4.5,4.43,2.28,114Q1
1140512,3093,港建*,27.36,1.08,3.72,3.93,113Q4
1140512,3095,及成,44.7,0.0,0.0,4.24,113Q4
1140512,3105,穩懋,100.67,1.0,1.12,1.05,114Q1
1140512,3114,好德,12.83,1.2,5.19,0.94,113Q4
1140512,3118,進階,16.51,1.8,5.4,1.87,114Q1
1140512,3128,昇銳,12.66,1.2,4.54,1.56,114Q1
1140512,3131,弘塑,32.34,22.0,2.34,6.05,113Q4
