資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比,財報年/季
1140204,3294,英濟,81.63,0.0,0.0,2.16,113Q3
1140204,3303,岱稜,12.95,1.75,3.64,2.14,113Q3
1140204,3306,鼎天,16.79,1.3,2.75,0.75,113Q3
1140204,3310,佳穎,29.54,4.29970743,4.8,3.42,113Q3
1140204,3313,斐成,11.58,0.0,0.0,1.62,113Q3
1140204,3317,尼克森,20.42,1.80013374,3.9,1.25,113Q3
1140204,3324,雙鴻,30.8,6.34797488,1.14,5.91,113Q3
1140204,3332,幸康,18.87,1.6,4.0,1.12,113Q3
1140204,3339,泰谷,152.95,0.0,0.0,2.4,113Q3
1140204,3357,臺慶科,18.46,4.5,3.98,1.61,113Q3
1140204,3362,先進光,75.68,1.0,0.51,7.24,113Q3
1140204,3374,精材,30.56,2.0,1.08,5.84,113Q3
1140204,3379,彬台,46.64,0.2,0.39,3.3,113Q3
1140204,3388,崇越電,17.22,3.1,4.55,1.13,113Q3
1140204,3390,旭軟,28.17,0.7,2.67,1.46,113Q3
1140204,3402,漢科,15.51,4.5,4.46,3.8,113Q3
1140204,3426,台興,16.29,2.0,3.96,1.83,113Q3
1140204,3430,奇鈦科,14.38,2.0,3.46,1.8,113Q3
1140204,3434,哲固,24.43,0.5,1.78,2.35,113Q3
1140204,3438,類比科,47.8,0.5,0.79,1.6,113Q3
1140204,3441,聯一光,53.43,0.5,1.4,1.85,113Q3
1140204,3444,利機,46.77,2.5,3.26,3.3,113Q3
1140204,3455,由田,21.67,5.0,4.81,2.52,113Q3
1140204,3479,安勤,14.27,5.98868238,6.62,2.06,113Q3
1140204,3483,力致,20.98,5.04975935,3.8,2.42,113Q3
1140204,3484,崧騰,13.61,1.1998946,2.33,1.34,113Q3
1140204,3490,單井,11.53,1.2,4.03,1.22,113Q3
1140204,3491,昇達科,64.12,3.35101141,0.78,10.58,113Q3
1140204,3492,長盛,20.7,0.33,1.4,1.36,113Q3
1140204,3512,皇龍,10.02,3.20569069,10.1,1.49,113Q3
1140204,3516,亞帝歐,95.0,0.2,0.88,0.89,113Q3
1140204,3520,華盈,226.88,0.1,0.55,1.56,113Q3
1140204,3526,凡甲,17.65,11.39277243,4.3,5.12,113Q3
1140204,3527,聚積,1260.0,2.0,2.65,1.39,113Q3
