資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
1131217,1240,茂生農經,11.69,2.7,5.19,1.16
1131217,1259,安心,22.95,1.8,2.79,0.86
1131217,1264,德麥,15.48,14.0,4.5,3.52
1131217,1268,漢來美食,17.49,7.0,4.68,2.86
1131217,1294,漢田生技,13.65,4.0,4.57,3.07
1131217,1336,台翰,13.52,0.41,1.63,1.03
1131217,1565,精華,16.01,7.0,3.51,1.6
1131217,1570,力肯,16.24,1.0,3.48,1.5
1131217,1580,新麥,11.48,9.0,6.23,2.41
1131217,1584,精剛,8.7,1.5,5.29,1.46
1131217,1586,和勤,43.2,0.1303314,0.47,1.46
1131217,1593,祺驊,29.88,1.6,4.22,1.16
1131217,1599,宏佳騰,149.52,0.0,0.0,1.16
1131217,1742,台蠟,53.71,0.0,0.0,1.09
1131217,1777,生泰,12.72,3.5,3.75,1.69
1131217,1784,訊聯,79.43,1.41847555,1.7,3.38
1131217,1785,光洋科,29.0,1.20013385,1.87,2.8
1131217,1788,杏昌,16.71,7.0,5.04,2.1
1131217,2063,世鎧,15.09,4.5,13.87,1.46
1131217,2065,世豐,13.46,4.34545793,8.73,1.54
1131217,2066,世德,12.04,3.77751226,4.16,1.82
1131217,2070,精湛,20.81,1.5,2.02,2.93
1131217,2073,雄順,40.51,0.6,2.15,1.75
1131217,2221,大甲,17.18,1.3,4.45,1.25
1131217,2230,泰茂,19.67,0.93861079,0.79,5.36
1131217,2235,謚源,21.1,2.5,5.41,1.29
1131217,2596,綠意,151.54,1.0,2.54,2.05
1131217,2640,大車隊,15.63,6.0,4.62,4.0
1131217,2641,正德,9.31,0.48155935,2.64,0.8
1131217,2643,捷迅,10.99,5.0,6.65,1.4
1131217,2718,晶悅,2.41,3.0,3.56,1.43
1131217,2719,燦星旅,12.74,0.0,0.0,3.82
1131217,2724,藝舍-KY,13.87,0.0,0.0,4.88
1131217,2726,雅茗-KY,14.06,0.0,0.0,2.32
1131217,2729,瓦城,23.56,11.0,5.39,3.19
1131217,2732,六角,20.29,6.49655101,6.28,2.44
1131217,2734,易飛網,18.84,0.0,0.0,3.1
1131217,2743,山富,10.96,3.0,3.06,3.48
1131217,2745,五福,9.82,3.5,3.29,4.32
1131217,2751,王座,16.91,5.0,7.43,3.04
1131217,2752,豆府,17.22,13.3,5.48,5.21
1131217,2754,亞洲藏壽司,41.16,1.5,1.69,2.48
1131217,2755,揚秦,19.69,3.6,3.38,4.15
1131217,2756,聯發國際,33.03,4.5,5.9,3.49
1131217,2916,滿心,12.95,4.0,8.13,2.12
1131217,2926,誠品生活,114.17,0.0,0.0,3.99
1131217,2937,集雅社,12.16,2.0,5.22,1.61
1131217,2941,米斯特,19.77,3.18161143,5.17,2.62
1131217,2947,振宇五金,25.46,1.3,1.56,2.14
1131217,2948,寶陞,23.07,3.31428571,6.84,1.43
1131217,2949,欣新網,21.62,2.5,3.03,2.06
1131217,3064,泰偉,253.33,0.0,0.0,9.19
1131217,3066,李洲,18.82,0.0,0.0,1.53
1131217,3071,協禧,42.66,1.03,3.77,2.01
1131217,3073,天方能源,105.18,0.0,0.0,4.2
1131217,3078,僑威,13.41,4.8,7.14,2.33
1131217,3083,網龍,52.17,0.0,0.0,2.77
1131217,3086,華義,144.04,1.50000004,0.96,12.05
1131217,3088,艾訊,15.24,4.29279723,4.15,2.42
1131217,3093,港建*,27.37,1.8,6.78,3.92
1131217,3095,及成,25.58,0.0,0.0,4.49
1131217,3105,穩懋,31.69,0.0,0.0,1.29
1131217,3114,好德,30.89,1.2,4.62,1.1
1131217,3118,進階,15.99,1.7,5.26,1.94
1131217,3128,昇銳,28.8,0.8,2.89,1.81
1131217,3131,弘塑,68.71,16.0,0.87,12.32
1131217,3147,大綜,22.23,5.0,3.24,4.67
1131217,3152,璟德,30.26,3.68,2.08,3.34
1131217,3163,波若威,27.84,3.6,2.88,3.77
1131217,3169,亞信,31.77,3.5,3.14,4.13
1131217,3171,炎洲流通,11.38,2.0,5.63,1.7
1131217,3178,公準,48.19,2.25,3.68,2.29
1131217,3188,鑫龍騰,7.01,1.6,5.88,1.84
1131217,3206,志豐,10.75,2.5,5.98,1.59
1131217,3207,耀勝,779.17,0.89865405,0.96,4.02
1131217,3211,順達,9.66,5.52904,3.11,2.6
1131217,3213,茂訊,8.88,5.4,6.35,1.78
1131217,3217,優群,15.37,6.4,4.05,3.16
1131217,3218,大學光,15.87,7.0,3.47,5.05
1131217,3219,倚強科,165.54,0.36466706,0.79,2.5
1131217,3221,台嘉碩,52.92,0.7002741,2.76,1.23
1131217,3226,至寶電,9.25,0.5,1.07,1.65
1131217,3227,原相,24.03,4.51535132,1.83,3.32
1131217,3230,錦明,16.33,0.0,0.0,4.03
1131217,3232,昱捷,152.67,0.5,2.18,1.53
1131217,3260,威剛,7.45,3.0,3.83,1.44
1131217,3264,欣銓,11.0,3.3,6.51,1.34
1131217,3265,台星科,19.57,4.8,4.27,2.53
1131217,3276,宇環,130.0,0.2,1.28,1.36
1131217,3284,太普高,10.84,0.6,2.03,2.17
1131217,3285,微端,32.95,1.0,3.66,1.97
1131217,3287,廣寰科,15.93,0.843929,2.53,2.49
1131217,3289,宜特,23.76,3.72716138,2.67,3.02
1131217,3290,東浦,18.96,0.99525139,3.2,1.7
1131217,3293,鈊象,34.97,45.0,4.5,20.57
1131217,3294,英濟,58.26,0.0,0.0,1.54
1131217,3303,岱稜,13.91,1.75,3.39,2.3
1131217,3306,鼎天,18.05,1.3,2.55,0.81
1131217,3310,佳穎,30.33,4.29970743,4.68,3.51
1131217,3313,斐成,10.92,0.0,0.0,1.53
1131217,3317,尼克森,21.11,1.80013374,3.77,1.3
1131217,3324,雙鴻,36.68,6.34797488,0.96,7.04
1131217,3332,幸康,18.87,1.6,4.0,1.12
1131217,3339,泰谷,174.77,0.0,0.0,2.74
1131217,3357,臺慶科,19.2,4.5,3.83,1.67
1131217,3362,先進光,76.45,1.0,0.51,7.31
1131217,3374,精材,33.61,2.0,0.98,6.42
1131217,3379,彬台,30.5,0.2,0.6,2.16
1131217,3388,崇越電,17.6,3.1,4.45,1.15
1131217,3390,旭軟,28.49,0.7,2.64,1.48
1131217,3402,漢科,15.67,4.5,4.41,3.84
1131217,3426,台興,15.5,2.0,4.16,1.75
1131217,3430,奇鈦科,14.6,2.0,3.41,1.83
1131217,3434,哲固,25.65,0.5,1.69,2.47
1131217,3438,類比科,48.94,0.5,0.77,1.64
1131217,3441,聯一光,52.46,0.5,1.42,1.82
1131217,3444,利機,47.44,2.5,3.21,3.34
1131217,3455,由田,24.69,5.0,4.22,2.87
1131217,3479,安勤,14.2,5.98868238,6.65,2.05
1131217,3483,力致,23.9,5.04975935,3.33,2.76
1131217,3484,崧騰,15.15,1.1998946,2.09,1.49
1131217,3490,單井,11.41,1.2,4.07,1.21
1131217,3491,昇達科,46.66,3.35101141,1.07,7.7
1131217,3492,長盛,21.58,0.33,1.34,1.42
1131217,3512,皇龍,9.43,3.20569069,10.72,1.4
1131217,3516,亞帝歐,100.0,0.2,0.83,0.93
1131217,3520,華盈,246.25,0.1,0.51,1.69
1131217,3526,凡甲,17.75,11.39277243,4.27,5.15
1131217,3527,聚積,1133.33,2.0,2.94,1.25
1131217,3529,力旺,146.45,17.49899,0.52,82.9
1131217,3531,先益,42.06,1.7,6.42,0.88
1131217,3537,堡達,19.29,2.5,4.63,2.51
1131217,3546,宇峻,18.2,4.50000014,5.84,2.71
1131217,3548,兆利,20.01,4.5,2.55,2.05
1131217,3551,世禾,19.6,2.8,2.3,1.84
1131217,3552,同致,39.08,3.0,3.2,1.98
1131217,3556,禾瑞亞,93.3,0.9,2.05,2.45
1131217,3558,神準,39.68,4.0,2.04,2.08
1131217,3564,其陽,75.71,0.35,0.47,3.17
1131217,3567,逸昌,14.83,2.7,8.71,1.79
1131217,3570,大塚,14.27,8.0,4.61,3.15
1131217,3577,泓格,37.81,1.0,1.65,2.96
1131217,3580,友威科,17.42,2.02,2.41,3.24
1131217,3581,博磊,1746.67,0.5,0.95,3.2
1131217,3587,閎康,23.52,8.92658585,3.62,3.45
1131217,3594,磐儀,71.83,0.6,1.18,2.2
1131217,3597,映興,78.78,0.3,0.78,2.59
1131217,3611,鼎翰,13.75,12.99793213,6.4,1.88
1131217,3615,安可,79.57,0.7,2.51,0.84
1131217,3624,光頡,23.58,1.2,2.78,1.51
1131217,3628,盈正,28.02,2.0,4.35,1.25
1131217,3646,艾恩特,17.18,1.5,5.36,2.02
1131217,3663,鑫科,266.67,0.58697327,0.82,4.28
1131217,3664,安瑞-KY,2360.0,0.0,0.0,4.7
1131217,3675,德微,30.88,5.0,2.15,4.61
1131217,3680,家登,41.22,7.50736239,1.48,5.02
1131217,3684,榮昌,26.29,0.8,1.79,2.11
1131217,3687,歐買尬,37.11,1.57424091,1.75,1.84
1131217,3689,湧德,21.74,2.4458291,2.33,2.25
1131217,3693,營邦,13.94,10.0,3.03,2.94
1131217,3709,鑫聯大投控,18.82,0.8,2.64,1.38
1131217,4102,永日,14.9,0.8,2.63,1.93
1131217,4105,東洋,16.13,3.5,4.82,2.91
1131217,4107,邦特,16.88,4.5,3.7,2.56
1131217,4109,加捷生醫,5.52,0.5,2.28,1.59
1131217,4111,濟生,22.36,1.0,3.58,1.3
1131217,4113,聯上,9.81,0.0,0.0,1.49
1131217,4114,健喬,19.73,1.6,4.92,1.93
1131217,4116,明基醫,18.13,2.0,4.26,1.91
1131217,4120,友華,21.48,1.0,2.12,0.79
1131217,4126,太醫,16.26,4.8,5.19,2.38
1131217,4127,天良,126.41,0.5,1.24,3.89
1131217,4129,聯合,19.77,4.00266145,4.29,2.41
1131217,4130,健亞,151.07,0.45,2.13,1.6
1131217,4138,曜亞,16.79,7.75,8.52,2.29
1131217,4153,鈺緯,26.09,1.25,3.15,2.25
1131217,4157,太景*-KY,46.88,0.0,0.0,7.26
1131217,4160,訊聯基因,33.2,1.01193677,1.39,3.38
1131217,4161,聿新科,17.39,0.7,2.14,1.99
1131217,4162,智擎,34.13,1.5,1.73,3.13
1131217,4163,鐿鈦,27.78,3.5,3.04,2.25
1131217,4167,松瑞藥,34.82,0.0851,0.43,1.82
1131217,4173,久裕,17.6,0.91967604,4.32,0.85
1131217,4175,杏一,116.85,1.59869966,2.53,1.9
1131217,4183,福永生技,17.8,0.8,3.54,1.72
1131217,4192,杏國,3455.0,0.0,0.0,3.9
1131217,4198,欣大健康,7.18,0.0,0.0,2.94
1131217,4205,中華食,21.15,3.0,3.41,3.95
1131217,4207,環泰,15.38,1.0,6.19,1.18
1131217,4303,信立,11.08,1.16441658,2.32,2.73
1131217,4305,世坤,13.01,2.5,5.9,2.02
1131217,4401,東隆興,35.68,0.5,2.38,0.98
1131217,4416,三圓,918.75,1.98805698,2.7,2.93
1131217,4417,金洲,10.4,2.0,4.82,1.2
1131217,4420,光明,1.18,20.0,35.71,1.53
1131217,4432,銘旺實,18.21,0.69,3.01,0.83
1131217,4433,興采,56.02,1.0,3.64,0.87
1131217,4442,竣邦-KY,16.81,0.8,1.91,2.05
1131217,4502,健信,107.22,0.0,0.0,1.6
1131217,4506,崇友,19.83,4.0,3.9,3.45
1131217,4510,高鋒,46.59,0.7,1.44,2.79
1131217,4527,方土霖,10.06,2.4,5.3,2.04
1131217,4528,江興鍛,288.89,0.6,2.31,0.97
1131217,4533,協易機,41.67,1.16479823,2.91,2.42
1131217,4535,至興,14.51,1.6,4.67,1.04
1131217,4538,大詠城,25.26,0.79816602,4.05,1.31
1131217,4541,晟田,3490.0,0.0,0.0,1.5
1131217,4543,萬在,24.14,1.5,3.68,1.36
1131217,4549,桓達,38.63,4.2,2.4,5.42
1131217,4550,長佳,10.99,2.1,7.89,1.1
1131217,4554,橙的,14.4,1.0,3.45,1.5
1131217,4556,旭然,452.86,0.35,1.1,1.6
1131217,4558,寶緯,212.94,0.0,0.0,2.0
1131217,4561,健椿,19.67,1.0,1.38,3.08
1131217,4563,百德,29.6,0.534,0.55,3.29
1131217,4568,科際精密,21.37,2.5,5.0,1.45
1131217,4580,捷流閥業,12.21,4.79830887,5.13,1.69
1131217,4584,君帆,16.68,2.0,3.18,1.9
1131217,4702,中美實,28.3,0.0,0.0,0.78
1131217,4706,大恭,39.02,0.2,0.63,1.68
1131217,4707,磐亞,15.91,0.9,6.43,0.89
1131217,4714,永捷,80.95,0.0,0.0,1.37
1131217,4716,大立,18.59,0.0,0.0,1.51
1131217,4721,美琪瑪,24.63,1.1,1.56,4.15
1131217,4728,雙美,21.71,11.0,3.95,11.1
1131217,4729,熒茂,1270.0,0.5,1.97,1.77
1131217,4735,豪展,68.86,1.0,2.55,1.58
1131217,4741,泓瀚,17.72,1.8,5.03,1.28
1131217,4744,皇將,95.24,0.1,0.5,0.96
1131217,4747,強生,40.44,1.49839697,2.04,1.96
1131217,4754,國碳科,14.44,1.8,4.37,2.49
1131217,4760,勤凱,23.4,2.7,2.45,3.78
1131217,4767,誠泰科技,11.09,1.5,4.62,1.08
1131217,4768,晶呈科技,67.05,4.0,2.26,4.89
1131217,4772,台特化,65.91,1.0,0.63,7.59
1131217,4903,聯光通,33.39,0.0,0.0,3.28
1131217,4905,台聯電,39.17,1.5,1.88,0.82
1131217,4907,富宇,8.32,1.3,1.97,3.11
1131217,4908,前鼎,41.77,2.4,2.31,5.02
1131217,4909,新復興,14.48,0.5,0.42,3.62
1131217,4911,德英,37.81,1.170686,2.05,4.2
1131217,4931,新盛力,21.14,0.8,1.44,3.24
1131217,4933,友輝,11.19,2.977099,4.51,1.5
1131217,4939,亞電,59.53,0.5,2.62,1.21
1131217,4945,陞達科技,28.57,2.0,2.78,3.23
1131217,4951,精拓科,16.32,2.5,3.74,2.66
1131217,4953,緯軟,15.27,4.95741414,4.11,2.33
1131217,4966,譜瑞-KY,25.29,12.76692735,1.61,2.92
1131217,4972,湯石照明,33.59,0.7,2.94,0.85
1131217,4973,廣穎,10.36,2.0,6.61,0.89
1131217,4974,亞泰,16.56,4.2,4.1,2.32
1131217,4979,華星光,45.8,1.43000433,0.82,7.75
1131217,4987,科誠,13.22,3.5,4.46,2.16
1131217,4995,晶達,14.5,3.19969628,4.71,2.96
1131217,5009,榮剛,9.3,2.5,5.51,1.45
1131217,5011,久陽,13.81,1.0,4.93,0.9
1131217,5013,強新,19.23,0.9,2.77,1.17
1131217,5014,建錩,37.7,1.0,7.17,0.83
1131217,5015,華祺,84.65,3.0,8.24,1.69
1131217,5016,松和,17.22,0.7,2.54,0.93
1131217,5201,凱衛,27.1,1.5,5.17,2.2
1131217,5202,力新,6.2,0.7,2.98,1.63
1131217,5206,坤悅,10.72,1.3,3.22,1.96
1131217,5209,新鼎,12.66,10.51163408,5.96,5.36
1131217,5212,凌網,14.58,3.0,5.12,3.91
1131217,5213,亞昕,34.38,0.50548665,1.65,1.51
1131217,5220,萬達光電,59.46,0.9,4.09,1.11
1131217,5230,雷笛克光學,38.16,0.51682237,1.78,1.16
1131217,5236,凌陽創新,18.03,7.0,4.67,3.53
1131217,5274,信驊,74.54,20.0,0.52,30.6
1131217,5276,達輝-KY,95.71,0.6,2.99,1.57
1131217,5278,尚凡*,49.67,12.77456623,3.42,20.58
1131217,5287,數字,15.45,10.73850488,5.74,5.29
1131217,5289,宜鼎,17.69,10.4,4.89,2.7
1131217,5291,邑昇,127.37,0.8,3.31,1.04
1131217,5299,杰力,17.9,4.11,4.72,1.4
1131217,5309,系統電,51.05,0.69998896,1.8,2.47
1131217,5310,天剛,15.03,0.0,0.0,5.17
1131217,5312,寶島科,13.19,6.0,5.48,1.99
1131217,5314,世紀,49.61,1.8,0.35,23.54
1131217,5315,光聯,28.13,0.8,3.79,1.35
1131217,5324,士開,144.44,0.0,0.0,2.1
1131217,5328,華容,123.93,0.35,2.02,1.54
1131217,5340,建榮,74.0,0.0,0.0,3.89
1131217,5344,立衛,26.57,0.0,0.0,2.8
1131217,5347,世界,20.95,4.5,4.64,3.61
1131217,5353,台林,17.59,1.42,4.36,1.81
1131217,5356,協益,4.43,2.3,7.52,0.68
1131217,5371,中光電,35.24,3.0,3.75,1.28
1131217,5381,合正,62.97,0.0,0.0,3.76
1131217,5386,青雲,35.0,1.3,1.51,4.84
1131217,5392,能率,480.0,0.3,1.04,0.83
1131217,5403,中菲,16.45,6.00078664,5.15,3.68
1131217,5410,國眾,18.35,2.06146392,6.49,2.08
1131217,5425,台半,35.61,2.0,3.62,1.78
1131217,5426,振發,70.57,0.0,0.0,2.03
1131217,5432,新門,121.2,1.0,0.66,8.11
1131217,5438,東友,127.61,0.5,1.7,1.16
1131217,5439,高技,37.93,4.1,3.35,4.83
1131217,5443,均豪,53.81,1.2,1.0,2.74
1131217,5450,南良,23.8,0.24997755,1.4,1.24
1131217,5452,佶優,122.69,0.15,0.47,2.21
1131217,5455,昇益,11.21,0.0,0.0,4.23
1131217,5457,宣德,31.52,0.31944492,0.55,2.14
1131217,5465,富驊,22.34,1.5,3.88,2.37
1131217,5474,聰泰,25.47,3.5,2.17,3.43
1131217,5478,智冠,17.99,9.0,6.98,2.01
1131217,5483,中美晶,11.69,8.8,6.2,1.72
1131217,5489,彩富,48.88,1.02028666,2.61,1.75
1131217,5493,三聯,13.18,3.1,4.08,1.78
1131217,5508,永信建,6.96,11.2912,8.15,3.83
1131217,5511,德昌,8.24,5.0,7.97,1.2
1131217,5512,力麒,82.58,0.54,5.45,0.55
1131217,5514,三豐,98.5,0.5,2.54,1.43
1131217,5520,力泰,9.35,4.6,5.65,1.9
1131217,5523,豐謙,18.74,1.5,5.44,1.42
1131217,5530,龍巖,19.53,0.0,0.0,0.9
1131217,5536,聖暉*,19.96,10.5,2.95,4.16
1131217,5548,安倉,13.21,1.5,5.57,1.66
1131217,5601,台聯櫃,88.75,0.385,1.08,1.67
1131217,5603,陸海,14.97,1.2,4.5,1.44
1131217,5604,中連,16.8,2.0,4.76,2.04
1131217,5609,中菲行,12.62,6.0,7.38,1.97
1131217,5703,亞都,75.42,0.0,0.0,2.73
1131217,5704,老爺知,15.92,1.5,4.24,2.44
1131217,5864,致和證,4.7,1.5,10.1,0.8
1131217,5878,台名,19.56,2.5,5.42,2.14
1131217,5902,德記,18.62,1.5,3.76,3.13
1131217,5903,全家,11.29,5.8,3.07,4.38
1131217,5904,寶雅,18.89,21.1,4.29,8.07
1131217,6015,宏遠證,10.54,0.25,2.33,0.77
1131217,6016,康和證,9.15,1.15,8.55,0.87
1131217,6020,大展證,20.43,0.89916258,4.78,1.01
1131217,6021,美好證,27.82,0.6,2.54,0.94
1131217,6023,元大期,12.62,5.0,5.64,1.68
1131217,6026,福邦證,8.66,1.28,10.41,0.86
1131217,6101,寬魚國際,118.75,0.168,0.44,3.77
1131217,6103,合邦,170.65,0.0,0.0,5.6
1131217,6104,創惟,75.35,1.8,1.11,7.98
1131217,6118,建達,30.79,0.0,0.0,1.99
1131217,6121,新普,13.7,21.7,5.54,1.99
1131217,6122,擎邦,9.96,3.7,7.1,2.34
1131217,6123,上奇,16.93,4.0,7.05,2.4
1131217,6125,廣運,63.59,1.7,2.09,4.63
1131217,6126,信音,28.48,1.08097786,3.72,1.05
1131217,6138,茂達,19.04,5.96965123,3.35,3.87
1131217,6140,訊達,30.12,0.75,2.96,2.1
1131217,6143,振曜,18.3,4.0,3.69,3.18
1131217,6146,耕興,16.06,10.5,5.21,3.81
1131217,6147,頎邦,11.92,3.75,5.91,0.99
1131217,6148,驊宏資,16.24,1.2,4.71,2.01
1131217,6151,晉倫,27.7,1.5,3.56,2.32
1131217,6154,順發,29.35,0.72,4.54,1.01
1131217,6156,松上,17.97,0.79869278,3.07,1.18
1131217,6158,禾昌,24.02,1.00064551,3.56,1.29
1131217,6161,捷波,13.31,2.0,4.04,2.16
1131217,6163,華電網,141.56,0.3,1.32,1.36
1131217,6167,久正,125.45,0.5,3.62,1.24
1131217,6170,統振,24.7,2.73,5.53,2.67
1131217,6171,大城地產,8.07,1.5,3.67,1.97
1131217,6173,信昌電,16.9,1.20560747,2.82,1.04
1131217,6174,安碁,40.76,0.14,0.58,1.82
1131217,6175,立敦,14.21,1.0458208,2.7,1.54
1131217,6180,橘子,6.13,3.28,4.14,1.97
1131217,6182,合晶,890.0,0.65,2.43,1.02
1131217,6185,幃翔,161.11,0.52,3.59,1.0
1131217,6186,新潤,15.34,3.50003678,5.75,3.22
1131217,6187,萬潤,42.75,1.47283335,0.35,6.79
1131217,6188,廣明,35.22,3.2,3.12,3.1
1131217,6190,萬泰科,16.56,1.16267033,3.37,1.87
1131217,6194,育富,12.28,1.8,4.92,0.93
1131217,6195,詩肯,26.22,2.0,5.65,1.38
1131217,6199,天品,117.79,0.0,0.0,9.37
1131217,6203,海韻電,19.52,4.99707959,7.76,1.85
1131217,6204,艾華,40.37,17.43,26.82,4.53
1131217,6207,雷科,27.2,1.5,2.76,2.26
1131217,6208,日揚,14.08,0.0,0.0,1.64
1131217,6212,理銘,7.56,3.5,6.03,1.81
1131217,6219,富旺,23.79,0.0,0.0,2.78
1131217,6221,晉泰,17.07,2.49286305,4.03,2.18
1131217,6223,旺矽,46.2,7.5,0.82,9.88
1131217,6227,茂綸,14.92,2.5,3.23,2.33
1131217,6229,研通,38.05,0.5,1.6,1.69
1131217,6231,系微,63.97,4.5,1.06,18.08
1131217,6233,旺玖,92.74,0.20916259,0.73,1.84
1131217,6234,高僑,33.01,0.65,2.37,0.98
1131217,6240,松崗,22.09,0.0,0.0,1.11
1131217,6241,易通展,12.74,0.0,0.0,1.77
1131217,6242,立康,16.65,2.5,5.82,1.65
1131217,6244,茂迪,51.4,0.32,1.45,1.94
1131217,6245,立端,15.58,4.25,4.79,2.22
1131217,6248,沛波,5.67,2.0,7.3,1.24
1131217,6259,百徽,41.7,1.19714368,6.11,1.41
1131217,6261,久元,13.14,4.0,6.55,1.2
1131217,6263,普萊德,18.04,7.4,4.98,5.85
1131217,6265,方土昶,177.5,0.0,0.0,0.94
1131217,6266,泰詠,16.02,1.96,5.82,2.03
1131217,6270,倍微,108.96,1.0,3.82,0.46
1131217,6274,台燿,21.26,4.00752,2.24,3.71
1131217,6275,元山,11.44,2.97434398,6.53,2.24
1131217,6279,胡連,14.21,5.25,2.97,2.65
1131217,6284,佳邦,14.15,2.0,2.57,1.56
1131217,6290,良維,15.67,2.973209,4.19,1.81
1131217,6291,沛亨,13.33,8.0,8.5,3.01
1131217,6292,迅德,11.45,4.2,7.92,2.01
1131217,6294,智基,14.52,8.0,13.18,2.59
1131217,6411,晶焱,25.38,2.45758,2.71,1.89
1131217,6417,韋僑,30.09,2.0,1.93,2.82
1131217,6418,詠昇,20.89,1.1,5.54,1.36
1131217,6419,京晨科,12.21,3.8,3.65,3.98
1131217,6425,易發,129.21,0.5,0.61,4.2
1131217,6432,今展科,31.11,1.24311639,4.44,1.03
1131217,6435,大中,17.31,2.8,3.04,1.96
1131217,6469,大樹,29.33,5.29618911,3.47,5.96
1131217,6470,宇智,30.12,2.8,5.53,1.78
1131217,6482,弘煜科,23.35,1.5,3.03,3.3
1131217,6486,互動,12.65,5.69330092,7.05,2.15
1131217,6488,環球晶,13.38,19.0,4.92,1.96
1131217,6494,九齊,18.64,1.62,3.18,1.47
1131217,6506,雙邦,25.67,0.4,2.33,1.15
1131217,6508,惠光,37.19,1.0,3.36,1.05
1131217,6509,聚和,14.9,1.25,3.29,1.51
1131217,6510,精測,133.07,0.5,0.06,3.54
1131217,6516,勤崴國際,55.93,1.96,2.97,3.58
1131217,6517,保勝光學,19.16,1.5,2.44,2.97
