證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,2.96,112,30.45,1.09,2024Q1
1102,亞泥,5.05,112,13.25,0.86,2024Q1
1103,嘉泥,2.87,112,580.0,0.55,2024Q1
1104,環泥,6.42,112,10.08,0.92,2024Q1
1108,幸福,6.41,112,12.09,1.32,2024Q1
1109,信大,6.86,112,9.02,0.72,2024Q1
1110,東泥,0.88,112,90.6,1.43,2024Q1
1201,味全,1.51,112,33.15,1.22,2024Q1
1203,味王,2.12,112,24.6,2.09,2024Q1
1210,大成,4.19,112,10.77,1.95,2024Q1
1215,卜蜂,5.53,112,13.23,2.95,2024Q1
1216,統一,3.83,112,23.58,3.32,2024Q1
1217,愛之味,1.97,112,27.21,0.82,2024Q1
1219,福壽,4.62,112,19.22,1.25,2024Q1
1220,台榮,2.71,112,13.53,1.1,2024Q1
1225,福懋油,0.95,112,90.18,9.4,2024Q1
1227,佳格,3.23,112,24.46,1.94,2024Q1
1229,聯華,3.35,112,23.71,2.05,2024Q1
1231,聯華食,2.57,112,24.28,4.11,2024Q1
1232,大統益,4.6,112,17.56,4.54,2024Q2
1233,天仁,2.82,112,29.58,2.1,2024Q1
1234,黑松,4.53,112,18.08,0.93,2024Q1
1235,興泰,0.83,112,45.63,1.91,2024Q1
1236,宏亞,2.69,112,100.83,0.91,2024Q1
1256,鮮活果汁-KY,4.0,112,13.3,1.43,2024Q1
1301,台塑,1.82,112,67.07,1.04,2024Q1
1303,南亞,1.47,112,56.55,1.04,2024Q1
1305,華夏,2.04,112,131.92,1.04,2024Q1
1307,三芳,4.73,112,12.43,1.39,2024Q1
1315,達新,7.08,112,18.88,0.66,2024Q1
1319,東陽,4.44,112,14.38,1.99,2024Q1
1321,大洋,1.14,112,43.4,1.26,2024Q1
1323,永裕,3.36,112,33.06,1.11,2024Q1
1324,地球,1.52,112,30.0,1.03,2024Q1
1325,恆大,2.26,112,70.0,0.81,2024Q1
1326,台化,2.62,112,25.37,0.86,2024Q2
1339,昭輝,5.08,112,8.66,1.13,2024Q1
1341,富林-KY,6.81,112,14.23,2.85,2024Q1
1342,八貫,6.42,112,12.16,3.08,2024Q2
1402,遠東新,3.96,112,21.86,0.79,2024Q1
1409,新纖,3.44,112,23.53,0.72,2024Q1
1410,南染,0.81,112,102.64,2.18,2024Q1
1414,東和,1.15,112,80.74,1.53,2024Q1
1416,廣豐,4.41,112,16.94,0.56,2024Q1
1419,新紡,2.58,112,21.43,1.01,2024Q1
1423,利華,1.46,112,95.58,1.38,2024Q1
1434,福懋,2.35,112,111.84,0.74,2024Q2
1436,華友聯,4.36,112,16.15,4.71,2024Q1
1437,勤益控,3.28,112,11.45,0.91,2024Q1
1439,雋揚,1.0,112,14.93,1.05,2024Q1
1440,南紡,2.15,112,10.83,0.91,2024Q2
1442,名軒,5.45,112,11.22,3.05,2024Q1
1445,大宇,15.82,112,2.1,0.87,2024Q2
1446,宏和,1.49,112,15.56,3.57,2024Q1
1449,佳和,0.23,112,18.53,0.89,2024Q1
1452,宏益,1.82,112,21.15,0.77,2024Q2
1453,大將,1.33,112,31.32,1.66,2024Q1
1454,台富,1.31,112,56.03,1.46,2024Q1
1456,怡華,0.95,112,95.91,1.34,2024Q1
1457,宜進,7.39,112,8.22,0.87,2024Q1
1463,強盛,2.05,112,45.19,1.74,2024Q1
1464,得力,1.87,112,89.33,1.05,2024Q1
1465,偉全,3.42,112,16.22,0.92,2024Q1
1470,大統新創,2.83,112,38.68,1.82,2024Q1
1472,三洋實業,3.64,112,12.91,1.59,2024Q1
1473,台南,3.55,112,11.08,1.23,2024Q1
1475,業旺,3.03,112,13.31,3.16,2024Q1
1476,儒鴻,2.67,112,24.04,5.88,2024Q1
1477,聚陽,4.47,112,21.03,6.29,2024Q2
1503,士電,1.38,112,41.52,2.86,2024Q1
1504,東元,4.84,112,17.91,1.29,2024Q1
1513,中興電,2.15,112,46.14,4.47,2024Q1
1514,亞力,1.44,112,37.43,5.84,2024Q1
1515,力山,3.07,112,11.29,1.84,2024Q1
1516,川飛,1.46,112,40.09,1.76,2024Q1
1519,華城,1.12,112,54.88,32.1,2024Q1
1521,大億,1.85,112,39.79,1.61,2024Q2
1522,堤維西,3.22,112,13.99,2.15,2024Q1
1524,耿鼎,4.47,112,10.07,1.8,2024Q1
1525,江申,4.92,112,18.09,1.03,2024Q2
1527,鑽全,4.9,112,12.97,1.16,2024Q1
1529,樂事綠能,1.85,112,66.12,2.8,2024Q1
