證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,1.55,111,27.42,1.07,2023Q3
1102,亞泥,5.76,111,13.92,0.84,2023Q3
1103,嘉泥,2.75,111,69.81,0.56,2023Q3
1104,環泥,6.16,111,8.72,0.89,2023Q3
1108,幸福,5.19,111,8.37,1.25,2023Q3
1109,信大,4.48,111,10.5,0.76,2023Q3
1110,東泥,0.54,111,39.04,1.17,2023Q3
1201,味全,1.28,111,66.96,1.28,2023Q3
1203,味王,1.98,111,32.27,2.35,2023Q3
1210,大成,2.57,111,13.25,2.15,2023Q3
1215,卜蜂,3.62,111,14.03,3.09,2023Q3
1216,統一,4.41,111,21.03,3.2,2023Q3
1217,愛之味,3.38,111,35.91,0.86,2023Q3
1218,泰山,2.7,111,1.97,0.86,2023Q3
1219,福壽,4.19,111,25.47,1.42,2023Q3
1220,台榮,1.43,111,31.7,1.09,2023Q3
1225,福懋油,3.77,111,46.58,3.6,2023Q3
1227,佳格,3.42,111,29.04,1.97,2023Q3
1229,聯華,3.06,111,25.85,2.4,2023Q3
1231,聯華食,2.99,111,28.25,4.06,2023Q3
1232,大統益,4.24,111,20.16,4.47,2023Q3
1233,天仁,2.45,111,30.13,2.15,2023Q3
1234,黑松,4.49,111,16.69,0.87,2023Q3
1235,興泰,2.66,111,51.37,1.76,2023Q3
1236,宏亞,4.22,111,55.12,0.86,2023Q3
1256,鮮活果汁-KY,2.83,111,15.6,2.01,2023Q3
1301,台塑,5.71,111,163.56,1.34,2023Q3
1303,南亞,4.82,111,90.29,1.35,2023Q3
1304,台聚,3.73,111,30.74,0.84,2023Q3
1305,華夏,1.44,111,37.23,1.25,2023Q3
1307,三芳,3.05,111,15.35,1.14,2023Q3
1308,亞聚,5.27,111,23.7,0.99,2023Q3
1315,達新,8.36,111,16.78,0.65,2023Q3
1319,東陽,2.88,111,19.98,2.06,2023Q3
1323,永裕,3.54,111,22.54,1.15,2023Q3
1324,地球,1.19,111,29.39,1.29,2023Q3
1325,恆大,1.33,111,96.54,1.15,2023Q3
1326,台化,1.64,111,361.88,1.01,2023Q3
