"stoc","date","max","min","ope","clo","vol"
1101,2025-02-11,31.6,31.3,31.3,31.5,8641
1102,2025-02-11,40.35,39.85,40.15,40,3310
1103,2025-02-11,17.2,17.05,17.1,17.1,93
1104,2025-02-11,28.4,28.1,28.3,28.25,305
1108,2025-02-11,14.75,14.65,14.65,14.65,124
1109,2025-02-11,17.4,17.25,17.25,17.35,49
1110,2025-02-11,19.6,19,19.45,19,246
1201,2025-02-11,18.1,17.95,18,17.95,293
1203,2025-02-11,36.4,36.05,36.05,36.25,64
1210,2025-02-11,53.6,53,53.1,53.3,801
1213,2025-02-11,15.35,15.15,15.3,15.15,17
1215,2025-02-11,95.7,94.3,94.7,94.3,286
1216,2025-02-11,79.8,78.8,79.8,79.1,4661
1217,2025-02-11,12,11.9,11.95,11.95,849
1218,2025-02-11,19.7,19.35,19.65,19.35,536
1219,2025-02-11,14.6,14.45,14.5,14.5,256
1220,2025-02-11,16.55,16.35,16.5,16.4,405
1225,2025-02-11,49.05,47.45,48.1,47.5,838
1227,2025-02-11,35.2,34.8,35,34.9,312
1229,2025-02-11,51.3,50.5,50.9,50.6,924
1231,2025-02-11,171.5,164.5,166,168,826
1232,2025-02-11,146,145,145,145.5,78
1233,2025-02-11,30.05,30,30,30,7
1234,2025-02-11,41,40.75,40.9,40.95,30
1235,2025-02-11,82,79.3,79.3,81.5,7
1236,2025-02-11,23,22.95,23,22.95,8
1240,2025-02-11,52.1,52,52,52,6
1256,2025-02-11,146.5,134,134,146.5,139
1259,2025-02-11,65.3,63.8,63.8,65,14
1264,2025-02-11,325,321.5,321.5,323,12
1268,2025-02-11,155,153,155,153.5,90
1301,2025-02-11,34.5,33.75,33.75,34,15890
1303,2025-02-11,30.95,30.05,30.5,30.2,7900
1304,2025-02-11,11.65,11.15,11.35,11.15,3409
1305,2025-02-11,12.55,12.05,12.05,12.1,1205
1307,2025-02-11,43.5,42.25,43.05,43.25,3393
1308,2025-02-11,13.95,13.55,13.65,13.55,819
1309,2025-02-11,13.55,13.1,13.3,13.2,734
1310,2025-02-11,10.25,10,10.1,10,598
1312,2025-02-11,11.5,11.15,11.2,11.25,4221
1313,2025-02-11,8.8,8.57,8.64,8.58,1467
1314,2025-02-11,7.48,7.34,7.36,7.35,6454
1315,2025-02-11,67.9,67.9,67.9,67.9,2
1316,2025-02-11,14.75,14.35,14.4,14.5,3822
1319,2025-02-11,118,115,117.5,117,2556
1321,2025-02-11,37.4,37,37.2,37,237
1323,2025-02-11,24.9,24.7,24.75,24.9,48
1324,2025-02-11,12.6,12.45,12.6,12.55,19
1325,2025-02-11,34.3,32.45,34.3,32.5,2233
1326,2025-02-11,26.75,25.95,26.3,26,13449
1336,2025-02-11,23.75,23.2,23.75,23.55,457
1337,2025-02-11,6.19,6.11,6.11,6.19,115
1338,2025-02-11,29.2,28.85,29.15,29.05,111
1339,2025-02-11,57,56.4,56.6,56.5,26
1340,2025-02-11,8.73,8.64,8.64,8.68,55
1341,2025-02-11,71.6,69.6,69.9,69.6,16
1342,2025-02-11,114.5,111.5,114.5,111.5,423
1402,2025-02-11,31.35,30.9,31.3,30.9,6678
1409,2025-02-11,15.1,14.9,15,14.9,1252
1410,2025-02-11,35.55,35.1,35.4,35.35,14
1413,2025-02-11,11.05,10.8,10.8,11.05,41
1414,2025-02-11,24.85,24.3,24.7,24.75,413
1416,2025-02-11,12.85,12.6,12.85,12.6,242
1417,2025-02-11,9.07,8.95,9.07,8.99,52
1418,2025-02-11,26.7,26,26.4,26.6,53
1419,2025-02-11,42.3,42,42.05,42.15,14
1423,2025-02-11,36.95,36.5,36.95,36.75,15
1432,2025-02-11,22,21.5,21.75,21.55,378
1434,2025-02-11,18.6,18.2,18.3,18.2,748
1436,2025-02-11,145,138.5,141.5,143,822
1437,2025-02-11,34.6,34.4,34.45,34.55,29
1438,2025-02-11,53.2,52.1,52.7,52.2,122
1439,2025-02-11,32,31.55,31.8,32,24
1440,2025-02-11,13.9,13.7,13.85,13.75,358
1441,2025-02-11,14.2,14,14.1,14,20
1442,2025-02-11,86.9,84.9,86.5,85.2,1080
1443,2025-02-11,30.75,30.65,30.65,30.75,13
1444,2025-02-11,8.61,8.55,8.6,8.55,501
1445,2025-02-11,17.2,16.8,17,16.85,57
