"stoc","date","max","min","ope","clo","vol"
1101,2025-06-11,27.35,26.9,27.2,27.3,17745
1102,2025-06-11,43.2,42.55,42.6,43.15,4812
1103,2025-06-11,15,14.65,15,14.7,426
1104,2025-06-11,30.3,29.7,29.7,30.1,470
1108,2025-06-11,15.1,14.9,15.1,14.95,55
1109,2025-06-11,17.1,17,17.05,17.05,18
1110,2025-06-11,20.45,19.95,20.45,20.25,160
1201,2025-06-11,16.15,15.9,16.05,15.95,319
1203,2025-06-11,39.55,38.9,39.55,39.45,9
1210,2025-06-11,61.3,60.3,60.3,61,1149
1213,2025-06-11,13,12.8,12.9,12.95,13
1215,2025-06-11,113.5,111.5,112,112.5,1099
1216,2025-06-11,79.8,78.8,79.1,78.8,12817
1217,2025-06-11,10.85,10.75,10.8,10.75,402
1218,2025-06-11,22,21.65,21.85,21.8,1368
1219,2025-06-11,14.75,14.55,14.7,14.65,435
1220,2025-06-11,13.6,13.5,13.55,13.5,86
