"stoc","date","max","min","ope","clo","vol"
1101,2026-01-15,25.6,24.85,25,25,38103
1102,2026-01-15,37.3,36.7,36.9,36.75,7608
1103,2026-01-15,14.15,14.05,14.1,14.15,335
1104,2026-01-15,30.55,30.4,30.55,30.5,334
1108,2026-01-15,15.15,15,15.15,15.1,185
1109,2026-01-15,15.5,15.45,15.45,15.45,89
1110,2026-01-15,16.45,16.3,16.35,16.45,323
1201,2026-01-15,14.5,14.4,14.45,14.5,155
1203,2026-01-15,39.9,39.6,39.6,39.9,5
1210,2026-01-15,52.4,51.8,51.8,52.4,951
1213,2026-01-15,10.55,10.05,10.05,10.45,11
1215,2026-01-15,149,146.5,148,148.5,902
1216,2026-01-15,76.3,75.6,75.8,76,7637
1217,2026-01-15,10.65,10.5,10.6,10.65,837
1218,2026-01-15,18.45,18.3,18.45,18.4,512
1219,2026-01-15,13.7,13.6,13.65,13.7,345
1220,2026-01-15,12.55,12.5,12.5,12.55,172
1225,2026-01-15,28.7,28.3,28.4,28.65,102
1227,2026-01-15,29.8,29.6,29.65,29.6,591
1229,2026-01-15,47.35,46.85,47.3,46.95,1044
1231,2026-01-15,95.7,94,95,95.7,183
1232,2026-01-15,147,145.5,146,146,42
1233,2026-01-15,32.3,32.15,32.2,32.3,15
1234,2026-01-15,37.6,37.4,37.4,37.5,81
1235,2026-01-15,45.6,44.85,45.6,45.4,11
1236,2026-01-15,24.9,24.65,24.85,24.7,74
1256,2026-01-15,169.5,164.5,167.5,167,34
1301,2026-01-15,42.8,40.9,40.95,42.6,57621
1303,2026-01-15,69.7,63.6,63.7,69.7,225004
1304,2026-01-15,12,11.55,11.55,11.9,10593
1305,2026-01-15,12.4,11.55,11.55,12.35,8413
1307,2026-01-15,32.4,31.8,32.2,32.15,518
1308,2026-01-15,14.15,13.7,13.75,14.05,3561
1309,2026-01-15,12.35,11.85,11.85,12.15,2602
1310,2026-01-15,9.26,8.88,8.93,9.2,5221
1312,2026-01-15,14.1,12.75,12.85,13.75,34604
1313,2026-01-15,10.9,10.45,10.5,10.8,6262
1314,2026-01-15,8.39,8.12,8.12,8.27,28788
1315,2026-01-15,64.1,63.9,63.9,63.9,82
1316,2026-01-15,14.95,14.5,14.95,14.7,2766
1319,2026-01-15,106,99.2,100,105,11332
1321,2026-01-15,34.6,34,34.5,34.2,280
1323,2026-01-15,18.95,18.75,18.95,18.9,44
1324,2026-01-15,11.3,11.15,11.2,11.3,51
1325,2026-01-15,30.25,29.5,30.25,29.85,510
1326,2026-01-15,34.45,32.05,32.05,34.45,54155
1337,2026-01-15,4.89,4.85,4.88,4.87,116
1338,2026-01-15,21,20.1,20.1,20.7,219
1339,2026-01-15,43.4,41.6,41.6,43.25,104
1340,2026-01-15,6.78,6.67,6.73,6.7,183
1341,2026-01-15,58.7,58.7,58.7,58.7,4
1342,2026-01-15,96.9,95.3,96,96.3,209
1402,2026-01-15,28.5,28.2,28.3,28.5,11188
1409,2026-01-15,15.7,15.25,15.4,15.45,6414
1410,2026-01-15,34.3,33.9,33.95,33.95,19
1413,2026-01-15,9.92,9.81,9.91,9.92,11
1414,2026-01-15,20,18.65,18.7,19.8,436
1416,2026-01-15,11.9,11.75,11.85,11.9,162
1417,2026-01-15,8.88,8.83,8.88,8.88,47
1418,2026-01-15,20.25,19.95,19.95,20,8
1419,2026-01-15,73.8,72.9,73.1,73.3,104
1423,2026-01-15,38.4,38,38,38.1,35
1432,2026-01-15,18.75,18.1,18.1,18.4,675
1434,2026-01-15,16.4,16.2,16.2,16.35,2869
1435,2026-01-15,22.45,21.8,21.9,21.8,12
1436,2026-01-15,64.3,62.5,62.5,62.7,340
1437,2026-01-15,33.05,32.75,32.85,32.85,41
1438,2026-01-15,33.25,32.6,32.7,33.25,48
1439,2026-01-15,30.55,30.2,30.2,30.5,33
1440,2026-01-15,13.6,13.4,13.4,13.6,1736
1441,2026-01-15,10.65,10.3,10.65,10.35,27
1442,2026-01-15,30.4,29.65,30.25,30.2,691
1443,2026-01-15,27.2,26.85,27.2,26.85,16
1444,2026-01-15,6.19,6.1,6.1,6.18,729
1445,2026-01-15,12.45,12.3,12.35,12.3,140
1446,2026-01-15,18.3,18.05,18.1,18.25,234
1447,2026-01-15,5.3,5.24,5.24,5.28,563
1449,2026-01-15,12.3,12.05,12.3,12.25,1113
1451,2026-01-15,17.75,17.5,17.6,17.7,170
1452,2026-01-15,11.9,11.6,11.65,11.85,160
1453,2026-01-15,12.35,12.15,12.25,12.25,83
1454,2026-01-15,13,12.85,12.9,12.85,12
1455,2026-01-15,7.92,7.74,7.78,7.91,365
1456,2026-01-15,13.4,13.1,13.25,13.4,53
1457,2026-01-15,15.7,15.5,15.6,15.65,59
1459,2026-01-15,11.85,11.75,11.8,11.8,52
1460,2026-01-15,6.52,6.43,6.45,6.5,475
1463,2026-01-15,17.7,17.4,17.45,17.65,21
1464,2026-01-15,12.1,11.45,11.45,11.8,945
1465,2026-01-15,12.6,12.45,12.55,12.5,87
1466,2026-01-15,14.55,14.2,14.5,14.3,86
1467,2026-01-15,8.08,7.98,8.02,7.99,260
1468,2026-01-15,11.95,11.75,11.95,11.95,39
1470,2026-01-15,23.1,22.4,22.5,23,14
1471,2026-01-15,9.89,9.72,9.83,9.75,362
1472,2026-01-15,90,88.5,90,89.1,17
1473,2026-01-15,24.3,23.8,23.95,24.3,124
1474,2026-01-15,10.35,10.25,10.35,10.3,102
1475,2026-01-15,33.45,33.05,33.05,33.25,33
1476,2026-01-15,420,407.5,415,414.5,1583
1477,2026-01-15,344,328,332,338.5,3873
1503,2026-01-15,206,193.5,205.5,197,18391
1504,2026-01-15,92,85.2,92,85.8,70863
1506,2026-01-15,11.75,11.6,11.75,11.75,70
1512,2026-01-15,7.32,7.24,7.25,7.25,78
1513,2026-01-15,156,150.5,156,151,11434
1514,2026-01-15,112,104,110.5,104,21432
1515,2026-01-15,27.65,27.2,27.65,27.35,275
1516,2026-01-15,22.2,21.95,22,22.2,33
1517,2026-01-15,11.6,11.35,11.6,11.45,192
1519,2026-01-15,944,894,935,907,14636
1521,2026-01-15,24.4,23.8,24,24.35,26
1522,2026-01-15,48.8,47.4,48,48.6,2522
1524,2026-01-15,31.15,29.75,30.15,30.9,4166
1525,2026-01-15,63.7,62.8,63.5,62.8,13
1526,2026-01-15,17.5,16.95,17,17,224
1527,2026-01-15,33.8,33.1,33.6,33.1,366
1528,2026-01-15,26,23.35,23.65,25.8,12697
1529,2026-01-15,21.65,20.95,21.65,21.2,1443
1530,2026-01-15,29.3,28.2,29.1,29,112
1531,2026-01-15,12.2,11.95,12.2,12.1,34
1532,2026-01-15,25.7,25.05,25.55,25.15,1071
1533,2026-01-15,32.3,31.8,32.05,32.25,104
1535,2026-01-15,54,53.6,54,53.7,20
1536,2026-01-15,59.4,57.1,59,59.4,5017
1537,2026-01-15,124,123,124,124,40
1538,2026-01-15,26.55,26.45,26.45,26.45,13
1539,2026-01-15,17.85,17.45,17.7,17.85,172
1540,2026-01-15,26.4,24.65,25.65,26.2,3842
1541,2026-01-15,23.4,23.05,23.05,23.2,49
1558,2026-01-15,102.5,101.5,101.5,102,20
1560,2026-01-15,430,414,421,430,2950
1563,2026-01-15,48.35,46.95,47.2,48,528
1568,2026-01-15,23.55,23.1,23.3,23.45,220
1582,2026-01-15,66.1,64.6,66.1,65.4,547
1583,2026-01-15,47.1,46.1,46.1,46.55,53
1587,2026-01-15,50.9,49.2,50.9,49.2,974
1589,2026-01-15,18.4,17.15,17.8,17.75,5636
1590,2026-01-15,1020,991,1000,1015,530
1597,2026-01-15,79.1,77.1,78.1,78.6,561
1598,2026-01-15,22.15,21.8,22.15,21.9,254
1603,2026-01-15,39.8,39.05,39.8,39.5,443
1604,2026-01-15,24.1,23.9,23.95,24.1,254
1605,2026-01-15,44.8,40.5,41,44.3,363248
1608,2026-01-15,39.35,38.55,39.1,39.1,10533
1609,2026-01-15,40.2,39.55,39.9,40.1,4491
1611,2026-01-15,14,13.6,14,13.75,1217
1612,2026-01-15,35.35,35,35.25,35.2,813
1614,2026-01-15,34.35,34.05,34.05,34.05,26
1615,2026-01-15,49.2,48.9,49.1,48.95,80
1616,2026-01-15,28.6,28.15,28.6,28.5,605
1617,2026-01-15,16.15,14.6,14.65,16.15,2404
1618,2026-01-15,43,42.4,43,42.8,721
1626,2026-01-15,11.15,10.95,11.1,11.1,67
1702,2026-01-15,38.35,38.1,38.3,38.15,333
1707,2026-01-15,124,122.5,123,123.5,94
1708,2026-01-15,33.2,32.7,32.9,33.05,873
1709,2026-01-15,17.2,16.9,17.05,17.15,507
