"stoc","date","max","min","ope","clo","vol"
50,2026-03-26,76.85,75.6,76.3,75.8,76263
51,2026-03-26,112.65,110.1,110.1,110.3,45
52,2026-03-26,45.49,44.86,45.21,44.9,23196
53,2026-03-26,172.7,170.95,172,170.95,11
55,2026-03-26,32.66,32.45,32.55,32.46,70
56,2026-03-26,38.85,38.55,38.6,38.56,29823
57,2026-03-26,229.3,225.65,228.8,226.5,8
61,2026-03-26,23.24,23,23.24,23,73
1101,2026-03-26,23.45,22.85,23,22.85,24468
1102,2026-03-26,34.7,34.45,34.5,34.5,6988
1103,2026-03-26,13.8,13.65,13.8,13.7,143
1104,2026-03-26,29.8,29.55,29.8,29.55,188
1108,2026-03-26,15,14.9,15,14.9,205
1109,2026-03-26,15.35,15.25,15.35,15.25,67
1110,2026-03-26,15.6,15.1,15.2,15.35,155
1201,2026-03-26,13.6,13.35,13.6,13.5,336
1203,2026-03-26,39.95,39.45,39.95,39.55,32
1210,2026-03-26,54.3,53.7,54.2,54,1526
1213,2026-03-26,9.98,9.7,9.7,9.98,7
1215,2026-03-26,146,144,145.5,144,873
1216,2026-03-26,71.7,70.5,71,71.3,6109
1217,2026-03-26,10.35,10.15,10.15,10.25,909
1218,2026-03-26,19.35,19.15,19.3,19.2,613
1219,2026-03-26,13.9,13.55,13.85,13.8,731
1220,2026-03-26,12.5,12.3,12.5,12.4,210
1225,2026-03-26,32.75,32,32,32.75,479
1227,2026-03-26,30.45,30.1,30.25,30.3,778
1229,2026-03-26,45.35,44.8,44.9,45.2,2331
1231,2026-03-26,93,91.9,92.3,92.8,349
1232,2026-03-26,151,150,151,150,58
1233,2026-03-26,29.9,28.95,29.9,29.35,33
1234,2026-03-26,36.35,35.9,36.35,36,95
1235,2026-03-26,42,40.35,42,40.35,7
1236,2026-03-26,27.1,26.35,27.1,26.35,13
1240,2026-03-26,59.3,59.1,59.2,59.1,22
1256,2026-03-26,153.5,150,153,150,12
1264,2026-03-26,280,279,280,279.5,19
1268,2026-03-26,158,157.5,157.5,157.5,3
1294,2026-03-26,82.8,81.1,82.2,81.1,49
1295,2026-03-26,70,68.9,70,69,30
1301,2026-03-26,48.75,46,46,47.45,39706
1303,2026-03-26,81.6,74.8,79.5,74.8,78890
1304,2026-03-26,15.85,14.7,14.75,15.85,24915
1305,2026-03-26,17.65,16.35,16.45,17.2,28613
1307,2026-03-26,35,34.15,34.2,34.15,1214
1308,2026-03-26,18.05,16.7,16.8,18.05,21878
1309,2026-03-26,20.15,19.05,19.2,20.15,11825
1310,2026-03-26,11.3,10.6,10.6,11.05,11651
1312,2026-03-26,14.25,13.35,13.35,13.8,15540
1313,2026-03-26,13.3,12.4,12.45,12.9,13664
1314,2026-03-26,8.52,8.24,8.25,8.3,43283
1315,2026-03-26,63.9,63,63.8,63.3,27
1316,2026-03-26,12.65,12.3,12.65,12.35,912
1319,2026-03-26,85.3,83.7,85.3,84,1465
1321,2026-03-26,34.75,33.9,34.05,34.35,667
1323,2026-03-26,19.4,19.1,19.1,19.25,46
1324,2026-03-26,10.8,10.5,10.55,10.7,198
1325,2026-03-26,27.45,27.1,27.4,27.1,142
1326,2026-03-26,46.35,43.15,43.15,45.1,46644
1336,2026-03-26,14.6,14.35,14.6,14.5,69
1337,2026-03-26,6.46,6.09,6.09,6.3,1471
1338,2026-03-26,14.5,14.2,14.35,14.45,146
1339,2026-03-26,41.1,40.9,41.1,40.95,34
1340,2026-03-26,6.9,6.72,6.89,6.82,204
1341,2026-03-26,58.1,58,58.1,58.1,3
1342,2026-03-26,86.4,84.6,86.4,85,161
1402,2026-03-26,26.4,25.8,26,26.4,14451
1409,2026-03-26,16.15,15.75,15.8,15.8,4493
1410,2026-03-26,31.8,31.4,31.45,31.65,35
1413,2026-03-26,9.96,9.84,9.96,9.84,3
1414,2026-03-26,17.9,17.5,17.9,17.8,250
1416,2026-03-26,11.65,11.5,11.65,11.5,182
1417,2026-03-26,9.21,9.15,9.17,9.18,188
1418,2026-03-26,19,18.9,18.9,19,2
1419,2026-03-26,63,61.2,63,61.2,73
1423,2026-03-26,40.5,40.05,40.1,40.2,32
1432,2026-03-26,18.15,17.9,18.15,17.95,554
1434,2026-03-26,16.8,16.4,16.45,16.7,2177
1435,2026-03-26,19.2,19.2,19.2,19.2,1
1436,2026-03-26,54.7,53.5,54.2,54.1,191
1437,2026-03-26,30.9,30.55,30.85,30.85,31
1438,2026-03-26,29.85,29.25,29.85,29.4,6
1439,2026-03-26,28.35,27.9,28.35,27.95,6
1440,2026-03-26,13.1,12.85,12.95,12.9,1386
1441,2026-03-26,9.9,9.9,9.9,9.9,1
1442,2026-03-26,27.75,26.95,27.4,27.1,328
1443,2026-03-26,25.75,24.3,25.75,24.3,7
1444,2026-03-26,6.28,6.21,6.21,6.24,693
1445,2026-03-26,13.1,12.7,12.9,12.85,61
1446,2026-03-26,17.1,16.9,17.1,16.95,144
1447,2026-03-26,5.14,5.09,5.1,5.11,811
1449,2026-03-26,12,11.5,11.65,11.8,1357
1451,2026-03-26,18.15,18,18.05,18.05,151
1452,2026-03-26,11.2,11.15,11.2,11.15,32
1453,2026-03-26,12.4,12.3,12.4,12.3,24
1454,2026-03-26,13.25,12.8,13.25,12.85,21
1455,2026-03-26,9.03,8.85,9.03,8.88,451
1456,2026-03-26,14.85,14.5,14.7,14.75,85
1457,2026-03-26,16.4,16.2,16.35,16.3,422
1459,2026-03-26,11.75,11.65,11.75,11.65,72
1460,2026-03-26,7.3,7.05,7.27,7.05,636
1463,2026-03-26,17.95,17.6,17.85,17.95,67
1464,2026-03-26,10.55,10.45,10.5,10.45,230
1465,2026-03-26,12.15,11.95,12,12.15,80
1466,2026-03-26,17.65,16.75,17.5,17.1,131
1467,2026-03-26,7.13,7.07,7.11,7.07,95
1468,2026-03-26,11.85,11.6,11.85,11.8,56
1471,2026-03-26,13.5,12.8,13.5,12.8,1677
1472,2026-03-26,96,95.5,95.5,95.8,10
1473,2026-03-26,23.9,23.5,23.85,23.85,122
1474,2026-03-26,10.05,10,10,10,49
1475,2026-03-26,28.65,28.45,28.65,28.45,5
1476,2026-03-26,348.5,341.5,348,344,941
1477,2026-03-26,262.5,241.5,262,246,4538
1503,2026-03-26,200,193,200,193.5,1490
1504,2026-03-26,67.4,65.2,67.2,65.3,5176
1506,2026-03-26,11.45,11.3,11.45,11.35,49
1512,2026-03-26,7.83,7.31,7.71,7.46,111
1513,2026-03-26,158,153.5,155.5,153.5,4366
1514,2026-03-26,115.5,110.5,115.5,110.5,1757
1515,2026-03-26,24.4,24.1,24.2,24.3,121
1516,2026-03-26,21.8,21.45,21.8,21.5,59
1517,2026-03-26,11.65,11.35,11.65,11.35,132
1519,2026-03-26,935,893,932,894,2501
1521,2026-03-26,25.05,24.85,25,25,11
1522,2026-03-26,33.2,32.7,33.2,32.7,585
1524,2026-03-26,31.25,30.05,30.5,30.8,4137
1525,2026-03-26,61.4,60.2,61,61.4,18
1526,2026-03-26,17.55,17.05,17.15,17.15,84
1527,2026-03-26,32.4,32.15,32.15,32.35,160
1528,2026-03-26,23.9,22,22.6,23.15,15211
1529,2026-03-26,25.95,25,25.65,25,986
1530,2026-03-26,26.65,26.15,26.15,26.55,21
1531,2026-03-26,12.8,12.65,12.7,12.7,102
1532,2026-03-26,22.35,22,22.35,22,606
1533,2026-03-26,30.55,29.6,30.35,29.8,87
1535,2026-03-26,54,53.2,54,53.3,56
1536,2026-03-26,52,50.8,51.6,51.1,980
1537,2026-03-26,125,124,125,124,26
1538,2026-03-26,14,12.8,14,13.2,67
1539,2026-03-26,16.9,16.5,16.5,16.7,104
1540,2026-03-26,22.45,22.1,22.4,22.2,183
1541,2026-03-26,25.3,24.95,25.3,25,14
1558,2026-03-26,93.6,93.2,93.6,93.4,9
1560,2026-03-26,467.5,456,464,461,1314
1563,2026-03-26,41.4,40.2,40.35,40.2,340
1565,2026-03-26,105,103.5,104.5,103.5,66
1568,2026-03-26,22.75,22.45,22.5,22.55,105
1569,2026-03-26,52,50.1,52,50.1,305
1570,2026-03-26,32.95,31.55,31.95,31.9,175
1580,2026-03-26,130.5,129.5,130,129.5,19
1582,2026-03-26,93,85.2,85.6,93,8500
1583,2026-03-26,45.4,44.95,44.95,45,18
1584,2026-03-26,22.15,21.8,21.9,21.8,408
1586,2026-03-26,22.75,22.45,22.6,22.5,171
1587,2026-03-26,35.6,34.7,35.45,34.7,234
1589,2026-03-26,7.72,7.66,7.67,7.66,492
1590,2026-03-26,1070,1005,1070,1005,1004
1591,2026-03-26,44,41,44,41,101
1593,2026-03-26,34.5,33.55,33.55,34.45,22
1595,2026-03-26,44.5,42.3,43.2,42.7,241
1597,2026-03-26,90,85,90,85,1594
1598,2026-03-26,19.6,19,19.6,19,170
1599,2026-03-26,26.4,25.75,25.9,25.9,24
1603,2026-03-26,33.6,33.1,33.4,33.25,215
1604,2026-03-26,25.4,25.2,25.25,25.3,335
1605,2026-03-26,32.4,31.2,32.2,31.2,16568
1608,2026-03-26,32.8,31.9,32.55,32,1366
1609,2026-03-26,33.7,32.7,33.6,32.75,2280
1611,2026-03-26,12.7,12.3,12.7,12.3,1736
1612,2026-03-26,36,35.45,36,35.5,448
1614,2026-03-26,32.75,32.4,32.75,32.6,7
1615,2026-03-26,46.9,46,46.5,46.05,72
1616,2026-03-26,24.5,23.8,24.5,23.8,549
1617,2026-03-26,14.8,14.55,14.7,14.6,70
1618,2026-03-26,40.9,39.9,40.9,39.9,544
1623,2026-03-26,196,191.5,195,191.5,83
1626,2026-03-26,10.35,10.1,10.35,10.1,40
1702,2026-03-26,36.05,35.6,35.75,35.95,183
1707,2026-03-26,121,119.5,121,120,70
1708,2026-03-26,43.45,41.3,41.5,42.7,8329
1709,2026-03-26,18.25,18,18,18.05,524
1710,2026-03-26,15.05,14.4,14.65,14.5,12048
1711,2026-03-26,41.6,38.55,41.6,38.55,7981
1712,2026-03-26,44.8,44.15,44.6,44.35,615
1713,2026-03-26,48.4,47.9,48.05,47.9,344
1714,2026-03-26,9.86,9.59,9.67,9.59,2962
1717,2026-03-26,64.2,61.5,63,61.6,18287
1718,2026-03-26,7.66,7.42,7.52,7.51,6967
1720,2026-03-26,63.4,62.6,63.4,62.6,116
1721,2026-03-26,18.7,18,18.6,18.65,1566
1722,2026-03-26,45.75,45.25,45.45,45.4,2285
1723,2026-03-26,74.4,72.8,73,73.4,442
1725,2026-03-26,31.85,30.6,31.85,30.6,140
1726,2026-03-26,76,75.6,76,75.6,19
