"stoc","date","max","min","ope","clo","vol"
1101,2026-05-15,24.65,24,24.6,24.1,30043
1102,2026-05-15,35.2,34.35,35.2,34.35,11229
1103,2026-05-15,13.15,12.95,13.1,12.95,414
1104,2026-05-15,28,27.35,28,27.35,1693
1108,2026-05-15,14,13.85,14,13.85,589
1109,2026-05-15,15.05,14.8,15.05,14.85,417
1110,2026-05-15,14.5,14.15,14.4,14.2,128
1201,2026-05-15,12.2,12,12.15,12.05,536
1203,2026-05-15,42.7,42.3,42.65,42.55,22
1210,2026-05-15,53.2,52.6,52.6,52.9,2116
1213,2026-05-15,8.99,8.5,8.99,8.9,9
1215,2026-05-15,142,138.5,139,140,2308
1216,2026-05-15,76.7,74.9,75,75.7,17510
1217,2026-05-15,9.63,9.49,9.63,9.5,1045
1218,2026-05-15,18.9,18.4,18.9,18.45,1101
1219,2026-05-15,13,12.75,12.95,12.8,1142
1220,2026-05-15,12.1,11.95,12.1,12,169
1225,2026-05-15,30.3,29.1,30.25,29.25,322
1227,2026-05-15,28.65,28.45,28.6,28.5,886
1229,2026-05-15,40,39.3,39.95,39.45,5266
1231,2026-05-15,86.6,85.3,86.6,85.5,198
1232,2026-05-15,149,148,149,148.5,58
1233,2026-05-15,28.9,28.8,28.8,28.8,30
1234,2026-05-15,34.05,33.75,34.05,33.75,271
1235,2026-05-15,41.3,39.6,40,39.6,28
1236,2026-05-15,24.55,24.45,24.5,24.45,11
1256,2026-05-15,184.5,179,182.5,179.5,81
1301,2026-05-15,46.5,45.35,46.2,45.7,16993
1303,2026-05-15,87.7,83.3,86,85.3,82757
1304,2026-05-15,12.8,12.25,12.8,12.25,6083
1305,2026-05-15,12.85,12.5,12.65,12.5,2991
1307,2026-05-15,32.4,31.8,32,31.85,644
1308,2026-05-15,13.4,13,13.3,13,2517
1309,2026-05-15,16.15,15.65,16.1,15.65,5127
1310,2026-05-15,8.1,7.9,8.05,7.9,3352
1312,2026-05-15,10.8,10.4,10.75,10.4,6496
1313,2026-05-15,10.75,10.4,10.65,10.5,3375
1314,2026-05-15,6.93,6.71,6.91,6.72,25713
1315,2026-05-15,61.4,60.4,61.4,60.5,35
1316,2026-05-15,11.05,10.5,11,10.6,4376
1319,2026-05-15,80.2,78.3,79.2,78.6,2240
1321,2026-05-15,29.65,29.15,29.5,29.35,151
1323,2026-05-15,19.5,19.3,19.5,19.3,65
1324,2026-05-15,10.35,10.25,10.3,10.3,53
1325,2026-05-15,27.25,26.45,27.2,26.45,255
1326,2026-05-15,45.35,44.3,45.35,44.45,11445
1337,2026-05-15,4.92,4.77,4.9,4.8,636
1338,2026-05-15,15.6,15.05,15.5,15.2,143
1339,2026-05-15,41.2,39.5,41.2,39.7,336
1340,2026-05-15,5.55,5.43,5.55,5.44,173
1341,2026-05-15,61.4,60.9,60.9,61,17
1342,2026-05-15,95.1,93,93.6,93.2,257
1402,2026-05-15,26.7,26,26.7,26.45,24957
1409,2026-05-15,17.4,16.85,17.4,16.85,7228
1410,2026-05-15,27.4,26.8,27.1,27,112
1413,2026-05-15,9.5,9.42,9.5,9.45,20
1414,2026-05-15,15.9,15.6,15.9,15.6,128
1416,2026-05-15,11.25,11.05,11.25,11.1,414
1417,2026-05-15,8.35,8.22,8.3,8.26,236
1418,2026-05-15,18.55,18.15,18.55,18.3,34
1419,2026-05-15,68.9,65.5,67.2,66.9,826
1423,2026-05-15,41.4,40.65,41,41.1,50
1432,2026-05-15,16.55,16.4,16.5,16.4,348
1434,2026-05-15,15.45,15.15,15.35,15.2,2003
