"stoc","date","max","min","ope","clo","vol"
50,2025-11-27,62.1,61.65,61.8,61.9,51974
51,2025-11-27,89.35,88.15,88.15,89.35,71
52,2025-11-27,35.88,35.52,35.8,35.68,102658
53,2025-11-27,134,131.95,131.95,133.1,9
55,2025-11-27,29.77,29.51,29.57,29.77,50
56,2025-11-27,36.13,35.76,35.84,36.13,33134
57,2025-11-27,182.5,181.25,182.1,181.25,4
61,2025-11-27,22.43,22.23,22.28,22.34,200
1101,2025-11-27,22.15,21.75,21.85,22.1,24169
1102,2025-11-27,38.9,37.8,37.8,38.85,8650
1103,2025-11-27,14,13.9,13.9,13.95,272
1104,2025-11-27,32.05,31.65,31.95,31.65,415
1108,2025-11-27,15.05,14.95,14.95,14.95,63
1109,2025-11-27,15.8,15.5,15.5,15.55,84
1110,2025-11-27,16.65,16.5,16.55,16.6,43
1201,2025-11-27,14.9,14.85,14.85,14.9,131
1203,2025-11-27,39.6,39.25,39.25,39.6,21
1210,2025-11-27,52.3,51.7,52,52,1798
1213,2025-11-27,10.25,10.25,10.25,10.25,1
1215,2025-11-27,146,139.5,144.5,141.5,1082
1216,2025-11-27,77.2,75,75,76.6,11627
1217,2025-11-27,10.5,10.35,10.4,10.35,225
1218,2025-11-27,18.3,18.15,18.15,18.15,176
1219,2025-11-27,13.65,13.5,13.55,13.65,80
1220,2025-11-27,12.55,12.45,12.45,12.55,48
1225,2025-11-27,30.9,30.4,30.7,30.75,110
1227,2025-11-27,30.8,30.6,30.6,30.75,293
1229,2025-11-27,48.35,47.85,47.85,48.05,616
1231,2025-11-27,101,100,100.5,100,167
1232,2025-11-27,145,143.5,143.5,144,44
1233,2025-11-27,31.65,31.65,31.65,31.65,1
1234,2025-11-27,38.05,37.9,37.9,37.95,46
1235,2025-11-27,47.85,47.85,47.85,47.85,2
1236,2025-11-27,24.95,24.25,24.6,24.65,34
1240,2025-11-27,59.3,58.5,59.3,58.6,18
1256,2025-11-27,137.5,136.5,137,137,8
1259,2025-11-27,62.6,62.5,62.6,62.6,7
1264,2025-11-27,293,290,290,290.5,7
1268,2025-11-27,158,157.5,158,157.5,8
1295,2025-11-27,93.8,92.3,93.8,92.6,64
1301,2025-11-27,41.75,39.45,39.45,41.55,29683
1303,2025-11-27,56.2,52.4,52.4,56.2,152529
1304,2025-11-27,10.85,10.5,10.5,10.75,4348
1305,2025-11-27,10.95,10.55,10.55,10.8,1031
1307,2025-11-27,34.6,33.6,34.45,33.8,1039
1308,2025-11-27,12.95,12.35,12.35,12.95,2120
1309,2025-11-27,11.2,10.7,10.7,11,812
1310,2025-11-27,8.94,8.65,8.66,8.73,727
1312,2025-11-27,10.8,10.5,10.5,10.8,3635
1313,2025-11-27,9.92,9.73,9.76,9.86,1266
1314,2025-11-27,8.3,8.15,8.15,8.2,25115
1315,2025-11-27,64.9,64.7,64.9,64.7,5
1316,2025-11-27,15.7,15.1,15.5,15.25,2843
1319,2025-11-27,100.5,96,97.1,99.1,4611
1321,2025-11-27,36,35.85,35.85,36,49
1323,2025-11-27,19.65,19.5,19.65,19.6,7
1324,2025-11-27,10.5,10.45,10.45,10.5,15
1325,2025-11-27,32.3,31.25,31.8,32.3,471
1326,2025-11-27,33.3,31.6,31.6,33.15,21479
1336,2025-11-27,15.75,15.6,15.6,15.65,69
1337,2025-11-27,4.92,4.85,4.88,4.92,225
1338,2025-11-27,20.5,20.3,20.4,20.4,36
1339,2025-11-27,46.7,45.4,46,46.2,18
1340,2025-11-27,7.35,6.93,7.16,6.93,561
1342,2025-11-27,87.3,85.3,86.9,85.6,195
1402,2025-11-27,28.15,27.7,27.8,28.05,7160
1409,2025-11-27,16.1,15.7,15.95,15.85,5132
1414,2025-11-27,17.6,17.4,17.4,17.6,234
1416,2025-11-27,11.75,11.7,11.7,11.75,33
1417,2025-11-27,8.95,8.82,8.87,8.9,179
1418,2025-11-27,20.2,20,20,20.1,5
1419,2025-11-27,71.4,69.7,71.2,70.8,465
1423,2025-11-27,38.7,38.2,38.2,38.7,24
1432,2025-11-27,17.7,17.4,17.55,17.7,144
1434,2025-11-27,15.85,15.6,15.6,15.75,766
1435,2025-11-27,24.25,24.2,24.25,24.2,3
1436,2025-11-27,65.3,62.8,62.8,65.2,262
1437,2025-11-27,32.6,32.45,32.45,32.6,121
1438,2025-11-27,34.1,33.4,33.8,34.1,34
1439,2025-11-27,27.65,26.8,26.8,27.05,6
1440,2025-11-27,14.1,13.8,14,13.85,522
1441,2025-11-27,10.9,10.7,10.75,10.7,12
1442,2025-11-27,33.4,32.5,32.5,33.25,871
1443,2025-11-27,27.6,27.05,27.1,27.35,8
1444,2025-11-27,6.04,5.99,5.99,6.01,588
1445,2025-11-27,14.05,13.9,14.05,14,6
