"stoc","date","max","min","ope","clo","vol"
1101,2025-02-04,31.85,31.2,31.75,31.25,10355
1102,2025-02-04,41.2,40.3,41.1,40.75,4837
1103,2025-02-04,17.2,16.85,17.15,16.85,177
1104,2025-02-04,28.75,28,28.75,28.05,327
1108,2025-02-04,14.4,14.3,14.35,14.35,74
1109,2025-02-04,17.4,17.2,17.4,17.2,85
1110,2025-02-04,19.85,19.2,19.6,19.2,175
1201,2025-02-04,18.1,17.9,18,17.9,258
1203,2025-02-04,36.5,36.4,36.4,36.4,30
1210,2025-02-04,53.2,52.4,52.7,53,932
1213,2025-02-04,15.35,14.75,15.35,15.3,15
1215,2025-02-04,94.3,93.2,93.8,94.3,276
1216,2025-02-04,79.8,78.3,79.5,78.4,9803
1217,2025-02-04,11.9,11.75,11.9,11.75,683
1218,2025-02-04,19.5,19.3,19.5,19.35,237
1219,2025-02-04,14.65,14.4,14.5,14.5,381
1220,2025-02-04,16.8,16.65,16.65,16.75,133
1225,2025-02-04,48.3,46.25,47.15,47.3,784
1227,2025-02-04,35.05,34.55,34.75,34.55,395
1229,2025-02-04,52.1,50.8,51.2,52,2462
1231,2025-02-04,155,149.5,150,154,466
1232,2025-02-04,147,146.5,146.5,146.5,25
1233,2025-02-04,30.5,29.9,30.5,29.9,6
1234,2025-02-04,40.8,40.5,40.65,40.5,38
1235,2025-02-04,80.5,80.2,80.5,80.2,12
1236,2025-02-04,23,22.75,22.95,22.75,8
1240,2025-02-04,52.1,52.1,52.1,52.1,3
1256,2025-02-04,130,128,128,128,7
1259,2025-02-04,62.1,62.1,62.1,62.1,2
1268,2025-02-04,152.5,151.5,152.5,151.5,12
1301,2025-02-04,34.9,33.8,34.55,34,19940
1303,2025-02-04,31.65,30.5,31.45,30.5,10761
1304,2025-02-04,11.3,10.85,11.3,10.9,2842
1305,2025-02-04,12.4,12,12.4,12,870
1307,2025-02-04,39.2,38.1,38.55,38.45,993
1308,2025-02-04,14.35,13.8,14.35,13.85,804
1309,2025-02-04,13.4,12.8,13.4,12.85,880
1310,2025-02-04,10,9.92,9.98,9.96,413
1312,2025-02-04,11.3,11,11.3,11.05,2110
1313,2025-02-04,8.84,8.65,8.8,8.65,1030
1314,2025-02-04,7.39,7.23,7.37,7.25,6271
1315,2025-02-04,67.9,67.8,67.9,67.8,4
1316,2025-02-04,14.35,13.8,13.95,13.95,2657
1319,2025-02-04,111.5,108,111,108,2235
1321,2025-02-04,36.95,35.75,35.95,36.2,813
1323,2025-02-04,24.65,24.5,24.65,24.65,14
1324,2025-02-04,12.5,12.4,12.4,12.45,37
1325,2025-02-04,37.75,35.05,36.9,35.6,8229
1326,2025-02-04,27.8,26.65,27.8,26.65,14358
1336,2025-02-04,23.3,22.7,23.2,23.05,246
1337,2025-02-04,6.14,6.07,6.14,6.09,155
1338,2025-02-04,29,28.6,28.6,28.75,34
1339,2025-02-04,56,55.5,55.8,56,34
1340,2025-02-04,8.8,8.57,8.65,8.66,131
1341,2025-02-04,68.9,68.8,68.9,68.8,4
1342,2025-02-04,108,106,107.5,107,155
1402,2025-02-04,31.7,30.85,31.1,30.85,20805
1409,2025-02-04,15.1,14.9,15.05,14.9,1159
1410,2025-02-04,35.35,34.65,34.75,34.65,16
1413,2025-02-04,11.3,11.1,11.25,11.2,43
1414,2025-02-04,25.7,24.95,25.3,25.6,571
1416,2025-02-04,12.6,12.3,12.35,12.6,337
1417,2025-02-04,8.95,8.78,8.78,8.85,61
1418,2025-02-04,27.45,26,27.45,26.1,58
1419,2025-02-04,42.35,42,42.15,42,23
1423,2025-02-04,39.05,36.4,37.5,36.4,18
1432,2025-02-04,21.6,21.3,21.45,21.35,272
1434,2025-02-04,18.65,18.3,18.65,18.4,1043
1435,2025-02-04,37.4,36.1,37.4,36.1,12
1436,2025-02-04,127,122,122,124,448
1437,2025-02-04,34.4,34.3,34.3,34.35,42
1438,2025-02-04,55.9,54.8,54.9,54.8,81
1439,2025-02-04,32.05,31.75,31.75,32,22
1440,2025-02-04,13.85,13.6,13.85,13.65,310
1441,2025-02-04,14.45,13.75,13.75,13.9,14
1442,2025-02-04,84.2,82.4,83.6,82.9,810
1443,2025-02-04,30.6,30.45,30.6,30.5,49
1444,2025-02-04,8.5,8.42,8.45,8.43,265
1445,2025-02-04,16.75,16.5,16.5,16.55,47
1446,2025-02-04,40.65,39.35,40.2,39.6,382
1447,2025-02-04,7.12,7,7.1,7,535
1449,2025-02-04,19.45,18.7,19.45,18.8,1247
1451,2025-02-04,19.55,19.25,19.4,19.3,95
1452,2025-02-04,14.75,14.6,14.75,14.6,24
1453,2025-02-04,14.55,14.15,14.2,14.2,50
1454,2025-02-04,15.1,14.9,15.05,14.9,51
1455,2025-02-04,9.23,9.14,9.22,9.14,285
1456,2025-02-04,14.55,14.3,14.35,14.4,83
1457,2025-02-04,19.9,19.65,19.65,19.8,41
1459,2025-02-04,9.26,9.2,9.24,9.23,24
1460,2025-02-04,7.04,6.98,7.04,6.98,404
1463,2025-02-04,24.9,24.6,24.6,24.6,60
1464,2025-02-04,17.35,17.1,17.25,17.2,777
1465,2025-02-04,14.25,14.05,14.15,14.15,59
1466,2025-02-04,11.9,11.7,11.85,11.75,68
1467,2025-02-04,10.4,10.25,10.25,10.3,77
