"stoc","date","max","min","ope","clo","vol"
1101,2025-05-20,30.3,29.7,29.8,30.15,13645
1102,2025-05-20,45.85,44.4,44.65,45.1,20803
1103,2025-05-20,15.9,15.8,15.9,15.9,160
1104,2025-05-20,29.6,29.35,29.5,29.55,180
1108,2025-05-20,15.3,15.25,15.3,15.3,59
1109,2025-05-20,17.4,17.1,17.25,17.4,101
1110,2025-05-20,20.85,20.15,20.35,20.75,516
1201,2025-05-20,17.1,16.85,17.1,17,186
1203,2025-05-20,41.3,40.7,40.7,41.3,18
1210,2025-05-20,64,62.8,62.9,63.8,2727
1213,2025-05-20,13.05,12.6,12.7,12.8,60
1215,2025-05-20,114.5,112,114,114,793
1216,2025-05-20,83.7,81.5,83,81.5,15444
1217,2025-05-20,11.25,11.15,11.25,11.2,390
1218,2025-05-20,21.5,21.3,21.5,21.45,739
1219,2025-05-20,15.8,15.45,15.8,15.7,388
1220,2025-05-20,14.65,14.5,14.55,14.5,146
