"stoc","date","max","min","ope","clo","vol"
1101,2024-10-08,33.45,32.9,33.25,33.05,12614
1102,2024-10-08,47.95,46.8,47.3,47.35,8984
1103,2024-10-08,18,17.75,17.85,17.85,283
1104,2024-10-08,30.8,30.55,30.7,30.6,277
1108,2024-10-08,14.85,14.7,14.85,14.7,242
1109,2024-10-08,18.75,18.55,18.75,18.55,123
1110,2024-10-08,22.45,21.95,22.45,22.25,263
1201,2024-10-08,18.35,18.1,18.25,18.3,378
1203,2024-10-08,49,47.5,49,48,31
1210,2024-10-08,52.5,51.9,52.1,51.9,855
1213,2024-10-08,12.35,11.8,12.1,12.1,91
1215,2024-10-08,98.5,97.2,98.4,98.4,351
1216,2024-10-08,87.5,86,86.6,87.3,7201
1217,2024-10-08,12.4,12.3,12.4,12.35,702
1218,2024-10-08,20.45,20.25,20.4,20.3,398
1219,2024-10-08,17.4,17.2,17.35,17.25,249
1220,2024-10-08,16.65,16.5,16.6,16.55,258
1225,2024-10-08,125,113.5,125,115.5,186
1227,2024-10-08,39.25,38.3,39.25,38.6,702
1229,2024-10-08,61.6,60.8,60.9,60.9,887
1231,2024-10-08,112.5,110.5,112.5,111.5,143
1232,2024-10-08,153,150.5,153,153,125
1233,2024-10-08,33.35,32.8,33.1,33.35,14
1234,2024-10-08,42.2,41.8,42.1,41.9,116
1235,2024-10-08,159,148.5,159,148.5,48
1236,2024-10-08,24.1,23.8,23.9,23.95,28
1240,2024-10-08,53.5,53,53,53,4
1256,2024-10-08,180,165,176.5,166,140
1259,2024-10-08,68.6,68.4,68.6,68.5,13
1268,2024-10-08,151,149.5,150.5,149.5,36
1301,2024-10-08,52.1,50.6,51.7,50.8,13005
1303,2024-10-08,45.45,44.25,44.9,44.65,8969
1304,2024-10-08,15.8,15.25,15.7,15.35,1925
1305,2024-10-08,17.45,16.95,17.4,17.05,1333
1307,2024-10-08,39.8,38.6,39,38.7,1497
1308,2024-10-08,18.35,17.75,18.05,17.8,861
1309,2024-10-08,21.5,20,21.35,20,7113
1310,2024-10-08,12.9,12.65,12.85,12.75,777
1312,2024-10-08,13.7,13.35,13.5,13.4,2090
1313,2024-10-08,12.5,12.2,12.45,12.25,1175
1314,2024-10-08,8.89,8.65,8.89,8.66,60648
1315,2024-10-08,70.5,70.4,70.4,70.5,24
1316,2024-10-08,16.6,16,16.6,16.4,6110
1319,2024-10-08,107,102.5,107,102.5,4526
1321,2024-10-08,37.15,36.25,37.15,36.25,433
1323,2024-10-08,26.95,26.75,26.9,26.85,33
1324,2024-10-08,13.6,13.35,13.6,13.5,59
1325,2024-10-08,27.85,27.4,27.4,27.55,116
1326,2024-10-08,43.2,41.85,42.75,42.1,9300
1336,2024-10-08,26.15,25.75,26.05,25.95,565
1337,2024-10-08,8.02,7.64,7.92,7.7,1781
1338,2024-10-08,34,32.95,34,33,144
1339,2024-10-08,59.8,59.1,59.5,59.4,94
1340,2024-10-08,11.55,10.8,11.55,10.9,773
1341,2024-10-08,68.5,68.2,68.5,68.2,6
1342,2024-10-08,99.8,97.9,99.3,98.8,241
1402,2024-10-08,38,36.95,36.95,37.7,8884
1409,2024-10-08,16.1,15.85,16.05,15.95,2460
1410,2024-10-08,37.65,36.7,37.25,36.8,78
1413,2024-10-08,9.87,9.85,9.86,9.85,34
1414,2024-10-08,23.25,22.75,23.15,22.75,390
1416,2024-10-08,13.95,13.4,13.95,13.55,1229
1417,2024-10-08,10.45,10.2,10.45,10.35,275
1419,2024-10-08,49.1,47.9,49.05,47.9,51
1423,2024-10-08,45.15,44.5,44.5,45,156
1432,2024-10-08,19.75,18.8,19.75,19.1,598
1434,2024-10-08,20.75,20.35,20.65,20.4,1275
1435,2024-10-08,45.5,43.45,43.45,45.5,2
1436,2024-10-08,137.5,135,137.5,136.5,198
1437,2024-10-08,35.4,35,35.2,35.05,164
1438,2024-10-08,62.2,60.5,61.2,61.8,281
1439,2024-10-08,30.85,30.5,30.6,30.6,17
1440,2024-10-08,16.15,15.8,16.05,15.85,1154
1441,2024-10-08,15.95,15.6,15.6,15.65,70
1442,2024-10-08,67.4,65.2,67.3,65.4,2615
1443,2024-10-08,32.8,32.7,32.8,32.7,7
1444,2024-10-08,9.35,9.26,9.32,9.28,1094
1445,2024-10-08,19.1,18.7,19.1,18.7,128
1446,2024-10-08,47.1,45.8,46.5,46.7,706
1447,2024-10-08,8.45,8.29,8.45,8.31,1973
1449,2024-10-08,18,17.6,17.95,17.7,489
1451,2024-10-08,20.4,20.15,20.4,20.15,53
1452,2024-10-08,17.05,16.85,16.95,16.9,110
1453,2024-10-08,18.2,17.55,18.2,17.7,197
1454,2024-10-08,18.3,17.9,18.3,17.9,79
1455,2024-10-08,11.05,10.8,11,10.85,875
1456,2024-10-08,18.05,17.8,17.95,18,51
1457,2024-10-08,20.05,19.65,20.05,19.7,195
1459,2024-10-08,10.25,10.1,10.25,10.15,72
1460,2024-10-08,7.31,7.22,7.22,7.28,617
1463,2024-10-08,23.45,23.1,23.45,23.15,124
1464,2024-10-08,15.45,14.6,14.95,14.8,3228
1465,2024-10-08,15.7,15.45,15.55,15.65,123
1466,2024-10-08,13.4,12.95,13.4,13,78
1467,2024-10-08,10.5,10.35,10.35,10.4,110
1468,2024-10-08,14.4,14.15,14.35,14.4,38
1470,2024-10-08,21.55,21.5,21.5,21.55,3
1471,2024-10-08,13.4,13.1,13.3,13.15,199
1472,2024-10-08,59.8,59.1,59.8,59.1,90
1473,2024-10-08,36.75,35.85,36.75,36,355
1474,2024-10-08,13.15,13,13.05,13.1,219
1475,2024-10-08,61,59.3,60.9,59.7,228
1476,2024-10-08,543,534,540,539,381
1477,2024-10-08,359.5,353,359,359.5,1953
1503,2024-10-08,219.5,212.5,217,214.5,1839
1504,2024-10-08,50.7,49.3,50.7,49.8,5207
1506,2024-10-08,15.15,14.95,15.15,15,209
1512,2024-10-08,7.3,7.08,7.1,7.08,9
1513,2024-10-08,167,164,166,164.5,2885
1514,2024-10-08,123,119.5,122.5,121,2072
1515,2024-10-08,37.1,36.2,37.1,36.5,437
1516,2024-10-08,19.15,18.75,18.95,18.75,61
1517,2024-10-08,15.75,15.35,15.75,15.45,466
1519,2024-10-08,648,616,644,617,5307
1521,2024-10-08,39.05,38.7,39.05,39,8
1522,2024-10-08,62.4,60.7,62.3,61.4,3036
1524,2024-10-08,35.2,34.45,35.2,34.55,1802
1525,2024-10-08,68,67.3,67.3,67.4,26
1526,2024-10-08,28.75,28.5,28.55,28.75,48
1527,2024-10-08,47.6,46.3,47.6,47.05,853
1528,2024-10-08,14.5,14,14.5,14,920
1529,2024-10-08,29.5,28.7,29.5,28.75,342
1530,2024-10-08,34.05,33.35,34.05,33.45,179
1531,2024-10-08,14.95,14.55,14.95,14.7,78
1532,2024-10-08,38.3,37.45,38.3,37.5,1669
1533,2024-10-08,44.1,42.9,44.1,42.95,148
1535,2024-10-08,60.5,59.8,60.5,59.8,78
1536,2024-10-08,58.8,57.3,58.1,58.1,2756
1537,2024-10-08,154,152,153,153.5,107
1539,2024-10-08,29.8,28.6,29.8,29.05,1265
1540,2024-10-08,45,43.5,44.95,43.6,5189
1541,2024-10-08,33.3,32.85,33.25,33.1,24
1558,2024-10-08,114,113,113,113.5,64
1560,2024-10-08,332,323.5,332,331.5,1920
1565,2024-10-08,212.5,207,211.5,207.5,456
1568,2024-10-08,28.8,28.45,28.8,28.5,121
1569,2024-10-08,40.1,38.15,39.05,40.1,7363
1570,2024-10-08,30.4,29,30.4,29.65,223
1580,2024-10-08,149,148,149,148,20
1582,2024-10-08,104,101.5,104,103,886
1583,2024-10-08,62.4,61.3,62.4,61.4,121
1584,2024-10-08,39,38.05,38.6,38.1,3573
1586,2024-10-08,32,31.55,31.55,31.6,199
1587,2024-10-08,42.45,41.2,42.45,41.7,368
1589,2024-10-08,43.6,42.15,43.6,42.2,187
1590,2024-10-08,1015,942,996,955,1363
1591,2024-10-08,46.2,45.3,46.1,45.65,94
1593,2024-10-08,42.5,41.9,41.95,42.5,38
1595,2024-10-08,53.9,49.7,52,49.7,5148
1597,2024-10-08,96.4,93,95.6,93,1252
1598,2024-10-08,29.2,28.5,28.7,28.9,189
1599,2024-10-08,32.9,32.7,32.9,32.7,33
1603,2024-10-08,38.25,37.55,38,37.55,506
1604,2024-10-08,28.6,28.2,28.35,28.5,350
1605,2024-10-08,34.6,33.8,34.15,33.9,13375
1608,2024-10-08,32.4,31.7,32.25,31.85,1450
1609,2024-10-08,49.35,48.3,49.05,48.6,4779
1611,2024-10-08,16.95,16.55,16.95,16.65,887
1612,2024-10-08,34.5,33.85,34.4,33.95,647
1614,2024-10-08,40.35,40,40.3,40.15,239
1615,2024-10-08,62.2,61,62.2,61.4,184
1616,2024-10-08,22.9,22.3,22.9,22.45,776
1617,2024-10-08,21.85,20.85,21.85,20.85,457
1618,2024-10-08,45.95,43.8,45.95,43.85,807
1626,2024-10-08,17.1,16.6,16.85,16.95,386
1702,2024-10-08,62.5,58.6,61.4,58.6,5225
1707,2024-10-08,158,149,149.5,151,1686
1708,2024-10-08,41.1,39.85,41,40.2,2080
