"stoc","date","max","min","ope","clo","vol"
50,2025-09-10,55,54.4,54.4,54.95,73009
51,2025-09-10,86.1,85.45,85.45,85.85,94
52,2025-09-10,216.4,214.05,214.05,216.2,1336
53,2025-09-10,120.75,119.75,120,120.7,19
55,2025-09-10,30.48,30.33,30.33,30.44,189
56,2025-09-10,36.17,35.85,35.86,36.07,92789
57,2025-09-10,162.95,161.55,161.75,162.7,182
61,2025-09-10,21.17,21,21.02,21.07,351
1101,2025-09-10,23,22.25,22.45,22.95,45445
1102,2025-09-10,36.6,35.95,36.25,36.4,5355
1103,2025-09-10,13.45,13.3,13.35,13.45,442
1104,2025-09-10,32,30,30.05,32,21474
1108,2025-09-10,15.35,15.1,15.3,15.2,771
1109,2025-09-10,15.9,15.75,15.8,15.8,88
1110,2025-09-10,17.55,17.35,17.4,17.45,93
1201,2025-09-10,15.7,15.6,15.6,15.6,256
1203,2025-09-10,39.95,39.5,39.75,39.9,5
1210,2025-09-10,53.5,53,53.3,53.2,1463
1213,2025-09-10,12.4,12.15,12.3,12.4,7
1215,2025-09-10,138,134.5,135,137.5,1041
1216,2025-09-10,79.9,79.1,79.4,79.5,9501
1217,2025-09-10,11,10.9,11,11,742
1218,2025-09-10,18.85,18.65,18.8,18.75,529
1219,2025-09-10,13.6,13.45,13.55,13.5,225
1220,2025-09-10,13.15,13.05,13.15,13.1,64
1225,2025-09-10,30.75,30.2,30.3,30.7,136
1227,2025-09-10,30.5,30.2,30.4,30.35,489
1229,2025-09-10,49.25,48.8,49.15,49.05,864
1231,2025-09-10,135.5,133,135.5,133.5,380
1232,2025-09-10,149,148.5,148.5,148.5,43
1233,2025-09-10,30.8,30.6,30.8,30.6,11
1234,2025-09-10,39.45,39.25,39.35,39.3,164
1235,2025-09-10,61.7,61,61.7,61.7,8
1236,2025-09-10,23.15,22.75,22.75,22.95,52
1240,2025-09-10,60.2,59.6,60.2,59.9,30
1256,2025-09-10,167,163.5,164,165.5,106
1259,2025-09-10,59,58.5,58.5,59,9
1264,2025-09-10,305,300,300.5,305,19
1268,2025-09-10,164.5,163,163.5,164,273
1294,2025-09-10,81.8,79.6,81.1,81.1,121
1295,2025-09-10,150.5,136,150.5,139,2390
1301,2025-09-10,38.4,37.8,38.4,38.15,10040
1303,2025-09-10,38.95,38.2,38.65,38.2,35929
1304,2025-09-10,10.3,10.1,10.25,10.15,1405
1305,2025-09-10,11.75,11.55,11.75,11.7,572
1307,2025-09-10,30.7,30,30.65,30.25,1265
1308,2025-09-10,11.95,11.75,11.95,11.9,1303
1309,2025-09-10,11.15,10.9,11.1,11.05,651
1310,2025-09-10,9,8.87,9,8.88,980
1312,2025-09-10,9.69,9.51,9.69,9.6,1769
1313,2025-09-10,10,9.87,10,9.87,1599
1314,2025-09-10,7.88,7.52,7.88,7.55,29098
1315,2025-09-10,64.7,64.6,64.7,64.6,3
1316,2025-09-10,14.2,13.9,14.2,13.95,5398
1319,2025-09-10,101,97.5,101,98.2,4592
1321,2025-09-10,36.05,35.6,36,35.9,735
1323,2025-09-10,19.8,19.7,19.75,19.8,20
1324,2025-09-10,11.05,10.85,10.9,11.05,82
1325,2025-09-10,29.4,28.75,29.4,28.75,360
1326,2025-09-10,29.1,28.55,29,28.7,7320
1336,2025-09-10,17.15,16.95,17.1,17.15,161
1337,2025-09-10,5.15,5.09,5.12,5.12,375
1338,2025-09-10,22.95,22.1,22.1,22.65,152
1339,2025-09-10,44.75,43.25,44.4,44,97
1340,2025-09-10,5.66,5.48,5.62,5.56,1102
1341,2025-09-10,60.6,57.4,60.6,57.4,71
1342,2025-09-10,89.8,88,89.1,88.6,166
1402,2025-09-10,27.85,27.6,27.85,27.7,5119
1409,2025-09-10,14.65,14.35,14.55,14.5,6312
1410,2025-09-10,35.75,35,35.05,35.45,35
1413,2025-09-10,10.75,10.55,10.6,10.7,75
1414,2025-09-10,18,17.4,17.95,17.9,590
1416,2025-09-10,11.45,11.4,11.4,11.4,67
1417,2025-09-10,8.42,8.26,8.42,8.37,149
1418,2025-09-10,21.8,21.15,21.45,21.45,11
1419,2025-09-10,54,52.9,53.6,53.5,269
1423,2025-09-10,38.3,38,38.1,38.3,35
1432,2025-09-10,17.45,17.25,17.45,17.3,128
1434,2025-09-10,15.75,15.5,15.7,15.55,1172
1436,2025-09-10,76.4,73.9,76.4,74.9,419
1437,2025-09-10,32.7,31.65,31.65,32.6,428
1438,2025-09-10,37.5,36.8,37,37.3,37
1439,2025-09-10,29.15,28.9,28.95,29.1,27
1440,2025-09-10,13.85,13.6,13.75,13.7,1085
1441,2025-09-10,11.6,11.45,11.6,11.5,17
1442,2025-09-10,52,50.1,52,50.3,772
1443,2025-09-10,29.25,29.25,29.25,29.25,3
1444,2025-09-10,6.69,6.55,6.64,6.66,727
1445,2025-09-10,16.65,15.9,16.2,16.45,860
1446,2025-09-10,20.25,20,20.25,20.05,228
1447,2025-09-10,5.77,5.69,5.77,5.71,354
1449,2025-09-10,12,11.8,11.9,11.9,416
1451,2025-09-10,17.75,17.6,17.75,17.7,129
1452,2025-09-10,14.15,13.85,14,14.05,223
1453,2025-09-10,14.15,13.25,14.1,13.6,70
1454,2025-09-10,14.8,14.6,14.6,14.65,67
1455,2025-09-10,9.51,9.33,9.38,9.37,327
1456,2025-09-10,12.65,12.05,12.2,12.6,49
1457,2025-09-10,16.95,16.7,16.9,16.9,48
1459,2025-09-10,11.7,11.5,11.55,11.7,148
1460,2025-09-10,6.09,5.94,6.05,6.07,815
1463,2025-09-10,20.05,19.85,20.05,19.9,91
1464,2025-09-10,11.1,10.8,11.1,10.9,1264
1465,2025-09-10,13.1,12.95,13,13.05,25
1466,2025-09-10,17.2,16.55,17.1,16.65,395
1467,2025-09-10,7.71,7.59,7.71,7.59,82
1468,2025-09-10,13.85,13.5,13.7,13.7,71
1470,2025-09-10,21.5,20.6,20.6,21.4,93
1471,2025-09-10,9.95,9.81,9.89,9.83,231
1472,2025-09-10,91.5,90.8,91.4,91.4,30
1473,2025-09-10,25.65,25.3,25.35,25.4,55
1474,2025-09-10,12.1,11.7,12,12.1,152
1475,2025-09-10,35.7,34.5,35.7,34.5,123
1476,2025-09-10,407,397,404.5,402,647
1477,2025-09-10,290,276.5,279.5,290,2861
1503,2025-09-10,197,192.5,194,196.5,3276
1504,2025-09-10,87.5,82.4,82.5,87.5,89030
1506,2025-09-10,14.15,13.85,14.05,14.05,315
1512,2025-09-10,7.86,7.64,7.66,7.85,145
1513,2025-09-10,164.5,163.5,164,164,2608
1514,2025-09-10,107.5,106,107.5,107,1254
1515,2025-09-10,31.7,31,31.7,31.7,373
1516,2025-09-10,14.3,14.05,14.05,14.05,16
1517,2025-09-10,10.85,10.45,10.7,10.75,425
1519,2025-09-10,634,620,628,624,1579
1521,2025-09-10,25.85,25.55,25.55,25.85,38
1522,2025-09-10,41.65,40.65,41.5,41.2,662
1524,2025-09-10,29.75,29.15,29.4,29.3,1079
1525,2025-09-10,70.8,69.9,70.8,70.2,21
1526,2025-09-10,17.55,17.25,17.55,17.35,122
1527,2025-09-10,33,32.65,33,32.8,243
1528,2025-09-10,18.25,17.1,18.1,17.15,8607
1529,2025-09-10,25.6,25.25,25.55,25.25,415
1530,2025-09-10,28,27.45,27.9,27.5,43
1531,2025-09-10,12.15,12,12.1,12.15,74
1532,2025-09-10,25.65,25.15,25.4,25.2,784
1533,2025-09-10,34.3,32.5,33.65,34.3,390
1535,2025-09-10,55.5,54.9,55.3,55,75
1536,2025-09-10,70.4,69.1,69.9,69.1,4885
1537,2025-09-10,130,128.5,130,129,321
1538,2025-09-10,27,26.65,27,26.65,9
1539,2025-09-10,17.7,17.45,17.6,17.6,90
1540,2025-09-10,26.6,25.65,25.95,26.25,1252
1541,2025-09-10,25.55,25.3,25.3,25.5,28
1558,2025-09-10,96.7,94,94.3,94.9,53
1560,2025-09-10,339.5,330.5,336,334.5,2207
1563,2025-09-10,49.6,49.1,49.1,49.25,271
1565,2025-09-10,141,139.5,141,140.5,101
1568,2025-09-10,24.8,24.5,24.5,24.65,131
1569,2025-09-10,64,62.4,63.8,63,3882
1570,2025-09-10,23.3,23,23,23.25,234
1580,2025-09-10,141.5,139.5,141.5,140,17
1582,2025-09-10,69.8,69,69.1,69.4,305
1583,2025-09-10,51.4,50.3,51.4,50.9,19
1584,2025-09-10,27.25,25.35,25.5,26.4,4324
1586,2025-09-10,29.25,27.8,29.25,27.8,851
1587,2025-09-10,37.65,36.05,36.55,36.05,721
1589,2025-09-10,20.8,20.3,20.5,20.55,593
1590,2025-09-10,803,787,796,787,912
1591,2025-09-10,50.8,49.1,49.5,50.6,281
1593,2025-09-10,32,31.75,32,31.75,13
1595,2025-09-10,39.6,37.95,38.75,38.85,377
1597,2025-09-10,86.5,83.8,85.2,85.4,773
1598,2025-09-10,21.4,20.85,21.4,20.95,177
1599,2025-09-10,30.5,30.35,30.5,30.45,10
1603,2025-09-10,39,37.95,39,38.6,885
1604,2025-09-10,24.75,24.6,24.65,24.7,119
1605,2025-09-10,23.3,22.15,22.3,22.85,38174
1608,2025-09-10,31.15,30.45,30.8,30.7,6064
1609,2025-09-10,42.2,41.35,41.75,41.8,7305
1611,2025-09-10,13.3,13.1,13.3,13.2,342
1612,2025-09-10,36.85,36.15,36.45,36.5,1163
1614,2025-09-10,37.15,36.8,36.95,37,27
1615,2025-09-10,50.1,49.7,50,49.7,166
1616,2025-09-10,39.35,37.25,39.05,37.55,15885
1617,2025-09-10,15.45,15.2,15.3,15.3,171
1618,2025-09-10,49.95,48.45,49,49.25,4847
1626,2025-09-10,12.1,11.85,11.95,12.05,114
1702,2025-09-10,39.85,39.5,39.75,39.65,287
1707,2025-09-10,131,129.5,129.5,131,76
1708,2025-09-10,31,30.75,31,30.95,880
1709,2025-09-10,16.65,16.4,16.65,16.5,689
1710,2025-09-10,12.35,11.95,12.05,12.35,1334
1711,2025-09-10,22,20,21.05,22,67447
1712,2025-09-10,43.2,42.9,43.05,42.95,314
1713,2025-09-10,50.4,49.35,49.4,50.3,193
1714,2025-09-10,7.98,7.88,7.98,7.9,1012
1717,2025-09-10,47.7,45.4,46.8,45.7,80116
1718,2025-09-10,6.7,6.53,6.69,6.56,2249
1720,2025-09-10,56.6,56.1,56.6,56.5,156
1721,2025-09-10,13.8,13,13.2,13.7,2157
1722,2025-09-10,51,50.4,50.6,50.8,867
1723,2025-09-10,82.6,81.8,82.6,82.1,244
1725,2025-09-10,29,28.5,28.65,28.7,16
1726,2025-09-10,75.3,74.9,75.1,75.3,64
1727,2025-09-10,37.85,35.35,37.3,37.3,7707
1730,2025-09-10,52.8,52.7,52.8,52.7,32
1731,2025-09-10,21.95,21.75,21.8,21.9,54
1732,2025-09-10,29.4,28.85,29.4,28.95,198
1733,2025-09-10,31.4,30.25,30.4,30.8,440
1734,2025-09-10,31.3,31.05,31.2,31.15,89
1735,2025-09-10,14.85,14.75,14.85,14.8,48
1736,2025-09-10,143,139.5,142.5,142.5,595
1737,2025-09-10,32.25,31.95,32.2,32.1,249
1742,2025-09-10,14.85,14.65,14.75,14.8,17
1752,2025-09-10,38.6,38.25,38.55,38.4,165
1760,2025-09-10,73.3,72.4,72.8,73,144
