"stoc","date","max","min","ope","clo","vol"
1101,2024-06-17,34.15,33.8,34,34,13504
1102,2024-06-17,42.15,41.75,41.9,41.95,7122
1103,2024-06-17,18.3,18.2,18.3,18.3,280
1104,2024-06-17,33.8,33.55,33.7,33.7,296
1108,2024-06-17,17,16.8,16.95,16.8,385
1109,2024-06-17,19.5,19.4,19.5,19.45,140
1110,2024-06-17,22,21.15,21.75,21.2,1071
1201,2024-06-17,18.8,18.65,18.8,18.75,551
1203,2024-06-17,49.5,49.4,49.4,49.5,3
1210,2024-06-17,57.3,56.9,57,57.3,1150
1213,2024-06-17,7.23,7.12,7.12,7.15,23
1215,2024-06-17,109.5,108.5,109.5,108.5,386
1216,2024-06-17,82,81,81,81.7,3706
1217,2024-06-17,12.25,12.15,12.15,12.25,1010
1218,2024-06-17,22.7,22.2,22.2,22.4,1012
1219,2024-06-17,19,18.85,18.85,19,226
1220,2024-06-17,15.35,15.2,15.3,15.35,218
1225,2024-06-17,92,91.2,91.3,91.9,88
1227,2024-06-17,42.7,42,42.45,42.7,1534
1229,2024-06-17,67.2,66.5,67,67.2,1047
1231,2024-06-17,108.5,106,108,106,233
1232,2024-06-17,146,145,145,145.5,58
1233,2024-06-17,34.05,33.9,33.9,34,13
1234,2024-06-17,44.05,43.35,43.35,44,307
1235,2024-06-17,90.7,90.7,90.7,90.7,5
1236,2024-06-17,24.15,24.05,24.05,24.15,9
1240,2024-06-17,54.1,53.4,53.9,53.9,34
1256,2024-06-17,201,200,201,200,21
1259,2024-06-17,72.5,72,72.5,72.4,4
1264,2024-06-17,316,314,316,316,14
1268,2024-06-17,171,169,171,170,47
1301,2024-06-17,61,60.2,61,60.2,12874
1303,2024-06-17,50.7,50.3,50.7,50.3,6347
1304,2024-06-17,15.3,15.2,15.25,15.25,722
1305,2024-06-17,17,16.75,16.75,16.8,1087
1307,2024-06-17,31.3,30.95,31.3,31,301
1308,2024-06-17,17.35,17.2,17.25,17.3,621
1309,2024-06-17,15.55,15.35,15.4,15.5,543
1310,2024-06-17,13.25,13.1,13.2,13.2,566
1312,2024-06-17,14.2,13.95,13.95,14.1,1777
1313,2024-06-17,12.55,12.3,12.35,12.4,987
1314,2024-06-17,10.25,10.1,10.1,10.15,14297
1315,2024-06-17,72.3,71.8,72.3,72.3,11
1316,2024-06-17,19.7,19.2,19.55,19.35,5158
1319,2024-06-17,122,119,119.5,119,2807
1321,2024-06-17,38.4,38,38.1,38.25,508
1323,2024-06-17,30.5,30.4,30.5,30.4,27
1324,2024-06-17,13.45,13.2,13.35,13.3,50
1325,2024-06-17,34.65,32.2,32.2,34.65,8368
1326,2024-06-17,52.1,51.6,52.1,51.6,3641
1336,2024-06-17,20.8,20.5,20.8,20.6,70
1337,2024-06-17,7.57,7.5,7.52,7.53,705
1338,2024-06-17,33.3,32.9,33.3,32.95,168
1339,2024-06-17,67,66.1,66.5,66.2,143
1340,2024-06-17,10.05,9.95,10.05,9.98,95
1341,2024-06-17,72,71.5,72,71.5,16
1342,2024-06-17,115,112,115,112.5,292
1402,2024-06-17,35.6,35.25,35.55,35.25,4211
1409,2024-06-17,16.6,16.45,16.5,16.5,1838
1410,2024-06-17,37.85,37.5,37.5,37.8,41
1413,2024-06-17,11.15,10.85,11,11,129
1414,2024-06-17,22.8,21.75,21.95,22.5,1239
1416,2024-06-17,13.05,12.9,12.9,12.95,972
1417,2024-06-17,11.35,11.25,11.3,11.35,147
1418,2024-06-17,30,29.9,29.95,30,4
1419,2024-06-17,48.65,47.8,48.55,47.8,141
1423,2024-06-17,40.35,39.8,39.85,40.15,306
1432,2024-06-17,17.8,17.7,17.8,17.7,89
1434,2024-06-17,22.75,22.5,22.5,22.65,1045
1435,2024-06-17,46,45.15,45.5,46,3
1436,2024-06-17,151.5,146.5,148,148,274
1437,2024-06-17,39.3,38.7,39.3,39,282
1438,2024-06-17,62,59.5,61.1,59.5,433
1439,2024-06-17,30.6,29.7,29.95,29.9,394
1440,2024-06-17,17.85,17.6,17.7,17.7,1257
1441,2024-06-17,13.45,13.25,13.25,13.45,4
1442,2024-06-17,63.7,62.1,63.7,62.1,1764
1443,2024-06-17,31.85,31.55,31.55,31.85,17
1444,2024-06-17,9.81,9.71,9.76,9.75,748
1445,2024-06-17,23.6,23.35,23.4,23.5,2948
1446,2024-06-17,56.2,54.3,55.9,55.2,1350
1447,2024-06-17,10.5,10.1,10.15,10.3,3692
1449,2024-06-17,18.3,18.05,18.3,18.05,256
1451,2024-06-17,21.15,20.6,20.75,20.9,302
1452,2024-06-17,17.1,17,17.1,17.05,123
1453,2024-06-17,29.75,27.75,29.2,27.8,3199
1454,2024-06-17,16.95,16.65,16.8,16.85,20
1455,2024-06-17,14.65,14.2,14.6,14.35,1595
1456,2024-06-17,20.75,20.3,20.75,20.7,132
1457,2024-06-17,22.55,22.1,22.55,22.25,433
1459,2024-06-17,10.9,10.6,10.85,10.9,192
1460,2024-06-17,8.17,7.95,7.98,8.06,957
1463,2024-06-17,20.2,20.05,20.05,20.15,95
1464,2024-06-17,14.9,14.45,14.9,14.5,567
1465,2024-06-17,15.2,14.9,15.1,15.05,75
1466,2024-06-17,12.85,12.6,12.8,12.65,161
1467,2024-06-17,11.35,11.3,11.35,11.35,257
1468,2024-06-17,14.65,14.45,14.55,14.55,33
1471,2024-06-17,16.45,16.05,16.1,16.1,856
1472,2024-06-17,73,71.3,71.5,71.8,80
1473,2024-06-17,53,47.8,52,47.8,8984
1474,2024-06-17,14.45,14.15,14.35,14.3,442
1475,2024-06-17,63.8,61.1,63.8,61.5,244
1476,2024-06-17,535,528,531,532,513
1477,2024-06-17,388.5,382.5,384.5,383,850
1503,2024-06-17,282,262,276.5,262,39648
1504,2024-06-17,58.8,57.2,58.4,57.6,17583
1506,2024-06-17,16.75,16.45,16.7,16.75,237
1512,2024-06-17,9.27,9.1,9.27,9.18,45
1513,2024-06-17,194,183,194,184,38079
1514,2024-06-17,148,138,140.5,139,76506
1515,2024-06-17,45.8,44.95,45.5,45.35,558
1516,2024-06-17,24,23.65,23.7,23.75,401
1517,2024-06-17,17.15,16.65,16.65,17.1,878
1519,2024-06-17,964,904,935,905,16230
1521,2024-06-17,39.6,39.05,39.5,39.15,50
1522,2024-06-17,69.2,67.4,69,67.9,4661
1524,2024-06-17,35.15,34.65,35,34.95,2261
1525,2024-06-17,77,76.3,76.3,77,26
1526,2024-06-17,32.1,31.85,31.95,31.9,67
1527,2024-06-17,44.8,44,44.1,44.65,651
1528,2024-06-17,13.6,12.9,13.05,13.15,3821
1529,2024-06-17,34.2,33.35,34,33.4,1776
1530,2024-06-17,32.05,31.9,32.05,32,86
1531,2024-06-17,14.7,14.4,14.4,14.55,96
1532,2024-06-17,50.9,49.05,50.4,49.4,4893
1533,2024-06-17,46.55,45.6,45.6,46.55,77
1535,2024-06-17,70.6,69.8,70.4,69.9,132
1536,2024-06-17,55.2,54.2,55,55,993
1537,2024-06-17,147.5,146,147.5,146.5,119
1538,2024-06-17,18.85,17.8,17.8,18.2,79
