"stoc","date","max","min","ope","clo","vol"
1101,2024-09-18,32.25,31.95,32.2,32.1,6423
1102,2024-09-18,45.45,44.65,44.9,44.8,9912
1103,2024-09-18,18,17.8,17.95,18,206
1104,2024-09-18,30.7,30.2,30.2,30.35,649
1108,2024-09-18,14.9,14.7,14.75,14.8,290
1109,2024-09-18,18.55,18.45,18.55,18.45,124
1110,2024-09-18,22.7,22.15,22.65,22.3,259
1201,2024-09-18,18.25,18.15,18.25,18.2,348
1203,2024-09-18,49.75,49,49.75,49.75,7
1210,2024-09-18,51.6,51.1,51.5,51.4,924
1213,2024-09-18,12.1,12,12,12.1,53
1215,2024-09-18,99,96.2,98,96.2,470
1216,2024-09-18,87.5,85.8,86.5,86.8,7983
1217,2024-09-18,12.6,12.45,12.6,12.5,976
1218,2024-09-18,20.4,20.2,20.25,20.35,449
1219,2024-09-18,17.15,16.95,17.1,17,282
1220,2024-09-18,16.85,16.55,16.7,16.6,308
1225,2024-09-18,178,160.5,178,172.5,166
1227,2024-09-18,38.95,38.35,38.8,38.65,399
1229,2024-09-18,60.8,60,60.7,60.4,832
1231,2024-09-18,107.5,105.5,106.5,106,141
1232,2024-09-18,148,146,147,147,77
1233,2024-09-18,32.35,31.85,32,32.35,10
1234,2024-09-18,42,41.8,42,41.95,85
1235,2024-09-18,134,132,134,132,5
1236,2024-09-18,23.8,23.6,23.6,23.8,10
1240,2024-09-18,54.6,53.9,53.9,54.6,14
1256,2024-09-18,131.5,127.5,127.5,129,54
1259,2024-09-18,69,68.6,69,68.6,2
1264,2024-09-18,317.5,317.5,317.5,317.5,1
1268,2024-09-18,150,148.5,149.5,149,67
1301,2024-09-18,49.7,47.9,48.3,48.25,19536
1303,2024-09-18,42.7,41.9,42.15,42.15,9693
1304,2024-09-18,15.7,14.95,15.05,15.3,5757
1305,2024-09-18,16.55,16.15,16.2,16.2,1052
1307,2024-09-18,39.3,36.7,38.9,37.3,2515
1308,2024-09-18,18.55,17.85,17.95,18.15,3025
1309,2024-09-18,20.4,19.45,19.55,19.6,8086
1310,2024-09-18,12.75,12.45,12.6,12.45,696
1312,2024-09-18,13.3,13,13.2,13.05,2786
1313,2024-09-18,11.7,11.45,11.5,11.5,1164
1314,2024-09-18,9.72,9.54,9.58,9.56,18870
1315,2024-09-18,70.5,70,70,70.4,57
1316,2024-09-18,18.95,18.65,18.95,18.65,2240
1319,2024-09-18,108.5,104.5,108,105,2816
1321,2024-09-18,39.2,38.7,39.05,38.8,331
1323,2024-09-18,28.05,27.45,28.05,27.45,210
1324,2024-09-18,13,12.85,13,13,36
1325,2024-09-18,27.65,27.05,27.15,27.3,145
1326,2024-09-18,41.3,40.55,40.9,40.65,11859
1336,2024-09-18,27.3,25.55,25.85,25.6,2885
1337,2024-09-18,7.22,7.08,7.21,7.17,158
1338,2024-09-18,32.25,31.75,31.9,31.9,68
1339,2024-09-18,59.6,58.1,59.4,58.2,79
1340,2024-09-18,10.1,9.88,9.88,10.1,163
1341,2024-09-18,67.2,67.2,67.2,67.2,2
1342,2024-09-18,94.5,93.7,94.3,93.9,63
1402,2024-09-18,37,36.45,36.95,36.65,5517
1409,2024-09-18,16.2,15.95,16.15,16.1,2115
1410,2024-09-18,37.3,36.65,36.7,36.95,46
1413,2024-09-18,10.05,9.98,9.99,10,126
1414,2024-09-18,24.75,24.35,24.6,24.55,322
1416,2024-09-18,12.7,12.5,12.5,12.55,232
1417,2024-09-18,10.6,10.45,10.6,10.5,241
1418,2024-09-18,34.4,33.4,34,34.4,15
1419,2024-09-18,47.35,46.65,47.25,47.25,30
1423,2024-09-18,45.05,44.6,44.9,44.6,37
1432,2024-09-18,18,17.85,17.95,17.95,91
1434,2024-09-18,20,19.75,19.9,19.95,991
1435,2024-09-18,44.8,44.8,44.8,44.8,1
1436,2024-09-18,152,148,150.5,151.5,303
1437,2024-09-18,35.3,35,35,35.15,103
1438,2024-09-18,75.4,73.2,73.4,74.7,217
1439,2024-09-18,33.7,33.25,33.65,33.25,33
1440,2024-09-18,16.05,15.8,15.8,15.9,734
1441,2024-09-18,16.15,15.95,15.95,16,53
1442,2024-09-18,71.3,64.9,64.9,71.3,7720
1443,2024-09-18,32.5,32.3,32.5,32.3,2
1444,2024-09-18,9.36,9.26,9.29,9.26,1144
1445,2024-09-18,19.35,19,19.2,19.05,138
1446,2024-09-18,50.3,49,49.95,49,764
1447,2024-09-18,8.97,8.81,8.95,8.81,885
1449,2024-09-18,20.1,18.85,18.85,19.4,1750
1451,2024-09-18,20,19.9,20,19.9,17
1452,2024-09-18,16.9,16.8,16.9,16.85,92
1453,2024-09-18,19.3,18.8,19,18.85,265
1454,2024-09-18,19.05,18.55,19.05,18.6,67
1455,2024-09-18,11.55,11.3,11.3,11.4,964
1456,2024-09-18,19.25,18.9,19,19.1,24
1457,2024-09-18,20.45,20.2,20.45,20.2,80
1459,2024-09-18,10.15,10,10.15,10.1,56
1460,2024-09-18,7.21,7.15,7.18,7.16,437
1463,2024-09-18,24.75,24.35,24.5,24.35,95
1464,2024-09-18,14.4,14.15,14.4,14.2,299
1465,2024-09-18,15.05,14.8,14.85,14.9,247
1466,2024-09-18,12.15,12,12.1,12,63
1467,2024-09-18,10.35,10.25,10.3,10.25,87
1468,2024-09-18,13.8,13.55,13.75,13.65,38
1470,2024-09-18,23.6,22.25,23.6,22.25,74
1471,2024-09-18,13.55,13.2,13.55,13.2,176
1472,2024-09-18,60,59.1,60,59.5,21
1473,2024-09-18,37.25,35.9,36.05,36.3,659
1474,2024-09-18,12.65,12.3,12.65,12.35,169
1475,2024-09-18,63.8,61.7,61.7,62.6,249
1476,2024-09-18,549,532,532,546,831
1477,2024-09-18,370.5,365,367.5,365,980
1503,2024-09-18,222.5,212,212,216,5020
1504,2024-09-18,49.65,48.6,49.1,49.05,5186
1506,2024-09-18,15.35,15.2,15.35,15.2,59
1512,2024-09-18,7.41,7.39,7.39,7.39,11
1513,2024-09-18,172,163.5,163.5,167.5,13483
1514,2024-09-18,128.5,118,118,126.5,12049
1515,2024-09-18,36.85,35.95,36.8,36,506
1516,2024-09-18,19.05,18.7,19.05,18.7,137
1517,2024-09-18,15.85,15.5,15.55,15.55,201
1519,2024-09-18,633,580,584,622,9246
1521,2024-09-18,38.8,37.9,38,38.3,28
1522,2024-09-18,62.3,61.2,62.2,61.2,2748
1524,2024-09-18,33.55,32.5,33.3,32.7,3065
1525,2024-09-18,67.5,67.3,67.5,67.5,8
1526,2024-09-18,27.8,27.25,27.5,27.4,24
1527,2024-09-18,45.8,44.8,45.5,44.9,577
1528,2024-09-18,15,14.3,14.3,14.35,3175
1529,2024-09-18,29.95,29.55,29.7,29.6,742
1530,2024-09-18,34.95,33.45,34.25,33.7,500
1531,2024-09-18,14.15,14,14.1,14.05,38
1532,2024-09-18,39.4,38.8,38.95,38.8,2156
1533,2024-09-18,41.5,40.3,40.5,40.3,116
1535,2024-09-18,61.5,60.6,61,61.3,61
1536,2024-09-18,59.5,57.5,59.1,57.6,2546
1537,2024-09-18,158,152,158,154,453
1538,2024-09-18,18.1,17.8,17.9,17.8,20
1539,2024-09-18,31.65,30.3,30.8,30.45,2319
1540,2024-09-18,48.8,47,47.5,47.2,20594
1541,2024-09-18,33.9,33.3,33.7,33.35,89
1558,2024-09-18,118,115,117.5,115.5,232
1560,2024-09-18,327,312,314,318.5,1717
1565,2024-09-18,177.5,175.5,176.5,176.5,65
1568,2024-09-18,28.3,27.6,28.25,27.65,124
1569,2024-09-18,29.75,28.5,28.9,28.7,1968
1570,2024-09-18,30.35,29.85,30.15,29.9,332
1580,2024-09-18,148,145.5,148,146.5,70
1582,2024-09-18,122.5,112,112,119,10242
1583,2024-09-18,61.7,60.5,61.3,61.3,91
1584,2024-09-18,38.4,37.1,37.4,37.2,4935
1586,2024-09-18,32.2,31.55,32,31.6,49
1587,2024-09-18,44.5,42.85,43.85,42.85,414
1589,2024-09-18,46.3,44.1,44.15,44.65,707
1590,2024-09-18,772,759,771,761,516
1591,2024-09-18,51,49.7,51,49.7,138
1593,2024-09-18,41.85,41,41.5,41,5
1595,2024-09-18,38.15,37.6,37.65,38.1,18
1597,2024-09-18,94.5,91.5,91.8,91.9,1382
1598,2024-09-18,28.2,27.65,27.85,28.1,126
1599,2024-09-18,33.15,32.9,33.15,32.95,19
1603,2024-09-18,38,37.2,37.2,37.4,226
1604,2024-09-18,28.05,27.9,28,27.9,89
1605,2024-09-18,32.45,31.6,31.6,31.85,13468
1608,2024-09-18,32.65,31.85,32,32,2388
1609,2024-09-18,51.3,49.9,50.1,50.6,10265
1611,2024-09-18,17.45,17.2,17.35,17.35,576
1612,2024-09-18,34.2,33.45,33.45,33.5,586
1614,2024-09-18,41,40.1,41,40.2,208
1615,2024-09-18,64.2,62.9,63.6,62.9,123
1616,2024-09-18,19.4,18.95,19.3,19,299
1617,2024-09-18,21.45,20.9,21,21,397
1618,2024-09-18,45.15,43.65,43.75,43.8,1670
1626,2024-09-18,15.95,15.65,15.9,15.85,58
1702,2024-09-18,53.9,53.2,53.7,53.2,305
1707,2024-09-18,146,143,143.5,144,299
1708,2024-09-18,41.45,40.1,40.1,41,6189
1709,2024-09-18,24.9,24.15,24.45,24.15,3570
1710,2024-09-18,19.15,18.5,18.75,18.85,5013
1711,2024-09-18,28.2,26.15,26.6,26.5,84213
1712,2024-09-18,43.6,42.9,43.4,43.15,324
1713,2024-09-18,53.1,53,53.1,53,48
1714,2024-09-18,8.94,8.82,8.9,8.83,1602
1717,2024-09-18,32.8,31.7,31.75,31.75,21150
1718,2024-09-18,8.54,8.39,8.44,8.4,5197
1720,2024-09-18,65,64.3,64.7,64.3,164
1721,2024-09-18,20.05,20.05,20.05,20.05,7281
1722,2024-09-18,58.6,57.6,58.6,57.7,2230
1723,2024-09-18,100.5,99.3,99.9,99.6,313
1725,2024-09-18,41.35,39.25,39.7,39.4,441
1726,2024-09-18,77.8,76.6,76.6,77.3,32
1727,2024-09-18,40.45,36.2,37.65,36.2,39739
1730,2024-09-18,53.1,53,53,53,12
1731,2024-09-18,23.8,23.5,23.7,23.5,252
1732,2024-09-18,28.45,28.05,28.45,28.05,26
1733,2024-09-18,29.6,29.4,29.5,29.4,78
1734,2024-09-18,32.9,32.5,32.6,32.75,217
1735,2024-09-18,27,25.2,26.7,25.55,558
1736,2024-09-18,127.5,121,121,123,971
1737,2024-09-18,35.7,35.35,35.35,35.65,812
1742,2024-09-18,18.05,17.8,17.8,17.85,71
1752,2024-09-18,44.7,44,44.2,44.1,60
1760,2024-09-18,89.6,88.2,89,88.2,69
1762,2024-09-18,42.55,41.8,42.5,42.3,92
1773,2024-09-18,183.5,173,178,173.5,2278
1776,2024-09-18,22.75,20.4,20.4,22.75,3146
1777,2024-09-18,94.4,92.9,93.5,94.4,95
1781,2024-09-18,17.1,16.55,16.65,16.6,148
1783,2024-09-18,44.65,43.9,44.55,43.9,101
1784,2024-09-18,116.5,106.5,106.5,116.5,1298
1785,2024-09-18,71.2,66.8,67.5,67.2,66527
1786,2024-09-18,134.5,125.5,127,129,1400
1788,2024-09-18,139.5,139.5,139.5,139.5,3
1789,2024-09-18,24.95,24.6,24.7,24.6,228
1795,2024-09-18,272,265.5,269.5,267,1436
1796,2024-09-18,47,46.25,46.75,46.35,21
1799,2024-09-18,179.5,173,176.5,175,239
1802,2024-09-18,15.85,15.5,15.7,15.5,2032
1805,2024-09-18,20.2,19.9,20.2,20,67
1806,2024-09-18,12.5,12.05,12.5,12.05,1577
1808,2024-09-18,133,130,130.5,131.5,2672
1809,2024-09-18,20.85,20.1,20.55,20.3,723
1810,2024-09-18,19.1,18.55,18.6,18.9,1473
1813,2024-09-18,19.7,19.6,19.6,19.6,11
1815,2024-09-18,22.75,22.25,22.55,22.3,3919
1817,2024-09-18,43.3,42.15,43.3,42.25,213
1903,2024-09-18,57.1,55.8,56.8,56.4,171
1904,2024-09-18,24.35,23.8,24.3,24.1,1495
1905,2024-09-18,21.2,20.55,21.15,20.55,3781
1906,2024-09-18,14.9,14.85,14.85,14.85,23
1907,2024-09-18,30.95,30.3,30.65,30.5,1126
1909,2024-09-18,13.85,13.5,13.5,13.6,1715
2002,2024-09-18,21.65,21.35,21.4,21.6,19939
2006,2024-09-18,77.6,76.1,77.3,76.1,1932
2007,2024-09-18,10.15,10,10.05,10.1,339
2008,2024-09-18,33.5,32,32.2,32.05,115
2009,2024-09-18,42,41.05,41.5,41.25,1169
2010,2024-09-18,17.7,17.45,17.65,17.65,553
2012,2024-09-18,25.7,25.25,25.6,25.45,208
2013,2024-09-18,52.6,52,52.6,52.4,39
2014,2024-09-18,18.9,18.6,18.7,18.8,2688
2015,2024-09-18,84.8,83,83,83.5,1120
2017,2024-09-18,12.25,12.1,12.15,12.2,361
2020,2024-09-18,28.55,28.2,28.4,28.3,280
2022,2024-09-18,9.51,9.32,9.5,9.42,811
2023,2024-09-18,15.3,15,15.3,15.1,973
2024,2024-09-18,21.85,21.05,21.85,21.65,7
2025,2024-09-18,11.7,11.45,11.65,11.6,549
2027,2024-09-18,33.85,33.2,33.45,33.25,3677
2028,2024-09-18,24.45,22.85,23.4,23.6,216
2029,2024-09-18,25,24.8,24.9,24.95,134
2030,2024-09-18,17.25,17,17.05,17.05,189
2031,2024-09-18,57.2,56.4,56.6,56.7,539
2032,2024-09-18,15.15,14.6,14.6,14.85,255
2033,2024-09-18,21.25,19,19,21.25,15431
2034,2024-09-18,23.15,22.85,22.85,23.05,343
2035,2024-09-18,31.85,31.75,31.75,31.85,25
2038,2024-09-18,18.45,16.95,17.05,17.3,1731
2049,2024-09-18,205.5,202.5,203,203,680
2059,2024-09-18,1225,1145,1215,1150,785
2061,2024-09-18,24.3,23.75,24.25,23.75,153
2062,2024-09-18,39,38.05,38.9,38.2,4082
2063,2024-09-18,40,39.9,40,39.9,33
2064,2024-09-18,15.1,15,15.1,15.1,17
2065,2024-09-18,60.6,58.5,58.5,59.9,225
2066,2024-09-18,113,111,112.5,111,141
2067,2024-09-18,10.55,10.25,10.55,10.45,9
2069,2024-09-18,18.45,18,18,18,651
2070,2024-09-18,105.5,95,105.5,95.3,17432
2101,2024-09-18,52.1,50.5,50.9,51.5,2713
2102,2024-09-18,22.8,21.9,22,21.9,1300
2103,2024-09-18,23.2,22.75,22.8,22.8,1031
2104,2024-09-18,15.7,15.5,15.7,15.55,886
2105,2024-09-18,49.9,48.85,49.15,49.1,5500
