"stoc","date","max","min","ope","clo","vol"
1101,2024-11-20,33.55,33.3,33.5,33.5,13008
1102,2024-11-20,44.25,43.7,44.25,43.75,7173
1103,2024-11-20,18,17.8,17.95,18,201
1104,2024-11-20,29.3,29.05,29.3,29.15,454
1108,2024-11-20,14.55,14.45,14.55,14.45,165
1109,2024-11-20,18.45,18.3,18.3,18.3,56
1110,2024-11-20,21.3,21.1,21.3,21.2,83
1201,2024-11-20,18.15,18,18,18.15,140
1203,2024-11-20,44,43.3,43.35,43.35,22
1210,2024-11-20,52.9,52.3,52.4,52.9,974
1213,2024-11-20,12.3,12,12.1,12.25,26
1215,2024-11-20,98.7,97.2,98.7,98.3,300
1216,2024-11-20,86,84,84.2,86,10616
1217,2024-11-20,12,11.9,12,12,306
1218,2024-11-20,21.15,20.7,20.85,21.15,1228
1219,2024-11-20,16.95,16.8,16.9,16.9,116
1220,2024-11-20,17.75,17.4,17.45,17.6,658
1225,2024-11-20,85.6,77.9,77.9,83.5,100
1227,2024-11-20,37.85,37.55,37.85,37.65,320
1229,2024-11-20,58.5,57.5,58.5,58.1,981
1231,2024-11-20,116.5,114.5,116.5,115.5,129
1232,2024-11-20,146.5,145.5,146,146.5,40
1233,2024-11-20,32,31.85,32,31.85,8
1234,2024-11-20,41.55,41.35,41.5,41.55,42
1235,2024-11-20,149.5,149.5,149.5,149.5,2
1236,2024-11-20,23.05,22.8,23.05,22.95,19
1240,2024-11-20,51.7,51.5,51.5,51.6,42
1256,2024-11-20,140,135,140,135.5,37
1259,2024-11-20,65.7,65.7,65.7,65.7,1
1264,2024-11-20,305,303,305,303,6
1268,2024-11-20,151,150,150.5,151,14
1301,2024-11-20,45.6,45.1,45.6,45.3,9706
1303,2024-11-20,41.15,40.6,41.05,40.9,7443
1304,2024-11-20,13.55,13.35,13.5,13.35,657
1305,2024-11-20,15.15,14.8,15.1,14.85,611
1307,2024-11-20,43.85,40.7,43.05,41,4213
1308,2024-11-20,17.25,16.85,17.2,16.95,841
1309,2024-11-20,16.85,16.5,16.8,16.5,571
1310,2024-11-20,11.7,11.6,11.65,11.65,334
1312,2024-11-20,11.95,11.75,11.9,11.8,1107
1313,2024-11-20,11,10.85,11,10.9,671
1314,2024-11-20,8,7.91,7.97,7.93,6351
1315,2024-11-20,70,69.8,70,70,6
1316,2024-11-20,14.85,14.4,14.8,14.5,2401
1319,2024-11-20,112,109,112,110,2198
1321,2024-11-20,33.35,33.1,33.3,33.2,361
1323,2024-11-20,25.65,25.4,25.65,25.6,41
1324,2024-11-20,12.9,12.8,12.85,12.85,15
1325,2024-11-20,27.8,27.3,27.8,27.35,98
1326,2024-11-20,36.25,35.5,36.15,35.65,7493
1336,2024-11-20,26.5,25.85,26.3,26.1,936
1337,2024-11-20,7.02,6.93,6.99,6.96,141
1338,2024-11-20,30.45,28.95,30,29.15,322
1339,2024-11-20,54.3,53.4,53.9,53.6,45
1340,2024-11-20,10.05,9.96,10,10.05,54
1341,2024-11-20,68.4,67.7,67.7,67.9,5
1342,2024-11-20,99.3,98,99.1,98,165
1402,2024-11-20,38,35.5,36.9,37.55,33436
1409,2024-11-20,15.55,15.4,15.55,15.5,951
1410,2024-11-20,36.9,36.45,36.55,36.6,49
1413,2024-11-20,10.1,9.74,9.74,10.1,211
1414,2024-11-20,22.35,21.7,22.2,22.15,628
1416,2024-11-20,13.05,12.8,13,12.9,157
1417,2024-11-20,10,9.94,10,9.99,102
1418,2024-11-20,28.75,28.5,28.65,28.65,20
1419,2024-11-20,46.25,45.9,45.95,46.05,25
1423,2024-11-20,37.65,37,37.15,37.6,28
1432,2024-11-20,19.5,19.3,19.4,19.4,113
1434,2024-11-20,20.4,20.15,20.4,20.2,950
1435,2024-11-20,42.05,40.85,40.85,42.05,2
1436,2024-11-20,122.5,120,122.5,121.5,244
1437,2024-11-20,34.2,34,34.2,34.15,53
1438,2024-11-20,53,52.1,53,52.5,42
1439,2024-11-20,30.8,30.05,30.8,30.35,23
1440,2024-11-20,15.15,15,15.05,15.15,541
1441,2024-11-20,14.2,13.95,14,14.15,40
1442,2024-11-20,79.7,76,79.6,77.2,4707
1443,2024-11-20,33.15,32.45,32.5,33.15,27
1444,2024-11-20,9.16,9.07,9.08,9.12,566
1445,2024-11-20,16.9,16.8,16.85,16.9,79
1446,2024-11-20,51.1,49.65,51.1,50.7,2336
1447,2024-11-20,7.85,7.77,7.82,7.81,789
1449,2024-11-20,25.5,23,25.2,23.45,17129
1451,2024-11-20,20.95,20.75,20.95,20.75,145
1452,2024-11-20,16.2,15.95,16.2,16,95
1453,2024-11-20,15.95,15.7,15.8,15.7,97
1454,2024-11-20,16.55,16.45,16.5,16.45,23
1455,2024-11-20,10.15,10,10.05,10.1,277
1456,2024-11-20,18,17.65,18,17.9,18
1457,2024-11-20,19.9,19.6,19.8,19.8,113
1459,2024-11-20,9.98,9.8,9.98,9.8,34
1460,2024-11-20,7.3,7.2,7.3,7.21,423
1463,2024-11-20,25.05,24.55,25.05,24.55,165
1464,2024-11-20,16.2,15.5,16.2,15.7,1167
1465,2024-11-20,14.5,14.25,14.45,14.3,123
1466,2024-11-20,13.55,13.3,13.55,13.45,165
1467,2024-11-20,11.4,11.2,11.4,11.3,184
1468,2024-11-20,14.8,14.55,14.65,14.65,57
1470,2024-11-20,20.3,19.65,19.7,20.1,11
1471,2024-11-20,15.35,14.8,15.2,14.9,1745
1472,2024-11-20,59.5,59,59.5,59.4,26
