"stoc","date","max","min","ope","clo","vol"
1101,2026-04-16,25.2,24.6,24.75,25,21627
1102,2026-04-16,35.55,35.05,35.45,35.5,9119
1103,2026-04-16,14,13.85,13.85,13.9,222
1104,2026-04-16,29.45,29.2,29.35,29.35,327
1108,2026-04-16,14.95,14.85,14.85,14.85,267
1109,2026-04-16,15.6,15.45,15.6,15.45,165
1110,2026-04-16,16.1,15.75,15.75,15.95,281
1201,2026-04-16,13.45,13.3,13.35,13.3,331
1203,2026-04-16,42.9,42.3,42.4,42.9,65
1210,2026-04-16,55.5,54.6,55.1,54.8,1876
1213,2026-04-16,9.28,8.93,8.93,9.28,36
1215,2026-04-16,144,141.5,144,144,1050
1216,2026-04-16,73.3,72.4,72.8,73,8454
1217,2026-04-16,10.4,10.35,10.4,10.35,443
1218,2026-04-16,19.2,19.1,19.1,19.2,696
1219,2026-04-16,14.5,14,14.5,14.15,1170
1220,2026-04-16,12.8,12.6,12.75,12.75,72
1225,2026-04-16,34.25,33.8,34.1,34.05,168
1227,2026-04-16,30.05,29.85,30,29.9,672
1229,2026-04-16,44.4,43.9,43.9,44.3,1418
1231,2026-04-16,90.9,89.9,89.9,90.4,217
1232,2026-04-16,150.5,149.5,150,150.5,79
1233,2026-04-16,30,29.35,29.65,29.6,15
1234,2026-04-16,36.35,36.05,36.1,36.25,134
1235,2026-04-16,45.9,43.25,43.45,45.35,50
1236,2026-04-16,27.15,26.65,26.9,26.95,54
1256,2026-04-16,156.5,153,153,155,41
1301,2026-04-16,54.5,51.7,53,54.5,40293
1303,2026-04-16,91.2,86.2,89.8,90.5,92508
1304,2026-04-16,15.55,15.2,15.4,15.25,8135
1305,2026-04-16,16.95,16.1,16.95,16.1,10913
1307,2026-04-16,32.3,31.9,32.05,32.05,537
1308,2026-04-16,16.25,15.9,16.05,15.95,3935
1309,2026-04-16,21.5,20.65,21.25,20.75,10417
1310,2026-04-16,10.4,10.15,10.4,10.15,5681
1312,2026-04-16,14.6,14,14.5,14.1,13901
1313,2026-04-16,12.85,12.15,12.65,12.35,8227
1314,2026-04-16,7.84,7.75,7.8,7.8,15624
1315,2026-04-16,64.9,64.2,64.7,64.7,37
1316,2026-04-16,12.45,12.15,12.25,12.2,2124
1319,2026-04-16,79.9,78.5,78.6,79.9,2101
1321,2026-04-16,33.35,33,33.25,33.1,127
