,資料日期,股票代號,名稱,本益比,殖利率,股價淨值比
126,20240613,1723,中碳,18.31,3.65,3.03
127,20240613,1725,元禎,36.4,1.87,1.77
128,20240613,1726,永記,15.31,4.31,1.29
129,20240613,1727,中華化,265.0,1.03,1.76
130,20240613,1730,花仙子,16.95,4.99,1.87
131,20240613,1731,美吾華,19.54,4.49,1.61
132,20240613,1733,五鼎,30.23,3.34,1.92
133,20240613,1734,杏輝,15.35,4.85,1.93
134,20240613,1735,日勝化,21.12,2.79,1.16
135,20240613,1736,喬山,22.11,1.12,2.86
136,20240613,1737,臺鹽,22.91,3.54,1.03
137,20240613,1752,南光,33.1,3.82,2.37
138,20240613,1760,寶齡富錦,84.52,1.54,4.55
139,20240613,1762,中化生,29.69,1.65,1.11
140,20240613,1773,勝一,25.12,1.98,4.44
141,20240613,1776,展宇,30.0,2.87,1.15
142,20240613,1783,和康生,26.34,2.26,2.91
143,20240613,1786,科妍,39.86,2.16,5.12
144,20240613,1789,神隆,57.86,1.06,2.13
145,20240613,1795,美時,19.32,1.62,4.45
146,20240613,1808,潤隆,6.97,13.51,4.01
147,20240613,1809,中釉,283.89,0.78,1.46
148,20240613,1810,和成,372.0,1.08,0.83
149,20240613,1817,凱撒衛,10.56,4.56,1.35
150,20240613,1904,正隆,37.27,1.74,1.1
151,20240613,1906,寶隆,20.38,0.94,0.55
152,20240613,1907,永豐餘,23.43,3.03,0.81
153,20240613,2002,中鋼,116.5,1.5,1.14
154,20240613,2006,東和鋼鐵,10.81,6.04,1.74
155,20240613,2008,高興昌,12.64,4.06,1.38
156,20240613,2010,春源,14.85,5.03,1.13
157,20240613,2012,春雨,26.63,3.71,1.66
158,20240613,2013,中鋼構,20.86,3.28,2.13
159,20240613,2015,豐興,17.68,4.83,2.06
160,20240613,2020,美亞,6.25,11.1,1.96
161,20240613,2022,聚亨,65.29,1.8,1.05
162,20240613,2027,大成鋼,17.95,3.23,1.19
163,20240613,2028,威致,22.35,3.01,1.92
164,20240613,2029,盛餘,14.2,4.54,0.91
165,20240613,2031,新光鋼,10.12,4.88,1.66
166,20240613,2032,新鋼,578.33,1.15,1.35
167,20240613,2038,海光,77.88,2.47,1.03
168,20240613,2049,上銀,37.34,1.19,2.14
169,20240613,2059,川湖,31.6,1.18,6.43
170,20240613,2062,橋椿,11.14,2.87,0.74
171,20240613,2103,台橡,28.55,2.36,0.99
172,20240613,2105,正新,20.23,4.1,1.92
173,20240613,2106,建大,18.85,2.98,1.61
174,20240613,2107,厚生,14.08,4.86,0.63
175,20240613,2108,南帝,27.23,2.82,1.24
176,20240613,2109,華豐,10.94,6.27,1.59
177,20240613,2114,鑫永銓,17.0,4.85,2.52
178,20240613,2115,六暉-KY,35.21,2.99,1.06
179,20240613,2201,裕隆,16.73,2.04,1.18
180,20240613,2204,中華,12.65,4.84,2.02
181,20240613,2206,三陽工業,9.62,3.9,2.54
182,20240613,2207,和泰車,14.82,3.17,5.34
183,20240613,2211,長榮鋼,16.72,4.42,2.42
184,20240613,2227,裕日車,29.59,2.57,2.14
185,20240613,2228,劍麟,12.53,4.42,1.82
186,20240613,2231,為升,46.53,2.24,4.33
187,20240613,2233,宇隆,13.67,3.98,2.1
188,20240613,2236,百達-KY,32.47,0.93,2.41
189,20240613,2239,英利-KY,24.66,1.21,0.54
