公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
4305,世坤,-,-22.08,89113,-6.09,73942,69434,-12.15,180475,158547
9950,萬國通,-,-27.48,262812,10.73,172115,190588,-2.86,466764,453400
4401,東隆興,-,-19.58,315407,-7.57,274420,253627,-15.43,672881,569034
4402,福大,"係因減少107年度2月份湖口廠(停業部門)營收38,544仟元，故營收大幅下降。",-21.91,17207,-73.15,50054,13436,-76.56,130773,30643
4406,新昕纖,-,-41.27,57047,-7.5,36218,33501,2.14,88650,90548
4413,飛寶企業,-,-62.35,35552,-47.3,25397,13384,-45.76,90227,48936
4417,金洲,-,-55.22,231525,-45.07,188751,103669,-18.48,411230,335194
4419,元勝,營運策略調整中，致營收下降。,-25.56,356,18.83,223,265,-63.7,1711,621
4420,光明,-,-18.08,84799,-8.63,76027,69464,-14.13,179654,154263
4432,銘旺實,本集團為分散銷貨集中之風險，積極開發新客戶，因新客戶的出貨時間點與原客戶時間點差異，造成本期銷貨金額減少所致。,-40.44,148992,-55.15,197879,88733,-25.17,317782,237785
4433,興采,-,-42.73,162114,18.42,78384,92830,49.54,170485,254944
6506,雙邦,-,-24.13,190022,-6.7,154520,144161,-7.75,362289,334183
1570,力肯,-,-61.38,56712,-35.2,33798,21899,4.15,75478,78611
1580,新麥,-,-60.0,366606,8.47,135174,146629,-8.34,561227,514399
1586,和勤,-,-36.62,162322,-33.32,154285,102876,-26.51,360892,265199
1599,宏佳騰,"配合客戶市場需求,提前排產出貨進需帶動單月業績呈現明顯成長",-50.86,254581,28.13,97624,125089,69.26,224305,379670
2066,世德,合併子公司營收,-19.72,233438,132.72,80518,187388,121.14,190290,420826
2067,嘉鋼,10802及10702自結數,-37.6,93666,-35.7,90899,58441,-32.49,225324,152107
2070,精湛,-,-35.96,51682,-34.99,50911,33097,-9.27,93448,84779
