公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,4798581,7237930,7306069,-33.7,-34.32,12036511,14631290,-17.73,-
1102,亞泥,3599986,6490566,6241236,-44.53,-42.31,10090552,11055730,-8.73,-
1103,嘉泥,201295,242960,211050,-17.14,-4.62,444255,402267,10.43,-
1104,環泥,477355,680762,591525,-29.87,-19.3,1158116,1095903,5.67,-
1108,幸福,286337,457149,361748,-37.36,-20.84,743486,656649,13.22,-
1109,信大,226768,466562,410951,-51.39,-44.81,693330,708961,-2.2,-
1110,東泥,175185,180539,174115,-2.96,0.61,355724,311988,14.01,-
1201,味全,1730379,1822467,1489920,-5.05,16.13,3552846,3075046,15.53,-
1203,味王,472834,560943,515621,-15.7,-8.29,1033777,1031240,0.24,-
1210,大成,7242006,9474385,8240329,-23.56,-12.11,16716391,17431377,-4.1,-
1213,大飲,14504,10917,30743,32.85,-52.82,25421,62228,-59.14,營收大幅衰退，係因四月下旬至11月中旬暫時停工無產品銷售所致。
1215,卜蜂,2030911,2504897,2263472,-18.92,-10.27,4535808,4633055,-2.09,-
1216,統一,47898965,58667213,40664831,-18.35,17.78,106566178,86580348,23.08,-
1217,愛之味,323591,462585,308663,-30.04,4.83,786176,756611,3.9,-
1218,泰山,787943,1102854,834856,-28.55,-5.61,1890797,1808523,4.54,-
1219,福壽,1036305,1332025,1293812,-22.2,-19.9,2368329,2628470,-9.89,-
1220,台榮,189790,288895,178573,-34.3,6.28,478685,364073,31.48,-
1225,福懋油,909256,1283395,1326121,-29.15,-31.43,2192651,2462580,-10.96,-
1227,佳格,1318295,3409425,1413138,-61.33,-6.71,4727720,3898967,21.25,-
1229,聯華,786464,1061632,812320,-25.91,-3.18,1848096,1626096,13.65,-
1231,聯華食,884138,1113178,740027,-20.57,19.47,1997316,1772928,12.65,-
1232,大統益,1595396,2119258,2067495,-24.71,-22.83,3714653,4117246,-9.77,-
1233,天仁,184141,208014,153523,-11.47,19.94,392155,362692,8.12,-
