公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2417,圓剛,330428,393898,267654,-16.11,23.45,1223742,1032631,18.5,-
2432,倚天酷��-創,407700,420623,177201,-3.07,130.07,1358669,933087,45.61,年增顯著主係去年同期受關稅因素干擾基期較低所致
3017,奇鋐,15631449,18017169,9108166,-13.24,71.62,64669395,32441117,99.34,"因客戶需求增加,使營收成長"
6166,凌華,1510756,1430156,925910,5.63,63.16,4954597,3601097,37.58,主要受惠於訂單需求強勁與出貨規模顯著放大所致。
6235,華孚,518334,549898,598459,-5.73,-13.38,2155115,2050305,5.11,-
6579,研揚,756498,953089,708618,-20.62,6.75,3166706,2667003,18.73,-
8210,勤誠,2066292,2506644,1974808,-17.56,4.63,9173584,6128579,49.68,-
2374,佳能,1081399,918553,665342,17.72,62.53,3737181,2157664,73.2,今年較去年同期及累計成長超過50%，主係影像視覺產品、光學相關模組及因客戶專案出貨轉趨穩健。
2486,一詮,667114,614726,550591,8.52,21.16,2287406,1901848,20.27,-
2489,瑞軒,2348232,2355352,2054886,-0.3,14.27,8169732,7376806,10.74,-
3008,大立光,5362271,5419732,4307753,-1.06,24.47,20906350,18886984,10.69,-
3019,亞光,2490022,2226321,2074573,11.84,20.02,8699353,7483616,16.24,-
3051,力特,175501,138631,186137,26.59,-5.71,551881,643537,-14.24,-
3168,眾福科,312439,339151,289921,-7.87,7.76,1182099,1106305,6.85,-
3563,牧德,343253,338514,330858,1.39,3.74,1206916,1122653,7.5,-
3591,艾笛森,232692,201467,229708,15.49,1.29,814332,802491,1.47,-
3714,富采,2100067,1891516,2014063,11.02,4.27,7345551,7645818,-3.92,-
4956,光鋐,125114,140934,107437,-11.22,16.45,485870,420402,15.57,-
5234,達興材料,410505,423556,401733,-3.08,2.18,1611805,1507794,6.89,-
5244,弘凱,66437,56443,73607,17.7,-9.74,227659,252210,-9.73,-
6164,華興,86688,64570,81160,34.25,6.81,270577,289804,-6.63,-
6278,台表科,4505780,4214612,4336174,6.9,3.91,17060864,16750528,1.85,-
8215,明基材,1675054,1605730,1562672,4.31,7.19,6221321,6143171,1.27,-
2419,仲琦,453031,1007693,557835,-55.04,-18.78,2528217,2453613,3.04,-
2439,美律,3233301,3908500,3292035,-17.27,-1.78,14207527,12152125,16.91,-
2455,全新,318595,311246,231292,2.36,37.74,1277905,1024954,24.67,-
2498,宏達電,151378,333689,156797,-54.63,-3.45,804001,865109,-7.06,-
3025,星通,38601,46161,21876,-16.37,76.45,162388,110018,47.6,國內出貨增加
3311,閎暉,199228,197542,189843,0.85,4.94,726585,797355,-8.87,-
3380,明泰,1093745,2497667,1583849,-56.2,-30.94,6408293,6108007,4.91,-
3596,智易,4528964,4525133,4476932,0.08,1.16,17313081,17179614,0.77,-
3669,圓展,231990,296556,198209,-21.77,17.04,921051,756162,21.8,-
5388,中磊,6860554,6938365,4144678,-1.12,65.52,23506957,15498958,51.66,北美市場訂單增溫
2059,川湖,2595892,1918166,1449101,35.33,79.13,8045882,5403300,48.9,新產品開始出貨，導致年對年營收增幅較大。
2313,華通,6315284,6943219,6501351,-9.04,-2.86,25863346,23231226,11.33,-
2383,台光電,13923687,12010861,7191345,15.92,93.61,46990923,28875600,62.73,受惠於AI伺服器成長力道
2402,毅嘉,1070894,1016239,929651,5.37,15.19,3880887,3368481,15.21,-
2415,錩新,216478,205208,208184,5.49,3.98,833334,746759,11.59,-
2421,建準,1871491,1917719,1627594,-2.41,14.98,6890961,5789697,19.02,-
2483,百容,186813,174999,164995,6.75,13.22,667338,585966,13.88,-
3023,信邦,2959788,2906066,2574473,1.84,14.96,11283435,10796020,4.51,-
3042,晶技,1288708,1108321,1270724,16.27,1.41,4627916,4437154,4.29,-
3321,同泰,203881,180162,183343,13.16,11.2,644785,640328,0.69,-
6197,佳必琪,807360,718597,767036,12.35,5.25,2833417,2441734,16.04,-
6205,詮欣,105073,100179,132035,4.88,-20.42,397601,499681,-20.42,-
6213,聯茂,3513470,3369504,3087946,4.27,13.78,12656541,10668012,18.64,-
6412,群電,2635952,2882164,2991829,-8.54,-11.89,10419815,11433803,-8.86,-
6449,鈺邦,463592,404024,367055,14.74,26.3,1591827,1272074,25.13,-
6805,富世達,1353125,1600219,850751,-15.44,59.05,5536979,3102462,78.47,較去年同期客戶需求增加
8039,台虹,946534,901381,959545,5.0,-1.35,3362010,3186539,5.5,自結數尚未經會計師簽證，特此說明。
8046,南電,4450857,4290690,3191344,3.73,39.46,15628098,11649376,34.15,-
2347,聯強,57336402,56059078,31283886,2.27,83.27,183694050,122681662,49.73,本月營收較去年同期增加83%，主係受惠於AI建置熱潮帶動資料中心相關產品市場需求所致；另自結數前期調整列入累計營收
8072,陞泰,126711,132988,123162,-4.71,2.88,485275,389531,24.57,-
5203,訊連,190805,180880,213913,5.48,-10.8,776139,785438,-1.18,-
6112,邁達特,2193062,2231109,1728027,-1.7,26.91,8211285,6453063,27.24,-
2317,鴻海,832097956,803737716,641365597,3.52,29.73,2961688439,2283538810,29.69,-
2354,鴻準,6527105,4689247,12889456,39.19,-49.36,31809795,42862474,-25.78,-
2360,致茂,4865716,4366231,2125756,11.43,128.89,16725385,8990807,86.02,營運穩健續強，訂單能見度高
2474,可成,958623,1200573,1502191,-20.15,-36.18,4732568,5852479,-19.13,-
2482,連宇,41924,38717,47189,8.28,-11.15,155807,158371,-1.61,-
3030,德律,1112168,793160,684370,40.21,62.5,3553583,2624882,35.38,本月營收較去年同期增加63%，主因伺服器產業需求增加
3305,昇貿,1465062,1379707,914708,6.18,60.16,5190324,3243209,60.03,銷售量增加及原料價格上漲
4585,達明,142154,208179,122221,-31.71,16.3,625590,617712,1.27,-
6438,迅得,638366,667469,481472,-4.36,32.58,2383149,2036484,17.02,-
6830,汎銓,211780,224233,176136,-5.55,20.23,790506,640829,23.35,-
1436,華友聯,53737,36383,72020,47.69,-25.38,126362,383152,-67.02,累計營收較去年同期減少，係今年交屋數量較去年同期減少所致。
1453,大將,126,126,124,0.0,1.61,503,496,1.41,-
2511,太子,663157,1086528,797220,-38.96,-16.81,2809945,2495447,12.6,-
9906,欣巴巴,139403,333928,14,-58.25,995635.71,955784,81289,1075.78,本月營收與去年同期之差異，主係本月新個案仍持續入帳。
2633,台灣高鐵,4798429,4795095,4516131,0.06,6.25,18688988,17889765,4.46,-
8940,新天地,84351,150032,80016,-43.77,5.41,708390,680183,4.14,-
2801,彰銀,4178018,4394752,3840213,-4.93,8.79,16583595,14581429,13.73,-
2884,玉山金,10046680,8441262,6796637,19.01,47.81,35212568,28227629,24.74,-
2072,世紀風電,1637460,1435546,918219,14.06,78.33,5585664,3710314,50.54,本月營收較去年本月增加，主要係因本月承接工程案件依進度認列收入較高所致
8422,可寧衛*,388569,499104,439026,-22.14,-11.49,1503324,1899835,-20.87,-
8438,昶昕,436040,389750,319746,11.87,36.37,1602632,1185669,35.16,-
7765,中華資安,245804,223229,140434,10.11,75.03,843381,656653,28.43,本月營收增加主要係承接新案與專案進度執行差異所致
1342,八貫,349263,370828,241671,-5.81,44.52,1266547,1020561,24.1,-
1435,中福,499,498,499,0.2,0.0,1994,1994,0.0,-
1437,勤益控,57062,53168,68043,7.32,-16.13,230849,259126,-10.91,-
2348,海悅,139604,347356,792882,-59.8,-82.39,1447816,2441355,-40.69,本月增減百分比達50％以上，係因114年4月認列南港段建案營建收入
8033,雷虎,109428,120498,102821,-9.18,6.42,484716,438023,10.65,-
9942,茂順,410263,398872,359911,2.85,13.99,1489165,1310461,13.63,-
全部國內上市公司合計,全部國內上市公司合計,1237591427,1201710156,930912730,2.98,32.94,4395231008,3370484004,30.4,
4406,新昕纖,12406,20250,58915,-38.73,-78.94,89224,182635,-51.14,因應產業趨勢調整產業結構
2067,嘉鋼,77022,87921,99984,-12.39,-22.96,307054,338419,-9.26,-
2070,精湛,69750,75686,44877,-7.84,55.42,227828,189886,19.98,去年下半年及今年初訂單出貨
3426,台興,54906,56006,60562,-1.96,-9.33,201237,262376,-23.3,-
4561,健椿,129672,94359,105209,37.42,23.25,360616,320000,12.69,-
7709,榮田,152694,86800,93732,75.91,62.9,336606,265803,26.63,主係3月因美伊戰爭出貨遞延；本月受航太、半導體產業需求增加，營收成長。
8027,鈦昇,157194,145504,125905,8.03,24.85,539538,440817,22.39,-
8083,瑞穎,140105,135246,147967,3.59,-5.31,484658,428434,13.12,-
1777,生泰,101291,87311,109530,16.01,-7.52,376863,425280,-11.38,-
4105,東洋,518176,599723,439412,-13.59,17.92,2038664,1898262,7.39,-
4116,明基醫,506925,448916,442901,12.92,14.45,1831532,1670859,9.61,-
4128,中天,159888,169648,157082,-5.75,1.78,661521,613546,7.81,-
4153,鈺緯,74131,89330,88231,-17.01,-15.98,297031,295341,0.57,-
4161,聿新科,64510,95076,57189,-32.14,12.8,288801,252910,14.19,-
4163,鐿鈦,237464,218722,197401,8.56,20.29,860289,809532,6.26,-
4735,豪展,107736,102276,74976,5.33,43.69,321787,273515,17.64,-
4743,合一,21656,14375,10730,50.65,101.82,58274,35947,62.11,本月及本年營收增加，主係客戶需求增加所致。
4911,德英,11302,10635,25923,6.27,-56.4,43519,106060,-58.96,公司行銷團隊建置中
6492,生華科,80,80,83,0.0,-3.61,320,333,-3.9,-
6496,科懋,85334,66000,66213,29.29,28.87,303392,276117,9.87,-
6712,長聖,85233,70103,67544,21.58,26.18,275724,245468,12.32,-
6733,博晟生醫,19603,16608,19424,18.03,0.92,74548,66896,11.43,係銷售醫療器材及抗生素之收入。
6785,昱展新藥,0,250,0,-100.0,,250,0,,無
6844,諾貝兒,273163,283355,273539,-3.59,-0.13,1121711,1144254,-1.97,-
7713,威力德生醫,114957,102328,82822,12.34,38.8,393901,327955,20.1,-
8409,商之器,8459,16162,10484,-47.66,-19.31,60097,33763,77.99,本年累計完成驗收之合約增加
8432,東生華,108356,108802,85070,-0.4,27.37,394173,372189,5.9,-
8930,青鋼,119907,137641,141016,-12.88,-14.96,464939,488532,-4.82,-
3105,穩懋,1734086,1648656,1164676,5.18,48.88,6324146,4740479,33.4,-
3122,笙泉,29445,32016,29470,-8.03,-0.08,110898,115553,-4.02,-
3141,晶宏,151690,130357,138522,16.36,9.5,515984,473836,8.89,-
3228,金麗科,32369,26376,37370,22.72,-13.38,108227,112583,-3.86,-
3260,威剛,10555559,10536851,3916617,0.17,169.5,36667617,13816722,165.38,記憶體售價上漲
3372,典範,114860,114091,86638,0.67,32.57,424543,314537,34.97,-
3529,力旺,613115,121169,542896,405.99,12.93,1707108,1454630,17.35,-
3555,博士旺,68972,102925,2352,-32.98,2832.48,342258,8705,3831.74,本月因銷售電子及消費娛樂產品，致本月及累計營收較去年同期增加。
3556,禾瑞亞,108661,117846,110705,-7.79,-1.84,417838,361929,15.44,-
3675,德微,253869,238028,213157,6.65,19.09,938467,838417,11.93,-
4749,新應材,352635,432973,402516,-18.55,-12.39,1598328,1361832,17.36,-
5236,凌陽創新,186962,234713,145998,-20.34,28.05,774235,651532,18.83,-
5272,笙科,29825,26660,38084,11.87,-21.68,99135,123402,-19.66,-
5274,信驊,1279040,1235429,704344,3.53,81.59,4425797,2769462,59.8,本月及本年增減百分比達50%以上者，主係伺服器晶片營收較去年同期成長所致。
5299,杰力,143582,142389,144021,0.83,-0.3,530192,550244,-3.64,-
5344,立衛,31667,33451,28601,-5.33,10.71,122572,100385,22.1,-
5351,鈺創,1333096,1102522,257821,20.91,417.06,4068508,884951,359.74,本月營收及本年累計營收皆較去年同期增加，主係市場需求增加所致。
6104,創惟,362531,360310,390882,0.61,-7.25,1394207,1423127,-2.03,-
6138,茂達,682716,674752,599759,1.18,13.83,2661720,2375557,12.04,-
6435,大中,310312,306481,273432,1.24,13.48,1257854,1184956,6.15,-
6510,精測,523179,487462,401780,7.32,30.21,1880565,1554154,21.0,-
6532,瑞耘,73657,63819,58688,15.41,25.5,229394,251249,-8.69,-
6643,M31,168686,120108,129028,40.44,30.73,563434,563553,-0.02,-
6651,全宇昕,157731,152040,145998,3.74,8.03,554057,532939,3.96,-
6679,鈺太,187763,187338,162284,0.22,15.7,724906,681623,6.34,-
6683,雍智科技,217571,220276,179862,-1.22,20.96,882219,634108,39.12,-
6684,安格,26086,33824,30796,-22.87,-15.29,100209,110320,-9.16,-
6693,廣閎科,204370,193378,110056,5.68,85.69,719070,423477,69.8,終端需求增加及新品導入量產
6732,昇佳電子,356389,363304,367955,-1.9,-3.14,1400798,1531017,-8.5,-
6996,力領科技,285600,268790,252096,6.25,13.29,1005675,876391,14.75,-
7770,君曜,26133,18509,41800,41.19,-37.48,79527,131576,-39.55,-
8054,安國,231120,518864,156481,-55.45,47.69,1934394,537702,259.75,主係今年度訂單陸續於本年度出貨所致。
8086,宏捷科,447976,431994,299878,3.69,49.38,1670294,1071636,55.86,因客戶需求增加
3211,順達,1060190,1468139,893861,-27.78,18.6,4404713,3256808,35.24,-
3213,茂訊,308540,277382,249070,11.23,23.87,1036293,1011764,2.42,"系統事業部 205,612 仟元/通路事業部 102,928 仟元"
3287,廣寰科,83811,71688,85172,16.91,-1.59,300481,279606,7.46,-
3625,西勝,22866,45820,40358,-50.09,-43.34,143637,145342,-1.17,-
5289,宜鼎,6670833,5672453,976538,17.6,583.11,19853441,3595280,452.2,本月營收較去年同期增加係因出貨量增加及銷售單價上漲所致
5490,同亨,139803,139530,105170,0.19,32.93,580678,526293,10.33,-
6121,新普,6908842,6866112,6617803,0.62,4.39,25378029,24994547,1.53,-
6188,廣明,581266,801793,753818,-27.5,-22.89,2752628,3195297,-13.85,-
6441,廣錠,12578,9305,28184,35.17,-55.37,40279,108966,-63.03,因客戶舊專案已全數出貨，新專案尚未開始出貨，使本期拉貨數量減少，致營收下降。
6680,鑫創電子,46437,54229,34040,-14.36,36.41,191859,152979,25.41,-
6922,宸曜,180137,200746,141852,-10.26,26.98,692135,560221,23.54,-
3066,李洲,23648,22234,19290,6.35,22.59,90064,74019,21.67,-
3630,新鉅科,225156,212481,234219,5.96,-3.86,870125,740969,17.43,-
4972,湯石照明,99330,67302,79980,47.58,24.19,316363,305577,3.52,-
5315,光聯,163952,163834,173474,0.07,-5.48,629804,672697,-6.37,-
7402,邑錡,45236,46220,43694,-2.12,3.52,146619,169406,-13.45,-
3081,聯亞,395349,343319,183555,15.15,115.38,1299739,638057,103.7,數據中心產品出貨量較同期增加
3152,璟德,127134,121070,125073,5.0,1.64,479559,511295,-6.2,-
3363,上詮,127943,117274,204069,9.09,-37.3,509912,615472,-17.15,-
3558,神準,1056838,1026464,1401308,2.95,-24.58,4115043,5395434,-23.73,-
3564,其陽,247452,204278,233472,21.13,5.98,807116,734255,9.92,-
4909,新復興,17071,20997,11878,-18.69,43.71,68764,130576,-47.33,-
6486,互動,110263,198402,103454,-44.42,6.58,574817,517401,11.09,-
6561,是方,349835,347580,354601,0.64,-1.34,1331991,1307624,1.86,-
3511,矽瑪,149273,173726,165824,-14.07,-9.98,616200,627597,-1.81,-
3689,湧德,785768,730004,544494,7.63,44.31,2709675,2031726,33.36,-
4974,亞泰,374152,357750,328911,4.58,13.75,1325415,1430702,-7.35,-
6127,九豪,87526,91808,96825,-4.66,-9.6,330299,348951,-5.34,以上資訊係屬初步自行結算完成，未經會計師簽證或核閱
6134,萬旭,215556,185797,147792,16.01,45.85,781356,523700,49.19,-
