公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
4113,聯上,110年1月營收較去年同期增加，係兩期個案營收組成因子不同，本月入帳戶數較多所致。,493.54,11591,513.5,11214,68798,513.5,11214,68798
4416,三圓,-,1.99,7767,0.86,7854,7922,0.86,7854,7922
4907,富宇,餘屋銷售,-97.32,968081,17.6,21984,25854,17.6,21984,25854
5206,坤悅,-,-25.41,168093,-23.35,163589,125377,-23.35,163589,125377
5213,亞昕,本月無完工工案,-89.43,1819807,-40.02,320550,192241,-40.02,320550,192241
5324,士開,-,0.43,43838,-30.55,63402,44030,-30.55,63402,44030
5455,昇益,-,0.0,172,-0.57,173,172,-0.57,173,172
5508,永信建,營收隨完工案量多寡而變化乃屬建設業特性，故本期業績大幅成長尚屬合理。,-78.98,640944,73.16,77785,134693,73.16,77785,134693
5511,德昌,-,-60.84,866203,28.89,263117,339140,28.89,263117,339140
5512,力麒,-,-34.73,874354,47.65,386449,570611,47.65,386449,570611
5514,三豐,-,4.28,490,-14.4,597,511,-14.4,597,511
5516,雙喜,主係廣慈、林口二標及一標三工案積極投入成本，致本期營收較去年同期成長691.71,-59.27,299836,691.7,15422,122097,691.7,15422,122097
5520,力泰,-,-3.2,249092,30.08,185353,241115,30.08,185353,241115
5523,豐謙,本月營收較同期成長，係認列個案收入增加所致。,-81.05,322764,16247.59,374,61140,16247.59,374,61140
5529,鉅陞,差異說明：因去年同期認列房屋銷售之收入較高所致。,128.73,3772,-90.44,90309,8628,-90.44,90309,8628
6171,大城地產,本月及本年累計營收較去年增加，係因完工個案陸續認列收入所致。,-19.62,583120,1405.24,31137,468688,1405.24,31137,468688
6186,新潤,-,-61.62,1335701,20.29,426031,512514,20.29,426031,512514
6212,理銘,建案完工認列收入,-78.11,2417733,235.2,157862,529159,235.2,157862,529159
6219,富旺,本月僅成屋出售，故本月營收較去年同期減少,-95.73,1036855,-68.81,141732,44193,-68.81,141732,44193
6264,富裔,合併子公司工程收入,55.36,31868,1015.36,4439,49511,1015.36,4439,49511
8080,永利聯合,增加土方工程營收,-31.71,23667,2355.92,658,16160,2355.92,658,16160
8424,惠普,本月增減百分比達50%以上，主係本月大型專案出貨及去年同期因年節工作天數較少所致。,-2.31,77188,101.91,37345,75404,101.91,37345,75404
2641,正德,-,11.3,59374,0.57,65714,66089,0.57,65714,66089
2643,捷迅,營收成長係因運價上漲及貨量增加所致。,10.22,376879,50.12,276698,415397,50.12,276698,415397
5601,台聯櫃,-,2.52,6065,-3.95,6474,6218,-3.95,6474,6218
5603,陸海,-,2.05,161473,6.85,154218,164789,6.85,154218,164789
5609,中菲行,因海運運費大幅上漲，空運運費居高不下，營業收入大幅成長。,18.89,2147789,94.14,1315264,2553567,94.14,1315264,2553567
1259,安心,-,-1.89,437291,-11.98,487396,428998,-11.98,487396,428998
1268,漢來美食,-,-5.77,356744,-29.82,479014,336151,-29.82,479014,336151
2718,晶悅,客房部門及餐飲部門已停止營運(麵包坊除外),-31.03,29,-99.92,26045,20,-99.92,26045,20
2719,燦星旅,因受新型冠狀病毒疫情影響,58.95,2724,-92.92,61205,4330,-92.92,61205,4330
2729,瓦城,-,-10.78,415375,-32.18,546474,370586,-32.18,546474,370586
2732,六角,-,-13.61,480400,22.37,339127,415009,22.37,339127,415009
2734,易飛網,因受新冠肺炎疫情影響,-36.75,31802,-66.15,59420,20113,-66.15,59420,20113
2736,富野,-,-14.48,59095,-25.42,67765,50538,-25.42,67765,50538
2740,天蔥,-,-10.05,11506,-44.2,18547,10349,-44.2,18547,10349
2743,山富,因新型冠狀病毒肺炎疫情影響暫停國外團體旅遊出團,-60.51,53452,-94.47,382187,21103,-94.47,382187,21103
2745,五福,受新型冠狀病毒疫情影響，停止國外出境旅遊業務所致。,-44.32,18539,-97.98,512599,10321,-97.98,512599,10321
2752,豆府,-,-1.12,174792,10.06,157030,172833,10.06,157030,172833
2754,亞洲藏壽司,-,-0.19,262114,31.43,199038,261600,31.43,199038,261600
2755,揚秦,-,2.8,131260,17.03,115302,134939,17.03,115302,134939
2756,聯發國際,-,-27.21,61150,5.93,42015,44510,5.93,42015,44510
3252,海灣,-,-7.6,37467,27.32,27187,34617,27.32,27187,34617
3522,御頂,-,-18.74,161082,-32.41,193661,130891,-32.41,193661,130891
5301,寶得利,"受新冠肺炎疫情影響,導致台灣及馬來西亞之購物店暫緩營運及旅行社業績亦受影響所致。",-56.7,18828,-86.0,58243,8152,-86.0,58243,8152
5364,力麗店,-,-8.94,38327,-6.56,37351,34900,-6.56,37351,34900
5701,劍湖山,-,-38.37,39812,-40.58,41293,24534,-40.58,41293,24534
5703,亞都麗緻,因新冠肺炎及亞緻酒店停業影響,-2.37,30230,-65.02,84381,29513,-65.02,84381,29513
5704,老爺知,-,5.69,42252,4.3,42813,44657,4.3,42813,44657
8077,洛��,受疫情影響致本期營收下降,-14.94,42950,-64.19,102015,36529,-64.19,102015,36529
5864,致和證,營業證券評價之故,-231.38,116761,-374.94,-32299,-153403,-374.94,-32299,-153403
5878,台名,-,11.93,76148,10.34,77246,85238,10.34,77246,85238
6015,宏遠證,本月及本期因評價損益較去年同期減少所致,-100.96,249272,74.83,-9581,-2411,74.83,-9581,-2411
6016,康和證,主係經紀手續費收入及營業證券出售利益較去年同期增加。,35.8,353960,664.81,62849,480678,664.81,62849,480678
6020,大展證,自營部門營業證券出售淨利益本月及本年累積較去年同期增加.,-16.63,103000,1058.69,-8956,85861,1058.69,-8956,85861
6021,美好證,本月份市場行情相較去年同期變動較大，故交易量大幅增加。,4.8,90142,113.1,44333,94474,113.1,44333,94474
6023,元大期貨,本期經紀手續費收入較去年同期增加,26.1,322069,70.73,237887,406155,70.73,237887,406155
6026,福邦證,固定手續收入及買賣股票利益較同期增加。,-66.62,180459,597.91,8631,60237,597.91,8631,60237
2916,滿心,-,10.48,141489,-4.24,163249,156325,-4.24,163249,156325
2937,集雅社,-,-10.79,337670,30.12,231479,301207,30.12,231479,301207
2947,振宇五金,-,15.39,138392,24.85,127905,159698,24.85,127905,159698
3171,新洲,-,-0.97,158769,40.77,111681,157215,40.77,111681,157215
5902,德記,-,-7.65,145796,1.29,132918,134638,1.29,132918,134638
5903,全家,-,-2.96,7261910,0.67,6999116,7046699,0.67,6999116,7046699
5904,寶雅,-,6.98,1629626,6.91,1630751,1743468,6.91,1630751,1743468
5905,南仁湖,-,-14.14,85827,-34.98,113331,73684,-34.98,113331,73684
6195,詩肯,-,20.0,254671,32.82,230081,305616,32.82,230081,305616
6728,上洋,-,-8.69,135268,49.76,82471,123510,49.76,82471,123510
8066,來思達,-,-16.18,585237,3.63,473293,490508,3.63,473293,490508
8433,弘帆,-,7.68,222595,-7.15,258176,239692,-7.15,258176,239692
8941,關中,-,-25.84,314933,45.67,160309,233536,45.67,160309,233536
9960,邁達康,係因國內外市場需求增加，且自1/8起新增1家子公司，以致本月營收增加達95.03%,9.46,50301,95.03,28232,55062,95.03,28232,55062
1584,精剛,-,-6.23,72020,-15.51,79927,67527,-15.51,79927,67527
2221,大甲,-,224.94,31614,-0.83,103590,102727,-0.83,103590,102727
2640,大車隊,-,-3.04,184358,-4.38,186941,178751,-4.38,186941,178751
3284,太普高,-,-10.32,54888,-16.63,59045,49221,-16.63,59045,49221
3313,斐成,本月營收較去年同期減少，係因大宗原物料減少所致；本年營收較去年同期減少，係因大宗原物料減少所致。,1674.46,47,-88.76,7426,834,-88.76,7426,834
4430,耀億,主要因時序進入旺季，線材及不織布產品營收皆明顯成長；耀億越南產能稼動已漸上軌道，長興雅康寧亦開始貢獻營收所致。,14.01,214852,81.24,135157,244968,81.24,135157,244968
4529,淳紳,本期租金收入較去年同期減少,-61.0,559,-67.79,677,218,-67.79,677,218
4541,晟田,-,6.87,61396,-32.74,97559,65616,-32.74,97559,65616
4556,旭然,109年1月有新年連假，工作天數較少，故營收較低。,-2.06,42498,64.0,25377,41619,64.0,25377,41619
4950,牧東,營收較去年同期減少係配合客戶交期所致。,-21.71,13406,-52.45,22073,10495,-52.45,22073,10495
5209,新鼎,"因為部分專案工期短進度大幅增加,致較去年同期產生較高營收.",-19.98,362614,78.83,162249,290151,78.83,162249,290151
5345,天揚,新產品營收增加.,-80.61,7461,585.3,211,1446,585.3,211,1446
5398,慕康生醫,-,36.88,25427,25.69,27691,34805,25.69,27691,34805
5450,南良,主要係去年1月逢農曆春節連假,9.91,253951,67.35,166787,279132,67.35,166787,279132
5481,新華,-,6.63,8801,35.3,6936,9385,35.3,6936,9385
5530,龍巖,-,19.05,298693,15.19,308692,355606,15.19,308692,355606
5604,中連,-,3.57,11208,14.49,10139,11609,14.49,10139,11609
6179,亞通,-,-40.14,417471,28.38,194640,249888,28.38,194640,249888
6199,天品,-,-13.83,5805,15.94,4314,5002,15.94,4314,5002
6236,康呈,-,183.64,1755,29.6,3841,4978,29.6,3841,4978
6240,松崗,-,-3.86,1163,0.0,1118,1118,0.0,1118,1118
6624,萬年清,本年度累計專案工程出貨較去年度累計出貨減少所致,-72.18,38914,-60.17,27183,10825,-60.17,27183,10825
6721,信實,-,-4.98,185865,7.94,163616,176608,7.94,163616,176608
6803,崑鼎投控,-,1.77,489831,11.16,448462,498513,11.16,448462,498513
6804,明係,因疫情影響造成12月貨櫃供不應求，產生部分銷貨遞延至1月。,131.23,86910,216.84,63427,200964,216.84,63427,200964
8342,益張,-,-6.18,167211,30.98,119755,156861,30.98,119755,156861
8354,冠好,-,10.07,63750,45.18,48335,70175,45.18,48335,70175
8390,金益鼎,-,-17.84,368467,-6.66,324321,302712,-6.66,324321,302712
8401,白紗科,109/01適逢農曆春節 營業天數較少,-13.39,139052,60.84,74868,120424,60.84,74868,120424
8420,明揚,去年同期受農曆春節，工作天數減少之影響,-15.0,188870,51.39,106026,160521,51.39,106026,160521
8421,旭源,-,-7.06,111765,24.21,83624,103871,24.21,83624,103871
8435,鉅邁,-,-4.25,66396,26.97,50064,63570,26.97,50064,63570
8440,綠電,-,-14.89,73665,30.29,48113,62691,30.29,48113,62691
8476,台境,本公司目前以專案收入為主要營收，因各財務報表期間所認列專案別不同，使得營業收入同期比較不具相同基礎，此為本公司營業特性。,-35.19,50890,-63.25,89746,32981,-63.25,89746,32981
8489,三貝德,-,-6.29,131612,9.6,112514,123322,9.6,112514,123322
8905,裕國,-,2.86,253939,41.01,185230,261207,41.01,185230,261207
8906,花王,-,-5.71,21823,2.66,20042,20576,2.66,20042,20576
8916,光隆,-,36.67,466121,15.02,553846,637064,15.02,553846,637064
8921,沈氏,-,-18.38,56534,5.88,43579,46142,5.88,43579,46142
8924,大田,本期營收較去年同期大幅成長係因美線客戶訂單量大增：去年1月美線客戶無新品上市，今年因應產品鋪貨及市場需求，訂單量大增。,12.57,475397,53.64,348322,535181,53.64,348322,535181
8928,鉅明,-,-33.59,385168,22.12,209422,255759,22.12,209422,255759
8929,富堡,因去年春節在一月份，主要因大陸子公司銷售較去年同期增長393.4%所致。,9.83,95365,66.61,62868,104746,66.61,62868,104746
8932,宏大,-,52.34,39885,44.16,42149,60763,44.16,42149,60763
8933,愛地雅,-,-34.36,424192,-20.57,350506,278406,-20.57,350506,278406
8935,邦泰,-,-11.61,114608,25.59,80655,101300,25.59,80655,101300
8936,國統,本期營收增加主因工程成本投入增加及管材出貨量成長，致工程收入及銷貨收入提高。,-23.88,633089,213.34,153792,481901,213.34,153792,481901
8937,合騏,-,-1.39,12781,-38.89,20624,12603,-38.89,20624,12603
8938,明安,-,13.98,1475697,33.14,1263409,1682118,33.14,1263409,1682118
8942,森鉅,-,3.47,357333,35.71,272461,369765,35.71,272461,369765
2926,誠品生活,-,-12.23,442783,-18.77,478415,388601,-18.77,478415,388601
3064,泰偉,本月及本年增減百分比增加，係本月及本年遊戲授權使用服務費均較去年同期增加,-9.18,32820,369.17,6353,29807,369.17,6353,29807
3083,網龍,-,-38.98,41302,-48.2,48651,25201,-48.2,48651,25201
3086,華義,本月受惠遊戲新品上市貢獻，帶動營收較去年同期成長。,-2.35,22628,163.61,8382,22096,163.61,8382,22096
3293,鈊象,-,3.71,811316,36.58,616077,841495,36.58,616077,841495
3546,宇峻,-,-23.71,151070,21.91,94530,115248,21.91,94530,115248
3629,地心引力,由於去年人氣手遊新上市的高基期影響下，本月營收較前一年度同期減少。,-44.88,90543,-38.14,80678,49906,-38.14,80678,49906
4806,昇華,經紀收入減少,-74.41,43,-70.27,37,11,-70.27,37,11
4946,辣椒,主係目前沒新遊戲上線，及幾款遊戲已陸續合約到期結束營運，故本期營收較去年同期為低。,-32.58,2805,-93.27,28101,1891,-93.27,28101,1891
5263,智崴,受新型冠狀病毒疫情之影響，導致本公司本月營收較去年同期減少。,-15.35,83032,-49.87,140222,70280,-49.87,140222,70280
5478,智冠,因IFRS15，MyCard屬代理性質營收採淨額，若總額本期為16.98億較上期增加3.90%較去年同期減少16.84%,-0.04,593694,0.19,592284,593443,0.19,592284,593443
6101,寬魚國際,本期營收較去年同期增加，係因本期按比例認列電視劇演出收入所致,40.11,7172,70.72,5886,10049,70.72,5886,10049
6111,大宇資,-,17.65,41596,-12.34,55835,48941,-12.34,55835,48941
6144,得利影,-,1.78,20932,-32.38,31511,21306,-32.38,31511,21306
6169,昱泉,主係109/06出售重要子公司股權而喪失控制力，其人力派遣之營收自109/07起不列入合併報表以及遊戲收入減少所致。,14.83,3040,-77.06,15219,3491,-77.06,15219,3491
6180,橘子,-,16.82,800748,-24.62,1241029,935465,-24.62,1241029,935465
6294,智基,-,-7.74,78318,9.62,65906,72252,9.62,65906,72252
