公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1108,幸福,265297,335095,361327,-20.82,-26.57,1903969,2373296,-19.77,-
1109,信大,314135,348178,390871,-9.77,-19.63,1857846,2222076,-16.39,-
1110,東泥,213484,233647,222403,-8.62,-4.01,1267326,1488991,-14.88,-
1201,味全,1825679,1825310,1736584,0.02,5.13,10445618,10731978,-2.66,-
1210,大成,8952188,9065705,7980681,-1.25,12.17,53681329,50471928,6.35,-
1213,大飲,25270,22834,23916,10.66,5.66,150587,135192,11.38,-
1215,卜蜂,2419781,2488775,2226284,-2.77,8.69,14401643,13757991,4.67,-
1220,台榮,273600,239785,255918,14.1,6.9,1508233,1555054,-3.01,-
1225,福懋油,1006736,1031005,984253,-2.35,2.28,6429101,6231711,3.16,-
1231,聯華食,1030161,986344,963173,4.44,6.95,6373030,6105448,4.38,-
1232,大統益,1866048,1831688,1604514,1.87,16.29,11481997,10501378,9.33,-
1233,天仁,195470,188910,163079,3.47,19.86,1131434,1079445,4.81,-
1234,黑松,728270,694368,768937,4.88,-5.28,4436616,4696718,-5.53,-
1235,興泰,11632,7962,12486,46.09,-6.83,93426,68170,37.04,"泰宇網通累計1-6月營收較去年同期增加27,045仟元"
1236,宏亞,110212,107321,96579,2.69,14.11,885268,849982,4.15,-
1737,臺鹽,256387,249347,284962,2.82,-10.02,1558509,1676386,-7.03,-
3054,立萬利,59252,58176,21503,1.84,175.55,339319,50191,576.05,主係因本期產品結構改變致銷售金額增加
7780,大研生醫*,241821,202685,175609,19.3,37.7,1080185,789653,36.79,-
1301,台塑,13976274,14951422,14362122,-6.52,-2.68,89239090,92589306,-3.61,-
1303,南亞,27134592,28830982,20589873,-5.88,31.78,152243276,131267601,15.97,-
1304,台聚,2879163,3720859,3908637,-22.62,-26.33,21760607,23721617,-8.26,-
1305,華夏,564306,973037,1019947,-42.0,-44.67,5403379,5120046,5.53,-
1307,三芳,852934,876393,767647,-2.67,11.11,5663393,5405637,4.76,-
1308,亞聚,516682,521633,428134,-0.94,20.68,2852243,2875422,-0.8,-
1309,台達化,601607,974076,1246157,-38.23,-51.72,6174102,8081999,-23.6,因原料價格波動大，大陸貨低價搶單，導致銷售不易，部分客戶流失。
1310,台苯,569505,516855,757768,10.18,-24.84,4162400,4740083,-12.18,-
1312,國喬,1277524,1593246,1280315,-19.81,-0.21,12865757,11116549,15.73,-
1313,聯成,5262701,5371028,5143161,-2.01,2.32,31067655,29532045,5.19,-
1315,達新,204130,233648,237222,-12.63,-13.94,966968,1157524,-16.46,-
1321,大洋,306226,361973,317814,-15.4,-3.64,1916992,1951678,-1.77,-
1324,地球,55838,55577,71021,0.46,-21.37,332426,376762,-11.76,-
1326,台化,27666322,27386895,24792702,1.02,11.59,168904093,152456956,10.78,-
4306,炎洲,1286195,1398619,1072687,-8.03,19.9,7235539,6105894,18.5,-
1409,新纖,3554062,4373931,3132986,-18.74,13.44,22055218,20174022,9.32,-
1410,南染,12793,20575,18073,-37.82,-29.21,106765,104337,2.32,-
1413,宏洲,166491,178752,169701,-6.85,-1.89,1007164,1208937,-16.69,-
1414,東和,35054,45981,37627,-23.76,-6.83,240705,259780,-7.34,-
1417,嘉裕,28158,21313,39386,32.11,-28.5,145293,139895,3.85,-
1418,東華,1173,1051,17,11.6,6800.0,3426,3548,-3.43,配合客戶生產線出貨
1419,新紡,323245,383133,273993,-15.63,17.97,2561464,2000540,28.03,-
1423,利華,2884,6117,3026,-52.85,-4.69,44399,42911,3.46,-
1434,福懋,2148851,2497994,2180462,-13.97,-1.44,14210123,14933348,-4.84,-
1440,南紡,1046100,1117882,1182380,-6.42,-11.52,6563340,7892620,-16.84,-
1441,大東,90177,94130,150015,-4.19,-39.88,605123,777757,-22.19,-
1444,力麗,659642,1072308,525398,-38.48,25.55,4497883,3620653,24.22,-
1445,大宇,55138,56545,70022,-2.48,-21.25,307109,402827,-23.76,-
1447,力鵬,3121865,1615677,2037885,93.22,53.19,16068031,14493662,10.86,本應5月底交貨之化學品，因船期延遲，至6月初才交貨，對客戶雖未違約，惟造成營業額認列月份不同。
1451,年興,640948,525245,593394,22.02,8.01,3207569,3127647,2.55,-
1452,宏益,127293,121121,111927,5.09,13.72,724288,699049,3.61,-
1454,台富,96895,126202,138473,-23.22,-30.02,641555,817201,-21.49,-
1455,集盛,464889,543385,540172,-14.44,-13.93,2869335,3585324,-19.96,-
1457,宜進,235910,249333,241456,-5.38,-2.29,1428011,1666627,-14.31,-
1459,聯發,78449,82210,87161,-4.57,-9.99,488150,621421,-21.44,-
1463,強盛新,15921,15813,13353,0.68,19.23,115451,698820,-83.47,去年第一季子公司保強建設房屋售出入帳
1464,得力,833266,990946,816446,-15.91,2.06,5940122,6287159,-5.51,-
1465,偉全,38615,27068,42044,42.65,-8.15,200486,189995,5.52,-
1466,聚隆,184437,192089,248417,-3.98,-25.75,1111766,1345929,-17.39,-
1468,昶和,49452,44428,59407,11.3,-16.75,263936,455592,-42.06,-
1470,大統新創,74110,55312,66860,33.98,10.84,371627,412631,-9.93,-
1473,台南,621453,431104,626872,44.15,-0.86,3390360,3999060,-15.22,-
1475,業旺,125099,125355,118949,-0.2,5.17,723298,759375,-4.75,-
1476,儒鴻,3762594,3059191,3288358,22.99,14.42,19706874,19092199,3.21,-
1477,聚陽,2851147,2708741,2836232,5.25,0.52,17062830,17612957,-3.12,-
4438,廣越,2025339,1635438,1890248,23.84,7.14,7939900,7552618,5.12,-
4440,宜新實業,58898,73465,75785,-19.82,-22.28,533301,463909,14.95,-
4441,振大環球,716929,381811,742984,87.77,-3.5,3790065,3425552,10.64,-
1504,東元,5277164,5685648,5269401,-7.18,0.14,30787970,29068550,5.91,-
1506,正道,117501,105801,97677,11.05,20.29,616098,546628,12.7,-
1513,中興電,2833330,2392022,2616009,18.44,8.3,14023688,13552078,3.47,-
1514,亞力,1177480,799732,842897,47.23,39.69,5375189,4632467,16.03,-
1515,力山,424480,422351,399072,0.5,6.36,2222543,2207165,0.69,-
1529,樂事綠能,37321,119546,35709,-68.78,4.51,440947,475526,-7.27,-
1530,亞崴,167572,86654,205636,93.38,-18.51,912363,1036303,-11.95,-
1531,高林股,176746,131713,121583,34.19,45.37,781263,799626,-2.29,-
1535,中宇,798088,581509,1182692,37.24,-32.51,4187134,5539453,-24.41,-
1537,廣隆,570579,577620,500269,-1.21,14.05,3437725,3414045,0.69,-
1538,正峰,10936,3520,11564,210.68,-5.43,34426,60901,-43.47,-
1539,巨庭,100767,105864,116132,-4.81,-13.23,553592,723146,-23.44,-
1540,喬福,30666,49442,62813,-37.97,-51.17,201855,290359,-30.48,歐美巿場衰退
1558,伸興,777552,813081,722909,-4.36,7.55,4218267,4224322,-0.14,-
1560,中砂,832959,829267,715653,0.44,16.39,4785855,3890219,23.02,-
1583,程泰,382226,221590,431019,72.49,-11.32,1976660,1879731,5.15,-
2049,上銀,2554057,2480198,1940410,2.97,31.62,13887696,11764271,18.04,-
2371,大同,5292568,3582351,4537514,47.74,16.64,24501703,23551872,4.03,-
3167,大量,1040999,955547,434357,8.94,139.66,4805427,2114283,127.28,主係因客戶需求量增加所致
4532,瑞智,1974655,2025378,1533076,-2.5,28.8,12365434,12133967,1.9,-
4540,全球傳動,332808,243012,254411,36.95,30.81,1618341,1114392,45.22,-
4555,氣立,169673,160086,136100,5.98,24.66,896948,797898,12.41,-
4564,元翎,63401,65308,96732,-2.92,-34.45,386878,615931,-37.18,-
4566,時碩工業,529998,456478,367067,16.1,44.38,2822215,2490584,13.31,-
4576,大銀微系統,344085,335388,211668,2.59,62.55,1876568,1269841,47.77,本月營收較去年同期增加，主係客戶需求較去年同期增加。
4583,台灣精銳,274287,285609,211029,-3.96,29.97,1760772,1543732,14.05,-
4590,富田-創,119895,108581,83858,10.41,42.97,569391,655325,-13.11,-
6606,建德工業,98477,87747,75655,12.22,30.16,484805,400185,21.14,-
8222,寶一,68432,79197,76339,-13.59,-10.35,482007,506947,-4.91,-
8374,羅昇,500787,541091,358195,-7.44,39.8,3007497,2171975,38.46,-
8996,高力,724767,631677,526875,14.73,37.55,5728203,2501875,128.95,說明:本年累計營收較去年同期增加128.96%，主要係板式熱交換器及熱能產品年度營收分別較去年同期增加17.88%及185.17%所致
1603,華電,483897,444858,463927,8.77,4.3,2808354,2850720,-1.48,-
1604,聲寶,828708,778972,776231,6.38,6.76,4795800,4892049,-1.96,-
1605,華新,16719950,17459111,12927141,-4.23,29.33,90767841,91171308,-0.44,-
1608,華榮,1102958,1119629,973018,-1.48,13.35,6717464,5800473,15.8,-
1609,大亞,3369481,3135375,2746810,7.46,22.66,18022556,15143769,19.0,-
1611,中電,83645,86945,94416,-3.79,-11.4,508785,563204,-9.66,-
1612,宏泰,717168,661950,808375,8.34,-11.28,3971752,4026778,-1.36,-
1614,三洋電,461010,439234,473583,4.95,-2.65,2650359,2886395,-8.17,-
1615,大山,633108,479598,493218,32.0,28.36,2928324,2864357,2.23,-
1616,億泰,572015,475294,433183,20.34,32.04,2789369,2539319,9.84,-
1617,榮星,376197,344911,269513,9.07,39.58,2021389,1603878,26.03,-
1618,合機,323809,615760,519898,-47.41,-37.71,2290435,2652367,-13.64,-
1623,大東電,602591,355869,530317,69.32,13.62,3298168,3238610,1.83,-
4930,燦星網,443560,473743,449382,-6.37,-1.29,2731514,2984029,-8.46,-
5283,禾聯碩,713862,618555,695394,15.4,2.65,3333175,3368001,-1.03,-
1708,東鹼,519370,538697,503006,-3.58,3.25,3308419,2967222,11.49,-
1709,和益,1030724,902779,605826,14.17,70.13,5113089,4817020,6.14,因原料成本上漲，調高產品售價所致。
1711,永光,690754,719158,598086,-3.94,15.49,4177012,3927973,6.34,-
1712,興農,1716087,1743868,1648875,-1.59,4.07,10169009,9861715,3.11,-
1713,國化,26893,46485,29131,-42.14,-7.68,226441,210788,7.42,-
1714,和桐,3074967,3477938,1773191,-11.58,73.41,17016615,10742819,58.39,115年6月營收較去年同期增加達50%以上，主係產品銷量、售價皆較去年同期增加。
1717,長興,3831479,3860946,3297109,-0.76,16.2,22168850,20465385,8.32,-
1718,中纖,4113665,3777928,4036164,8.88,1.92,23759187,23394097,1.56,本月份自結異業別合併營收資訊，未經會計師簽證或核閱。
1721,三晃,141052,118880,129787,18.65,8.67,806404,890042,-9.39,-
1722,台肥,815569,962347,910971,-15.25,-10.47,6749941,6342952,6.41,-
1723,中碳,674339,636660,510415,5.91,32.11,3320133,3123081,6.3,-
1725,元禎,586499,773475,770421,-24.17,-23.87,4610868,4282152,7.67,-
1727,中華化,224411,227219,188205,-1.23,19.23,1157509,969866,19.34,-
1730,花仙子,217888,193465,199024,12.62,9.47,1257131,1231050,2.11,-
1732,毛寶,65934,63254,59928,4.23,10.02,363363,337015,7.81,-
1735,日勝化,193755,203851,167260,-4.95,15.84,1263331,1183914,6.7,-
1773,勝一,1250360,1171778,1037720,6.7,20.49,6652050,5603110,18.72,-
4720,德淵,337386,331300,269770,1.83,25.06,1975800,1782045,10.87,-
4722,國精化,362609,295438,285664,22.73,26.93,1927979,1889863,2.01,-
4739,康普,953770,1159552,446131,-17.74,113.78,5510938,2504309,120.05,本月營收及累計營收較去年同期增加，主係動力電池材料銷售增加。
4755,三福化,464390,375961,401634,23.52,15.62,2371210,2410780,-1.64,-
4764,雙鍵,284417,312100,232438,-8.86,22.36,1755748,1389714,26.33,-
4766,南寶,2093401,2204492,1855541,-5.03,12.81,12419471,11359895,9.32,-
4770,上品,470234,347267,505339,35.4,-6.94,2363145,2278177,3.72,-
1720,生達,615012,580979,563676,5.85,9.1,3524488,3467765,1.63,-
1731,美吾華,131865,137146,128665,-3.85,2.48,854499,796989,7.21,-
1733,五鼎,173952,145664,144858,19.42,20.08,990376,1068701,-7.32,-
1752,南光,155084,186759,189294,-16.96,-18.07,1068214,1121187,-4.72,-
1760,寶齡富錦,132734,234475,138211,-43.39,-3.96,1031127,985306,4.65,-
1762,中化生,101773,72426,170105,40.51,-40.17,666405,536991,24.09,-
1783,和康生,86139,73604,78908,17.03,9.16,411881,386002,6.7,-
1786,科妍,74440,73354,73738,1.48,0.95,416348,413822,0.61,-
1789,神隆,248283,175224,258387,41.69,-3.91,1338213,1433886,-6.67,-
3164,景岳,37737,27810,43478,35.69,-13.2,192502,211623,-9.03,-
3716,中化控股,663752,659301,701585,0.67,-5.39,4228303,4364958,-3.13,-
4104,佳醫,893588,701668,769868,27.35,16.07,4728836,4314285,9.6,"一一五年六月因佳醫創照健康股份有限公司及其子公司成為合併個體，使本月營收及本年累計營收增加75,476仟元所致。"
4106,雃博,265782,186403,209682,42.58,26.75,1257114,1160761,8.3,-
4108,懷特,14283,11870,11178,20.32,27.77,70427,61571,14.38,本期懷特保健產品出貨暢旺，營收較去年同期大幅成長近28%
4119,旭富,123241,60926,90520,102.27,36.14,648663,731805,-11.36,-
4142,國光生,37239,6774,100193,449.73,-62.83,149074,180717,-17.5,上半年六月份營收較去年同期減少，主因配合主要客戶出貨時程調整至下半年
4155,訊映,172639,139231,140448,23.99,22.92,822714,837784,-1.79,-
4169,泰宗,64785,57163,62290,13.33,4.0,353980,337838,4.77,-
4195,基米-創,72146,49960,64891,44.4,11.18,320093,310309,3.15,-
4736,泰博,360204,319237,352839,12.83,2.08,2124042,2097844,1.24,-
4737,華廣,143609,141700,153628,1.34,-6.52,831895,953126,-12.71,-
4746,台耀,421860,358654,420647,17.62,0.28,2175062,2386549,-8.86,-
4771,望隼,394887,381003,300854,3.64,31.25,2226792,1682896,32.31,-
6446,藥華藥,2332801,2458451,1197041,-5.11,94.88,11976809,6859767,74.59,本月及本年累計營收較去年成長，主要來自認列子公司PharmaEssentia USA Corp.之營收。
6472,保瑞,2297853,2114486,1650467,8.67,39.22,9892613,10006511,-1.13,"停業單位營收累計為1,927千元"
6491,晶碩,723965,716194,540517,1.08,33.93,4000172,3220313,24.21,-
6534,正瀚-創,88896,141363,69115,-37.11,28.62,1328929,1274132,4.3,-
6589,台康生技,113305,116798,58308,-2.99,94.32,620746,412533,50.47,本月營收較去年同期增加主係委託研究開發暨生產服務(CDMO)業務成長所致。
6645,金萬林-創,66053,53977,45901,22.37,43.9,278379,227894,22.15,-
6657,華安,502,541,925,-7.2,-45.72,3243,3277,-1.03,-
6782,視陽,450881,444825,308932,1.36,45.94,2495794,2022628,23.39,-
6794,向榮生技,1276,1425,2240,-10.45,-43.03,10873,18515,-41.27,-
6838,台新藥,678,2348,0,-71.12,,48448,5358,804.21,認列樣品收入等
6861,睿生光電,229132,265735,203466,-13.77,12.61,1548068,1087584,42.34,-
6885,全福生技,2378,822,402,189.29,491.54,6789,1676,305.07,諮詢服務收入、含子公司營業收入
6918,愛派司,79196,78876,76012,0.4,4.18,462325,410283,12.68,-
6919,康霈*,0,0,0,,,3568,12212,-70.78,本公司新藥仍在研發階段，目前營收來源為健康食品銷售，僅於出貨予代理商之月份認列營收，因並非每月固定出貨致使營收變動。
6931,青松健康,110416,109590,92913,0.75,18.83,630374,540435,16.64,-
6934,心誠鎂,11599,22,28,52622.72,41325.0,19813,10855,82.52,公司非每月固定出貨銷售，需搭配客戶及市場銷售策略作調整，故有此差異
6936,永鴻生技,117271,126130,117781,-7.02,-0.43,744081,668268,11.34,-
6949,沛爾生醫-創,3275,2691,2180,21.7,50.22,15318,17642,-13.17,本月較去年同期增加係因細胞治療案件數量增加。
