公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,9379408,8953462,10689860,4.75,-12.25,72206846,68937060,4.74,-
1102,亞泥,6469836,6790125,7069221,-4.71,-8.47,53547181,59102719,-9.39,-
1103,嘉泥,238917,266631,182371,-10.39,31.0,1882252,1388559,35.55,-
1104,環泥,617197,637246,605512,-3.14,1.92,5009162,4466788,12.14,-
1108,幸福,430420,441143,390053,-2.43,10.34,3286336,2599544,26.41,-
1109,信大,541722,562522,478276,-3.69,13.26,4134857,4040555,2.33,-
1110,東泥,160207,168514,176935,-4.92,-9.45,1472158,1073546,37.13,-
1201,味全,2024542,1987063,2008672,1.88,0.79,14045524,13379758,4.97,-
1203,味王,566658,498272,546197,13.72,3.74,4174640,4173247,0.03,-
1210,大成,10230624,8904562,10578033,14.89,-3.28,73862187,73074148,1.07,-
1213,大飲,-998,-297,38696,-236.02,-102.57,115850,266205,-56.48,營收大幅衰退，係因四月下旬暫時停工迄今，暫無產品銷售所致。停工後銷貨退回與折讓單陸續於八月入帳。
1215,卜蜂,2508812,2360314,2393814,6.29,4.8,19513213,18832593,3.61,-
1216,統一,57541764,54142903,48654713,6.27,18.26,380485211,350684373,8.49,-
1217,愛之味,657803,482203,634623,36.41,3.65,3470812,3378583,2.72,-
1218,泰山,1157243,1069944,1054476,8.15,9.74,7515610,7420131,1.28,-
1219,福壽,1366116,1403695,1352250,-2.67,1.02,11089223,11165467,-0.68,-
1220,台榮,296778,272888,314062,8.75,-5.5,2059148,2260624,-8.91,-
1225,福懋油,1232824,1215578,1333748,1.41,-7.56,9728344,9949131,-2.21,-
1227,佳格,2657640,2151320,2686715,23.53,-1.08,17012928,17555478,-3.09,-
1229,聯華,891803,1022672,831107,-12.79,7.3,8425508,8337876,1.05,-
1231,聯華食,1042128,956916,976319,8.9,6.74,7193264,6937135,3.69,-
1232,大統益,2202657,1761631,2186695,25.03,0.72,15833689,15617873,1.38,-
1233,天仁,178560,169784,158102,5.16,12.93,1380873,1176372,17.38,-
1234,黑松,1121037,983847,1074526,13.94,4.32,6946938,6074514,14.36,-
1235,興泰,6684,4037,6974,65.56,-4.15,26173,19578,33.68,-
1236,宏亞,172261,146859,221454,17.29,-22.21,1199306,1320028,-9.14,-
1702,南僑,1998440,1774321,1710172,12.63,16.85,14762083,13221922,11.64,-
1737,臺鹽,318789,269146,334505,18.44,-4.69,2312423,2436397,-5.08,-
3054,立萬利,2907,1799,2518,61.58,15.44,22410,21456,4.44,-
1301,台塑,17501985,16645025,17450790,5.14,0.29,134807155,182314985,-26.05,-
1303,南亞,23595589,21514529,27507669,9.67,-14.22,174622089,252302767,-30.78,-
1304,台聚,5032636,3963359,5215901,26.97,-3.51,34930170,45901121,-23.9,-
1305,華夏,1378646,1020444,1190704,35.1,15.78,9519235,12898207,-26.19,-
1307,三芳,1038632,893367,1118509,16.26,-7.14,6833447,7361271,-7.17,-
1308,亞聚,679172,559778,1082981,21.32,-37.28,4466869,6541755,-31.71,-
1309,台達化,1396557,1094051,1529912,27.65,-8.71,9654060,12741266,-24.22,-
1310,台苯,814218,689103,851722,18.15,-4.4,6138725,9524028,-35.54,-
1312,國喬,1284350,1226678,1405126,4.7,-8.59,10618893,12827409,-17.21,-
1313,聯成,6494950,6142965,5052422,5.72,28.55,46173079,51008382,-9.47,-
1314,中石化,2408787,2412106,1941044,-0.13,24.09,16929377,19780573,-14.41,-
1315,達新,163404,229932,306497,-28.93,-46.68,1558755,1824757,-14.57,-
1321,大洋,391590,361464,550848,8.33,-28.91,3250512,4747490,-31.53,-
1323,永裕,316094,261881,327512,20.7,-3.48,2228360,2538080,-12.2,-
1324,地球,75561,83873,75027,-9.91,0.71,620628,665718,-6.77,-
1325,恆大,32476,32802,44949,-0.99,-27.74,278134,396140,-29.78,-
1326,台化,29077841,26750801,28666166,8.69,1.43,214026306,263105895,-18.65,-
4306,炎洲,1117797,970359,1189836,15.19,-6.05,8142271,10448361,-22.07,-
1402,遠東新,21526874,20714646,21973635,3.92,-2.03,167102172,176791914,-5.48,-
1409,新纖,3764714,3338855,4216488,12.75,-10.71,25927614,32859362,-21.09,-
1410,南染,20769,17677,29489,17.49,-29.57,149641,261861,-42.85,-
1413,宏洲,199408,132361,263208,50.65,-24.23,1248001,2259957,-44.77,-
1414,東和,51833,44586,55727,16.25,-6.98,373071,502779,-25.79,-
1417,嘉裕,111755,108193,117306,3.29,-4.73,1023021,949499,7.74,-
1418,東華,1069,1580,701,-32.34,52.49,15860,10769,47.27,配合客戶生產線出貨。
1419,新紡,266298,216163,312131,23.19,-14.68,1994364,2045550,-2.5,-
1423,利華,11088,10996,14789,0.83,-25.02,84638,126975,-33.34,-
1434,福懋,2477621,2256531,2965754,9.79,-16.45,19615788,24118908,-18.67,-
1440,南紡,1590203,1467285,1615212,8.37,-1.54,13540074,14732944,-8.09,-
1441,大東,105790,119829,108145,-11.71,-2.17,799970,1098807,-27.19,-
1444,力麗,745675,654087,1110060,14.0,-32.82,5871061,8853750,-33.68,-
1445,大宇,104160,104813,124480,-0.62,-16.32,964767,965298,-0.05,-
1446,宏和,9536,9141,10478,4.32,-8.99,91131,98040,-7.04,-
1447,力鵬,1938288,3222017,2719435,-39.84,-28.72,21214582,19987066,6.14,-
1449,佳和,333084,227642,232128,46.31,43.49,1798127,1730455,3.91,-
1451,年興,537506,632126,825466,-14.96,-34.88,4424381,6129664,-27.82,-
1452,宏益,104627,97837,134402,6.94,-22.15,741595,1295841,-42.77,-
1454,台富,144631,126650,157137,14.19,-7.95,1030409,1264080,-18.48,-
1455,集盛,655615,578974,694537,13.23,-5.6,4772885,6811999,-29.93,-
1457,宜進,315028,217794,365255,44.64,-13.75,1987226,3062658,-35.11,-
1459,聯發,95354,80422,132777,18.56,-28.18,667044,1491607,-55.28,市場需求減少，致營業額下降。
1460,宏遠,665369,637276,925749,4.4,-28.12,4835860,6702935,-27.85,-
1463,強盛,38818,25823,37194,50.32,4.36,222706,332205,-32.96,-
1464,得力,975517,585168,1055023,66.7,-7.53,6267155,8215288,-23.71,-
1465,偉全,44614,51399,60397,-13.2,-26.13,395535,349669,13.11,-
1466,聚隆,199625,208471,215180,-4.24,-7.22,1518152,1981140,-23.36,-
1467,南緯,503680,417569,547415,20.62,-7.98,3040293,4333999,-29.85,-
1468,昶和,91518,58616,132643,56.13,-31.0,711645,910870,-21.87,-
1470,大統新創,51791,51323,84491,0.91,-38.7,484585,664123,-27.03,-
1473,台南,664222,621373,707355,6.89,-6.09,4526948,5501065,-17.7,-
1474,弘裕,257924,231620,286882,11.35,-10.09,1686643,2260325,-25.38,-
1475,業旺,95610,82345,83865,16.1,14.0,831741,753228,10.42,-
