公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,-,-41.79,12584154,-2.56,7517896,7325221,-2.56,7517896,7325221
1102,亞泥,-,-42.27,8340507,-35.12,7420726,4814494,-35.12,7420726,4814494
1103,嘉泥,-,-16.36,228644,20.98,158052,191217,20.98,158052,191217
1104,環泥,-,-30.43,725055,-14.84,592322,504378,-14.84,592322,504378
1108,幸福,-,-29.5,418326,-9.16,324664,294901,-9.16,324664,294901
1109,信大,-,-42.26,516142,-47.43,566897,298010,-47.43,566897,298010
1110,東泥,-,-17.8,167733,-17.37,166858,137873,-17.37,166858,137873
1201,味全,-,9.02,1453858,-5.01,1668787,1585126,-5.01,1668787,1585126
1203,味王,-,-15.41,609563,-8.59,564100,515619,-8.59,564100,515619
1210,大成,-,-10.3,10247364,-7.69,9956918,9191048,-7.69,9956918,9191048
1213,大飲,-,-7.93,34198,-31.3,45833,31485,-31.3,45833,31485
1215,卜蜂,-,-13.77,2748111,-11.34,2672823,2369583,-11.34,2672823,2369583
1216,統一,-,3.03,44564715,-4.44,48049485,45915517,-4.44,48049485,45915517
1217,愛之味,-,33.32,335992,1.15,442813,447948,1.15,442813,447948
1218,泰山,-,11.49,873258,-0.5,978592,973667,-0.5,978592,973667
1219,福壽,-,-10.74,1495331,-6.87,1433167,1334658,-6.87,1433167,1334658
1220,台榮,-,-38.05,299446,-42.56,322989,185500,-42.56,322989,185500
1225,福懋油,-,-21.43,1446610,-12.01,1291723,1136459,-12.01,1291723,1136459
1227,佳格,-,-30.22,3562467,-21.57,3169810,2485829,-21.57,3169810,2485829
1229,聯華,-,-33.82,1229700,-6.86,873750,813776,-6.86,873750,813776
1231,聯華食,-,-18.9,1273749,0.85,1024108,1032901,0.85,1024108,1032901
1232,大統益,-,-19.02,2531262,-0.65,2063315,2049752,-0.65,2063315,2049752
1233,天仁,-,8.07,193545,11.18,188123,209169,11.18,188123,209169
1234,黑松,-,21.96,856128,11.05,940229,1044159,11.05,940229,1044159
1235,興泰,-,-47.37,2455,6.07,1218,1292,6.07,1218,1292
1236,宏亞,-,-31.0,320009,-22.18,283748,220785,-22.18,283748,220785
1702,南僑,-,-15.51,1947391,-9.06,1809151,1645186,-9.06,1809151,1645186
1737,臺鹽,-,19.37,268302,-5.52,339010,320289,-5.52,339010,320289
1301,台塑,-,-13.52,16662024,-39.81,23937795,14408136,-39.81,23937795,14408136
1303,南亞,-,-15.24,23938601,-42.46,35266502,20289828,-42.46,35266502,20289828
1304,台聚,-,-27.0,5385876,-35.55,6100816,3931572,-35.55,6100816,3931572
1305,華夏,-,-7.12,1375854,-32.4,1890241,1277800,-32.4,1890241,1277800
1307,三芳,-,6.43,742256,-5.67,837560,789995,-5.67,837560,789995
1308,亞聚,-,-45.25,829188,-40.19,759128,453973,-40.19,759128,453973
1309,台達化,-,-27.65,1362281,-33.42,1480381,985589,-33.42,1480381,985589
1310,台苯,-,-38.73,962686,-47.26,1118245,589760,-47.26,1118245,589760
1312,國喬,-,1.94,1261110,-21.47,1637284,1285657,-21.47,1637284,1285657
1313,聯成,-,-33.7,5433061,-39.79,5982448,3601598,-39.79,5982448,3601598
1314,中石化,本公司受通膨、戰爭以及下游市場需求疲弱等因素影響，導致2023年1月累計營收和單月營收皆較去年同期減少。,-8.61,1249149,-55.07,2541068,1141581,-55.07,2541068,1141581
1315,達新,-,34.77,179165,6.26,227241,241467,6.26,227241,241467
1321,大洋,-,-15.22,467673,-33.58,596974,396457,-33.58,596974,396457
1323,永裕,-,-15.87,288851,-33.37,364733,243005,-33.37,364733,243005
1324,地球,-,-24.08,81685,-29.32,87732,62008,-29.32,87732,62008
1325,恆大,-,-10.66,39273,-48.38,67973,35085,-48.38,67973,35085
1326,台化,-,-11.28,28831311,-15.62,30314286,25576976,-15.62,30314286,25576976
4306,炎洲,-,-24.65,988803,-42.44,1294378,744969,-42.44,1294378,744969
1402,遠東新,-,-7.62,20497072,-7.5,20470940,18935083,-7.5,20470940,18935083
1409,新纖,-,-7.26,2997669,-32.54,4120985,2779771,-32.54,4120985,2779771
1410,南染,-,-49.21,32605,-22.64,21405,16558,-22.64,21405,16558
1413,宏洲,過年休假,-40.91,212772,-56.03,285966,125711,-56.03,285966,125711
1414,東和,-,-27.74,48699,-39.3,57978,35189,-39.3,57978,35189
1417,嘉裕,-,-17.28,136189,-14.22,131332,112648,-14.22,131332,112648
1418,東華,配合客戶生產線出貨。,-44.21,6450,105.48,1751,3598,105.48,1751,3598
1419,新紡,-,-2.68,271690,1.51,260430,264387,1.51,260430,264387
1423,利華,今年元月份適逢農曆春節假期，連帶影響到業務出貨安排，因而營收相較去年同期減少。,-37.48,13507,-55.48,18968,8444,-55.48,18968,8444
1434,福懋,-,-6.32,2632228,-15.09,2904198,2465734,-15.09,2904198,2465734
1439,雋揚,本公司截至1月底營收較去年同期增加，係因本期認列交屋金額較高所致。,225.06,13807,124.98,19949,44882,124.98,19949,44882
1440,南紡,-,-23.42,1817974,-22.0,1784787,1392081,-22.0,1784787,1392081
1441,大東,-,-35.25,137761,-34.17,135504,89197,-34.17,135504,89197
1444,力麗,-,9.33,651881,-31.97,1047806,712724,-31.97,1047806,712724
1445,大宇,-,-20.45,144218,-15.28,135407,114713,-15.28,135407,114713
1446,宏和,-,-46.11,14263,-38.82,12563,7685,-38.82,12563,7685
1447,力鵬,因子公司船期延遲至本月到貨使得本月貿易量增加。,46.75,2211894,107.03,1567857,3246032,107.03,1567857,3246032
1449,佳和,-,-18.67,174301,-30.33,203474,141755,-30.33,203474,141755
1451,年興,-,30.55,427427,-16.61,669189,558008,-16.61,669189,558008
1452,宏益,因市場需求疲弱及農曆春節期間工作日減少，致本期營業收入淨額較去年同期大幅減少。,-46.24,127138,-60.98,175169,68343,-60.98,175169,68343
1454,台富,-,-21.07,126002,-35.22,153526,99448,-35.22,153526,99448
1455,集盛,1月適逢農曆春節銷售天數減少1/3，去年同期正逢需求旺盛，比較基期較高，二者影響致本期減少比例較大。,-18.42,536603,-52.08,913636,437746,-52.08,913636,437746
1457,宜進,-,-29.31,299367,-44.99,384718,211612,-44.99,384718,211612
1459,聯發,春節期間工作日減少，致營業額下降。,-45.25,132567,-59.67,179979,72580,-59.67,179979,72580
1460,宏遠,-,-12.52,701854,-29.11,866114,613975,-29.11,866114,613975
1463,強盛,-,-39.31,39664,-45.5,44170,24069,-45.5,44170,24069
1464,得力,-,-25.57,990249,-24.53,976510,736967,-24.53,976510,736967
1465,偉全,-,-46.39,60043,-28.03,44730,32188,-28.03,44730,32188
1466,聚隆,主因為112年1月營業天數較去年同期減少所致。,-37.97,213312,-52.56,278937,132317,-52.56,278937,132317
1467,南緯,-,-15.05,430250,-32.71,543119,365456,-32.71,543119,365456
1468,昶和,-,-5.41,118675,-9.77,124411,112248,-9.77,124411,112248
1470,大統新創,-,90.21,30482,-37.09,92169,57982,-37.09,92169,57982
1472,三洋實業,-,-70.16,204493,-35.63,94781,61007,-35.63,94781,61007
1473,台南,-,47.09,549939,1.47,797210,808935,1.47,797210,808935
1474,弘裕,1月份適逢農曆春節，營業天數較少。,-35.54,225268,-52.02,302638,145194,-52.02,302638,145194
1475,業旺,-,-15.92,122090,18.19,86843,102647,18.19,86843,102647
1476,儒鴻,-,-20.3,2639883,-42.84,3681106,2103889,-42.84,3681106,2103889
1477,聚陽,-,-3.27,2468373,-16.45,2857690,2387509,-16.45,2857690,2387509
4414,如興,-,-14.67,1090393,-30.13,1331669,930337,-30.13,1331669,930337
4426,利勤,-,-43.43,158376,14.73,78077,89583,14.73,78077,89583
4438,廣越,-,-37.84,1556026,-11.81,1096683,967101,-11.81,1096683,967101
4440,宜新實業,-,-23.63,96371,-49.89,146860,73589,-49.89,146860,73589
1503,士電,-,15.54,2733413,6.73,2959059,3158454,6.73,2959059,3158454
1504,東元,-,-12.34,5159923,-3.14,4670154,4523185,-3.14,4670154,4523185
1506,正道,-,3.43,89678,-8.47,101348,92757,-8.47,101348,92757
1513,中興電,-,12.85,1573694,33.79,1327330,1775922,33.79,1327330,1775922
1514,亞力,-,-40.38,883938,23.94,425119,526927,23.94,425119,526927
1515,力山,客戶庫存管理減少採購量,-37.14,355024,-74.15,863527,223148,-74.15,863527,223148
1517,利奇,主係產業調整庫存及去年基期較高所致。,-51.66,335340,-60.78,413317,162096,-60.78,413317,162096
1519,華城,-,-85.42,1262908,-38.69,300184,184019,-38.69,300184,184019
1526,日馳,-,-24.13,147188,-32.34,165056,111668,-32.34,165056,111668
1527,鑽全,-,28.2,213173,-37.17,435041,273295,-37.17,435041,273295
1528,恩德,-,-24.77,376144,20.61,234592,282962,20.61,234592,282962
1529,樂事綠能,"本月有台電銷貨收入,致營收增加",-20.6,65038,178.0,18573,51634,178.0,18573,51634
1530,亞崴,-,-22.73,211350,-37.96,263258,163300,-37.96,263258,163300
1531,高林股,因本年年假在1月(去年年假在2月)，上班天數少影響出貨所致。,-36.62,166777,-61.71,276087,105694,-61.71,276087,105694
1532,勤美,-,-34.38,1237022,-48.56,1578230,811722,-48.56,1578230,811722
1535,中宇,-,-36.51,998704,-18.77,780623,634031,-18.77,780623,634031
1537,廣隆,-,-9.06,538718,-25.75,659845,489898,-25.75,659845,489898
1538,正峰,-,-28.36,21798,-46.19,29024,15616,-46.19,29024,15616
1539,巨庭,國外市場須求減少,18.2,76708,-71.72,320702,90674,-71.72,320702,90674
1540,喬福,美國.大陸.法國成長,166.87,25062,51.51,44143,66884,51.51,44143,66884
1541,錩泰,因COVID-19持續影響，全球供應鏈受阻。國際情勢導致物價原料運費持續大漲，引發嚴重通膨，降低消費者購買力，客戶大幅減少訂單。,3.23,197525,-67.59,629216,203919,-67.59,629216,203919
1558,伸興,-,-8.69,553589,-32.33,746933,505439,-32.33,746933,505439
1560,中砂,-,-9.12,517624,-11.43,531136,470383,-11.43,531136,470383
1583,程泰,係因112年1月適逢春節假期及大陸廠春節假期延長，工作天數減少，致營收與去年相比大幅減少。,-45.36,508625,-52.08,580008,277891,-52.08,580008,277891
1597,直得,-,-6.04,110690,-20.38,130623,103999,-20.38,130623,103999
2049,上銀,-,-13.87,1680534,-39.73,2401483,1447352,-39.73,2401483,1447352
2371,大同,依IFRS10規定綜合判斷對精英電腦(股)公司已具備實質控制力，故自111年10月起將其併入合併報表，致合併營收較比較期間大幅增加。,-20.02,4424394,29.75,2727030,3538518,29.75,2727030,3538518
3167,大量,大環境變化所致,-15.45,132690,-57.34,263033,112189,-57.34,263033,112189
4526,東台,-,-46.48,811384,-20.2,544190,434211,-20.2,544190,434211
4532,瑞智,-,-18.77,1395219,-45.85,2092937,1133263,-45.85,2092937,1133263
4540,全球傳動,-,-12.13,231452,-27.07,278854,203363,-27.07,278854,203363
4555,氣立,本月及本年增減百分比達50%以上，原因為：1.適逢農曆新年，工作天期較少 2.大陸防疫措施鬆綁，員工確診出勤人數減少,-40.09,124667,-54.72,164960,74683,-54.72,164960,74683
4562,穎漢,-,-14.07,78300,2.91,65373,67277,2.91,65373,67277
4564,元翎,-,-12.7,155466,-35.51,210454,135711,-35.51,210454,135711
4566,時碩工業,-,16.31,339060,-9.12,433996,394380,-9.12,433996,394380
4572,駐龍,"航太景氣可望逐步復甦,客戶需求增加,營收隨之成長",10.79,55771,69.59,36435,61792,69.59,36435,61792
4576,大銀微系統,-,-35.29,244674,-45.93,292793,158313,-45.93,292793,158313
4583,台灣精銳,-,-55.0,362960,-37.81,262631,163319,-37.81,262631,163319
8222,寶一,-,61.85,27910,25.73,35927,45173,25.73,35927,45173
8374,羅昇,111/7/1取得達昇能源100%股權，係屬共同控制下組織重整，應視為自始即取得，故追溯重編去年合併營收。,-11.15,275257,-18.65,300642,244562,-18.65,300642,244562
8996,高力,112年1月營收較去年同期增加71.84%，主要係熱能產品營業額較去年同期大幅增加98%及板式熱交換器營業額較去年同期增加55.7%所致。,2.49,313394,71.83,186934,321223,71.83,186934,321223
1603,華電,-,-11.74,285921,3.37,244118,252349,3.37,244118,252349
