公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,-,-47.22,8596261,-9.27,5000692,4536849,5.04,12502833,13133110
1102,亞泥,-,-53.6,7436331,21.01,2851105,3450204,35.04,8061424,10886535
1103,嘉泥,-,-25.77,195482,-3.79,150813,145091,7.83,315842,340573
1104,環泥,-,-30.78,511466,-14.5,414075,354013,11.81,774041,865479
1108,幸福,-,-33.13,417355,-28.49,390288,279071,1.41,686683,696426
1109,信大,-,-74.25,739226,-4.72,199776,190339,37.4,676491,929565
1110,東泥,-,-25.21,137866,-10.55,115270,103108,-0.23,241532,240974
1201,味全,-,-4.08,1461118,26.4,1108658,1401435,12.22,2550785,2862553
1203,味王,-,-18.82,545268,-11.88,502344,442622,-3.05,1019043,987890
1210,大成,-,-31.4,8480630,-0.5,5847338,5817609,18.94,12022872,14300322
1213,大飲,2月適逢農曆春節假期，消費需求增加及去年基期較低所致。,21.41,32550,65.05,23944,39520,29.16,55798,72070
1215,卜蜂,-,-18.94,2037460,0.47,1643656,1651502,10.78,3329962,3688962
1216,統一,-,-29.7,45194815,3.18,30787526,31769464,6.42,72316611,76964279
1217,愛之味,-,-22.71,411016,4.91,302786,317669,2.89,708194,728685
1218,泰山,-,-25.6,845756,24.42,505641,629161,18.69,1242615,1474917
1219,福壽,-,-14.43,1326083,24.43,911889,1134676,27.57,1928847,2460760
1220,台榮,-,-32.65,262424,-0.81,178161,176717,15.66,379672,439141
1225,福懋油,-,-17.04,1076979,13.78,785185,893451,20.49,1635262,1970430
1227,佳格,-,-62.05,4585987,16.54,1493010,1740003,42.97,4424485,6325990
1229,聯華,-,-21.21,761338,-8.91,658504,599791,7.94,1260914,1361129
1231,聯華食,-,-24.3,949444,39.55,514965,718678,19.31,1398035,1668122
1232,大統益,-,-17.02,1659919,12.05,1229139,1377370,12.11,2709066,3037289
1233,天仁,-,-3.98,170575,10.99,147563,163783,-9.98,371452,334358
1234,黑松,-,-22.63,835074,23.16,524531,646038,9.23,1355866,1481112
1235,興泰,-,-46.59,1833,-23.81,1285,979,6.71,2635,2812
1236,宏亞,-,-70.92,329513,11.35,86037,95806,44.41,294521,425319
1702,南僑,-,-31.02,1747421,42.19,847574,1205199,26.19,2339799,2952620
1737,臺鹽,-,-21.9,280603,-6.16,233536,219142,7.7,463992,499745
1301,台塑,-,-14.82,19215607,28.26,12760661,16367396,33.67,26618712,35583003
1303,南亞,-,-11.43,29346765,29.96,19999005,25991621,30.78,42312700,55338386
1304,台聚,-,-12.17,5316928,28.14,3643881,4669544,38.66,7201751,9986472
1305,華夏,-,-3.25,1603671,22.2,1269527,1551446,36.49,2311543,3155117
1307,三芳,-,-25.58,949887,-15.24,833964,706825,4.66,1582851,1656712
1308,亞聚,-,-20.42,653244,20.77,430415,519823,44.08,814139,1173067
1309,台達化,-,-15.29,1456463,38.5,890685,1233649,39.77,1924579,2690112
1310,台苯,-,0.07,730042,43.16,510293,730574,14.22,1278722,1460616
1312,國喬,"係因本月產品 SM及ABS之數量及價格均較去年同月增加,尤以ABS數量較去年本月成長83%",-4.56,1739674,61.38,1028691,1660203,35.96,2500632,3399877
1313,聯成,去年同期因新冠肺炎疫情延燒，石油價格重挫、大陸地區下游客戶延長復工、交通管制等影響，營收下滑。,-34.39,5994488,124.27,1753579,3932791,93.52,5127845,9923881
1314,中石化,-,-22.11,2541752,18.62,1668882,1979742,21.14,3732314,4521495
1315,達新,-,-8.19,185347,6.12,160344,170163,9.13,325759,355510
1321,大洋,-,-5.85,464301,27.27,343433,437107,28.64,700677,901401
1323,永裕,-,-12.68,279444,11.56,218708,244003,14.63,456634,523447
1324,地球,-,-28.67,82015,-42.09,101024,58498,-20.86,177567,140513
1325,恆大,受新冠肺炎影響致營收增加,-48.64,218816,5.1,106907,112368,99.62,165899,331184
1326,台化,-,-5.69,26749217,19.95,21029837,25225711,18.99,43677813,51974928
4306,炎洲,-,-19.59,1288713,13.48,913004,1036147,21.56,1912489,2324860
1402,遠東新,-,-9.51,19154653,7.83,16072828,17332331,8.78,33538998,36486984
1409,新纖,-,-14.28,3145297,11.82,2410828,2695907,17.49,4971470,5841204
1410,南染,-,-19.3,36064,-14.49,34036,29102,11.79,58290,65166
1413,宏洲,-,-13.78,202561,12.62,155068,174641,19.31,316131,377202
1414,東和,-,-9.86,69139,-27.91,86451,62318,-7.53,142172,131457
1417,嘉裕,-,-25.99,126957,-3.49,97360,93957,-2.69,227024,220914
1418,東華,因客戶受新冠狀肺炎疫情之影響調降開工率，造成亞克力纖維市場需求停滯。,-57.65,6471,-76.69,11758,2740,-56.93,21387,9211
1419,新紡,-,-25.3,192552,-20.43,180755,143826,-2.18,343903,336378
1423,利華,-,-18.79,17467,-45.95,26244,14184,-17.38,38313,31651
1434,福懋,-,-11.91,2591722,-20.18,2860226,2283006,-11.41,5502942,4874728
1439,雋揚,羊毛市場價格並未大幅波動，但受到主要客戶疫情尚未趨緩，致使需求持續萎縮所致。,-14.38,6140,-55.68,11862,5257,-49.64,22636,11398
1440,南紡,-,-16.58,1721188,-27.44,1978926,1435743,-5.28,3333144,3156931
1441,大東,"2021年2月較去年同期減少53.04%,主要原因為去年是1月過年,今年是2月過年,工作天數較去年減少",-49.45,152172,-53.03,163779,76911,-25.2,306278,229083
1444,力麗,-,-15.34,749992,-21.68,810705,634910,-10.97,1555674,1384903
1445,大宇,-,15.3,78183,-23.26,117479,90150,-22.02,215889,168333
1446,宏和,-,0.97,29710,43.15,20955,29999,7.45,55567,59709
1447,力鵬,因新增子公司貿易營收,10.1,1703830,79.83,1043140,1875926,86.14,1923118,3579756
1449,佳和,-,44.54,139548,34.2,150298,201706,30.28,261925,341254
1451,年興,-,-13.0,542580,-23.08,613683,472016,-19.36,1258299,1014596
1452,宏益,-,-16.85,170473,-3.0,146138,141746,19.79,260624,312219
1454,台富,-,-1.8,120729,-14.53,138709,118548,-7.01,257320,239278
1455,集盛,-,-14.47,828749,-1.24,717761,708790,10.02,1397437,1537539
1457,宜進,-,-18.79,317026,-12.62,294650,257456,-2.78,590959,574483
1459,聯發,-,-21.91,235665,-15.39,217512,184018,16.08,360951,418999
1460,宏遠,-,-22.06,792034,5.49,585125,617249,15.59,1219146,1409244
1463,強盛,"109年2月子公司保強公司建案入帳,本年度則無.",-20.12,36696,-76.3,123709,29312,-58.26,158172,66008
1464,得力,-,-25.99,868295,-5.24,678094,642542,-3.09,1559128,1510837
1465,偉全,本月因受農曆春節工作天數較少影響，故營收減少。,-34.24,27063,-54.07,38747,17796,-39.55,74213,44859
1466,聚隆,-,-12.04,248522,-22.76,283033,218592,-8.54,510738,467114
1467,南緯,"109年受新冠病毒影響各國紛紛封城及暫停營業,致成衣訂單及營收大幅縮減,110年疫情趨緩,營收回復一般水準,故較去年同期增加61.27%",33.01,464808,61.27,383369,618261,31.23,825311,1083069
1468,昶和,今年因春節假日故工作天數減少比較基期數據偏高所致。,-73.25,123050,-55.06,73239,32907,4.39,149396,155957
1470,大統新創,-,-15.32,65206,-20.39,69363,55216,-2.11,123030,120422
1472,三洋實業,-,-32.89,26601,22.2,14607,17850,1.14,43946,44451
1473,台南,-,-21.48,612453,-26.1,650767,480887,-24.97,1457334,1093340
1474,弘裕,-,-31.48,273395,-8.03,203686,187312,22.31,376671,460707
1475,業旺,主要開始銷售染劑產品,48.04,10361,584.77,2240,15339,379.74,5357,25700
1476,儒鴻,-,-16.48,2783179,28.6,1807489,2324451,24.32,4108447,5107630
1477,聚陽,-,-24.14,2381607,6.67,1693577,1806671,10.62,3786109,4188278
4414,如興,-,36.49,1223675,25.65,1329222,1670267,8.91,2657150,2893942
4426,利勤,因國外新冠疫情嚴重及春節假期，導致出貨減少,-36.76,85240,-63.91,149372,53901,-49.61,276146,139141
4438,廣越,-,-25.67,600145,-16.43,533774,446068,-17.04,1261256,1046213
4440,宜新實業,-,-18.17,131153,-6.01,114187,107314,2.11,233522,238467
1503,士電,-,-36.49,2810779,10.15,1620361,1784924,11.81,4109936,4595703
1504,東元,-,-14.63,3939500,11.32,3020654,3362861,7.07,6819885,7302361
1506,正道,-,-22.89,86872,-5.88,71173,66984,-0.93,155308,153856
1513,中興電,-,-35.3,1504562,11.89,869977,973424,31.64,1882357,2477986
1514,亞力,-,2.81,399915,14.68,358518,411153,9.16,742996,811068
1515,力山,客戶銷售狀況好增加採購量,-26.9,1580814,150.62,461068,1155559,183.76,964319,2736373
1517,利奇,"主係自行車零組件受惠全球自行車零售巿場持續熱銷,造就本公司集團出貨量及金額大增。",-30.02,355350,85.98,133701,248668,81.12,333474,604018
1519,華城,-,-11.04,469183,-1.62,424239,417358,-23.57,1160050,886541
1526,日馳,-,-30.16,113686,2.95,77107,79389,27.68,151210,193075
1527,鑽全,-,-2.56,344093,17.05,286395,335250,21.14,560766,679343
1528,恩德,-,-8.46,216644,-29.62,281766,198296,-19.1,512942,414940
1529,樂事綠能,"本期因無太陽能工程案營收,致營收驟減",59.67,5595,-78.28,41149,8934,-86.77,109826,14529
1530,亞崴,-,-43.46,250039,-15.83,167960,141357,12.87,346764,391396
1531,高林股,去年逢大陸爆發疫情延遲開工，工作天數減少，比較基期低所致。,-52.32,243146,75.11,66199,115925,100.1,179440,359071
1532,勤美,2月份兩期變動達50.82%，主係去年同期營收受新冠疫情影響，基期較低，2月營收回復過往水準，故較去年同期成長。,-28.29,1164624,50.82,553694,835083,42.79,1400413,1999707
1535,中宇,-,22.29,653089,25.45,636646,798706,20.7,1202731,1451795
1537,廣隆,-,-29.54,615961,-21.72,554416,433990,-2.22,1073881,1049950
1538,正峰,-,-11.31,17124,28.85,11786,15187,-8.33,35250,32311
1539,巨庭,國外市場須求增加,-9.63,209247,86.77,101242,189094,50.05,265468,398341
1540,喬福,-,-27.28,45257,0.48,32749,32908,7.15,72945,78165
1541,錩泰,-,-35.5,489059,-4.2,329264,315416,8.03,744637,804475
1558,伸興,"本月增加百分比達50%以上,係因歐美縫紉機需求增加",-35.7,980933,85.4,340150,630647,137.82,677644,1611581
1560,中砂,-,-0.57,472827,14.04,412201,470114,16.77,807480,942942
1583,程泰,-,-33.49,488443,29.42,250973,324817,38.98,585162,813260
1597,直得,市場需求增加,-4.73,135504,44.64,89248,129093,54.86,170857,264597
