公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,12612013,12213195,12619495,3.26,-0.05,58084626,60273039,-3.63,-
1102,亞泥,6296531,5694459,6370169,10.57,-1.15,26820476,29241145,-8.27,-
1103,嘉泥,230485,207622,249182,11.01,-7.5,1126476,1273231,-11.52,-
1104,環泥,655816,635959,643106,3.12,1.97,3050822,3270428,-6.71,-
1108,幸福,335095,322871,388571,3.78,-13.76,1638672,2011969,-18.55,-
1109,信大,348178,340192,407283,2.34,-14.51,1543711,1831205,-15.69,-
1110,東泥,233647,237552,261492,-1.64,-10.64,1053842,1266588,-16.79,-
1201,味全,1825310,1793562,1923030,1.77,-5.08,8619939,8995394,-4.17,-
1203,味王,432673,437702,481004,-1.14,-10.04,2183227,2512007,-13.08,-
1210,大成,9065705,9098458,8229515,-0.35,10.16,44729141,42493838,5.26,-
1213,大飲,22834,25400,19978,-10.1,14.29,125317,111276,12.61,-
1215,卜蜂,2488775,2316768,2448264,7.42,1.65,11981862,11531707,3.9,-
1216,統一,59180335,57480106,57625519,2.95,2.69,291676878,283100268,3.02,-
1217,愛之味,376355,396666,440729,-5.12,-14.6,1939235,2003192,-3.19,-
1218,泰山,821022,844393,832885,-2.76,-1.42,4318537,4126068,4.66,-
1219,福壽,1115075,1221789,1197196,-8.73,-6.85,5972242,6039917,-1.12,-
1220,台榮,239785,299352,274366,-19.89,-12.6,1234633,1299136,-4.96,-
1225,福懋油,1031005,1110177,1008123,-7.13,2.26,5422365,5247458,3.33,-
1227,佳格,2282197,1931499,2164443,18.15,5.44,11984199,11074580,8.21,-
1229,聯華,786408,604369,862668,30.12,-8.84,4006990,4391541,-8.75,-
1231,聯華食,986344,1007987,1018378,-2.14,-3.14,5342869,5142275,3.9,-
1232,大統益,1831688,1890202,1666647,-3.09,9.9,9615949,8896864,8.08,-
1233,天仁,188910,173250,196357,9.03,-3.79,935964,916366,2.13,-
1234,黑松,694368,685646,898472,1.27,-22.71,3708346,3927781,-5.58,-
1235,興泰,7962,14862,12837,-46.42,-37.97,81794,55684,46.88,"泰宇網通累計1-5月營收較去年同期增加27,427仟元"
1236,宏亞,107321,122248,112127,-12.21,-4.28,775056,753403,2.87,-
1702,南僑,1887464,1966990,1912617,-4.04,-1.31,9669817,9802582,-1.35,-
1737,臺鹽,249347,263275,316192,-5.29,-21.14,1302122,1391424,-6.41,-
3054,立萬利,58176,86010,6566,-32.36,786.01,280067,28688,876.25,主係因本期產品結構改變致銷售金額增加。
7780,大研生醫*,202685,171837,156927,17.95,29.15,838364,614044,36.53,-
7791,皇家可口,218370,210283,245294,3.84,-10.97,914959,1006738,-9.11,-
1301,台塑,14951422,18326272,14852023,-18.41,0.66,75262816,78227184,-3.78,-
1303,南亞,28830982,27681309,21949304,4.15,31.35,125108684,110677728,13.03,-
1304,台聚,3720859,4412977,3774657,-15.68,-1.42,18881444,19812980,-4.7,-
1305,華夏,973037,1192324,806203,-18.39,20.69,4839073,4100099,18.02,-
1307,三芳,876393,981256,802937,-10.68,9.14,4810459,4637990,3.71,-
1308,亞聚,521633,512062,472396,1.86,10.42,2335561,2447288,-4.56,-
1309,台達化,974076,1262513,1227097,-22.84,-20.61,5572495,6835842,-18.48,-
1310,台苯,516855,891393,841983,-42.01,-38.61,3592895,3982316,-9.77,-
1312,國喬,1593246,2489487,1505648,-36.0,5.81,11588232,9836234,17.81,-
1313,聯成,5371028,5878672,5129412,-8.63,4.71,25749422,24798757,3.83,-
1314,中石化,1290220,1556459,1693833,-17.1,-23.82,6939022,9933647,-30.14,-
1315,達新,233648,131514,225890,77.66,3.43,762838,920301,-17.1,-
1321,大洋,361973,352112,319215,2.8,13.39,1610610,1633740,-1.41,-
1323,永裕,181398,186584,173860,-2.77,4.33,899575,878457,2.4,-
1324,地球,55577,51218,53387,8.51,4.1,276588,305741,-9.53,-
1325,恆大,20068,24465,29167,-17.97,-31.19,101772,139649,-27.12,-
1326,台化,27386895,32101065,23721263,-14.68,15.45,141237771,127664254,10.63,-
4306,炎洲,1398619,1283902,998724,8.93,40.04,5949344,5033207,18.2,-
1402,遠東新,23426660,22888480,19614093,2.35,19.43,107591959,103435427,4.01,-
1409,新纖,4373931,4079327,3236780,7.22,35.13,18501156,17041036,8.56,-
1410,南染,20575,23107,15010,-10.95,37.07,93972,86264,8.93,-
1413,宏洲,178752,224009,213967,-20.2,-16.45,840673,1039236,-19.1,-
1414,東和,45981,46218,41378,-0.51,11.12,205651,222153,-7.42,-
1417,嘉裕,21313,22012,23747,-3.17,-10.24,117134,100509,16.54,-
1418,東華,1051,554,343,89.71,206.41,2253,3531,-36.19,配合客戶生產線出貨
1419,新紡,383133,402039,375079,-4.7,2.14,2238219,1726547,29.63,-
1423,利華,6117,4165,5188,46.86,17.9,41515,39885,4.08,-
