公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,9371746,8735157,11368096,7.28,-17.56,90313749,90710057,-0.43,-
1102,亞泥,6706168,6691905,7601097,0.21,-11.77,66945254,73697894,-9.16,-
1103,嘉泥,257343,232979,209429,10.45,22.87,2372574,1803252,31.57,-
1104,環泥,654514,618592,634981,5.8,3.07,6282268,5698929,10.23,-
1108,幸福,451146,404171,401202,11.62,12.44,4141653,3347381,23.72,-
1109,信大,531941,490929,527209,8.35,0.89,5157727,5202650,-0.86,-
1110,東泥,191120,169364,197515,12.84,-3.23,1832642,1428523,28.28,-
1201,味全,1894929,1944806,1719108,-2.56,10.22,17885259,16933521,5.62,-
1203,味王,504360,544257,534997,-7.33,-5.72,5223257,5231391,-0.15,-
1210,大成,8992288,9291296,10031178,-3.21,-10.35,92145772,92807833,-0.71,-
1213,大飲,403,636,30818,-36.63,-98.69,116889,328870,-64.45,1.營收大幅衰退，係因四月下旬暫時停工迄今，暫無產品銷售所致。
1215,卜蜂,2382360,2437231,2364883,-2.25,0.73,24332804,23615890,3.03,-
1216,統一,49801476,53366181,42927337,-6.67,16.01,483652868,439427488,10.06,-
1217,愛之味,323973,485332,316358,-33.24,2.4,4280118,4160219,2.88,-
1218,泰山,893674,1070356,845561,-16.5,5.69,9479640,9329439,1.6,-
1219,福壽,1280865,1310734,1443910,-2.27,-11.29,13680823,14087578,-2.88,-
1220,台榮,289053,295646,334007,-2.23,-13.45,2643847,2888952,-8.48,-
1225,福懋油,1212955,1184327,1291928,2.41,-6.11,12125626,12536537,-3.27,-
1227,佳格,2027434,3116707,2182437,-34.94,-7.1,22157069,22581976,-1.88,-
1229,聯華,1200893,861221,908917,39.44,32.12,10487622,10155633,3.26,-
1231,聯華食,874442,796194,866871,9.82,0.87,8863900,8629827,2.71,-
1232,大統益,1922344,1874068,2198870,2.57,-12.57,19630101,19886821,-1.29,-
1233,天仁,175783,189526,149886,-7.25,17.27,1746182,1477243,18.2,-
1234,黑松,960839,1017186,817431,-5.53,17.54,8924963,7782622,14.67,-
1235,興泰,3323,6537,3211,-49.16,3.48,36033,52054,-30.77,-
1236,宏亞,125408,222123,137410,-43.54,-8.73,1546837,1598527,-3.23,-
1702,南僑,1808824,2046638,1720526,-11.61,5.13,18617545,16682359,11.6,-
