公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,8593689,12252892,9123490,-29.86,-5.8,20846581,21336840,-2.29,-
1102,亞泥,3493115,5986964,4184371,-41.65,-16.51,9480079,10062045,-5.78,-
1103,嘉泥,188835,256819,218169,-26.47,-13.44,445654,486172,-8.33,-
1104,環泥,460060,718229,538636,-35.94,-14.58,1178289,1226440,-3.92,-
1108,幸福,259157,374664,356169,-30.82,-27.23,633821,804398,-21.2,-
1109,信大,167550,373777,238647,-55.17,-29.79,541327,543202,-0.34,-
1110,東泥,159417,198691,228781,-19.76,-30.31,358108,465570,-23.08,-
1201,味全,1640170,1676231,1529280,-2.15,7.25,3316401,3442294,-3.65,-
1203,味王,386214,461815,470623,-16.37,-17.93,848029,1010885,-16.11,-
1210,大成,7628102,9726934,8087375,-21.57,-5.67,17355036,16771965,3.47,-
1213,大飲,29013,24751,24067,17.21,20.55,53764,46447,15.75,-
1215,卜蜂,2030010,2634849,2030712,-22.95,-0.03,4664859,4361729,6.94,-
1216,統一,51532816,66104462,47574945,-22.04,8.31,117637278,113330461,3.8,-
1217,愛之味,319659,462021,313901,-30.81,1.83,781680,783035,-0.17,-
1218,泰山,837121,943672,786116,-11.29,6.48,1780793,1673833,6.39,-
1219,福壽,1059567,1271934,1162280,-16.69,-8.83,2331501,2341159,-0.41,-
1220,台榮,183280,288493,270707,-36.46,-32.29,471773,489613,-3.64,-
1225,福懋油,889099,1313398,1068503,-32.3,-16.79,2202497,2158758,2.02,-
1227,佳格,1872242,3796317,1605125,-50.68,16.64,5668559,4873756,16.3,-
1229,聯華,687463,996429,789043,-31.0,-12.87,1683892,1653244,1.85,-
1231,聯華食,1103687,1271114,834848,-13.17,32.2,2374801,2124317,11.79,-
1232,大統益,1661070,2213265,1633429,-24.94,1.69,3874334,3461769,11.91,-
1233,天仁,200044,198102,161766,0.98,23.66,398146,382004,4.22,-
1234,黑松,805443,794428,777480,1.38,3.59,1599871,1620011,-1.24,-
1235,興泰,15848,23862,1746,-33.58,807.67,39710,10353,283.56,"泰宇網通累計1-2月營收較去年同期增加 29,491仟元"
1236,宏亞,138565,303656,87822,-54.36,57.77,442221,382900,15.49,本月業績大幅成長主因：農曆新年節慶挪移影響，使得今年度大量出貨落點在115/01-115/02，去年度則落在113/12-114/01。
1702,南僑,1645241,2104739,1633026,-21.83,0.74,3749980,3802641,-1.38,-
1737,臺鹽,214779,277168,241915,-22.5,-11.21,491947,569749,-13.65,-
3054,立萬利,57808,13427,6793,330.53,750.99,71235,12845,454.57,主係因本期產品結構改變致銷售金額增加。
7780,大研生醫*,135700,138385,114354,-1.94,18.66,274085,200117,36.96,-
7791,皇家可口,176173,139787,157423,26.02,11.91,315960,346015,-8.68,-
